agency,1,2,3,4
ACER,0.09619238476953908,0.7034068136272545,0.20040080160320642,0.0
BBI,0.027210884353741496,0.7619047619047619,0.20408163265306123,0.006802721088435374
BEREC,0.016597510373443983,0.5560165975103735,0.42738589211618255,0.0
CDT,0.021897810218978103,0.8248175182481752,0.021897810218978103,0.13138686131386862
CEDEFOP,0.07123834886817576,0.831779849090102,0.08366622281402575,0.013315579227696404
CEPOL,0.007621951219512195,0.7835365853658537,0.18292682926829268,0.025914634146341462
CLEANSKY,0.04746835443037975,0.7816455696202531,0.1550632911392405,0.015822784810126583
CVPO,0.019801980198019802,0.6765676567656765,0.30033003300330036,0.0033003300330033004
EASA,0.02894356005788712,0.6816208393632417,0.2778581765557164,0.011577424023154847
EASO,0.327683615819209,0.4576271186440678,0.2033898305084746,0.011299435028248588
EBA,0.12161172161172161,0.5468864468864469,0.32857142857142857,0.0029304029304029304
ECDC,0.6143984220907298,0.3619329388560158,0.013806706114398421,0.009861932938856016
ECHA,0.19357366771159876,0.7492163009404389,0.056818181818181816,0.00039184952978056425
ECSEL,0.025974025974025976,0.7532467532467533,0.2077922077922078,0.012987012987012988
EDA,0.018935978358881875,0.939585211902615,0.0369702434625789,0.004508566275924256
EEA,0.28895463510848124,0.6153846153846154,0.07790927021696252,0.01775147928994083
EFCA,0.012195121951219513,0.8597560975609756,0.11585365853658537,0.012195121951219513
EFSA,0.48014440433212996,0.41997593261131166,0.0914560770156438,0.00842358604091456
EIGE,0.1232876712328767,0.593607305936073,0.0639269406392694,0.2191780821917808
EIOPA,0.2411764705882353,0.47843137254901963,0.27450980392156865,0.0058823529411764705
EIT,0.03819628647214854,0.8663129973474801,0.03660477453580902,0.05888594164456233
EMA,0.3112562189054726,0.49222636815920395,0.19309701492537312,0.003420398009950249
EMCDDA,0.17691154422788605,0.5892053973013494,0.22938530734632684,0.004497751124437781
EMSA,0.022988505747126436,0.9310344827586207,0.04597701149425287,0.0
ENISA,0.04847537138389367,0.7967161845191556,0.10633307271305707,0.04847537138389367
ERA,0.0,0.7480314960629921,0.2283464566929134,0.023622047244094488
ESMA,0.07941962581137839,0.6067201221840397,0.3115693012600229,0.002290950744558992
ETF,0.022613065326633167,0.9547738693467337,0.017587939698492462,0.005025125628140704
EUIPO,0.0,0.4258933801991798,0.5741066198008201,0.0
EULISA,0.018666666666666668,0.7173333333333334,0.22933333333333333,0.034666666666666665
EUROFOUND,0.27843426883308714,0.6713441654357459,0.047267355982274745,0.0029542097488921715
EUROJUST,0.009456264775413711,0.8817966903073287,0.0673758865248227,0.041371158392434985
EUROPOL,0.032853025936599424,0.9250720461095101,0.01440922190201729,0.0276657060518732
FRA,0.06833558863328823,0.7388362652232747,0.12787550744248985,0.06495263870094722
FRONTEX,0.17619783616692428,0.7387944358578052,0.07264296754250386,0.012364760432766615
OSHA,0.023255813953488372,0.9069767441860465,0.06976744186046512,0.0
SRB,0.00819672131147541,0.7377049180327869,0.25,0.004098360655737705
