agency,1,2,3,4
ACER,0.09913793103448276,0.7004310344827587,0.20043103448275862,0.0
BBI,0.022727272727272728,0.75,0.2196969696969697,0.007575757575757576
BEREC,0.01951219512195122,0.5463414634146342,0.43414634146341463,0.0
CDT,0.023255813953488372,0.813953488372093,0.023255813953488372,0.13953488372093023
CEDEFOP,0.06936547646122355,0.8319308619513305,0.08505799408687742,0.01364566750056857
CEPOL,0.006932409012131715,0.7642980935875217,0.19930675909878684,0.029462738301559793
CLEANSKY,0.03663003663003663,0.7838827838827839,0.17216117216117216,0.007326007326007326
CVPO,0.021352313167259787,0.693950177935943,0.28113879003558717,0.0035587188612099642
EASA,0.02894356005788712,0.6816208393632417,0.2778581765557164,0.011577424023154847
EASO,0.31901840490797545,0.4539877300613497,0.2147239263803681,0.012269938650306749
EBA,0.12224371373307544,0.5454545454545454,0.3292069632495164,0.003094777562862669
ECDC,0.6143984220907298,0.3619329388560158,0.013806706114398421,0.009861932938856016
ECHA,0.17964601769911503,0.7592920353982301,0.060619469026548675,0.0004424778761061947
ECSEL,0.02158273381294964,0.7410071942446043,0.22302158273381295,0.014388489208633094
EDA,0.018935978358881875,0.939585211902615,0.0369702434625789,0.004508566275924256
EEA,0.28629856850715746,0.6165644171779141,0.08077709611451943,0.016359918200409
EFCA,0.006993006993006993,0.8881118881118881,0.09090909090909091,0.013986013986013986
EFSA,0.4849624060150376,0.41353383458646614,0.09273182957393483,0.008771929824561403
EIGE,0.11320754716981132,0.5990566037735849,0.0660377358490566,0.22169811320754718
EIOPA,0.2386634844868735,0.45346062052505964,0.3031026252983294,0.00477326968973747
EIT,0.03697284806470248,0.8659734257654534,0.038128249566724434,0.058925476603119586
EMA,0.3028909329829172,0.492772667542707,0.2007227332457293,0.0036136662286465177
EMCDDA,0.17335473515248795,0.579454253611557,0.24237560192616373,0.004815409309791332
EMSA,0.02575107296137339,0.9227467811158798,0.05150214592274678,0.0
ENISA,0.049586776859504134,0.7991735537190082,0.10661157024793388,0.04462809917355372
ERA,0.0,0.7425742574257426,0.22772277227722773,0.0297029702970297
ESMA,0.08003300330033003,0.6039603960396039,0.31353135313531355,0.0024752475247524753
ETF,0.022613065326633167,0.9547738693467337,0.017587939698492462,0.005025125628140704
EUIPO,0.0,0.4001363326516701,0.59986366734833,0.0
EULISA,0.020066889632107024,0.7023411371237458,0.25418060200668896,0.023411371237458192
EUROFOUND,0.2781065088757396,0.6715976331360947,0.047337278106508875,0.0029585798816568047
EUROJUST,0.009162303664921465,0.8756544502617801,0.07198952879581152,0.04319371727748691
EUROPOL,0.033582089552238806,0.9216417910447762,0.01554726368159204,0.029228855721393034
FRA,0.06775874906924795,0.7386448250186151,0.12732688011913626,0.06626954579300075
FRONTEX,0.1813380281690141,0.7376760563380281,0.07394366197183098,0.007042253521126761
OSHA,0.0,1.0,0.0,0.0
SRB,0.00819672131147541,0.7377049180327869,0.25,0.004098360655737705
