agency,year,1,2,3,4
ACER,2012,0,5,5,0
ACER,2013,1,34,12,0
ACER,2014,4,41,6,0
ACER,2015,4,54,11,0
ACER,2016,5,39,4,0
ACER,2017,4,28,9,0
ACER,2018,8,25,11,0
ACER,2019,12,33,21,0
ACER,2020,7,58,14,0
BBI,2014,0,9,10,0
BBI,2015,0,15,7,0
BBI,2016,2,9,5,0
BBI,2017,1,15,0,0
BBI,2018,0,9,2,0
BBI,2019,0,16,1,0
BBI,2020,0,26,4,1
BEREC,2015,0,20,11,0
BEREC,2016,0,21,11,0
BEREC,2017,1,13,12,0
BEREC,2018,1,22,8,0
BEREC,2019,0,1,19,0
BEREC,2020,2,35,28,0
CDT,2019,3,42,3,9
CDT,2020,0,63,0,9
CEDEFOP,2009,59,1558,253,9
CEDEFOP,2010,12,144,12,6
CEDEFOP,2011,15,247,15,2
CEDEFOP,2012,18,188,19,1
CEDEFOP,2013,20,200,15,2
CEDEFOP,2014,28,217,8,0
CEDEFOP,2015,26,173,8,3
CEDEFOP,2016,17,218,13,8
CEDEFOP,2017,15,175,8,5
CEDEFOP,2018,35,238,10,7
CEDEFOP,2019,33,133,9,16
CEDEFOP,2020,27,167,4,1
CEPOL,2007,0,6,4,0
CEPOL,2008,0,26,13,0
CEPOL,2009,0,42,38,0
CEPOL,2010,0,34,12,0
CEPOL,2011,0,29,7,1
CEPOL,2012,0,11,2,0
CEPOL,2013,0,19,1,2
CEPOL,2014,0,24,4,1
CEPOL,2015,0,25,3,1
CEPOL,2016,0,16,0,0
CEPOL,2017,0,22,6,1
CEPOL,2018,0,51,8,0
CEPOL,2019,1,76,8,10
CEPOL,2020,3,60,9,1
CLEANSKY,2015,0,10,2,0
CLEANSKY,2016,1,22,10,0
CLEANSKY,2017,1,22,9,0
CLEANSKY,2018,0,33,13,0
CLEANSKY,2019,1,65,7,1
CLEANSKY,2020,7,62,6,1
CVPO,1998,0,1,0,0
CVPO,2000,0,0,1,0
CVPO,2001,0,1,0,0
CVPO,2004,0,2,2,0
CVPO,2005,0,0,1,0
CVPO,2006,0,1,0,0
CVPO,2008,0,3,0,0
CVPO,2009,0,8,3,0
CVPO,2010,1,9,6,0
CVPO,2011,0,9,3,0
CVPO,2012,0,8,5,0
CVPO,2013,0,10,6,0
CVPO,2014,0,7,1,0
CVPO,2015,1,15,5,0
CVPO,2016,0,28,9,1
CVPO,2017,1,22,12,0
CVPO,2018,0,23,6,0
CVPO,2019,3,20,5,0
CVPO,2020,0,28,14,0
EASA,2004,0,0,1,0
EASA,2005,0,10,1,1
EASA,2006,0,6,0,0
EASA,2007,0,13,2,0
EASA,2008,0,19,7,0
EASA,2009,0,10,8,0
EASA,2010,1,21,12,0
EASA,2011,0,18,13,0
EASA,2012,2,24,6,0
EASA,2013,0,24,7,0
EASA,2014,1,35,16,0
EASA,2015,2,48,15,0
EASA,2016,0,65,22,0
EASA,2017,3,77,15,0
EASA,2018,4,61,22,0
EASA,2019,7,27,41,7
EASA,2020,0,13,4,0
EASO,2009,1,0,0,0
EASO,2010,0,1,1,0
EASO,2011,1,0,0,0
EASO,2012,2,5,8,0
EASO,2013,3,3,2,0
EASO,2014,0,8,1,0
EASO,2015,1,9,6,0
EASO,2016,6,14,8,0
EASO,2017,8,7,2,0
EASO,2018,8,6,0,0
EASO,2019,8,7,5,1
EASO,2020,9,12,0,0
EBA,2011,4,50,38,0
EBA,2012,8,73,72,0
EBA,2013,24,124,132,0
EBA,2014,36,200,110,0
EBA,2015,26,212,104,0
EBA,2016,47,192,79,0
EBA,2017,45,177,104,0
EBA,2018,34,143,71,0
EBA,2019,52,118,88,8
EBA,2020,40,121,53,0
ECDC,2009,0,1,0,0
ECDC,2010,1,1,0,0
ECDC,2011,120,88,3,0
ECDC,2012,95,70,1,0
ECDC,2013,66,30,0,0
ECDC,2014,64,42,0,0
ECDC,2015,40,25,2,0
ECDC,2016,79,17,1,0
ECDC,2017,63,44,4,3
ECDC,2018,55,28,2,3
ECDC,2019,30,16,1,4
ECDC,2020,9,3,0,0
ECHA,2007,0,0,1,0
ECHA,2008,0,0,1,0
ECHA,2009,0,1,0,0
ECHA,2010,6,84,8,1
ECHA,2011,10,46,8,0
ECHA,2012,23,65,13,0
ECHA,2013,21,73,10,0
ECHA,2014,12,77,9,0
ECHA,2015,10,85,6,0
ECHA,2016,12,86,12,0
ECHA,2017,17,77,4,0
ECHA,2018,86,324,21,0
ECHA,2019,126,425,27,0
ECHA,2020,83,373,17,0
ECSEL,2017,1,12,4,0
ECSEL,2018,0,36,10,2
ECSEL,2019,0,23,10,0
ECSEL,2020,2,29,5,0
EDA,2004,0,4,0,0
EDA,2005,0,12,0,1
EDA,2006,1,13,1,0
EDA,2007,1,16,0,2
