agency,year,1,2,3,4
ACER,2012,0.0,0.5,0.5,0.0
ACER,2013,0.02127659574468085,0.723404255319149,0.2553191489361702,0.0
ACER,2014,0.0784313725490196,0.803921568627451,0.11764705882352941,0.0
ACER,2015,0.057971014492753624,0.782608695652174,0.15942028985507245,0.0
ACER,2016,0.10416666666666667,0.8125,0.08333333333333333,0.0
ACER,2017,0.0975609756097561,0.6829268292682927,0.21951219512195122,0.0
ACER,2018,0.18181818181818182,0.5681818181818182,0.25,0.0
ACER,2019,0.18181818181818182,0.5,0.3181818181818182,0.0
ACER,2020,0.08860759493670886,0.7341772151898734,0.17721518987341772,0.0
BBI,2014,0.0,0.47368421052631576,0.5263157894736842,0.0
BBI,2015,0.0,0.6818181818181818,0.3181818181818182,0.0
BBI,2016,0.125,0.5625,0.3125,0.0
BBI,2017,0.0625,0.9375,0.0,0.0
BBI,2018,0.0,0.8181818181818182,0.18181818181818182,0.0
BBI,2019,0.0,0.9411764705882353,0.058823529411764705,0.0
BBI,2020,0.0,0.8387096774193549,0.12903225806451613,0.03225806451612903
BEREC,2015,0.0,0.6451612903225806,0.3548387096774194,0.0
BEREC,2016,0.0,0.65625,0.34375,0.0
BEREC,2017,0.038461538461538464,0.5,0.46153846153846156,0.0
BEREC,2018,0.03225806451612903,0.7096774193548387,0.25806451612903225,0.0
BEREC,2019,0.0,0.05,0.95,0.0
BEREC,2020,0.03076923076923077,0.5384615384615384,0.4307692307692308,0.0
CDT,2019,0.05263157894736842,0.7368421052631579,0.05263157894736842,0.15789473684210525
CDT,2020,0.0,0.875,0.0,0.125
CEDEFOP,2009,0.03139968068121341,0.8291644491750931,0.1346460883448643,0.004789781798829164
CEDEFOP,2010,0.06896551724137931,0.8275862068965517,0.06896551724137931,0.034482758620689655
CEDEFOP,2011,0.053763440860215055,0.8853046594982079,0.053763440860215055,0.007168458781362007
CEDEFOP,2012,0.07964601769911504,0.831858407079646,0.084070796460177,0.004424778761061947
CEDEFOP,2013,0.08438818565400844,0.8438818565400844,0.06329113924050633,0.008438818565400843
CEDEFOP,2014,0.11067193675889328,0.857707509881423,0.03162055335968379,0.0
CEDEFOP,2015,0.12380952380952381,0.8238095238095238,0.0380952380952381,0.014285714285714285
CEDEFOP,2016,0.06640625,0.8515625,0.05078125,0.03125
CEDEFOP,2017,0.07389162561576355,0.8620689655172413,0.03940886699507389,0.024630541871921183
CEDEFOP,2018,0.1206896551724138,0.8206896551724138,0.034482758620689655,0.02413793103448276
CEDEFOP,2019,0.17277486910994763,0.6963350785340314,0.04712041884816754,0.08376963350785341
CEDEFOP,2020,0.135678391959799,0.8391959798994975,0.020100502512562814,0.005025125628140704
CEPOL,2007,0.0,0.6,0.4,0.0
CEPOL,2008,0.0,0.6666666666666666,0.3333333333333333,0.0
CEPOL,2009,0.0,0.525,0.475,0.0
CEPOL,2010,0.0,0.7391304347826086,0.2608695652173913,0.0
CEPOL,2011,0.0,0.7837837837837838,0.1891891891891892,0.02702702702702703
CEPOL,2012,0.0,0.8461538461538461,0.15384615384615385,0.0
CEPOL,2013,0.0,0.8636363636363636,0.045454545454545456,0.09090909090909091
CEPOL,2014,0.0,0.8275862068965517,0.13793103448275862,0.034482758620689655
CEPOL,2015,0.0,0.8620689655172413,0.10344827586206896,0.034482758620689655
CEPOL,2016,0.0,1.0,0.0,0.0
CEPOL,2017,0.0,0.7586206896551724,0.20689655172413793,0.034482758620689655
CEPOL,2018,0.0,0.864406779661017,0.13559322033898305,0.0
CEPOL,2019,0.010526315789473684,0.8,0.08421052631578947,0.10526315789473684
CEPOL,2020,0.0410958904109589,0.821917808219178,0.1232876712328767,0.0136986301369863
CLEANSKY,2015,0.0,0.8333333333333334,0.16666666666666666,0.0
CLEANSKY,2016,0.030303030303030304,0.6666666666666666,0.30303030303030304,0.0
CLEANSKY,2017,0.03125,0.6875,0.28125,0.0
CLEANSKY,2018,0.0,0.717391304347826,0.2826086956521739,0.0
CLEANSKY,2019,0.013513513513513514,0.8783783783783784,0.0945945945945946,0.013513513513513514
CLEANSKY,2020,0.09210526315789473,0.8157894736842105,0.07894736842105263,0.013157894736842105
CVPO,1998,0.0,1.0,0.0,0.0
CVPO,2000,0.0,0.0,1.0,0.0
CVPO,2001,0.0,1.0,0.0,0.0
CVPO,2004,0.0,0.5,0.5,0.0
CVPO,2005,0.0,0.0,1.0,0.0
CVPO,2006,0.0,1.0,0.0,0.0
CVPO,2008,0.0,1.0,0.0,0.0
CVPO,2009,0.0,0.7272727272727273,0.2727272727272727,0.0
CVPO,2010,0.0625,0.5625,0.375,0.0
CVPO,2011,0.0,0.75,0.25,0.0
CVPO,2012,0.0,0.6153846153846154,0.38461538461538464,0.0
CVPO,2013,0.0,0.625,0.375,0.0
CVPO,2014,0.0,0.875,0.125,0.0
CVPO,2015,0.047619047619047616,0.7142857142857143,0.23809523809523808,0.0
CVPO,2016,0.0,0.7368421052631579,0.23684210526315788,0.02631578947368421
CVPO,2017,0.02857142857142857,0.6285714285714286,0.34285714285714286,0.0
CVPO,2018,0.0,0.7931034482758621,0.20689655172413793,0.0
CVPO,2019,0.10714285714285714,0.7142857142857143,0.17857142857142858,0.0
CVPO,2020,0.0,0.6666666666666666,0.3333333333333333,0.0
EASA,2004,0.0,0.0,1.0,0.0
EASA,2005,0.0,0.8333333333333334,0.08333333333333333,0.08333333333333333
EASA,2006,0.0,1.0,0.0,0.0
EASA,2007,0.0,0.8666666666666667,0.13333333333333333,0.0
EASA,2008,0.0,0.7307692307692307,0.2692307692307692,0.0
EASA,2009,0.0,0.5555555555555556,0.4444444444444444,0.0
EASA,2010,0.029411764705882353,0.6176470588235294,0.35294117647058826,0.0
EASA,2011,0.0,0.5806451612903226,0.41935483870967744,0.0
EASA,2012,0.0625,0.75,0.1875,0.0
EASA,2013,0.0,0.7741935483870968,0.22580645161290322,0.0
EASA,2014,0.019230769230769232,0.6730769230769231,0.3076923076923077,0.0
EASA,2015,0.03076923076923077,0.7384615384615385,0.23076923076923078,0.0
EASA,2016,0.0,0.7471264367816092,0.25287356321839083,0.0
EASA,2017,0.031578947368421054,0.8105263157894737,0.15789473684210525,0.0
EASA,2018,0.04597701149425287,0.7011494252873564,0.25287356321839083,0.0
EASA,2019,0.08536585365853659,0.32926829268292684,0.5,0.08536585365853659
EASA,2020,0.0,0.7647058823529411,0.23529411764705882,0.0
EASO,2009,1.0,0.0,0.0,0.0
EASO,2010,0.0,0.5,0.5,0.0
EASO,2011,1.0,0.0,0.0,0.0
EASO,2012,0.13333333333333333,0.3333333333333333,0.5333333333333333,0.0
EASO,2013,0.375,0.375,0.25,0.0
EASO,2014,0.0,0.8888888888888888,0.1111111111111111,0.0
EASO,2015,0.0625,0.5625,0.375,0.0
EASO,2016,0.21428571428571427,0.5,0.2857142857142857,0.0
EASO,2017,0.47058823529411764,0.4117647058823529,0.11764705882352941,0.0
EASO,2018,0.5714285714285714,0.42857142857142855,0.0,0.0
EASO,2019,0.38095238095238093,0.3333333333333333,0.23809523809523808,0.047619047619047616
EASO,2020,0.42857142857142855,0.5714285714285714,0.0,0.0
EBA,2011,0.043478260869565216,0.5434782608695652,0.41304347826086957,0.0
EBA,2012,0.05228758169934641,0.477124183006536,0.47058823529411764,0.0
EBA,2013,0.08571428571428572,0.44285714285714284,0.4714285714285714,0.0
EBA,2014,0.10404624277456648,0.5780346820809249,0.3179190751445087,0.0
EBA,2015,0.07602339181286549,0.6198830409356725,0.30409356725146197,0.0
EBA,2016,0.14779874213836477,0.6037735849056604,0.24842767295597484,0.0
EBA,2017,0.13803680981595093,0.5429447852760736,0.31901840490797545,0.0
EBA,2018,0.13709677419354838,0.5766129032258065,0.2862903225806452,0.0
EBA,2019,0.19548872180451127,0.44360902255639095,0.3308270676691729,0.03007518796992481
EBA,2020,0.18691588785046728,0.5654205607476636,0.24766355140186916,0.0
ECDC,2009,0.0,1.0,0.0,0.0
ECDC,2010,0.5,0.5,0.0,0.0
ECDC,2011,0.5687203791469194,0.41706161137440756,0.014218009478672985,0.0
ECDC,2012,0.572289156626506,0.42168674698795183,0.006024096385542169,0.0
ECDC,2013,0.6875,0.3125,0.0,0.0
ECDC,2014,0.6037735849056604,0.39622641509433965,0.0,0.0
ECDC,2015,0.5970149253731343,0.373134328358209,0.029850746268656716,0.0
ECDC,2016,0.8144329896907216,0.17525773195876287,0.010309278350515464,0.0
ECDC,2017,0.5526315789473685,0.38596491228070173,0.03508771929824561,0.02631578947368421
ECDC,2018,0.625,0.3181818181818182,0.022727272727272728,0.03409090909090909
ECDC,2019,0.5882352941176471,0.3137254901960784,0.0196078431372549,0.0784313725490196
ECDC,2020,0.75,0.25,0.0,0.0
ECHA,2007,0.0,0.0,1.0,0.0
ECHA,2008,0.0,0.0,1.0,0.0
ECHA,2009,0.0,1.0,0.0,0.0
ECHA,2010,0.06060606060606061,0.8484848484848485,0.08080808080808081,0.010101010101010102
ECHA,2011,0.15625,0.71875,0.125,0.0
ECHA,2012,0.22772277227722773,0.6435643564356436,0.12871287128712872,0.0
ECHA,2013,0.20192307692307693,0.7019230769230769,0.09615384615384616,0.0
ECHA,2014,0.12244897959183673,0.7857142857142857,0.09183673469387756,0.0
ECHA,2015,0.09900990099009901,0.8415841584158416,0.0594059405940594,0.0
ECHA,2016,0.10909090909090909,0.7818181818181819,0.10909090909090909,0.0
ECHA,2017,0.17346938775510204,0.7857142857142857,0.04081632653061224,0.0
ECHA,2018,0.19953596287703015,0.7517401392111369,0.048723897911832945,0.0
ECHA,2019,0.2179930795847751,0.7352941176470589,0.04671280276816609,0.0
ECHA,2020,0.17547568710359407,0.7885835095137421,0.035940803382663845,0.0
ECSEL,2017,0.058823529411764705,0.7058823529411765,0.23529411764705882,0.0
ECSEL,2018,0.0,0.75,0.20833333333333334,0.041666666666666664
ECSEL,2019,0.0,0.696969696969697,0.30303030303030304,0.0
ECSEL,2020,0.05555555555555555,0.8055555555555556,0.1388888888888889,0.0
EDA,2004,0.0,1.0,0.0,0.0
EDA,2005,0.0,0.9230769230769231,0.0,0.07692307692307693
EDA,2006,0.06666666666666667,0.8666666666666667,0.06666666666666667,0.0
EDA,2007,0.05263157894736842,0.8421052631578947,0.0,0.10526315789473684
EDA,2008,0.0,1.0,0.0,0.0
EDA,2009,0.0,0.9259259259259259,0.07407407407407407,0.0
EDA,2010,0.0,0.8846153846153846,0.07692307692307693,0.038461538461538464
EDA,2011,0.04,0.84,0.12,0.0
EDA,2012,0.02702702702702703,0.9459459459459459,0.02702702702702703,0.0
EDA,2013,0.032,0.952,0.016,0.0
EDA,2014,0.026785714285714284,0.9553571428571429,0.017857142857142856,0.0
EDA,2015,0.007142857142857143,0.9714285714285714,0.02142857142857143,0.0
EDA,2016,0.015151515151515152,0.9318181818181818,0.05303030303030303,0.0
EDA,2017,0.02142857142857143,0.9571428571428572,0.02142857142857143,0.0
EDA,2018,0.0,0.967032967032967,0.02197802197802198,0.01098901098901099
EDA,2019,0.023255813953488372,0.8953488372093024,0.08139534883720931,0.0
EDA,2020,0.0,0.9393939393939394,0.06060606060606061,0.0
EEA,1996,0.3333333333333333,0.6666666666666666,0.0,0.0
EEA,1997,0.0,1.0,0.0,0.0
EEA,1998,0.3333333333333333,0.6666666666666666,0.0,0.0
EEA,1999,0.0,0.8,0.2,0.0
EEA,2000,0.13636363636363635,0.7727272727272727,0.09090909090909091,0.0
EEA,2001,0.11538461538461539,0.8076923076923077,0.07692307692307693,0.0
EEA,2002,0.08333333333333333,0.3541666666666667,0.5625,0.0
EEA,2003,0.18421052631578946,0.2894736842105263,0.5263157894736842,0.0
EEA,2004,0.08695652173913043,0.6521739130434783,0.2391304347826087,0.021739130434782608
EEA,2005,0.019230769230769232,0.9615384615384616,0.019230769230769232,0.0
EEA,2006,0.16279069767441862,0.6744186046511628,0.13953488372093023,0.023255813953488372
EEA,2007,0.18181818181818182,0.8181818181818182,0.0,0.0
EEA,2008,0.09574468085106383,0.851063829787234,0.0425531914893617,0.010638297872340425
EEA,2009,0.225,0.7,0.025,0.05
EEA,2010,0.3111111111111111,0.6888888888888889,0.0,0.0
EEA,2011,0.3220338983050847,0.6440677966101694,0.0,0.03389830508474576
EEA,2012,0.36065573770491804,0.5901639344262295,0.01639344262295082,0.03278688524590164
EEA,2013,0.5084745762711864,0.4576271186440678,0.0,0.03389830508474576
EEA,2014,0.44642857142857145,0.5535714285714286,0.0,0.0
EEA,2015,0.41935483870967744,0.5806451612903226,0.0,0.0
EEA,2016,0.5952380952380952,0.40476190476190477,0.0,0.0
EEA,2017,0.5675675675675675,0.40540540540540543,0.02702702702702703,0.0
EEA,2018,0.475,0.475,0.025,0.025
EEA,2019,0.4878048780487805,0.3902439024390244,0.024390243902439025,0.0975609756097561
EEA,2020,0.33962264150943394,0.660377358490566,0.0,0.0
EFCA,2007,0.0,1.0,0.0,0.0
EFCA,2008,0.0,0.8571428571428571,0.14285714285714285,0.0
EFCA,2009,0.0,0.8,0.2,0.0
EFCA,2010,0.0,1.0,0.0,0.0
EFCA,2011,0.0,0.875,0.125,0.0
EFCA,2012,0.0,1.0,0.0,0.0
EFCA,2013,0.0,1.0,0.0,0.0
EFCA,2014,0.0,1.0,0.0,0.0
EFCA,2015,0.0,0.8888888888888888,0.1111111111111111,0.0
EFCA,2016,0.0,0.75,0.16666666666666666,0.08333333333333333
EFCA,2017,0.0,0.8387096774193549,0.12903225806451613,0.03225806451612903
EFCA,2018,0.0,1.0,0.0,0.0
EFCA,2019,0.0,0.8823529411764706,0.11764705882352941,0.0
EFCA,2020,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.0
EFSA,2003,0.0,1.0,0.0,0.0
EFSA,2004,0.45,0.45,0.1,0.0
EFSA,2005,0.48148148148148145,0.48148148148148145,0.037037037037037035,0.0
EFSA,2006,0.625,0.1875,0.1875,0.0
EFSA,2007,0.4827586206896552,0.4482758620689655,0.06896551724137931,0.0
EFSA,2008,0.6818181818181818,0.25,0.06818181818181818,0.0
EFSA,2009,0.45652173913043476,0.43478260869565216,0.10869565217391304,0.0
EFSA,2010,0.6428571428571429,0.3333333333333333,0.023809523809523808,0.0
EFSA,2011,0.5813953488372093,0.3488372093023256,0.06976744186046512,0.0
EFSA,2012,0.5833333333333334,0.375,0.041666666666666664,0.0
EFSA,2013,0.5357142857142857,0.375,0.08928571428571429,0.0
EFSA,2014,0.4393939393939394,0.4696969696969697,0.09090909090909091,0.0
EFSA,2015,0.3918918918918919,0.5135135135135135,0.0945945945945946,0.0
EFSA,2016,0.5142857142857142,0.4,0.08571428571428572,0.0
EFSA,2017,0.40816326530612246,0.4489795918367347,0.14285714285714285,0.0
EFSA,2018,0.42028985507246375,0.4782608695652174,0.07246376811594203,0.028985507246376812
EFSA,2019,0.4339622641509434,0.32075471698113206,0.16981132075471697,0.07547169811320754
EFSA,2020,0.34146341463414637,0.4634146341463415,0.17073170731707318,0.024390243902439025
EIGE,2009,0.0,1.0,0.0,0.0
EIGE,2010,0.0,0.631578947368421,0.15789473684210525,0.21052631578947367
EIGE,2011,0.06896551724137931,0.6206896551724138,0.2413793103448276,0.06896551724137931
EIGE,2012,0.16666666666666666,0.5833333333333334,0.0,0.25
EIGE,2013,0.1,0.6,0.05,0.25
EIGE,2014,0.3,0.6,0.0,0.1
EIGE,2015,0.0,0.5555555555555556,0.0,0.4444444444444444
EIGE,2016,0.09090909090909091,0.7272727272727273,0.0,0.18181818181818182
EIGE,2017,0.22727272727272727,0.5,0.09090909090909091,0.18181818181818182
EIGE,2018,0.058823529411764705,0.5882352941176471,0.0,0.35294117647058826
EIGE,2019,0.10526315789473684,0.5263157894736842,0.05263157894736842,0.3157894736842105
EIGE,2020,0.15789473684210525,0.5789473684210527,0.0,0.2631578947368421
EIOPA,2009,0.0,0.0,1.0,0.0
EIOPA,2011,0.0,1.0,0.0,0.0
EIOPA,2012,0.0,1.0,0.0,0.0
EIOPA,2013,0.0,1.0,0.0,0.0
EIOPA,2014,0.0,1.0,0.0,0.0
EIOPA,2016,0.5,0.5,0.0,0.0
EIOPA,2017,0.11650485436893204,0.24271844660194175,0.6407766990291263,0.0
EIOPA,2018,0.33,0.48,0.19,0.0
EIOPA,2019,0.2777777777777778,0.4888888888888889,0.2111111111111111,0.022222222222222223
EIOPA,2020,0.24786324786324787,0.5726495726495726,0.1794871794871795,0.0
EIT,2008,0.0,0.3333333333333333,0.6666666666666666,0.0
EIT,2009,0.0,0.7272727272727273,0.2727272727272727,0.0
EIT,2010,0.0,0.8333333333333334,0.16666666666666666,0.0
EIT,2011,0.0,0.8,0.17142857142857143,0.02857142857142857
EIT,2012,0.0,0.864406779661017,0.11864406779661017,0.01694915254237288
EIT,2013,0.0125,0.875,0.0875,0.025
EIT,2014,0.03571428571428571,0.9285714285714286,0.017857142857142856,0.017857142857142856
EIT,2015,0.04285714285714286,0.8142857142857143,0.04285714285714286,0.1
EIT,2016,0.043209876543209874,0.8209876543209876,0.043209876543209874,0.09259259259259259
EIT,2017,0.07420494699646643,0.8197879858657244,0.0,0.10600706713780919
EIT,2018,0.04669260700389105,0.8871595330739299,0.019455252918287938,0.04669260700389105
EIT,2019,0.031446540880503145,0.8836477987421384,0.03773584905660377,0.04716981132075472
EIT,2020,0.018072289156626505,0.9036144578313253,0.02710843373493976,0.05120481927710843
EMA,1994,0.0,0.0,1.0,0.0
EMA,1995,0.0,0.3333333333333333,0.6666666666666666,0.0
EMA,1996,0.0,0.391304347826087,0.6086956521739131,0.0
EMA,1997,0.0,0.5172413793103449,0.4827586206896552,0.0
EMA,1998,0.1,0.5333333333333333,0.36666666666666664,0.0
EMA,1999,0.13157894736842105,0.5526315789473685,0.3157894736842105,0.0
EMA,2000,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0
EMA,2001,0.07407407407407407,0.46296296296296297,0.46296296296296297,0.0
EMA,2002,0.06818181818181818,0.5,0.4318181818181818,0.0
EMA,2003,0.043478260869565216,0.5869565217391305,0.3695652173913043,0.0
EMA,2004,0.1346153846153846,0.5961538461538461,0.2692307692307692,0.0
EMA,2005,0.078125,0.8125,0.109375,0.0
EMA,2006,0.2716049382716049,0.691358024691358,0.037037037037037035,0.0
EMA,2007,0.1702127659574468,0.723404255319149,0.10638297872340426,0.0
EMA,2008,0.3,0.61,0.09,0.0
EMA,2009,0.31092436974789917,0.5714285714285714,0.11764705882352941,0.0
EMA,2010,0.4140625,0.4609375,0.1171875,0.0078125
EMA,2011,0.2822966507177033,0.4784688995215311,0.23444976076555024,0.004784688995215311
EMA,2012,0.2603305785123967,0.47520661157024796,0.256198347107438,0.008264462809917356
