agency_type,non_regulatory,non_regulatory,non_regulatory,non_regulatory,regulatory,regulatory,regulatory,regulatory,unk,unk,unk,unk
predicted_labels,1,2,3,4,1,2,3,4,1,2,3,4
year,,,,,,,,,,,,
1994,0,0,0,0,0,0,3,0,0,0,0,0
1995,0,0,0,0,0,3,6,0,0,0,0,0
1996,0,0,0,0,2,13,16,0,0,0,0,0
1997,0,0,0,0,0,24,18,0,0,0,0,0
1998,0,0,0,0,4,19,20,0,0,0,0,0
1999,0,0,0,0,5,26,26,0,0,0,0,0
2000,0,0,0,0,7,37,33,0,0,0,0,0
2001,0,0,0,0,8,50,38,0,0,0,0,0
2002,0,0,0,0,9,44,52,0,0,0,0,0
2003,0,0,0,0,9,51,47,0,0,0,0,0
2004,0,4,0,0,20,78,39,1,0,0,0,0
2005,0,12,0,1,20,137,18,1,0,0,0,0
2006,1,13,1,0,39,110,16,1,0,0,0,0
2007,1,52,9,2,84,294,26,0,0,0,0,0
2008,1,72,21,0,80,254,32,2,0,0,0,0
2009,1,98,46,1,155,1823,296,11,0,0,0,0
2010,0,99,20,1,256,689,72,22,0,0,0,0
2011,7,196,26,4,285,807,155,12,0,0,0,0
2012,7,246,22,6,298,804,213,19,0,0,0,0
2013,14,340,20,13,322,967,312,15,0,0,0,0
2014,11,428,25,6,332,1123,459,13,0,9,10,0
2015,12,454,33,14,293,1219,394,16,0,25,9,0
2016,18,550,36,21,377,1511,422,25,3,31,15,0
2017,36,729,26,37,355,1720,576,44,3,49,13,0
2018,29,815,51,23,491,1910,537,42,0,78,25,2
2019,44,904,61,59,515,1751,719,99,1,104,18,1
2020,33,884,24,44,412,1825,495,14,9,117,15,2
