agency_group,group_1,group_1,group_1,group_1,group_2,group_2,group_2,group_2,group_3,group_3,group_3,group_3,group_4,group_4,group_4,group_4,unk,unk,unk,unk
predicted_labels,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
year,,,,,,,,,,,,,,,,,,,,
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
1996,0,0,2,0,0,0,0,0,0,0,0,0,2,13,14,0,0,0,0,0
1997,0,0,4,0,0,0,0,0,0,0,0,0,0,24,14,0,0,0,0,0
1998,0,0,9,0,0,0,0,0,0,1,0,0,4,18,11,0,0,0,0,0
1999,0,1,13,0,0,0,0,0,0,0,0,0,5,25,13,0,0,0,0,0
2000,0,0,10,0,0,0,0,0,0,0,1,0,7,37,22,0,0,0,0,0
2001,1,3,11,0,0,0,0,0,0,1,0,0,7,46,27,0,0,0,0,0
2002,2,5,6,0,0,0,0,0,0,0,0,0,7,39,46,0,0,0,0,0
2003,0,8,10,0,0,0,0,0,0,0,0,0,9,43,37,0,0,0,0,0
2004,0,10,9,0,0,0,0,0,0,2,3,0,20,70,27,1,0,0,0,0
2005,1,24,7,1,0,0,0,0,0,10,2,1,19,115,9,0,0,0,0,0
2006,1,28,5,0,0,0,0,0,0,7,0,0,39,88,12,1,0,0,0,0
2007,3,79,18,2,0,0,0,0,0,13,2,0,82,254,15,0,0,0,0,0
2008,4,100,20,1,0,0,0,0,0,26,11,0,77,200,22,1,0,0,0,0
2009,8,128,46,1,0,0,2,0,1,63,17,0,147,1730,277,11,0,0,0,0
2010,13,160,26,12,0,0,0,0,5,109,24,3,238,519,42,8,0,0,0,0
2011,22,239,28,7,4,52,38,0,6,125,32,4,260,587,83,5,0,0,0,0
2012,26,256,26,11,8,74,72,0,9,178,36,8,262,542,101,6,0,0,0,0
2013,24,332,24,17,24,125,132,0,12,277,82,6,276,573,94,5,0,0,0,0
2014,23,368,32,9,36,201,110,0,16,383,253,9,268,599,89,1,0,9,10,0
2015,29,502,41,16,32,242,125,0,15,397,189,11,229,532,72,3,0,25,9,0
2016,49,598,55,16,64,460,180,0,17,489,160,20,265,514,63,10,3,31,15,0
2017,57,798,82,33,83,547,304,0,36,544,155,38,215,560,61,10,3,49,13,0
2018,53,819,100,33,127,552,247,0,32,519,167,18,308,835,74,14,0,78,25,2
2019,70,728,84,68,132,528,383,17,38,591,224,31,319,808,89,42,1,104,18,1
2020,79,627,55,26,102,463,206,0,18,703,205,19,246,916,53,13,9,117,15,2
