agency_type_2,certification_agencies,certification_agencies,certification_agencies,certification_agencies,information_agencies,information_agencies,information_agencies,information_agencies,operational_activities_cooperation_agencies,operational_activities_cooperation_agencies,operational_activities_cooperation_agencies,operational_activities_cooperation_agencies,registration_agencies,registration_agencies,registration_agencies,registration_agencies,scientific_technical_expertise_agencies,scientific_technical_expertise_agencies,scientific_technical_expertise_agencies,scientific_technical_expertise_agencies,supervision_agencies,supervision_agencies,supervision_agencies,supervision_agencies,unk,unk,unk,unk
predicted_labels,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0
1998,0,1,0,0,1,2,9,0,0,0,0,0,0,0,0,0,3,16,11,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,5,21,12,0,0,0,0,0,0,0,0,0
2000,0,0,1,0,3,17,12,0,0,0,0,0,0,0,0,0,4,20,20,0,0,0,0,0,0,0,0,0
2001,0,1,0,0,4,24,13,0,0,0,0,0,0,0,0,0,4,25,25,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,6,22,33,0,0,0,0,0,0,0,0,0,3,22,19,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,7,19,30,0,0,0,0,0,0,0,0,0,2,32,17,0,0,0,0,0,0,0,0,0
2004,0,2,3,0,4,36,20,1,0,4,0,0,0,0,0,0,16,40,16,0,0,0,0,0,0,0,0,0
2005,0,10,2,1,2,62,8,0,0,12,0,1,0,0,0,0,18,65,8,0,0,0,0,0,0,0,0,0
2006,0,7,0,0,7,38,10,1,1,19,1,0,0,0,0,0,32,59,6,0,0,0,0,0,0,0,0,0
2007,0,13,2,0,54,183,13,0,1,69,7,2,0,0,1,0,30,81,12,0,0,0,0,0,0,0,0,0
2008,0,22,7,0,20,167,28,2,1,65,5,0,0,0,1,0,60,72,12,0,0,0,0,0,0,0,0,0
2009,0,18,11,0,97,1744,304,11,1,70,6,1,0,1,0,0,58,88,19,0,0,0,2,0,0,0,0,0
2010,2,30,18,0,164,512,43,20,4,88,7,1,6,84,8,1,80,73,16,1,0,1,0,0,0,0,0,0
2011,0,27,16,0,181,585,53,13,13,171,14,2,10,46,8,0,84,115,52,1,4,59,38,0,0,0,0,0
2012,2,32,11,0,171,532,50,18,9,203,20,5,23,65,13,0,91,133,64,2,9,85,77,0,0,0,0,0
2013,0,34,13,0,156,576,45,18,15,270,18,9,21,83,47,0,119,164,65,1,25,180,144,0,0,0,0,0
2014,1,42,17,0,169,651,58,16,12,316,22,3,12,147,219,0,109,130,51,0,40,265,117,0,0,9,10,0
2015,3,63,20,0,131,538,43,24,19,469,44,6,10,169,136,0,106,117,46,0,36,317,138,0,0,25,9,0
2016,0,93,31,1,173,674,57,37,27,483,46,7,12,168,105,0,113,119,33,1,70,524,186,0,3,31,15,0
2017,4,99,27,0,165,1005,89,74,30,481,40,7,17,148,97,0,88,109,33,0,87,607,316,0,3,49,13,0
2018,4,84,28,0,156,1022,89,51,34,519,45,11,86,374,121,0,103,111,38,2,137,615,267,1,0,78,25,2
2019,10,47,46,7,150,903,90,85,42,508,61,38,126,517,124,0,86,59,42,9,145,621,417,19,1,104,18,1
2020,0,41,18,0,120,970,67,33,37,489,41,24,83,501,137,0,95,131,31,1,110,577,225,0,9,117,15,2
