founding_year,1970s,1970s,1970s,1970s,1990s,1990s,1990s,1990s,2000s,2000s,2000s,2000s,2010s,2010s,2010s,2010s,unk,unk,unk,unk
predicted_labels,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
year,,,,,,,,,,,,,,,,,,,,
1994,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,2,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,4,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,5,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,7,37,33,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,8,50,38,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,9,44,52,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,9,46,47,0,0,5,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,11,69,36,1,9,13,3,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,7,114,16,0,13,35,2,2,0,0,0,0,0,0,0,0
2006,0,0,0,0,29,95,13,1,11,28,4,0,0,0,0,0,0,0,0,0
2007,48,152,2,0,22,92,17,0,15,101,16,2,0,1,0,0,0,0,0,0
2008,8,42,4,0,42,157,16,1,31,125,33,0,0,2,0,1,0,0,0,0
2009,80,1608,256,9,50,119,20,2,22,188,63,1,4,6,3,0,0,0,0,0
2010,137,323,18,6,75,121,24,1,42,312,45,5,2,32,5,11,0,0,0,0
2011,27,293,19,2,88,234,54,6,169,394,63,6,8,82,45,2,0,0,0,0
2012,31,234,22,2,99,261,72,8,159,448,55,9,16,107,86,6,0,0,0,0
2013,40,273,19,2,130,324,105,11,134,529,56,9,32,181,152,6,0,0,0,0
2014,58,313,29,1,115,362,263,3,125,590,66,10,45,286,126,5,0,9,10,0
2015,60,279,17,3,103,379,183,4,101,643,63,13,41,372,164,10,0,25,9,0
2016,36,266,15,8,113,445,141,7,157,687,76,21,89,663,226,10,3,31,15,0
2017,26,206,14,6,99,486,140,3,147,828,62,45,119,929,386,27,3,49,13,0
2018,45,260,10,8,107,473,155,6,211,1105,89,28,157,887,334,23,0,78,25,2
2019,48,139,9,16,119,525,156,27,222,1224,146,68,170,767,469,47,1,104,18,1
2020,37,178,4,1,129,693,165,17,133,1079,71,27,146,759,279,13,9,117,15,2
