agency,predicted_labels,confidence
ACER,1,0.7539112300747576
ACER,2,0.7277202498424261
ACER,3,0.6262469756732296
BBI,1,0.5128642322536324
BBI,2,0.7168592623177604
BBI,3,0.5867299812995607
BBI,4,0.9028725294519327
BEREC,1,0.4535357297355527
BEREC,2,0.67441317326752
BEREC,3,0.6507451166805178
BEREC,4,0.7824190737379474
CDT,1,0.7354103767780412
CDT,2,0.7164009507227372
CDT,3,0.5437483343366986
CDT,4,0.7725231353393611
CEDEFOP,1,0.5512728864163374
CEDEFOP,2,0.6834352194677844
CEDEFOP,3,0.5420660422916658
CEDEFOP,4,0.8601166672613316
CEPOL,1,0.5273730983981295
CEPOL,2,0.7282372945954585
CEPOL,3,0.6217071671302052
CEPOL,4,0.8673594692376092
CLEANSKY,1,0.6483617819740437
CLEANSKY,2,0.6882405388792942
CLEANSKY,3,0.5793356329801873
CVPO,1,0.5281485155372817
CVPO,2,0.6184914647959819
CVPO,3,0.5917093900011695
EASA,1,0.5777695165726541
EASA,2,0.6673143474255514
EASA,3,0.5828002855562098
EASA,4,0.8851442113510996
EASO,1,0.7655242151459181
EASO,2,0.6406914676069192
EASO,3,0.600456149471482
EASO,4,0.9450162681973213
EBA,1,0.6610715627116703
EBA,2,0.6665670569005548
EBA,3,0.5988406046212577
EBA,4,0.8790827330457471
ECHA,1,0.6599881028545004
ECHA,2,0.753581759164797
ECHA,3,0.4516624724464149
ECSEL,1,0.5758217907669305
ECSEL,2,0.7325361225291346
ECSEL,3,0.5564784239120417
ECSEL,4,0.7289361217041517
EDA,1,0.642752117917119
EDA,2,0.7933450054802694
EDA,3,0.5646478325758068
EDA,4,0.8059287683958778
EEA,1,0.6594077487543435
EEA,2,0.6650643702865299
EEA,3,0.5216421286222099
EEA,4,0.8044705704625458
EFCA,2,0.749462775364903
EFCA,3,0.5178994646791936
EFSA,1,0.684133583887476
EFSA,2,0.5941910179847422
EFSA,3,0.5310277075870877
EFSA,4,0.814581776468334
EIGE,1,0.49412252038227295
EIGE,2,0.6697453089518048
EIGE,3,0.5213560588345597
EIGE,4,0.7933606543909651
EIOPA,1,0.6634001475579719
EIOPA,2,0.6418391139115429
EIOPA,3,0.6237139801765628
EIOPA,4,0.9743493839545229
EIT,1,0.49258939746436814
EIT,2,0.7257049325045957
EIT,3,0.5659059180447905
EIT,4,0.8265690083135195
EMA,1,0.5893505345773373
EMA,2,0.6278298221360357
EMA,3,0.5718162552737772
EMCDDA,1,0.7046807423046869
EMCDDA,2,0.642954857727104
EMCDDA,3,0.643096752894421
EMCDDA,4,0.8532267782226629
EMSA,1,0.5134031085811837
EMSA,2,0.6696799102297512
EMSA,3,0.48863053765184494
ENISA,1,0.5356230087727691
ENISA,2,0.7257931161796839
ENISA,3,0.546059672039971
ENISA,4,0.8247040723585366
ERA,1,0.5557084808761088
ERA,2,0.7030677363735018
ERA,3,0.54861377205046
ERA,4,0.7904626879355016
ESMA,1,0.651075214367721
ESMA,2,0.6836165293697728
ESMA,3,0.5807832212273984
ETF,1,0.6871624261825079
ETF,2,0.7653536083467092
ETF,3,0.562454746392149
EUIPO,1,0.45621179719855853
EUIPO,2,0.6117241662996682
EUIPO,3,0.5844283005124434
EULISA,2,0.620144927232902
EUROFOUND,1,0.6043976042924001
EUROFOUND,2,0.6432412701572919
EUROFOUND,3,0.5467960512303508
EUROJUST,1,0.6827560159391899
EUROJUST,2,0.7524574208750489
EUROJUST,3,0.5785918497422027
EUROJUST,4,0.7938537026138974
EUROPOL,1,0.524224381963375
EUROPOL,2,0.7766825047798657
EUROPOL,3,0.604719088709572
FRA,1,0.47690027245368044
FRA,2,0.6380254692865899
FRA,3,0.5484270106371876
FRA,4,0.7467326395845296
FRONTEX,1,0.7471513758362727
FRONTEX,2,0.7346180935290201
FRONTEX,3,0.5309885124341721
FRONTEX,4,0.9189673350822107
OSHA,1,0.4396135534791446
OSHA,2,0.6660825587509186
OSHA,3,0.6233878213784194
SRB,1,0.7454894287490095
SRB,2,0.699557716621171
SRB,3,0.6088204007315154
SRB,4,0.7926773013503396
