agency,confidence
ACER,0.7204267975681395
BBI,0.7038386025076447
BEREC,0.6640587870838703
CDT,0.7104221697638118
CEDEFOP,0.6704349212464782
CEPOL,0.7122080166137562
CLEANSKY,0.6780718329708953
CVPO,0.6094807457108293
EASA,0.6561258687918277
EASO,0.6777908808453585
EBA,0.651333847908807
ECHA,0.7329080641504949
ECSEL,0.706988959719014
EDA,0.7858321131742532
EEA,0.6622637190559314
EFCA,0.7339310898920811
EFSA,0.6353286563549004
EIGE,0.6564285850881874
EIOPA,0.6425638605884304
EIT,0.7184120164313974
EMA,0.6073530572811744
EMCDDA,0.653248941451699
EMSA,0.6608325374713492
ENISA,0.7139921281732255
ERA,0.6774734636618401
ESMA,0.6716003579494263
ETF,0.7571545765308226
EUIPO,0.6009474045991013
EULISA,0.620144927232902
EUROFOUND,0.6313147492749887
EUROJUST,0.747119745658457
EUROPOL,0.7733944268139734
FRA,0.6274528068116426
FRONTEX,0.7324035264411135
OSHA,0.657340684656139
SRB,0.6667847536331233
