,id,date,title,text
9412,FRONTEX_NEWS_0539,2011-08-30,Warsaw to Host 5th EU Anti-Trafficking Day on 18 October," News Select section: News Release News Release Focus Warsaw to Host 5th EU Anti-Trafficking Day on 18 October 2011-08-30 Warsaw, August 30, 2011 — The EU’s fifth Anti-Trafficking day will be held in Warsaw on Tuesday, October 18, 2011. The event—subtitled “Together Against Trafficking in Human Beings”—will provide participants with a platform for the exchange of views on strengthening cooperation between EU Agencies and other stakeholders in addressing trafficking in human beings (THB). The centrepiece of the day’s agenda will be a debate between the directors of EU Justice and Home Affairs (JHA) Agencies involved in the fight against trafficking in human beings, moderated by the EU Anti-Trafficking Coordinator, under the title “EU Member States and Agencies jointly addressing THB and victim protection.” This year’s Anti-Trafficking Day will be the first since the publication in March this year of EU directive 2011/36/EU on prevention and combating trafficking in human beings and protecting its victims, which aims to create a coherent pan-European approach to the problem. It will also be the first since the establishment this year of the position of EU Anti-Trafficking Coordinator and the European Asylum Office. In addition to the central debate, there will be three workshops dedicated to the themes of prevention of THB, protection of victims and the investigation and prosecution of perpetrators. Each workshop will be co-chaired by representatives of EU Agencies involved in the relevant aspect of the fight against THB. Frontex will co-chair the workshop on prevention together with CEPOL, the European Police College. For more information please email: EUATD2011@frontex.europa.eu EU Anti-Trafficking Day has been held on 18 October for the last five years, in the Member State holding the EU’s revolving presidency, currently Poland. The first Anti-Trafficking Day took place in 2007. This year’s event is jointly organised by the Polish EU Presidency, the European Commission, The EU Anti-Trafficking Coordinator and seven EU Agencies: CEPOL, the EU Asylum Support Office (EASO), the European Institute for Gender Equality (EIGE), Europol, Eurojust, the Fundamental Rights Agency (FRA) and Frontex. Representatives of Non-Governmental Organisations, international organisations and academia involved in the field will also take part. THB Facts and FiguresThe exact extent of THB globally is not known for sure and estimates vary widely though a conservative UN estimate puts the figure at around 2.5 million. Described by a UN working group on the subject, THB is described as modern slavery that traps more people today than in the entire 400 years of the transatlantic slave trade. Moreover, according to Blue Blindfold, a UK-based THB awareness and prevention campaign, THB is the third largest source of income for organised crime groups and growing even faster than trafficking in illegal arms and drugs.“According to the International Labour Organisation (ILO), about 12.3 million people worldwide are in forced labour, bonded labour, forced child labour or sexual servitude at any given time. Other estimates range between 4 million and 27 million. According to US government-sponsored research, about 800,000 people are trafficked across national boundaries each year, about 80% of whom are women and girls and “up to 50%” are children.” House of Commons Home Affairs Committee, The Trade in Human Beings: Human Trafficking in the UK, Sixth Report of Session 2008–09 Volume I Article 2 of the EC Directive on THB defines trafficking in human beings as:“The recruitment, transportation, transfer, harbouring or reception of persons, including the exchange or transfer of control over those persons, by means of the threat or use of force or other forms of coercion, of abduction, of fraud, of deception, of the abuse of power or of a position of vulnerability or of the giving or receiving of payments or benefits to achieve the consent of a person having control over another person, for the purpose of exploitation.”According to a Frontex Risk Analysis report, Situational Overview on Trafficking in Human Beings, 6,991 potential victims of trafficking were reported by 27 countries in 2009, up 34% on the 2008 figure of 5,200 potential victims. Of the total, almost 25% of identified victims were men and 15% were minors. The types of trafficking were defined as follows: • The exploitation of the prostitution of others;• Other forms of sexual exploitation;• Forced labour or services;• Slavery or practices similar to slavery;• Servitude;• Exploitation for activities associated with begging or for unlawful activities; and• Removal of organs. The traffickers’ roles were divided as follows: • Recruiter;• Kidnapper;• Seller;• Buyer;• Transporter;• Harbourer;• Receiver;• Exploiter;• Document/ID Facilitator; and• Other Files available for download Frontex Risk Analysis Situational Overview () "
9384,FRONTEX_NEWS_0511,2012-09-06,Consultative Forum on Fundamental Rights taking shape," News Select section: News Release News Release Focus Consultative Forum on Fundamental Rights taking shape 2012-09-06 A preparatory meeting of Frontex’s Consultative Forum on Fundamental Rights (CF) was held in Warsaw yesterday.Participants in the meeting discussed how the CF could assist Frontex in promoting the respect of fundamental rights in all its activities and what the working methods of the forum should be. The meeting gathered representatives of 15 organisations specialized in different aspects of human rights, but all having expertise in migration issues. Yesterday’s meeting was one of the last steps leading to a formal decision on setting up this consultative process with civil society and international organisations. The Management Board will approve the list of the CF members and the working methods at its session on the 27th of September. Once the formal decision is made, the Consultative Forum will be able to start its work. Its first plenary meeting is foreseen for October 2012. The establishment of the Consultative Forum is stipulated in the amended Frontex regulation that entered into force December 2011. The Consultative Forum has the task of assisting the Executive Director (ED) and the MB in fundamental rights matters and is to be consulted on the further development and implementation of the Frontex Fundamental Rights Strategy, Code of Conduct and Common Core Curriculum. "
9135,FRONTEX_NEWS_0262,2017-09-13,Experts meet to tackle document fraud," News Select section: News Release News Release Focus Experts meet to tackle document fraud 2017-09-13 On 11 and 12 September, a kick-off meeting of the Horizontal Expert Working Group on Document Fraud, led by France and supported by Europol and Frontex, the European Border and Coast Guard Agency, was held at Europol’s headquarters in The Hague. The meeting addressed the increasing problem of document fraud as a key element for all types of criminal activity, as well as terrorism. Europol’s Executive Director Rob Wainwright said: “In the last few years document fraud has become a major criminal problem in Europe, helping to drive new shifts in the scale and impact of migrant smuggling, fraud, terrorism and other security threats. Professional criminal syndicates are now part of the large-scale production, trading and distribution of often high-quality identity and other official documents. Europol is pleased to support this new initiative between the Member States of the EU and other partners to crack down on this problem.”“Document fraud at the European Union’s external borders can ultimately undermine its internal security. Frontex will do its utmost to support the Council initiative, also by providing the expertise gained in our operations. Right now, we have 74 specialised document experts deployed at Europe’s borders,” said Frontex Executive Director Fabrice Leggeri. Combatting document fraud, and targeting the organised crime groups involved in producing and providing fraudulent and false documents, is one of 10 priorities for fighting organised and serious international crime between 2018 and 2021, as set by the Council of the EU. The Council decided that this would be implemented as a cross-cutting priority, following Europol’s SOCTA and recommendations by COSI. According to Frontex, document fraud constitutes a serious problem on entry at the external borders of the EU.This is the first time an EU crime priority will not be implemented through a specific ‘Multi Annual Strategic Plan and Operational Action Plan’, but instead through a common strategic goal in all relevant operational plans covering other criminal areas. This should make it possible to tackle the phenomenon in the comprehensive way by police, border and coast guard, and customs experts. To streamline their work, the EU Council decided to create the Horizontal Expert Working Group on Document Fraud. The working group comprising Member States, Frontex and Europol experts, will provide support in fighting all types of document fraud, including travel and identity documents, ‘breeder’ documents (serving as a basis to obtain identification documents fraudulently), other types of ID fraud, administrative and official documents of any kind that are subject to fraud by organised crime groups. The meeting began with welcome speeches from the Executive Directors of Frontex, Europol and the French National Police, followed by presentations on the EU Policy Cycle, a situational picture of document fraud and existing initiatives. On the second day of the meeting, the work methodology was discussed among the members of the working group. Both Agencies appointed special Document Fraud Coordinators to facilitate the work of the group. The next meeting of the Horizontal Expert Working Group on Document Fraud will be held at the Frontex Headquarters in Warsaw. "
9332,FRONTEX_NEWS_0459,2015-02-12,Migrants forced to board inflatable rafts at gunpoint," News Select section: News Release News Release Focus Migrants forced to board inflatable rafts at gunpoint 2015-02-12 Today the African migrants who survived the traumatic events off the coast of Libya told Frontex debriefing officers that smugglers who organised the operation forced them at gunpoint onto the inflatable rafts.The interviewed migrants were among the more than 400 people who boarded four dinghies on a beach near Tripoli on Saturday night and headed for Italy. The survivors told officials that the smugglers threatened to shoot on the spot anyone who refused to get into the four inflatable rafts.The Italian Coast Guard assisted by vessels participating in the Operation Triton rescued 105 people on one of the vessels on Monday, although 29 of them died on hypothermia. The Coast Guard later redirected two merchant vessels to rescue nine more survivors from the other rafts. The rest of the migrants likely perished in the treacherous winter sea.“These stories point to an awful crime. The criminals threatened the migrants with violence to board these flimsy rubber boats, knowing very well that the chances of their survival in such difficult weather conditions were slim,” said Frontex Executive Director Fabrice Leggeri. “In this terrifying tragedy one can only wonder whether for these criminal this was a terrible accident, or part of a deliberate strategy”- he concluded.The Triton operation deploys two offshore patrol vessels and seven patrol boats that monitor Italy’s territorial waters and nearby search and rescue waters, along with one helicopter and two aircraft in the Mediterranean. The two airplanes remain involved in the ongoing search operations for the missing African migrants led by the Italian Coast Guard. Frontex coordinates border surveillance operations at the external borders of the European Union. Its role is not to replace border control of national authorities, but to provide those EU countries that face an increased migratory pressure with additional technical assistance and border guards. When called upon by the relevant authorities, they take active part in search and rescue operations, as required by maritime law. "
9381,FRONTEX_NEWS_0508,2013-01-16,Call for papers “Workshop on Innovation in Border Control”," News Select section: News Release News Release Focus Call for papers “Workshop on Innovation in Border Control” 2013-01-16 SUBMISSION DEADLINE: 29 April 2013 The Workshop on Innovation in Border Control 2013 (WIBC 2013), co-organized by Frontex Research and Development Unit, the Joint Research Centre (JRC) of the European Commission, and the National Center for Border Security and Immigration (BORDERS) of the University of Arizona, is soliciting both research and “industrial practice and experience” papers. The aim of the Workshop is to bring together academic researchers, practitioners, and industry to: - discuss innovative solutions to current and future challenges in border control (including border surveillance), - present the latest results of research in the field of border control, - evaluate current applications, - identify next steps toward bringing solutions to fruition, and - disseminate information on ongoing border security-related research projects and initiatives. Possible topics of the papers are: 1. Detection, identification and authentication CHALLENGES: (A) An ever-increasing number of people coming to the EU poses a challenge of having less time for the entire process of person and document authentication and/verification, and efficiently detecting the “risky” ones, which should undergo a more thorough check; (B) Various types of insignificant-in-size maritime means are used by third-country nationals to enter into the EU in an irregular manner. Timely detection and classification of such means, in particular differentiating between suspicious and legitimate ones, poses a serious challenge. • Access control: authentication of documents, people and vehicles • Risk assessment of travelers (prior and upon arrival) • Deception detection • Modelling and optimization of the border control processing chain • Detection and risk-level classification of both large and small (fast) boats in maritime environment • Detection of persons attempting to enter illegally • Long range maritime positive identification of facilitators in poor optical conditions • Psycho-physiological and behavioural detection of risk • Small and wide land area intruder detection 2. Communication CHALLENGE: An increasing field-cooperation between Border Guard authorities of (neighbouring) countries is often hindered by non-compatible mobile secure communication networks that could be used to exchange data of various kind (videos, images, text) in a straightforward and efficient manner. • Efficient transfer of high volume of data, including video and images, from mobile (manned or unmanned) platforms to end users, and vice versa from operations centres to field assets • Ergonomic and user-friendly wireless mobile communication tools • Interconnection of secure communication networks of border guard authorities in neighbouring countries, including technical and legal aspects 3. Information sharing and interoperability CHALLENGE: An ever-growing requirement to exchange border security-related information of various kind at the EU-level poses a challenge in terms of: (a) making existing systems interoperable, (b) willingness to share information “across the sectors and borders”, (c) having a common understanding of the content to be shared. • Platforms and systems for secure exchange of information • Collaboration across cultures, or the effects of culture and legal and organizational constraints on information sharing • Techniques to facilitate the exchange of information between non interoperable information systems • Integrated visa/immigration facilities control systems • Interoperability for information exchange: protocols, schemes, ontologies, topologies, semantic translations and common definitions of content 4. Information acquisition, fusion and utilisation CHALLENGE: The ever-growing amount of heterogeneous border security-related data stemming from different sources of varying reliability makes it difficult to efficiently process, analyse, fuse and convert it into actionable knowledge. • Real-time and near real-time text/data mining methods for processing vast amount of heterogeneous data • Techniques for data/information fusion (text, video, images, etc.) in real or close to real time • Trend analysis, pattern detection, cross-analysis of databases, optimisation analysis • Utilisation of new sources of information (e.g., open sources) for intelligence gathering and situational awareness (e.g., online news, social media, forums, deep web), including assessment of their quality, usefulness, reliability, and techniques to analyze them • Usability of new type of information in the border security-related decision making process • Intelligence-based risk assessment, threat classification and vulnerability assessment models 5. Technology impact, acceptance and integration CHALLENGE: Various new technologies with border control application potential are emerging, however, their integration into the border control processing chain poses administrative, technical, societal, privacy and human-machine optimisation issues. • Assessment of user acceptance • Data Protection, Fundamental rights and social impacts of use of technology at the border • Analysis of factors that may hinder introduction of new technologies (legal, organizational, societal) • Ergonomic impacts of use of technology at the border • Human-system optimization • Methods for diffusing and integrating new technology • Comparison of technology solutions (opportunity/risk analysis) • Modelling, simulation and training capabilities for border control (virtual environments) The research event will be co-located with the European Intelligence and Security Informatics Conference (http://www.eisic.eu/) and will take place in Uppsala (Sweden) on 13-14 August 2013. For more information on the call for papers and the event, please refer to the following link: http://wibc2013.org/index.html "
9152,FRONTEX_NEWS_0279,2017-05-30,Frontex Conference and Exhibition on Biometrics on the move 2017," News Select section: News Release News Release Focus Frontex Conference and Exhibition on Biometrics on the move 2017 2017-05-30 Frontex has the pleasure to invite industry representatives to showcase innovative technologies for border checks during the Conference on Biometrics on the move on 28-29 September in Warsaw, Poland. The objective of the Conference is to provide a platform for international dialogue on the feasibility and potential impact of ‘on-the-move-technology’ for border control with a view to enhancing security and facilitating travel at the borders. In order to meet this dual requirement new solutions have to be explored and looked into. Biometrics-on-the-move is understood as the acquisition of data (more in particular biometrics) at a distance for the purpose of identity verification of a traveller.The focus of the Conference will be on legal and operational challenges, with an emphasis on the required legislation and technologies which could enable a wider use of ´biometrics on the move´ bringing a change to border checks approach with the potential to change day-to-day operations at the border.The event will explore among others the following issues:Legal framework and vision for the future;End users needs and challenges;Risk management and vulnerabilities;State-of-the-art technology and pilots;Research, development and innovations;Way ahead.To support the discussions, the Conference will also examine cutting-edge research developments in the area of ´biometrics on the move´ which in the future could be exploited to advance technological innovations in the border control domain.Eight to ten leading companies currently involved in developing solutions for biometrics on the move concept will demonstrate their systems’ capabilities in an exhibition area.The target audience consists of national authorities from the European Union Member States and other countries, EU policy-makers, industry and researchers involved in developing ´biometrics on the move´ solutions.An industry exhibition is planned as a side event to the Conference. The aim is to provide border management authorities and other participants with up-to-date information and a hands-on experience on the latest solutions available in the market or under development, address key questions and needs and provide an informal networking environment for all stakeholders present.Participation is open to relevant industry players working in the field of the biometrics on the move concept.How to showcase:Should you wish to exhibit during the Conference, please respond to this invitation by registering at   bom-conference@frontex.europa.eu by 12 July 2017. You are kindly invited to include a description of the products/ innovations you would like to showcase, as well as an estimation of the space required.Due to the limited space available, interested companies will be selected on a strictly first-come-first-served basis, according to their relevance in the fields of interest and in a way that ensures that different thematic areas are adequately represented. Frontex reserves the right to deny participation to those whose product offer is considered not to be aligned with the topics of the Conference. You will be notified of acceptance/regrets no later than 15 July 2017.Details on the venue as well as other logistical information will be sent only to participants who have successfully registered. No fees will be charged for registration and exhibiting space. Exhibitors will be asked to cover the costs of travel, their own accommodation and additional costs incurred in exhibit activities. "
8957,FRONTEX_NEWS_0084,2020-12-02,Frontex co-organises first Euro-Arab Technical Roundtable on Border Management and Security," News Select section: News Release News Release Focus Frontex co-organises first Euro-Arab Technical Roundtable on Border Management and Security 2020-12-02 On 1 December, the Executive Director of Frontex, the European Border and Coast Guard Agency, opened the first Euro-Arab Technical Roundtable on Border Management and Security, which brought together 32 countries, among them 18 EU and 14 Arab states, to talk about the many challenges at the borders. The roundtable was organised by Frontex and the General Secretariat of the Arab Interior Ministers' Council. The virtual discussion centred on common challenges such as health at the borders, cross-border crime, including migrant smuggling and trafficking in human beings, and other multi-dimensional threats facing our regional security. “International cooperation is key to our understanding of integrated border management and we firmly believe that we can effectively manage the complexity of guaranteeing security while promoting mobility at our borders only together with our neighbours and partners,” said Frontex Executive Director Leggeri. This virtual meeting is part of larger Frontex efforts to strengthen the cooperation with Arab countries. Last month, Frontex and IOM-MENA organised a webinar on countering trafficking and smuggling of children in the European Union and the Middle East and North Africa region (MENA) on trafficking of children at the border. One of the tools is the training of border guards. Frontex has been active in this field for years in cooperation with specialized UN agencies and NGOs, producing handbooks for border guards on how to detect potential victims and refer for assistance. The Frontex VEGA Handbook: Children at Airports has been translated into Arabic. This event was financed and organised in the framework of the EU4BorderSecurity project, which aims to enhance dialogue and cooperation in different areas of border management and security between countries of the EU and those of the Levant and the North of Africa. "
32732,ERA_NEWS_0083,2018-03-12,EUMedRail project supports railway revitalisation," Minister Youssef Fenianos praises the EUMedRail project to support railway revitalisation. [From left to right: Aleksandr Kuzmenko (OTIF), Peter Mihm (ERA), François Davenne (OTIF), Youssef Fenianos (Ministry of Public Works and Transport), Ziad Nasr (RPTA), Charbel Challita (UNDP)] The first meeting of the EuroMed Transport rail Project (EUMedRail), organised by the European Union Agency for Railways (ERA) along with Intergovernmental Organisation for International Carriage by Rail (OTIF) was hosted by the Ministry of Public Works and Transport with the Railway and Public Transport Authority (RPTA), today, in Beirut, Lebanon. The meeting discussed the EUMedRail Action Plan for Lebanon 2018-2020 that will support decision makers in the revitalisation of the Tripoli-Beirut railway line and the reform of the RPTA. The Minister of Public Works and Transport in Lebanon Youssef Fenianos expressed his satisfaction that the country is taking an active role in the EUMedRail project and benefiting from the international technical support offered. As well as training opportunities the project also offers a network of international experts that can support the implementation of the Tripoli-Beirut railway project. The EUMedRail team also highlighted the institutional capacity building actions and seminars offered to the Ministry and RPTA during the implementation meeting of the EUMedRail project. The EUMedRail delegation formally invited Lebanese participation in the Action Plan conference being held on 23 and 24 April in Ljubljana, Slovenia. The conference will be a forum to present the National Railway Action Plans, the future railway projects, the state of implementation of the Action 12 of the Regional Transport Action Plan and co-operation activities with ERA. BACKGROUND - The EUMedRail project, funded by the Directorate-General for Neighbourhood and Enlargement (DG NEAR) of the European Commission, has a budget of 2 million euros from 2017 – 2020. The project enables technical assistance to be given to the Euro-Mediterranean countries. For more information, please contact: Peter Mihm or Charbel Challita "
2992,EUROPOL_NEWS_0172,2020-11-04,Targeting child trafficking: 388 arrested across Europe,"Europol, Portugal, Spain and the United Kingdom coordinated a Europe-wide joint action day targeting child trafficking. The operation, also supported by Frontex, took place between 5 and 11 October 2020 and involved 12* countries.  A wide range of law enforcement authorities including police, immigration and border control agencies, transport police, social assistance and child protection services and labour inspectorates participated in the joint action. 388 arrests and 249 potential victims The actions led to 388 arrests, 19 additional suspects identified and 40 new investigations initiated. Overall, 249 potential victims of human trafficking were identified, 61 of which were confirmed to be minors and the ages of 107 victims have not yet been determined. The involved national authorities focused on border crossings and main transport hubs to identify potential victims and suspects of human trafficking. Each country adapted the activities according to the forms of child trafficking which were nationally prevalent.  5 380 officers checked: 59 071 people; 1 529 locations; 15 923 vehicles; 39 860 documents. Underreported crime affecting the most vulnerable Human traffickers target the most vulnerable groups and children are among them. Child trafficking remains, however, underreported. Minors are trafficked for sexual and labour exploitation. Criminals abuse children while forcing them to beg or commit crimes such as smuggling of illegal goods and petty crimes.  Within the EU, children are mostly trafficked by their relatives. These criminal organisations, connected through large clan networks, operate in several countries and move the children on a rotational basis. They abuse them in sexual exploitation, forced begging and forced criminality schemes. Trafficked minors from non-EU countries are also often victims of migrant smugglers collaborating with adults who accompany the children while pretending to be their relatives or legal guardians.  *Participating countries: Austria, Belgium, Croatia, Cyprus, Germany, Lithuania, Portugal, Romania, Slovenia, Spain, the Netherlands and the United Kingdom Europol coordinated the action days and facilitated the information exchange between the participating countries. Europol provided analytical and operational support 24/7 and facilitated the real-time exchange of communication between the participating authorities.   In 2010 the European Union set up a four-year Policy Cycle to ensure greater continuity in the fight against serious international and organised crime.In 2017 the Council of the EU decided to continue the EU Policy Cycle for the 2018 - 2021 period. It aims to tackle the most significant threats posed by organised and serious international crime to the EU. This is achieved by improving and strengthening cooperation between the relevant services of EU Member States, institutions and agencies, as well as non-EU countries and organisations, including the private sector where relevant. Trafficking in human beings is one of the priorities for the Policy Cycle.   "
3651,EUROPOL_NEWS_0832,2017-06-20,Worldwide Operation Dragon sees 52 countries teaming up to thwart organised crime,"Following the successful 2014 Archimedes, 2015 Blue Amber and 2016 Ciconia Alba operations, EU Member States, EU bodies1 and third partners2 have once again joined forces with Europol in this year’s Operation Dragon to counter organised crime networks involved in the priority crime areas3. Operation Dragon is the fourth series of joint action days (JADs) covered by the 2014 – 2017 EU Policy Cycle targeting serious international and organised crime. Operation Dragon focuses on key crime hot spots and key criminal infrastructures in the EU and beyond. Hundreds of law enforcement officers working on the ground receive live 24/7 operational support from a coordination centre located at Europol’s headquarters in The Hague. Here, liaison officers from the EU Member States and colleagues from other international partners coordinate the exchange of information and intelligence between national law enforcement authorities. Europol specialists and analysts provide support from the headquarters and also on the spot. Operation Dragon has already had a significant impact on the international criminal landscape. Within the context of the EU policy cycle priority ‘cybercrime – payment card fraud’, law enforcement officers from all over the world detained 153 individuals suspected of flying using airline tickets purchased with stolen, compromised or fake credit card details. Operational actions were carried out in 230 airports across the world. The multi-disciplinary approach of the operation enables law enforcement authorities to link together actions covering several different crime priorities and areas. This enhances the operational impact and ensures cost-effective cooperation between the law enforcement authorities involved. The Standing Committee on Operational Cooperation on Internal Security (COSI) of the Council of the EU has provided strategic guidance for the planning of the JADs and is monitoring their implementation.   ----- 1  European Commission, Eurojust, Frontex.2  Albania, Australia, Brazil, Canada, Colombia, Ecuador, Hong Kong, Iceland, Indonesia, Malaysia, Mexico, New Zealand, Nigeria, Norway, Panama, Philippines, Qatar, Serbia, Singapore, Switzerland, Thailand, the Former Yugoslav Republic of Macedonia, United Arab Emirates, United States, Interpol, CCWP, MAOC.3  Facilitation of Illegal Immigration, Trafficking in Human Beings, Counterfeit goods, Excise and MTIC Fraud, Synthetic Drugs, Cocaine and Heroin, Cybercrime, Illicit Firearms Trafficking, Organised Property Crime.  "
