id	internal_berec_id	date	text_type	title	text	url
BEREC_UNK_0001	8958	2021-10-06	UNK	BEREC proposals for a swift, effective and future-proof regulatory intervention towards digital gatekeepers	BEREC proposals for a swift, effective and future-proof regulatory intervention towards digital gatekeepers 06 October 2021 Tweet After a couple of workshops and a public consultation round, BEREC has adopted and published its final Report on the ex-ante regulation of digital gatekeepers. During their engagement, stakeholders broadly supported most of the BEREC views and recognised the relevance and legitimacy of BEREC taking a stance on the ex-ante regulation of digital gatekeepers. Thanks to feedback from the industry and other stakeholders – including civil society representatives – BEREC improved its draft document. BEREC now further details and reinforces its initial proposals, such as the remedy-tailoring, the set-up of an Advisory Board for Digital Markets Act (DMA), the need and conditions for a regulatory dialogue with different types of stakeholders and BEREC proposal for a dispute resolution mechanism in the context of the DMA.  The BEREC Report highlights the need for an ex-ante asymmetric regulatory intervention towards digital gatekeepers, since it is key to ensure that competition and innovation are encouraged, end-users’ interests protected, and that the digital environment is open and competitive. While supporting a regulatory intervention at the EU level, BEREC believes that national competent independent authorities have existing skills on which the European Commission can rely on in the enforcement of the DMA.  BEREC will present the final document and the outcomes of the public consultation during its public debriefing on 6 October in Brussels. BEREC also invites stakeholders to take the opportunity to meet the BEREC Working Group Co-chairs during the BEREC Stakeholder Forum on 28 October in Brussels.	https://berec.europa.eu/eng/news_and_publications/whats_new/8958-berec-proposals-for-a-swift-effective-and-future-proof-regulatory-intervention-towards-digital-gatekeepers
BEREC_UNK_0002	8965	2021-10-06	UNK	Harmonised definitions for over-the-top services indicators	Harmonised definitions for over-the-top services indicators 06 October 2021 Tweet To help National Regulatory Authorities (NRAs) and stakeholders collect relevant data regarding over-the-top (OTT) services, BEREC has elaborated its harmonised definitions for a limited number of indicators. In defining the metrics, BEREC focused on the voice, video and messaging interpersonal communication services provided over the internet (NI-ICS) and on video streaming services.  During the 48th BEREC plenary meeting, the Board of Regulators adopted the “BEREC Report on harmonised definitions for indicators regarding over-the-top services, relevant to the electronic communications markets”. In the future, the identified indicators are expected to reduce the costs borne by service providers for complying with the data requests of different authorities. The metric definitions included in the Report are seen as a minimum, targeted list to cover the majority of the NRAs’ informational needs and optimize the data collection processes under their remit, to the benefit of the smooth monitoring of markets and to the stakeholders’ convenience. At the same time, NRAs are granted flexibility in ultimately deciding on which metrics to focus more, as well as with respect to the data collection periods. Keeping in mind that the final indicators included in the Report may not cover all the NRAs’ future needs for data, BEREC stresses that NRAs requesting data should at all times justify the necessity of the data, consider the proportionality of the request and attend to any confidentiality-related issues. In drafting this Report, BEREC has considered the views stakeholders expressed during the workshop and through their written contributions to the public consultation.  In the future, BEREC will continue to evaluate the list of common indicators and may add, remove or adjust indicators to ensure a continued harmonisation of the data collected by NRAs and adjust it to their needs. Opportunity to engage with BEREC experts On 6 October 2021, BEREC will hold a public debriefing to present the adopted documents. The BEREC Chair, Michel Van Bellinghen (BIPT, Belgium), and the Co-chairs of the BEREC Working Groups will present BEREC’s recent work and reply to stakeholders’ questions. Please register your interest in attending the event. On 28 October 2021, BEREC will hold its Stakeholder Forum. This time, it envisages an informal atmosphere for meeting the Working Group Co-chairs and sharing ideas and views on the current challenges in telecoms. Places are limited, therefore register your participation on time.	https://berec.europa.eu/eng/news_and_publications/whats_new/8965-harmonised-definitions-for-over-the-top-services-indicators
BEREC_UNK_0003	8943	2021-10-05	UNK	Public consultation on the mobile and fixed backhaul ex-ante regulation	Public consultation on the mobile and fixed backhaul ex-ante regulation 05 October 2021 Tweet Backhaul is an essential element supporting fixed and mobile electronic communication services in the retail market. However, not every service provider – either mobile or fixed – active in the electronic communications market has a complete own backhaul network at its disposal. Such undertakings have to source inputs from other actors to meet their backhaul network requirements. BEREC invites stakeholders to provide their input to the draft report on fixed and mobile backhaul launched for public consultation on 5 October 2021. The overall objective of the document is to present the legal provisions applicable to mobile and fixed backhaul, the views from operators and their and current and future needs for backhaul, as well as the regulation in force and the use of different types of backhaul networks and services in Europe. Results of the BEREC questionnaires Earlier, during the research phase, a total of 35 National Regulatory Authorities (NRAs), 60 operators and two operators’ associations in Europe replied to BEREC questionnaires on this topic. Most NRAs regulating backhaul consider both traditional leased lines and ethernet services as regulated active wholesale products. Apart from those, access to passive infrastructures such as ducts and poles is also imposed by the majority of NRAs handling inputs for backhaul. Both the national regulatory bodies and operators consider backhaul as very important.   The responses provided by the operators on mobile backhaul suggest that there will be a significant shift from radio links to fibre connections driven by the rollout of 5G in the upcoming years. These fibre connections are expected to be mainly self-supplied, but there is also an expected increase in the demand for dark fibre and passive infrastructure from third parties.  BEREC will continue monitoring the evolution of backhaul use and needs, as well as its regulation by NRAs of wholesale inputs for backhaul, with a special focus on backhaul needs and use for 5G deployment and the application of the new recommendation on relevant markets that entered into force in December 2020.  Opportunity to engage in discussion  On 6 October 2021, in Brussels, BEREC will hold a public debriefing on the outcomes of the plenary meetings. Among other topics, the BEREC Market and Economic Analysis Working Group Co-chairs will also present the draft document and reply to stakeholders’ questions. The public consultation on the draft report will run from 5 October until 5 November. The final document is planned to be adopted in the first quarter of 2022.  The stakeholders are also invited to meet and greet the BEREC working group Co-chairs at the BEREC Stakeholder Forum on 28 October in Brussels. Participation at the “Meet&Greet” sessions is upon registration and depends on availability.	https://berec.europa.eu/eng/news_and_publications/whats_new/8943-public-consultation-on-the-mobile-and-fixed-backhaul-ex-ante-regulation
BEREC_UNK_0004	8933	2021-09-30	UNK	New BEREC Chair for 2023 – elected	New BEREC Chair for 2023 – elected 30 September 2021 Tweet Today, on 30 September 2021, the BEREC Board of Regulators elected the BEREC Chair for 2023, Konstantinos Masselos – the president of the Hellenic Telecommunications and Post Commission (EETT, Greece).  Professor Konstantinos Masselos takes the position of the president of EETT since 2018. He has been a part of the BEREC Mini-Board, while serving as a Vice-Chair in 2019. In 2006, professor Masselos joined University of Peloponnese, where he is currently a Professor in Computing Systems Design in the Department of Informatics and Telecommunications. He served as the Rector of the above university during 2012-2017. Before that, from 2005 to 2008, Konstantinos Masselos was the Lecturer in digital systems at the Imperial College London. Also from 2010 to 2016, he served as the Honorary Lecturer in the Department of Electrical and Electronic Engineering, at the Imperial College London. From 2001 to 2004, he was a part of the Intracom Telecom SA team in Greece. The elected BEREC Chair 2023 has been involved in several research and development projects and has consulting experience in industry and public organizations. Since 2005, professor Masselos has been regularly involved as an expert in different European Commission units. He was member of the Scientific Committee of European Cooperation in Science and Technology (COST) organization from 2015 to 2017. Konstantinos Masselos: “This year’s BEREC elections come at what appears to be the end of the Covid pandemic. The importance of quality and accessible-to-all digital services was never before as apparent as it is right now. Together with my fellow European regulators we will work towards contributing to the realization of EU ‘green’ gigabit-society vision and the empowerment of end-users”. BEREC Vice-Chairs and the Mini-Board In 2022, Konstantinos Masselos will serve as a Vice-Chair and the incoming BEREC Chair 2023. The other elected Vice-Chairs are Emmanuel Gabla (ARCEP, France), Klaus Steinmaurer (RTR, Austria) together with Michel Van Bellinghen (BIPT, Belgium) as the outgoing BEREC Chair. They will support Annemarie Sipkes (ACM, The Netherlands) - the BEREC Chair 2022. Together with the representative of participants without voting rights Pål Wien Espen (Nkom, Norway) the BEREC Chair and Vice-Chairs will compose the Mini-Board. Appointment procedure The Board of Regulators appoints its Chair and Vice-Chairs from among its members. The term of office of the Chair and the Vice-Chairs is one year. Before serving her/his term as a Chair for one year, the Chair firstly has to serve one year as a Vice-Chair. For ensuring continuity of BERECs' work, the Chair has to serve as a Vice-Chair for the year following her/his term as the Chair. Every year the Board of Regulators appoints the Chair for the year subsequent to the following year and the Vice-Chairs for the following year.	https://berec.europa.eu/eng/news_and_publications/whats_new/8933-new-berec-chair-for-2023-elected
BEREC_UNK_0005	8924	2021-09-29	UNK	Strengthening regional cooperation: BEREC hosts the Four-lateral Summit	Strengthening regional cooperation: BEREC hosts the Four-lateral Summit 29 September 2021 Tweet On 29 September 2021, in Dubrovnik, Croatia, regulators from various world regions gathered together at the Four-lateral Summit. Representatives of BEREC, EaPeReg, REGULATEL and EMERG agreed that regulators play a crucial role in promoting competition to spur necessary investments by the sector. It also helps achieve coverage in commercially less attractive areas where there is little demand and the costs of rolling out the networks are relatively high.  With challenges arising from the connectivity in the digital world, continual cooperation among regulators is crucial. Citizens and businesses can benefit from the digital economy, if these challenges are addressed at the regulatory level.  “With all eyes on digital, we have a unique opportunity before us to connect the world.  Regulators are at the helm as architects of a digitally-empowered future for all, and we must collaborate across sectors to drive inclusive digital transformation,” emphasized Doreen Bogdan-Martin, the Director of the Telecommunication Development Bureau of the International Telecommunication Union (ITU), in her keynote speech.  The cooperation among the EU Member states is significant to achieve the targets of the digital transformation of the Union. Kamila Kloc, Deputy Director and Head of Unit at DG CNECT, European Commission, introduced the audience to the Digital Decade programme policy, pointing out the declaration of digital principles and national strategic roadmaps to pursue the digital targets at the national level.  The summit delegates also agreed that there is a significant common benefit to be derived from a cooperative dialogue on common issues between regulators from Europe and other regions of the world – namely Latin America, North Africa and the Middle East, and Eastern Europe – as challenges and solutions are often similar.  Summit participants recalled the cooperative principles enshrined at the Memoranda of Understanding already signed between BEREC and its counterparts from EMERG, EaPeReg and REGULATEL, recognising the common interest in renovating the activities included in it. Building upon already existent cooperative liaisons, the participants of the Summit recognised the benefit of promoting permanent initiatives of cooperation.	https://berec.europa.eu/eng/news_and_publications/whats_new/8924-strengthening-regional-cooperation-berec-hosts-the-four-lateral-summit
BEREC_UNK_0006	8913	2021-09-28	UNK	BEREC workshop on the Report to enable comparable national broadband coverage indicators throughout Europe	BEREC workshop on the Report to enable comparable national broadband coverage indicators throughout Europe 28 September 2021 Tweet On 12 October 2021, from 14:00 – 16:00 CET, BEREC will hold a public virtual workshop concerning the “BEREC Report to enable comparable national broadband coverage indicators throughout Europe” to gather and discuss stakeholders’ views regarding the methodology underlying the European Commission Broadband Coverage Reports.  BEREC values the expertise of stakeholders in broadband coverage estimation and considers the fact that they are a primary source of raw coverage data. In particular, BEREC is looking for insights regarding the relevant indicators, their comparability and usefulness, the role of the operators and several methodological issues, including challenges in 5G mapping. After considering the workshop outcome, BEREC will finalize the Report with the aim of its publication by the end of this year. Interested stakeholders are encouraged to register for the workshop by completing the registration form before 6 October 2021. The workshop will be held via audio-visual conference (WebEx). The connection details will be circulated among the successfully registered participants before the workshop. An invitation letter containing the background for the report and the draft agenda can be found here.	https://berec.europa.eu/eng/news_and_publications/whats_new/8913-berec-workshop-on-the-report-to-enable-comparable-national-broadband-coverage-indicators-throughout-europe
BEREC_UNK_0007	8898	2021-09-27	UNK	BEREC opens doors to physical public debriefing on 6 October 2021	BEREC opens doors to physical public debriefing on 6 October 2021 27 September 2021 Tweet After numerous online public debriefings, BEREC is happy to inform that stakeholders are most welcome to join the BEREC Chair and the Working Group Co-chairs at the BEREC Public debriefing on 6 October 2021. The event will take place at the IRG Secretariat, Rue de la Science 14, Brussels, at 14:00 CET with livestreaming. BEREC Chair Michel Van Bellinghen (BIPT, Belgium) will present the outcomes of the BEREC plenary meetings that will take place in Croatia over 29 and 30 September 2021. During the public debriefing, the speakers will pay particular attention to the following topics:  - ex-ante regulation of digital gatekeepers;  - how to handle third-party payment charges on mobile phone bills; - implementation of the Open Internet Regulation and the Recent CJEU rulings regarding net neutrality; - regulatory treatment for fixed and mobile backhaul; - harmonized definitions for indicators regarding over-the-top services relevant to electronic communications markets. During the public debriefing, the incoming BEREC Chair 2022, Annemarie Sipkes (ACM, the Netherlands), will also remotely present the draft BEREC Work Programme 2022. The document will also be presented and discussed during the BEREC Stakeholder Forum on October 28 in Brussels. In light of the pandemic, we request that stakeholders follow the restrictions set by the Belgian government regarding participation at public events. For more information about these restrictions: https://www.info-coronavirus.be/fr/faq/  The number of participants at the physical meeting is limited, and registration for physical attendance will be closed once the maximum number of participants is reached. Registered participants are welcome to arrive before the event to enjoy a light sandwich lunch and coffee, and to attend the reception that is organised after the event. The livestreaming of the public debriefing will be available on the BEREC website with the functionality to ask questions to the speakers remotely.	https://berec.europa.eu/eng/news_and_publications/whats_new/8898-berec-opens-doors-to-physical-public-debriefing-on-6-october-2021
BEREC_UNK_0008	8886	2021-09-22	UNK	Registration is now open: BEREC Stakeholder Forum 	Registration is now open: BEREC Stakeholder Forum 22 September 2021 Tweet After more than a year of having  online events, BEREC is excited to meet in person again! Registration to participate in the BEREC Stakeholder Forum on 28 October 2021 in Brussels is now OPEN. The major BEREC annual event will take place in DoubleTree by Hilton Brussels City hotel and will have a new format. BEREC invites stakeholders to meet and greet the Working Group Co-chairs in the morning. The “Meet & Greet” sessions are planned as informal meetings, during which the registered stakeholders will have a possibility to exchange ideas over a coffee talk about challenges in the sector. The BEREC Working Group Co-chairs will have four 30-minute rounds of meetings with a maximum of 20 participants. After a break, a new group of participants will gather to meet the Co-chairs. The Meet & Greet sessions will start at 09:30 CEST and last until noon. To participate in the Meet & Greet sessions, the stakeholders have to register and identify both the group and time slot in which they would be interested. After lunch, BEREC invites all stakeholders to join the conference part of the BEREC Stakeholder Forum. The incoming BEREC Chair, Annemarie Sipkes (ACM, the Netherlands), will present the draft BEREC Work Programme 2022. Together with the BEREC Chair Michel Van Bellinghen (BIPT, Belgium) and the BEREC Chair for 2023, Ms Sipkes will reply to questions regarding BEREC’s work and its plans for the future. The participants will have the opportunity to follow the lively discussions and later engage during the Q&A sessions. A more detailed conference programme will follow soon. Starting with a handshake and continuing with exchanging of ideas and discussions, BEREC needs to engage and cooperate with stakeholders to further improve the consistency and harmonised application of regulatory rules, thus enhancing its working methodology. The BEREC Stakeholder Forum will conclude with the networking reception. The stakeholders are welcome to participate in the event physically. Participation is subject to prior registration. BEREC also ensures that stakeholders, who cannot travel can follow the livestreaming of the conference. The online platform will provide an opportunity to send questions to speakers. Important: to limit the spread of coronavirus, BEREC is following the restrictions set by the Belgian government regarding the organisation and the attendance of public events. When attending the BEREC Stakeholder Forum, please note that a presentation of a valid vaccination/recovery certificate or negative COVID19 PCR test will be required upon arrival. Check out the teaser	https://berec.europa.eu/eng/news_and_publications/whats_new/8886-registration-is-now-open-berec-stakeholder-forum
BEREC_UNK_0009	8883	2021-09-21	UNK	“The regulatory treatment of backhaul is particularly relevant in 5G deployment, “ says Annemarie Sipkes, the incoming BEREC Chair for 2022 	“The regulatory treatment of backhaul is particularly relevant in 5G deployment, “ says Annemarie Sipkes, the incoming BEREC Chair for 2022 21 September 2021 Tweet The Body of European Regulators for Electronic Communications (BEREC) aims at fostering the independent, consistent and high-quality regulation of digital markets for the benefit of Europe and its citizens. The key policy objective is to promote full connectivity in line with the European regulatory framework. BEREC is also working to incentivize the investments and EU leadership in 5G and fiber across the communications sector. The incoming BEREC Chair 2022, Annemarie Sipkes (ACM, The Netherlands), participated in the “5G guide for local communities” webinar. Together with other experts, she addressed opportunities, safety limits and myths related to the latest generation of mobile technology. Annemarie Sipkes also emphasized that BEREC focuses not only on issues related to the 5G roll-out, such as coverage indicators or electromagnetic fields (EMF) but also on less visible aspects such as backhaul and copper switch-off. The incoming BEREC Chair said that backhaul infrastructure is vital for enabling 5G and facilitating the deployment of very-high-speed networks, especially in non-densely populated areas. BEREC is currently preparing a report to present the legal provisions applicable to mobile and fixed backhaul, the regulation in force and use of different types of backhaul networks and services in Europe, as well as views expressed by operators on their current and future need for backhaul. The public consultation on BEREC findings will be launched on 6 October 2021 during the public debriefing on the outcomes of the BEREC plenary meeting.  The online webinar took place on 21 September 2021 and was organized by the European Telecommunications Network Operators’ Association (ETNO).	https://berec.europa.eu/eng/news_and_publications/whats_new/8883-the-regulatory-treatment-of-backhaul-is-particularly-relevant-in-5g-deployment-says-annemarie-sipkes-the-incoming-berec-chair-for-2022
BEREC_UNK_0010	8866	2021-09-16	UNK	Moving towards a regulatory framework with additional pieces of soft law promoting full connectivity across the EU	"Moving towards a regulatory framework with additional pieces of soft law promoting full connectivity across the EU 16 September 2021 Tweet Expressing his support for the 2030 Connectivity targets set by the European Commission, BEREC Chair Michel Van Bellinghen participated in the panel discussion ""EU policies and regulation; on the road to the Digital Decade"" organised by the FTTH Council Europe.  He expressed the European appetite to ensure high-quality connectivity networks in all regions across the EU. The BEREC Chair also noted that with the adoption of the Electronic Communications Code, the role of national and international regulators has changed. Nowadays regulators need to factor in more societal perspectives, such as bridging the digital divide and making sure connectivity is promoted. Michel Van Bellinghen added that we are moving towards a regulatory framework with additional pieces of soft law, such as the Commission’s Recommendations, the Connectivity Toolbox, BEREC Guidelines and an overall focus on sustainability. In the backdrop of the recently announced Digital compass outlining targets for Europe’s digital transformation by 2030 and the ambitions for rapid build-out of fibre and 5G networks, the BEREC Chair emphasised that the fast rollout of fibre and 5G networks is a prerequisite for the long-term competitiveness and sustainability of the EU. He said: “BEREC prioritises work that improves the general conditions for the expansion and take-up of secure, competitive and reliable high-capacity networks across Europe while ensuring a smooth transition from legacy infrastructures.” Michel Van Bellinghen invited stakeholders to participate in the public consultation on the BEREC Work Programme 2022, which will be launched on 6 October 2021. The BEREC Chair said that promoting full connectivity will be the centre of gravity of the BEREC work next year. He also informed the audience that BEREC would issue a report about the regulatory treatment for fixed and mobile backhaul – a key for enabling 5G and facilitating the deployment of high-speed networks, especially in non-densely populated areas. BEREC is currently preparing a snapshot on how backhaul is addressed in market analysis by National Regulatory Authorities, i.e., whether it is regulated or not, under which wholesale market and which remedies apply. The document will also present BEREC’s conclusions with a particular focus on future needs and regulation of backhaul. The virtual annual FTTH conference took place on 16 September 2021. It brought together technical and regulatory experts, senior government and industry representatives, policymakers, regulators and investors to discuss all aspects of FTTH, 5G and other fibre-related and enabling technologies and services and their benefit to society."	https://berec.europa.eu/eng/news_and_publications/whats_new/8866-moving-towards-a-regulatory-framework-with-additional-pieces-of-soft-law-promoting-full-connectivity-across-the-eu
