id	date	text_type	title	text	url
CDT_NEWS_0001	2021-03-20	NEWS	The Centre supports the ‘Relais pour la Vie 2021’	 During 24 hours between Saturday and Sunday, participants will walk, run or cycle for thirty minutes or more. The 24-hour relay is usually held on an indoor track, but this year the team effort must involve people running on their own. At the Centre, we will set up a videoconference session during the relay so that team members can connect during their slots and show their involvement. At the beginning and end of each slot, the team members will enter the virtual room to hand over the digital baton. Other colleagues, relatives and friends will be able to connect any time to meet and chat in the virtual room. The relaying may be virtual, but the running, walking and cycling as well as everyone’s support will be very real! The event, symbolising the testing path cancer patients follow in their fight against cancer, has the triple objective of providing moral support for patients, collecting funds and raising public awareness about cancer. The opening and closing ceremonies will take place online at 16:00 and will be accessible through the ‘Relais pour la vie’ website, which also provides plenty of interesting ideas to organise digital fundraising events to support the Foundation. 	https://cdt.europa.eu/en/news/centre-supports-relais-pour-la-vie-2021
CDT_NEWS_0002	2021-02-24	NEWS	The Centre’s key achievements in 2020	 Between its establishment in 1994 and the end of 2020, the Centre translated almost 13.4 million pages, both into and from the 24 official EU languages and several other non‑EU languages, covering over 800 language pairs in total. In terms of the translation volume in 2020, almost 335 000 pages were for documents and over 300 000 pages were EU trade marks for the European Union Intellectual Property Office (EUIPO) based in Alicante. In 2020, for the first time ever, the volume of documents exceeded the volume of trade marks. In addition to the translation, modification, editing and revision of documents, the Centre provided various other language services. Some 1 448 days were spent on terminology work and 49 277 term list entries were translated. The need for video subtitling was reconfirmed, with 11 clients ordering a total of 1 601 minutes of this service. For all  language services, the Centre is committed to on-time delivery, and in 2020 it met its deadlines in 99.7% of cases, with only a 3% renegotiation rate. 2020 was the second and final year of implementation of the Centre’s Transformation Plan, covering four areas (translation technology, human resources, quality and client orientation, and institutional aspects). This aimed to introduce structural changes and put in place an optimised business model based on state-of-the-art translation technologies with added value services for clients. As part of this, a separate programme with the EUIPO covered a number of specific IT projects of strategic importance for both organisations. The article ‘Final sprint towards our transformation’ (December 2020) provides an overview of the implementation of this ambitious parallel programme. On behalf of its interinstitutional partners, the Centre continued to manage the EU database IATE ('InterActive Terminology for Europe') which is the terminology reference not only for language professionals, but also for national experts, policy advisers, public administrations, academics and private sector companies. The technical work in 2020 focused on continuous user support and the implementation of numerous change requests. In total, nine IATE releases were completed in 2020. The Centre signed a cooperation agreement with the European Public Prosecutor’s Office (EPPO) and in 2021 will start offering a specific on-site machine translation solution built in collaboration with the European Commission. This brought the Centre’s client portfolio up to 69 clients by the end of 2020. Throughout 2020, the Centre provided exceptional language support in relation to the COVID-19 pandemic. It proactively offered its services to the European Centre for Disease Prevention and Control (ECDC) to facilitate smooth communication between the agency and its experts and the public at large in a wide range of languages. Likewise, the Centre supported the European Medicines Agency (EMA) by translating important information on Covid-19 into all EU languages. In addition, on behalf of the IATE partners, the Centre ran an external communication campaign to raise public awareness of the IATE collections of terms related to COVID-19 and SARS-CoV-2 swiftly created by terminologists from the various EU language services in 2020. 	https://cdt.europa.eu/en/news/centres-key-achievements-2020
CDT_NEWS_0003	2020-12-18	NEWS	Our best wishes for 2021!	 The Centre has proved to be not only structurally robust but also agile over the recent months of disruptions caused by Covid-19. When the Centre sent the vast majority of its staff to work from home full time in March, our activities were not interrupted in any way and we were able to continue to serve our clients, whilst bringing the transformation plan to a successful conclusion. Thanks to this plan, we have been able to launch new services, optimise our workflows and create new platforms for internal and external collaboration. We would like to extend our heartfelt thanks to our stakeholders for their cooperation throughout this very atypical year. We wish each and every one of you a relaxing festive period and, above all, a healthy and prosperous 2021. 	https://cdt.europa.eu/en/news/our-best-wishes-2021
CDT_NEWS_0004	2021-03-18	NEWS	Vacancy notice for the post of Director of the Translation Centre	 The deadline for the submission of applications is 25 March 2021, 12.00 noon Brussels time. Link to the Official Journal C065A of 25/02/2021 Link to EPSO website: https://epso.europa.eu/job-opportunities 	https://cdt.europa.eu/en/news/vacancy-notice-post-director-translation-centre
CDT_NEWS_0005	2020-12-17	NEWS	New services as from January 2021: Automatic Transcription, Automatic Translation, Paste ‘n’ Go	 Combining our know-how with the use of the most advanced and accessible technologies has allowed us to extend the service offer for our clients. From the start of 2021, they will thus be able to benefit from the following three new services: Automatic Transcription, Automatic Translation and Paste ‘n’ Go, the first two resulting from the fruitful cooperation with the European Union Intellectual Property Office (EUIPO): Automatic transcription complements the transcription service already available since June this year and builds entirely on the reliable speech-to-text technology integrated into our production workflow. This service may be advantageous for clients who need the written text of a recording quickly, but not necessarily with 100% accuracy. Automatic translation represents the first step on our way towards modularising our flagship product ‘Translation’. This service relies on the Centre’s custom machine translation engines in combination with our translation memories. The fully automated processing of incoming requests will result in sufficiently comprehensible translations in a very short time and at a highly attractive price. The Paste ‘n’ Go service has been designed to speed up the process of creating requests and retrieving translations of short, unformatted texts through a dedicated web form on our Client Portal. It will enable clients to reduce costs and turnaround times while obtaining a high-quality translation thanks to a partially automated workflow and the involvement of the Centre’s expert linguists. The Centre’s diversified service offer responds to our clients’ evolving business language needs and is a proof of our commitment to finding innovative solutions for their future challenges.   Link to Transcription leaflet Link to Modularising translation leaflet  	https://cdt.europa.eu/en/news/new-services-january-2021-automatic-transcription-automatic-translation-paste-n-go
CDT_NEWS_0006	2021-03-08	NEWS	Empowering gender equality through words	 Can terminology be a source of empowerment? How can we describe situations or phenomena without the right words? You could argue that if something cannot be named, it might as well not exist. Terminological resources such as the IATE terminology database and EIGE’s Gender Equality Glossary and Thesaurus can help individuals and groups find a voice in multiple languages. One of the great features of IATE, which is managed by the Centre on behalf of the interinstitutional IATE partners, is that you can use filters to retrieve terms under specific domains (see the IATE User’s Handbook). People interested in gender equality can use specific keywords to access all the related terms available in IATE, in up to 24 languages. We recommend trying these keywords: rights and freedoms [LAW]; equal treatment [LAW > rights and freedoms > social rights]; gender equality [LAW > rights and freedoms > social rights]; working conditions [EMPLOYMENT AND WORKING CONDITIONS > organisation of work and working conditions]. Around 300 of these IATE entries were prepared by the Centre as part of its collaboration with the Fundamental Rights Agency (FRA) located in Austria and the European Institute for Gender Equality (EIGE) based in Lithuania, which have been clients of ours for many years. For EIGE, we contributed to the creation of the Gender Equality: Glossary of terms and concepts, published on EIGE’s website in 2018. This glossary covers 410 concepts and was developed for the purpose of fostering a common understanding of gender equality terminology across the EU and promoting gender-fair and inclusive language. The glossary’s concepts were selected from key regulatory and policy documents of the EU institutions, the Council of Europe and the United Nations, as well as from studies, reports and scientific articles. The Centre provided the equivalent terms in all the EU languages. There are several gender equality glossaries available online but many are only monolingual tools. What makes the IATE and EIGE resources exceptional is their multilingual facet, providing broader access to gender-fair and inclusive language for more linguistic communities. This is an outstanding achievement considering the scarcity of such terms in certain languages. Let’s continue in our efforts to create synergies between gender equality, multilingualism and terminology and embrace the new opportunities these might offer. 	https://cdt.europa.eu/en/news/empowering-gender-equality-through-words
CDT_NEWS_0007	2020-12-17	NEWS	Final sprint towards our transformation	 The Transformation Plan 2019-2020 covers four areas (translation technology; human resources; quality and client orientation; and institutional aspects) as shown in the picture above. The main aims of the plan were to introduce structural changes, implement state-of-the-art translation technologies, including machine translation, and create new services for clients. The transformation process included a separate programme agreed with the European Union Intellectual Property Office (EUIPO), covering a number of specific IT projects of strategic importance for both organisations. What are the main achievements? As a result of our intense cooperation with the EUIPO, we have: developed new services for our clients, such as transcription based on automatic speech recognition, which was launched in June this year, and we have optimised some of our existing services, such as subtitling, language consultancy and translation. In January 2021, we will start offering new services in the areas of translation and transcription; launched our first mobile application eCdT4me, available both on Google Play Store and Apple App Store, which allows our clients as well as our freelance and in-house translators to stay connected and interact with us on language service requests; enhanced our workflows through the integration of relevant tools, thus yielding efficiency and quality gains for us and our clients: Euramis, eTranslation, the Centre’s own custom machine translation engines in the fields of public health and intellectual property, and IATE are now fully embedded in the Centre’s translation process and workflow management activities. Moreover, a new user-friendly translation feedback interface, based on the Corrected Version Request (CVR) and fully connected to the Centre’s Client Portal and workflow management system eCdT, has replaced the former Client Satisfaction Form (CSF) process; come up with a new annual survey approach to measure client satisfaction, which will be put in place from Q1/2021. This will allow the Centre to better monitor the activity status and satisfaction level for each client and enhance client management. In addition, the Centre invested in other enhancements aimed at facilitating our clients’ work, such as the budgetary forecast functionality now available on the Client Portal, or the web translation module for Drupal 7 and Drupal 8 based websites. We have also established the Workflow Management Section as a single operational contact point for our clients. The Section is now managing all workflow steps, from the receipt of the request to the ‘after-sales’ service, as well as the Client Portal. Moreover, the actions included in our transformation plan have enabled us to gain efficiency in the area of human resource management and to invest in specific training for our staff (e.g. post-editing of machine translation; transcription; optimised subtitling; management of translation memories). At the start of 2021, as part of the implementation of Activity Based Management (ABM), Activity Based Budgeting (ABB) and Activity Based Costing (ABC) at the Centre, we will be using a new system for activity and resource allocation. Finally, over the last two years we have fostered interinstitutional cooperation. It is well worth mentioning here that the progress achieved by the Centre in the field of machine translation and its close cooperation with the Commission’s DG Translation have recently made it possible for us to sign an agreement with the European Public Prosecutor’s Office (EPPO) on a service offer tailored to the Office’s needs. It should also be noted that our eCdT workflow management system has obtained a lot of interest from the EU institutions’ translation services. Likewise, we are regularly sharing our experience in the areas of automatic speech recognition, transcription and subtitling with our institutional partners. Most importantly, however, our transformation has helped us to consolidate the Centre as a modern EU language service provider and has opened up new business opportunities. More than ever, we are happy to see our clients turn to us for our expert advice in response to their specific multilingual needs, be it for website localisation, a review of their multilingual strategy, management of workflows and requests involving Member States, non-EU translations or transcription work. The transformation plan has enabled us to move from a one-size-fits-all language service provider to a service provider with a richer, more diversified offer that responds to clients’ specific needs.       	https://cdt.europa.eu/en/news/final-sprint-towards-our-transformation
CDT_NEWS_0008	2020-06-15	NEWS	EU terminologists against COVID podcast	 The interview is a very interesting conversation, covering many concrete examples, on how COVID-19 terminology has been developed in IATE, the interinstitutional terminology database of the European Union. Paula Zorrilla-Agut (IATE Tool Manager at CdT) gave a brief overview of the IATE system, its target audience, and how its content and functionalities have evolved. She also gave some details on the management of collections and on the list of COVID-19 terminology that is shared with public users on some EU platforms. Ninetta Kapetanaki (Terminology Coordinator at the Commission’s DGT) and Ingrid Swinnen (Terminology Coordinator at the Council of the EU) explained in detail how the various institutions cooperated with one another on this project, and also discussed their institution-specific needs regarding COVID-19 terminology and how IATE has been enriched with concepts and language equivalents in this domain. They presented different examples of concepts that were not being used consistently in the media and that required very thorough research and documentation in the respective IATE entries, e.g. ‘coronavirus’ versus ‘COVID-19’, ‘outbreak’ versus ‘pandemic’, ‘physical distancing’ versus ‘social distancing’, ‘cross-border worker’ versus ‘frontier worker’. Don’t miss the details, on https://webcast.ec.europa.eu/eu-terminologists-against-covid (webcast) or https://www.podomatic.com/podcasts/dgtradiolingvistika/episodes/2020-05-25T09_13_31-07_00 (podcast)!   More about IATE IATE was made available to the general public in 2007 and receives around 200 000 queries per day from nearly 200 countries. The Translation Centre manages IATE on behalf of the IATE partners, i.e. the European Parliament, the Council, the European Commission, the Court of Justice, the European Central Bank, the European Court of Auditors, the European Economic and Social Committee, the European Committee of the Regions and the European Investment Bank.   More about DGT Academy – Radio Lingvistika Run by the European Commission’s Directorate-General for Translation, Radio Lingvistika holds a series of educational radio conversations on multilingualism and linguistic issues. It serves as a tool for translator training and knowledge-sharing. Radio Lingvistika is webstreamed every week. The programmes are also available as podcasts. https://dgtradiolingvistika.podomatic.com/     	https://cdt.europa.eu/en/news/eu-terminologists-against-covid-podcast
CDT_NEWS_0009	2020-08-28	NEWS	A brand-new after-sales service system for our clients	 As the shared language service provider for the EU agencies and other EU bodies and institutions, the Translation Centre has always paid particular attention to ensuring the high quality of its products and meeting its stakeholders’ requirements. With this aim in mind, since 2001, the Centre has had a free after-sales service in place. This was originally based on the Client Satisfaction Form (CSF) which allowed clients to express their satisfaction and submit feedback on the language services provided by the Centre, including requests for fully revised documents. Following on from that, in 2011, the Centre launched its Client Portal, specifically developed to facilitate operational activities with clients. This is when the CSF was converted into an online form which could be accessed securely by clients’ in-house and national competent authority experts. Since then, an impressive total of 21792 CSFs have been successfully processed by the Centre in close cooperation with its clients. With the introduction of its workflow management system, eCdT, in 2016, which integrates the Client Portal, the Centre began looking at its processes for measuring client satisfaction and handling client feedback. The objective was to optimise the current system taking account of the latest trends in the field of feedback and evaluation services, technological advances and clients’ ideas and observations collected throughout the years. After a detailed review, the Centre decided to embark on a project with the European Union Intellectual Property Office (EUIPO) aimed at developing a new solution which would separate measuring client satisfaction from handling client feedback. As a result of this project, from 28 August 2020 onwards, an enhanced after-sales system, based on the Corrected Version Request (CVR) and fully integrated in eCdT, will become available to both clients and the Centre’s staff, covering the needs of all actors involved in the workflow. The main purpose of the CVR is for clients to ask the Centre to review the feedback submitted by their in-house or national subject matter experts on linguistic output delivered by the Centre, and to provide them with an updated version. Measuring client satisfaction will henceforth primarily take place through regular surveys linked to clients’ operational data to help them assess the service quality offered by the Centre. The new CVR fully embedded in the production workflow and the regular client satisfaction surveys will remain cornerstones of the Centre’s quality assurance system, which aims to provide sustained and reliable high quality over time in line with our clients’ needs and expectations. 	https://cdt.europa.eu/en/news/brand-new-after-sales-service-system-our-clients
CDT_NEWS_0010	2020-05-20	NEWS	Our staff stand together against COVID-19	 Since we have 24 language teams at the Translation Centre – and staff who love languages in general – we launched an invitation via our intranet for everyone to create slogans, in their mother tongues, relating to the basic protective measures against the new coronavirus as set out by the World Health Organization. Our staff accepted the challenge and we received proposals in most EU languages. The slogans have been brought together in four thematic posters which promote protective physical distancing and hygiene measures. As you will see, some of them are pretty catchy and may resonate with us for some time. strongertogether-distance.png   Download in PDF format     strongertogether-love.png   Download in PDF format     strongertogether-mask-lu.png   Download in PDF format     strongertogether-hands.png   Download in PDF format     If all goes well, some of our staff will gradually go back to our offices in Luxembourg City from the end of May. As part of the precautionary measures, we will display the multilingual posters in our hallways to invite everyone to protect themselves against the coronavirus. We seize the opportunity to thank our staff for their commitment and creativity, which are needed more than ever in difficult times like these. We have also published the multilingual posters on our social media channels, in the hope that they will reach a large audience. We invite you to share them as well. Every little bit helps! Facebook LinkedIn Twitter   	https://cdt.europa.eu/en/news/our-staff-stand-together-against-covid-19
