id	date	text_type	title	text	url
CEDEFOP_NEWS_0001	2020-07-13	NEWS	Apprenticeships for adults bring good jobs for people, skills for businesses	 Apprenticeships for adults are one of the policy solutions to the need for supporting adults willing to train, while broadening the skills base of the working population across Europe. According to Cedefop estimates, there are around 128 million adults with potential for upskilling or reskilling in the European Union. At the same time, in countries with long apprenticeship tradition, such as Germany or Austria, the number of companies providing apprenticeships and of young people looking for them has been falling. In response, EU Member States have decided to open apprenticeships to adults by removing age limits and by making them more flexible. Unlike young people taking up apprenticeships, adults have life responsibilities (such as a family) which are not always compatible with typical apprenticeship provision (such as schooling hours). These same responsibilities, however, can make them highly motivated and reliable apprentices. Many adults also possess skills and work experience. To take this into account, countries have increasingly been offering skills assessments, shortened apprenticeships or even the possibility to sit directly for an apprenticeship exam. Whatever the context, guidance is crucial: adults need to be well prepared to take up an apprenticeship. Read more in our latest briefing note. Downloads Press releaseEN24.85 KBDE25.63 KBEL78.63 KBES24.79 KBFR132.57 KBIT24.76 KBPL69.92 KBPT46.02 KB 	https://www.cedefop.europa.eu/en/news-and-press/press-and-media/press-releases/apprenticeships-adults-bring-good-jobs-people-skills-businesses
CEDEFOP_NEWS_0002	2020-07-01	NEWS	Planning the next steps for vocational education and training in Europe	 The post-2020 European policy framework on vocational education and training (VET) was discussed at the high-level joint Cedefop/ETF virtual conference ‘Enhancing European cooperation in VET: looking back – planning ahead’, on 30 June and 1 July. Over 190 experts, stakeholders, European Commission, government and social partner representatives joined forces to debate the role and future of VET at a time of unprecedented challenge due to the coronavirus pandemic. Among the speakers were European Commission Vice President Margaritis Schinas, European Commissioner for Jobs and Social Rights Nicolas Schmit, the Croatian Minister for Science and Education Βlaženka Divjak, the German Federal Minister for Education and Research Anja Karliczek, and the Greek Minister for Education and Religious Affairs Niki Kerameus. Starting with the results of the two EU agencies’ monitoring of the 2015-20 cycle of cooperation on VET – the Riga process – discussions focused on how the lessons learned can be applied to meet the challenges of, and make the most of the opportunities for, VET in the next decade. The debate was supported by a joint Cedefop/ETF discussion paper prepared to inform the next steps in VET policy-making at EU level. The conference highlighted that current economic and societal changes – digitalisation, green deal, demographic shifts, economic uncertainty – place VET in the foreground as a flexible means of preparing people for a changing world of work. Continuing VET (CVET) is critical for upskilling and reskilling EU citizens and creating a dynamic workforce, ready to respond to the economic and societal challenges ahead, and allow a smooth transition to a digital and greener economy. Cedefop Executive Director Jürgen Siebel said: ‘While further developing initial VET should remain an essential aim, European policy needs to strengthen CVET to ensure that the new job opportunities created by the transformations of the economy will outstrip job displacement. […] Policy efforts and cooperation should continue toward a “European VET area”, adopting a forward-looking perspective and ensuring attractive, inclusive and relevant initial VET systems for both learners and companies.’ ETF Director Cesare Onestini said: ‘Our work with countries in the neighbourhood of the EU shows that they share the same aspirations as EU Members to put human capital development at the core of their growth and prosperity agendas. As a reaction to the pandemic crisis we see some promising responses but also challenging trends, and the need to focus further on promoting training for excellence and inclusion: a key leverage towards economic development.’ In his address at the conference, Commissioner for Jobs and Social Rights Nicolas Schmit announced the European Commission’s new proposal for a Council recommendation on vocational education and training, including a package of initiatives to support youth employment and skills policies. He said that this recommendation ‘will go beyond supporting young people; it is also about encouraging adults in employment for 15 or 20 years to keep learning and change careers without necessarily following long degrees.’ He also complimented Cedefop and ETF on the quality of their work, which he described as ‘a real goldmine to tap into’. In the closing session, European Commission Vice President Margaritis Schinas said that the Commission’s new package of initiatives is novel, ambitious, measurable and inclusive, adding: ‘We all agree that this is a moment we can proclaim that Europe badly needs a skills revolution. Cedefop and ETF's contribution to the initiatives will be crucial. People must be better informed of the skills that will be trending tomorrow and be geared towards targeted training. I hope the two agencies will keep helping us to put VET higher on the agenda and bring about the skills revolution.’ Notes to editors Read the findings of the monitoring exercise of the Riga process in the joint Cedefop/ETF publication: Enhancing European cooperation in VET: outcomes of the Riga cycle. Progress in common priorities for 2015-20. Final report. Read the joint Cedefop/ETF discussion paper: The importance of being vocational. Challenges and opportunities for VET in the next decade. Check out the accompanying video. Please contact the relevant press office (see below) for interview requests with Cedefop Executive Director Jürgen Siebel and ETF Director Cesare Onestini. Cedefop contact Press Officer: Rosy Voudouri Tel: +30 2310 490012, email: rosy.voudouri@cedefop.europa.eu Head of Department for Communication: Gerd Oskar Bausewein Tel: +30 2310 490288, email: gerd-oskar.bausewein@cedefop.europa.eu ETF contact Press Officer: Daria Santucci Tel: +39 366 9639638, email: daria.santucci@etf.europa.eu Downloads Press releaseEN255.34 KB 	https://www.cedefop.europa.eu/en/news-and-press/press-and-media/press-releases/planning-next-steps-vocational-education-and-training-europe
CEDEFOP_NEWS_0004	2020-05-18	NEWS	‘Skillset and match’ (Cedefop’s magazine promoting learning for work) May issue is out!	 The May 2020 issue of Skillset and match, Cedefop’s magazine promoting learning for work, is now available to read and download. Issue highlights: In an exclusive interview, European Commissioner for Jobs and Social Rights Nicolas Schmit calls for a reskilling revolution and states that the Commission’s skills agenda has become an even stronger priority due to the social and economic effects of the coronavirus pandemic; Cedefop Executive Director Jürgen Siebel argues that Europe should be ready to respond when it gets on top of the current health crisis, so no-one suffers long-term effects; Feature: The rise of online platform work and how it impacts skills; Occupation in focus: Accounting clerks; Skills anticipation in Estonia: now and for the future; A Greek-German cooperation in emergency services training. You can also browse through the latest Cedefop publications and upcoming events. Download the electronic version. Have a look at the magazine’s previous issues. Downloads Press releaseEN209.31 KB 	https://www.cedefop.europa.eu/en/news-and-press/press-and-media/press-releases/skillset-and-match-cedefops-magazine-promoting-learning-work-may-issue-out-1
CEDEFOP_NEWS_0005	2020-03-11	NEWS	Towards better skills systems – Cedefop’s 2020 European skills index release	 Cedefop has just released the 2020 European skills index (ESI), which showcases the skills systems’ improvements made since its 2018 edition,  including areas that merit further attention in each country. Cedefop Executive Director Jürgen Siebel notes: ‘The European skills index is a tool designed to help the implementation of the European pillar of social rights. For an efficient skills system, it is important not only to develop skills appropriately, but also to ensure a good transition from education to work and appropriate matching of the skills acquired to those needed in the workplace.’ The new release includes 31 countries: EU-27, the UK, Iceland, Norway and Switzerland. Cedefop expert Ilias Livanos points out that ‘the skills system is a cornerstone to the development and growth of each country, as it is a means towards individuals’ development and wellbeing.’ Cedefop created the ESI to help countries observe over time where they stand with respect to their skills systems, how they are doing in comparison to each other, what the areas with room for improvement are, and where to look for best practices. Czechia scores highest in the 2020 European skills index, followed by Finland, Slovenia, Luxembourg and Estonia in the top five. Italy is the lowest scoring country. Czechia scores a total of 77/100, which means that, even if it has the best skills system in Europe, there is still a long way to go to reach perfection. Czechia ranks only 10th and 13th in skills development and activation respectively, but scores first in skills matching. This example highlights the importance of skills matching to achieve a well-functioning system. Sweden, ranking third in 2018, has now gone down to sixth place, due to poorer performance in skills matching. In general, there seems to be an improvement of the skills system in the EU over time. In 2020 half of the countries achieved a total score above 63/100, while in 2018 this number was 1 in 4 countries. Most of the southern Europe and Balkan countries, with the prominent exception of Slovenia, should increase their efforts further, as they remain low in the ranking. Cedefop’s ReferNet network will provide further assistance in 2020 in monitoring progress and highlighting areas in need of improvement,. Notes to editors The ESI is built on three pillars: skills development, skills activation and skills matching. These pillars are divided into six sub-pillars and into 15 measurable indicators that are closely related to policy monitoring and questions. The overall skills system performance is summarised by the ESI score by country. The ESI takes values between 0 and 100, where 100 stands for maximum performance. An independent statistical audit by the Joint Research Centre before new results are released ensures its methodological soundness. More information about the ESI in Cedefop’s briefing note, website, flyer, publication and the Skills Panorama website. Downloads Press releaseEN108.86 KB 	https://www.cedefop.europa.eu/en/news-and-press/press-and-media/press-releases/towards-better-skills-systems-cedefops-2020-european-skills-index-release
CEDEFOP_NEWS_0006	2020-01-20	NEWS	‘Skillset and match’ (Cedefop’s magazine promoting learning for work) January issue is out!	 The January 2020 issue of Skillset and match, Cedefop’s magazine promoting learning for work, is now available to read and download.   Issue highlights: Germany’s First Lady Elke Büdenbender talks about equal participation for a more equitable society and how women can break through the glass ceiling in the STEM fields; Improving skills is an investment in people, says Director-General of the European Commission’s DG Employment Joost Korte; Italian football legend Demetrio Albertini puts his skills in the service of vocational education and training as ambassador of the European vocational skills week; We report from a leading vocational college in Helsinki on Finland’s achievements in the field; Article on key competences: approaches and challenges; Occupation in focus: Machine and plant operators; Revamping vocational education and training in Croatia; The next steps for apprenticeship. You can also browse through the latest Cedefop publications and upcoming events. Download the electronic version. Have a look at the magazine’s previous issues. Downloads Press releaseEN231.75 KB 	https://www.cedefop.europa.eu/en/news-and-press/press-and-media/press-releases/skillset-and-match-cedefops-magazine-promoting-learning-work-january-issue-out-0
CEDEFOP_NEWS_0007	2019-11-13	NEWS	Not just new jobs – digital innovation supports careers	 It is widely accepted that digital innovation is changing work environments and occupational profiles, impacting on people’s learning and work. But how does it affect the way people can manage their careers, train and change jobs? Thanks to innovative tools, greater data availability and artificial intelligence, new approaches to career development support and self-directed learning are transforming lifelong learning. Online job portals offer information on occupations and learning opportunities combined with personal skills and attitudes assessment as well as personal portfolios. Many include matching engines, linking personal traits and skills to advertised vacancies and allowing people to draft their CVs and apply for jobs. Other portals boast new features such as online chats which have become particularly popular with young people. Even gaming has entered the world of online career support, helping people to better identify their existing skills and possible gaps. Cedefop has been looking into European countries’ most recent practices in this field and has analysed the promises and challenges they hold. Read more in our latest briefing note. Downloads Press releaseEN230.93 KBDE216.73 KBEL286.58 KBES216.7 KBFI234.85 KBFR216.91 KBIT216.6 KBPL279.6 KBPT237.66 KB 	https://www.cedefop.europa.eu/en/news-and-press/press-and-media/press-releases/not-just-new-jobs-digital-innovation-supports-careers
CEDEFOP_NEWS_0009	2019-10-31	NEWS	Vocational education and training in Cyprus: tell me more about it	 People in Cyprus are positive about vocational education and training (VET), but most are not attracted to it as a learning option. According to Cedefop’s survey about EU citizens’ opinions on VET for those aged 16-18, 67% of Cyprus respondents believe that VET has a positive image. Some 88% believe that it strengthens the economy and 81% that it helps reduce unemployment. VET students in Cyprus are also, generally, more satisfied than participants in general education. Some 78% of upper-secondary VET participants said they were totally satisfied overall with the quality of teaching they received, the general and work-related skills they acquired and the equipment available; this compares with only 44% of general education participants (see Figure). Source: Cedefop’s VET opinion survey. Further, 94% of Cyprus respondents agree that VET students acquire skills needed by employers. VET in Cyprus is not seen as a dead end; 71% of respondents, well above the EU average of 54%, agree that it is easy to continue into higher education, including university, after upper secondary VET. Despite these positive views, participation in upper secondary VET in Cyprus is low. According to Eurostat, only around 16% of upper secondary students follow VET; the EU figure is around 47%. In Cyprus, 83% of Cedefop’s survey respondents agree that general education has a more positive image than VET. Some 79% think that young people with low grades are directed towards VET; 63% believe that VET qualifications are easier to obtain. VET is linked with manual work by 65% of respondents but, despite this connection, 62% believe that it always or often takes place in higher education such as university. The survey findings imply that, in Cyprus, VET at upper secondary level, although seen as being of high quality, suffers from a negative bias compared to general education. The survey suggests that part of this bias may be due to misunderstandings about VET as not enough people in Cyprus know about it. While 7 in 10 European citizens had heard about and know what VET is before the survey interview, the figure in Cyprus was less than half (46%). The general opinion in Cyprus is that VET supports the economy, provides skills in demand and helps young people into work. In a changing labour market, upper secondary VET may provide a suitable path to a job for many more 16-18 year olds. More and better information about VET for young people thinking about their education may encourage more of them to choose it. Notes More in Cedefop opinion survey on vocational education and training in Europe: Cyprus (in English only) Cedefop’s opinion survey, published in 2017, provides new insights into what Europeans think of vocational education and training (VET), its ability to give people the right skills and to help VET graduates to find a job. The survey aims to inform policies to make VET a more attractive and effective learning option. It was conducted in June 2016 and examined EU citizens’ awareness and opinions on VET’s attractiveness and effectiveness, and personal experiences of VET at upper secondary level (typically age 16 to 18). The survey comprised more than 35 000 interviews of a representative sample of Europeans across all EU Member States. Watch a new Cedefop video on Finland’s VET system published on the occasion of the current Finnish EU Presidency. 	https://www.cedefop.europa.eu/en/news-and-press/press-and-media/press-releases/vocational-education-and-training-cyprus-tell-me-more-about-it
CEDEFOP_NEWS_0010	2019-10-14	NEWS	VET in Finland: making a good system better	 Vocational education and training (VET) in Finland has an excellent reputation. Popularity of VET as a learning option has increased steadily since the early 2000s; currently, more than 40% of the relevant age group applies for VET studies immediately after basic education. However, building on earlier reforms, Finland plans more changes to its VET system. Over 8 in 10 Finns (84%) said that VET has a positive image, according to an opinion survey carried out by Cedefop to gain insights into the views EU citizens have about VET at upper secondary level. Source: Cedefop’s VET opinion survey Finnish VET matches well with the needs of work: 96% of survey respondents agree that people in VET learn skills that are needed by employers, compared to the EU average of 86%. Students also benefit from studies that take into account their individual needs; 84% of Finnish VET students are very satisfied with the different aspects of their studies compared to 72% in the EU as a whole. Finland offers many opportunities to continue studies after initial VET. The survey reports that 64% of Finns agree it is easy to continue into higher education, compared to 54% in the EU overall. Finnish VET students also have more opportunities to study abroad. Every year, more than 13% of new Finnish vocational students go abroad for two to three weeks of on-the-job learning. Campaigns and skill competitions organised by the government and social partners, such as the annual SkillsFinland, have improved VET’s image across various sectors including metalwork and machinery, and natural and environmental protection. Some 97% of Finnish respondents to the survey agreed that VET strengthens the economy and 94% agreed that it plays a role in reducing unemployment. However, the overwhelming majority of Finns (88%) believe that general education has a better image than VET. Expectations of employment are also not so positive: 63% of Finns agree that VET allows you to find a job quickly after graduation (see figure). The survey shows that the employment prospects for VET graduates are not as good as for those who complete higher education. This view is probably influenced by the relatively high unemployment rate (14%) among young people in Finland. Consequently, as part of the effort to combat youth unemployment, Finland is continuing its VET system reforms. The aims include making access to VET easier, and greater individualisation of people’s learning pathways. Learning environments are becoming more varied with more learning at the workplace. Finland’s efforts to make a good system better reflect the need to keep up as much as possible with changes in the labour market. World class VET systems are always evolving. Notes More in Cedefop opinion survey on vocational education and training in Europe: Finland (in English only) Cedefop’s opinion survey, published in 2017, provides new insights into what Europeans think of vocational education and training (VET), its ability to give people the right skills and to help VET graduates to find a job. The survey aims to inform policies to make VET a more attractive and effective learning option. It was conducted in June 2016 and examined EU citizens’ awareness and opinions on VET’s attractiveness and effectiveness, and personal experiences of VET at upper secondary level (typically age 16 to 18). The survey comprised more than 35 000 interviews of a representative sample of Europeans across all EU Member States. Watch a new Cedefop video on Finland’s VET system published on the occasion of the current Finnish EU Presidency. Downloads Press releaseEN57.77 KBFI73.52 KB 	https://www.cedefop.europa.eu/en/news-and-press/press-and-media/press-releases/vet-finland-making-good-system-better
CEDEFOP_NEWS_0003	2019-10-07	NEWS	An enhanced role for apprenticeship in a changing world of work	 The external factors that have an impact on apprenticeship and the relevant design and delivery responses were discussed at a joint Cedefop/OECD symposium, on 7 October in Paris. New work carried out by international researchers was presented to over 100 participants representing ministries, social partners and national apprenticeship institutions from around the world. Apprenticeship has a long history of enabling young people’s transition from education to sustained skilled employment. When employers are fully engaged, apprenticeship aligns the formative education and training of learners to actual labour market needs. In recent years, governments across Europe and the OECD have invested considerable resources in improving apprenticeship provision, introducing and reforming apprenticeship to reach even more learners, both young people and, increasingly, adults. The aim has been to ensure that apprenticeships are attractive to learners, to employers and to society, providing apprentices with skills demanded by employers while contributing to societal and economic well-being (OECD, 2018).  To achieve this, learning from other countries’ experiences is vital, as they develop apprenticeships within different policy approaches and national contexts (Cedefop, 2018). Today’s symposium looked at the future of apprenticeship from the perspective of new approaches to education and training and external megatrends – such as socio-demographic changes, digitalisation, automation and other new technologies, new forms of work organisation, ageing populations – and considered how they have affected (or will affect) the design and delivery of apprenticeship. Among the topics presented were: how apprenticeship is changing in response to learners’ and employers’ preferences, labour market needs and policy priorities; how companies adapt their training provision to match technological changes; how apprenticeship relates to academic systems and expands to higher education; and selected country programmes. Cedefop Executive Director Jürgen Siebel and OECD’s Director of Employment, Labour and Social Affairs, Stefano Scarpetta addressed the participants. Mr Siebel said: ‘It is really time to think about where apprenticeship is headed. Accelerating labour market change, new forms of work and learning, and changing partnership and cooperation models require fundamental reflection on how to best shape the apprenticeships of the future. I trust the joint Cedefop/OECD symposium will give us food for thought and help us find the ways Cedefop can best support policy-makers in their efforts to build the apprenticeship of tomorrow.’ Mr Scarpetta said: ‘Digitalisation, ageing and globalisation are creating many new opportunities but also new challenges to our education and training systems. Over the next 10 to 15 years, one in seven jobs may be fully automated and another third may be overhauled across the OECD. Good quality apprenticeships, which prepare learners with the skills that employers highly value, must play a central role in the package of effective skills policies.’ You can find the new research presented at the symposium here. A summary publication will be published by the OECD shortly after the symposium and the full papers will be published by Cedefop in 2020. Downloads Press releaseEN112.07 KB 	https://www.cedefop.europa.eu/en/news-and-press/press-and-media/press-releases/enhanced-role-apprenticeship-changing-world-work
CEDEFOP_NEWS_0008	2019-09-25	NEWS	Vocational education and training in Italy: a well-kept secret?	 Vocational education and training (VET) enjoys a positive image in Italy, but is still regarded less favourably than general education. One reason may be that awareness about VET is amongst the lowest in the EU (see map below), according to the findings of Cedefop’s survey on what EU citizens think about VET for 16 to18 year-olds. In Italy, three quarters (75%) of survey respondents have a positive image of VET, one of the highest levels in the EU. However, over 8 in 10 believe that general education has a more positive image. Source: Cedefop’s VET opinion survey. VET upper secondary graduates in Italy find a job more quickly after their studies than general education graduates of the same age. The drawback is that VET is linked to specific occupations, some of which are not attractive. Only 47% of respondents in Italy think that VET leads to a highly regarded job, well below the EU average of 60%, while 57% agree that VET leads to a well-paid job compared to 61% in the EU overall.  However, VET upper secondary graduates appear more satisfied with their courses. Some 61% of survey respondents who had followed VET at upper secondary level say that, overall, they were totally satisfied with the quality of teaching they received, the general and work-related skills they acquired and the equipment available; this compares to 56% for general education. In addition, 44% of respondents say that Italy should prioritise investment in VET, compared to 32% who favour investment in general education. This indicates that more and better information about VET may help address misconceptions about it. Only 51% of respondents say that they had heard of VET before their survey interview, the joint third-lowest rate in the EU. Only 36% of general education graduates responding to the survey say that they received information about VET when deciding their upper secondary education options. Overall the survey provides a positive picture of VET in Italy indicating that it has much to offer students. Given more information about it, more people may choose a vocational learning path. Notes More in Cedefop opinion survey on vocational education and training in Europe: Italy (in English only) Cedefop’s opinion survey, published in 2017, provides new insights into what Europeans think of vocational education and training (VET), its ability to give people the right skills and to help VET graduates to find a job. The survey aims to inform policies to make VET a more attractive and effective learning option. It was conducted in June 2016 and examined EU citizens’ awareness and opinions on VET’s attractiveness and effectiveness, and personal experiences of VET at upper secondary level (typically age 16 to 18). The survey comprised more than 35 000 interviews of a representative sample of Europeans across all EU Member States. Downloads Press releaseEN108.58 KBIT113.9 KB 	https://www.cedefop.europa.eu/en/news-and-press/press-and-media/press-releases/vocational-education-and-training-italy-well-kept-secret
