id	date	text_type	title	text	url
EASO_NEWS_0001	2021-07-15	NEWS	Lithuania to receive immediate operational support from EASO	 The European Asylum Support Office (EASO) could deploy up to 50 personnel, both in-country and via remote working, in support of the Lithuanian asylum authorities by the end of the year.The Executive Director of EASO, Nina Gregori, and the Minister of the Interior of Lithuania, Agnė Bilotaitė, have signed an Operating Plan on the margins of the Informal Justice and Home Affairs Council meeting held in Brdo, Slovenia. The Operating Plan was agreed to in a record short period following the request of the Lithuanian Authorities in late June. Within days of receiving the request, EASO deployed an assessment team to the country in order to discuss the needs of the Lithuanian counterparts. The Operating Plan, which is EASO’s sixth ongoing operation, is valid until the end of 2021, but can be renewed or adapted to developing needs thereafter. Commenting on the new operation, Nina Gregori stated: “The speed with which we were able to operationalise our support is a testament to the resilience of the Agency in tangibly supporting any Member State whenever the need arises. EASO stands fully with Lithuania in light of the current migration challenges and we will immediately begin assisting both the asylum and reception systems. This is another demonstration of what EU solidarity actually means.”Lithuania has recently begun experiencing a dramatic increase in asylum applications from migrants crossing the border from Belarus. To date, the majority of applicants are Iraqi nationals. EASO will work closely with the national authorities, as well as the European Commission and FRONTEX in order to ensure a seamless and coordinated approach. In particular, EASO will provide operational support in the three following areas:Enhancing the capacity to register applications for international protection;Enhancing the capacity to process asylum applications, including by conducting interviews and drafting opinions; andEnhancing the capacity to manage the reception of applicants.EASO will immediately begin deploying personnel, both in-country and working remotely, and who could reach a complement of up to 50 by the end of the year. Any further information may be obtained from the European Asylum Support Office on the following email address: press@easo.europa.eu  EASO planuoja suteikti Lietuvai neatidėliotiną operatyvinę pagalbąEuropos prieglobsčio paramos biuras, siekdamas padėti Lietuvos prieglobsčio institucijoms iki metų pabaigos galėtų paskirti iki 50 darbuotojų, kurie dirbtų tiek šalyje, tiek nuotoliniu būdu.Brdo, Slovėnijoje, vykusiame neformaliame Teisingumo ir vidaus reikalų tarybos posėdyje EASO vykdomoji direktorė Nina Gregori ir Lietuvos vidaus reikalų ministrė Agnė Bilotaitė pasirašė operatyvinį planą.Dėl operatyvinio plano susitarta per rekordiškai trumpą laiką, birželio pabaigoje gavus Lietuvos valdžios institucijų prašymą. Vos gavęs prašymą EASO po kelių dienų į šalį išsiuntė vertinimo grupę kolegų iš Lietuvos poreikiams aptarti. Operatyvinis planas, kuris yra EASO šeštoji vykdoma operacija, galioja iki 2021 m. pabaigos, tačiau vėliau gali būti atnaujintas arba pritaikytas prie kintančių poreikių.Kalbėdama apie naująją operaciją Nina Gregori sakė: „Taip greitai sudarydami sąlygas naudotis mūsų teikiama pagalba įrodėme, kad agentūra geba realiai padėti bet kuriai valstybei narei vos tik iškilus būtinybei. EASO visapusiškai palaiko Lietuvą, atsižvelgdamas į dabartinius migracijos iššūkius, ir nedelsdamas pradės teikti pagalbą tiek prieglobsčio, tiek priėmimo sistemoms. Tai dar vienas įrodymas, ką iš tikrųjų reiškia ES solidarumas.“Pastaruoju metu Lietuvoje labai padaugėjo prieglobsčio prašymų, kuriuos teikia sieną kertantys migrantai iš Baltarusijos. Šiuo metu dauguma prašytojų – Irako piliečiai. EASO glaudžiai bendradarbiaus su nacionalinėmis valdžios institucijomis, taip pat su Europos Komisija ir FRONTEX, kad užtikrintų sklandų ir suderintą požiūrį.Visų pirma EASO teiks operatyvinę pagalbą šiose trijose srityse:  tarptautinės apsaugos prašymų registravimo pajėgumų didinimo;  prieglobsčio prašymų nagrinėjimo, be kita ko, pokalbių ir nuomonių rengimo, pajėgumų didinimo;  prašytojų priėmimo valdymo pajėgumų didinimo.EASO nedelsdamas pradės skirti tiek šalyje, tiek nuotoliniu būdu dirbsiančius darbuotojus – iki metų pabaigos galėtų būti paskirta iki 50 darbuotojų. Daugiau informacijos iš Europos prieglobsčio paramos biuro galima gauti kreipiantis e. pašto adresu: press@easo.europa.eu  	https://easo.europa.eu/news-events/lithuania-receive-immediate-operational-support-easo
EASO_NEWS_0002	2021-06-29	NEWS	EASO welcomes agreement establishing EU Agency for Asylum	 The European Asylum Support Office (EASO) welcomes today’s political agreement reached by the Portuguese Presidency of the Council of the EU and the European Parliament, together with the European Commission, on a new enhanced mandate that will re-establish the Agency as the European Union Agency for Asylum (EUAA).The agreement sends a strong signal that the EU is committed to working in the spirit of compromise in order to improve asylum management. It is the first of the European Commission’s proposals for the reform of the Common European Asylum System (CEAS) to be agreed to by co-legislators and EASO hopes that the development will serve to drive progress on the other files. Commenting on the agreement, EASO’s Executive Director, Nina Gregori, stated: “I am delighted that through engagement with all stakeholders, Europe will soon have an asylum agency that will continue building on EASO’s successes of the past years. It is a significant step in creating the world’s only multinational asylum system. The implications of this development cannot be understated. The EUAA will be in a position to provide stronger operational and technical assistance to any Member State in managing challenges associated with asylum and reception, in line with the EU standards. Importantly, this will also lead to improved conditions for people in need of international protection.”The new EUAA mandate will result in numerous benefits to the proper implementation of the CEAS, including by:Enabling the Agency to deploy personnel to operations quicker;Establishing a mandatory reserve pool of 500 Member State experts to be available in the case of disproportionate pressures;Providing for EUAA Training to include new topics, including the clearer inclusion of reception;Allowing the Agency to produce stronger and more practical technical tools, coordinate common analysis and publish Country Guidance;Establishing the independent position of a Fundamental Rights Officer to ensure respect for fundamental rights in all activities of the Agency;Enhancing the role, and independence, of the Consultative Forum of Civil Society Organisations;Establishing EUAA liaison officers in Member States, as well as in third countries;Providing the EUAA with a stronger ability to support third countries in their capacity building;Establishing a Complaints Mechanism; andEstablishing a Monitoring Mechanism, in the future, which will allow the EUAA to monitor the operational and technical application of the CEAS.EASO looks forward to the formal approval of the final text by the Council of the EU and the European Parliament, and its subsequent publication in the Official Journal of the European Union, in anticipation of the mandate entering into effect later this year.The Agency’s transition programme is already well under way with a view to be ready to begin implementing the main elements of its new mandate from day one.  Any further information may be obtained from the European Asylum Support Office on the following email address: press@easo.europa.eu 	https://easo.europa.eu/news-events/easo-welcomes-agreement-establishing-eu-agency-asylum
EASO_NEWS_0003	2021-05-27	NEWS	West Africans and Moroccans lodging more asylum applications	 Along with several of the top nationalities, West Africans and Moroccans contributed to a recent rise in first-time applications for asylum in the EU+. This comes after months of high levels of irregular migration on the Western African route to the Canary Islands.Analysis released by the European Asylum Support Office (EASO) on asylum trends in March 2021 shows that about 40 200 applications for international protection were lodged in the EU+ in March 2021.1 This roughly stable total results from a significant rise in the number of first-time applications (+ 17%), offset by a simultaneous fall (- 31%) of repeated applications (in the same country). The nationalities lodging more first-time applications included top origin countries (Syria, Afghanistan, Iraq and Somalia) but also Morocco and various West African countries2, which together lodged almost 1 000 more first-time applications in March than in February. This indicates that recent developments on the Western African migration route towards the Canary Islands have started translating into more asylum applications. Reaching 5 500 in March, total applications (first-time and repeated) by nationals of West African countries have grown by 37% from October 2020.  Morocco and Guinea join the ten main origin countriesThe top origin countries in March were Syria, Afghanistan, Iraq, Pakistan and Nigeria. As a result of increases in applications by around 30% from February, both Morocco (1 000 applications) and Guinea (980) joined the ten main origin countries. Together, the ten main origin countries accounted for more than half of all asylum applications lodged in the EU+. Applications by Ukrainians and Belarusians were lower but remained close to peak values in previous months.Self-claimed unaccompanied minors lodged 1 400 applications in the EU+ in March 2021, substantially fewer than at the end of 2020. They represented 3% of the total applications in March, compared to 5% in December 2020. Afghans accounted for about two out of every five self-claimed unaccompanied minors, while Moroccans and West Africans collectively accounted for only 7% (one in every 14).Substantial increase in decisions issued by EU+ asylum authoritiesEU+ asylum authorities issued 53 300 first instance decisions in March, a quarter more than in February and marking the highest level since July 2020. This reflected a strong rise of decisions on repeated applications in the same country. This type of application had been lodged in large numbers during the preceding months, primarily by Syrians. Overall, first instance decisions in March therefore far exceeded applications.The rise in decisions led to a slight fall of pending cases: some 387 200 cases were pending at first instance at the end of March, down by 5 % from the end of February. The recognition rate3 in the EU+ was 27 % in March 2021. Recognition rates were the highest for Eritreans (77%) and Yemenis (74%) but were below the EU+ level for Moroccans (9%) and West Africans, with the notable exception of Malians (34 %).For more information and an interactive data visualisation, please visit the Latest Asylum Trends page. Any further information may be obtained from the European Asylum Support Office on the following email address: press@easo.europa.eu [1]   EEASO EPS data are preliminary and might differ from validated official statistics submitted to Eurostat at a later stage. Eurostat data are used in the annual EASO Asylum Report. The total EPS numbers exclude missing data for one EU+ country.[2]   According to the United Nations Population Division, Western Africa includes the following countries: Benin, Burkina Faso, Cabo Verde, Côte d'Ivoire, The Gambia, Ghana, Guinea, Guinea-Bissau, Liberia, Mali, Mauritania, Niger, Nigeria, Saint Helena, Senegal, Sierra Leone and Togo.[3]   This refers to the recognition rate for EU-regulated types of protection (refugee status and subsidiary protection) at first instance.  	https://easo.europa.eu/news-events/west-africans-and-moroccans-lodging-more-asylum-applications-lat
EASO_NEWS_0004	2021-09-16	NEWS	Asylum applications by Afghans approaching those by Syrians	 While Syrians were still the largest group of asylum applicants in EU+ countries in July, the gap to Afghans continued shrinking. As these and other main nationalities lodged substantially more applications compared to previous months, total applications were at the highest level since the outbreak of COVID-19 and approached pre-pandemic levels. Analysis released by the European Asylum Support Office (EASO) shows that about 50 000 applications for international protection were lodged in the EU+ in July 2021,1 significantly more than in June (+ 8 %). The most common countries of origin were Syria, Afghanistan, Turkey, Pakistan and Iraq. Applications by Afghans increased for the fifth consecutive month, to about 7 300 (+ 21 % from June). This came relatively close to the number of applications by Syrians (8 500, + 14 %). The gap between Afghans and Syrians has been shrinking almost steadily since December 2020. Turks (2 500) were the third largest group in July, after their applications increased by half from June. A peak of applications by Iraqis (2 300) was partly due to the irregular migration route via Belarus. Citizens of several Eastern Partnership and Western Balkan countries applied in larger numbers, such as Georgians (1 300) and Albanians (980). In contrast, applications by many North and West African nationalities receded, including Moroccans (1 500) and Malians (570). Gradual return of asylum applications towards pre-pandemic levels The overall level of applications in July was the highest since the outbreak of COVID-19 and, for the first time, exceeded 80 % of the last pre-pandemic level in February 2020. The remaining gap can be explained by a longer-term decline of applications by Latin Americans. For many other nationalities, it appears that COVID-19-induced constraints on asylum-related migration have lately had a lesser impact.Self-claimed unaccompanied minors lodged more than 2 200 applications in the EU+ in July, compared to 1 900 in June and 1 500 in May. The main driver of this development has been unaccompanied minors from Afghanistan, whose applications rose from 700 in May to 1 000 in June and close to 1 200 in July, i.e. accounting for half of all unaccompanied minors. As applications by unaccompanied minors increased roughly in line with total applications, they still represented 4 % of the total in July.  Recognition rate for Afghans only half of that for SyriansAsylum authorities in EU+ countries issued at least 35 100 first instance decisions in July,2 slightly fewer than in June. A third of all decisions were issued to Syrians, Afghans and Pakistanis. Overall, first instance decisions continued to be outnumbered by applications. Approximately 366 300 cases were pending at first instance at the end of July,3 and this backlog was essentially stable from June.Based on preliminary data, the EU+ recognition rate4 was 39% in June. Three fifths of all positive decisions granted refugee status, while the remainder granted subsidiary protection. Recognition rates were especially high for Syrians (87 %) and Eritreans (81 %). At 45 %, the recognition rate for Afghans was substantially lower than over the previous six months.For more information and an interactive data visualisation, please visit the Latest Asylum Trends page. Any further information may be obtained from the European Asylum Support Office on the following email address: press@easo.europa.eu Notes____ [1] EASO EPS data are preliminary and might differ from validated official statistics submitted to Eurostat at a later stage. Eurostat data are used in the annual EASO Asylum Report. The total EPS numbers include approximations for three EU+ countries and may change after data updates.[2] For three EU+ countries, data on decisions in July were not available and the comparison with applications was adapted[3] For three EU+ countries, June or May values were used as July data were not available.[4] This refers to the recognition rate for EU-regulated types of protection (refugee status and subsidiary protection) at first instance. 	https://easo.europa.eu/news-events/asylum-applications-afghans-approaching-those-syrians
EASO_NEWS_0005	2021-06-29	NEWS	EASO Asylum Report 2021: COVID-19 exposes strengths and weaknesses of EU asylum systems	 Despite the pandemic, the EASO Asylum Report 2021 highlights the resilience of many EU+  countries’ asylum systems in using innovative solutions for business continuity. Resources were allocated to adapt working methods, implement digital solutions and reduce pending cases. However, shortcomings were also exposed, notably in terms of reception conditions, low returns to countries of origin, resettlement and reduced Dublin transfers.For the first time since 2017, more decisions on first instance asylum applications were issued in 2020 than new applications received (534,500 decisions in total). This resulted in the stock of applications awaiting a decision being reduced by 18% compared to 2019 (773,600 applications pending by the end of the year compared to 942,100 at the end of 2019).As reported through preliminary data by EASO earlier this year, 2020 saw the lowest number of asylum applications in the EU+ since 2013. The 485,000 applications marked a 32% decrease compared to 2019 (716,000), and a 64% decrease compared to the peak in 2015 (1.4 million). However, reduced applications were primarily due to restricted mobility and travel, rather than a decrease in the number of people in need of international protection. Despite the drop in the overall number of applications, some countries did register an increase. In particular, there were more arrivals along the Western African, Central Mediterranean and Western Balkan routes than in 2019. Romania registered a 138% increase in the number of applications, followed by Bulgaria (+64%). While two-thirds of all asylum applications in 2020 were lodged in just three countries: Germany (122,000), France (93,000) and Spain (89,000), the impact of arrivals was heightened for countries at the external borders. When considering GDP and population, Cyprus, Greece and Malta continued to be under the greatest pressure to receive and accommodate asylum applicants. Just over two-fifths (42%) of all decisions granted some form of protection at first instance in 2020 (224,000). Within the positive decisions issued by authorities, 50% of asylum seekers were granted refugee status, 27% humanitarian protection and 23% subsidiary protection. Nationals of Eritrea, Syria and Venezuela continued to receive positive decisions most frequently at first instance (referred to as the recognition rate). The rate climbed over time for applicants from Afghanistan (from 48% in 2017 to 60% in 2020), Nicaragua (6% to 25%) and Belarus (from 12% to 30%).  National asylum systems adapted quickly to the pandemicMany factors played into determining the outcome of asylum applications at a swifter rate. Notably, while states of emergency halted public services in most countries during the initial COVID-19 outbreak, Member States quickly adapted their asylum procedures, including through the use of digital tools. National asylum authorities focused on reducing backlogs and issuing new guidelines to improve practices, for example for the early identification of minors and faster access to legal aid. To guide the way, EASO and the European Commission issued practical guidance for Member States, including on conducting remote registration and interviews. EASO also doubled its operational support productivity in 2020, and launched a new operation in Spain at the end of the year. COVID-19 disrupted elements of EU asylum systemsOther areas of the Common European Asylum System came to near standstill. For the first time in seven years, the EU’s resettlement programme, which provides a safe and structured pathway to protection, experienced a significant decrease (-58% from 2019) in the number of refugees transferred to Europe. By the end of the year, most countries had not met their national quotas and postponed their allocations to the following year. However, countries continued their efforts through remote interviews and dossier selections.Almost three-fifths (58%) of decisions on asylum applications were negative. Already a persisting challenge prior to the pandemic, an increasing number of rejected applicants were not returned to their country of origin due to COVID-19 measures such as grounded flights and closed borders. In response, many EU+ countries adopted new legislation and policies to improve the enforcement and cost-effectiveness of the return procedure. Other systemic cracks were accentuated with COVID-19 restrictive measures. As authorities reshuffled accommodation to allow for social distancing, some countries had little room to manoeuvre in already-crowded reception centres.  Any further information may be obtained from the European Asylum Support Office on the following email address: press@easo.europa.euFor more information:EASO Asylum Report 2021 (landing page); (PDF); (HTML)Executive Summary (PDF); (HTML)EU+ and Country Data (PDF)Visual charts (PDF)Key Findings (PDF)National Asylum Developments DatabaseSituation of asylum in the EU: 2020 overview with interactive mapSources for the EASO Asylum Report 2021 	https://easo.europa.eu/news-events/easo-asylum-report-2021-covid-19-exposes-strengths-and-weaknesses-eu-asylum-systems
EASO_NEWS_0006	2021-05-17	NEWS	EASO Executive Director welcomes Spain’s commitment to reform reception system	 During the week of 10-14 May 2021, the Executive Director of the European Asylum Support Office (EASO), Nina Gregori, held a series of high-level meetings in Lisbon and Madrid to discuss the Agency’s new operational support for Spain’s reception system, as well as work to enhance EASO’s mandate and transform it into the EU Agency for Asylum.Ms Gregori met with José Luis Escrivá, Spain’s Minister of Inclusion, Social Security and Migration, as well as the Minister of Interior, Fernando Grande-Marlaska, in Madrid. She welcomed the clear commitment of the Spanish Government to reform the country’s reception system in line with EU standards. The Executive Director highlighted that EASO is mobilising resources and personnel to support this effort, notably by:Enhancing the reception capacity in the Canary Islands;Supporting the transition towards a new model for reception in Spain;Enhancing structural processes in support of the Spanish reception system;Providing training, professional development, tools and materials; andSupporting the Spanish authorities in the area of resettlement.During the meetings, Ms. Gregori also highlighted the importance of EU co-legislators finally agreeing on a mandate for the EU Agency for Asylum (EUAA), which has been pending since 2016. She underlined that the ability of EASO to meet the increased requests by Member States for operational support under the current outdated mandate is challenging, and expressed hope that an agreement can be reached in Brussels soon. The Executive Director also discussed the EUAA when meeting with the Portuguese Minister of Internal Administration, Eduardo Cabrita, in Lisbon on 10 May, prior to participating in a Ministerial Conference on the Management of Migratory Flows organised by the Portuguese Presidency of the Council of the EU. Ms Gregori thanked the Minister for the Presidency’s strong efforts being made to finalise negotiations, stating that it is clear that the Portuguese authorities understand how important the EUAA is for a functional EU asylum system.During a meeting in Madrid with the Spanish State Secretary for Migration, Jesús Javier Perea Cortijo,Ms Gregori outlined the practical plans by which EASO intends to increase its support for Spain, including through the deployment of highly-specialised personnel. These include experts in vulnerability, site management, contingency planning, change management, engineers and architects, amongst other profiles. She also noted that officials of the Secretaría de Estado de Migraciones (SEM) are working very well with EASO personnel, highlighting that such good collaboration bodes well for the reform of Spain’s reception system. In Madrid, Ms Gregori also held meetings with various partners, including with Sophie Muller, UNHCR’s Representative in Spain, and María Jesús Herrero, Head of IOM Spain, where all agreed that synergising work was crucial in order to collectively be effective in supporting Spain. She also held a productive meeting with Spain’s Ombudsperson, Francisco Fernández Marugán.The Executive Director also visited the Canaria 50 and Colegio Leon reception centers in Gran Canaria, meeting with EASO personnel deployed on the island and reviewing the state-of-play on the ground in the centers. She also used the opportunity to meet with local authorities and national representatives, emphasising the importance of excellent local collaboration, including with María Teresa Mayans Vázquez, the sub-Delegate of the Spanish Government to the Autonomous Community of the Canary Islands.  Any further information may be obtained from the European Asylum Support Office on the following email address: press@easo.europa.eu  	https://easo.europa.eu/news-events/easo-executive-director-welcomes-spain-s-commitment-reform-reception-system
EASO_NEWS_0007	2021-04-20	NEWS	Ukrainians lodged 72% more applications for asylum in February	 Ukrainians lodged considerably more asylum applications in the EU+ in February 2021, compared to January, making them one of the top ten nationalities of applicants. This is in stark contrast with several other main nationalities, who are still lodging far fewer asylum applications in the EU+ compared to pre-COVID-19 levels.Analysis released by the European Asylum Support Office (EASO) on asylum trends in February 2021 shows that about 38 300 applications for international protection were lodged in the EU+ in February 2021.1  While the overall level was roughly stable compared to recent months, Ukrainians lodged many more applications (up by 72%, to almost 1 000), the most in four years and substantially more than before the outbreak of COVID-19. This sudden increase placed Ukraine among the top 10 origin countries for the first time since 2016. Irregular migration towards the Canary Islands has increased in recent months. Correspondingly, Moroccans (+ 14%), Malians and Senegalese (+ 22% in both cases) are increasingly applying for international protection in the EU+.The top origin countries in February were Syria, Afghanistan, Pakistan, Iraq and Nigeria. The number of applications by Syrians stabilised above 10 000, more than the next six origin countries combined. Syrians alone accounted for a quarter of all asylum applications lodged in the EU+. As in January, half of the applications by Syrians were repeated applications in the same country.One year on, asylum applications in the EU+ have not returned to pre-COVID-19 levelsFor half of the top 10 origin countries of applicants, applications have thus far not come close to the level in February 2020, the last month before the outbreak of COVID-19 in Europe. In February 2021, total applications in the EU+ were less than two thirds of the applications lodged one year earlier. As there is also no evidence of an upward trend towards pre-COVID-19 levels, the effect of the pandemic on asylum applications is evidently not short-lived. In contrast, applications by self-claimed unaccompanied minors were comparable to pre-COVID-19 levels. In February 2021, unaccompanied minors lodged more than 1 300 applications in the EU+, corresponding to 80% of the number in February 2020. Already in late 2020, applications by unaccompanied minors had exceeded pre-pandemic levels.More decisions than applicationsEU+ asylum authorities issued almost 41 000 first instance decisions in February 2021, slightly more than in January (+ 7%) and above the level of applications. Some 405 600 cases were pending at first instance, roughly stable from January. The recognition rate2 in the EU+ was 32% in February 2021, matching the EU+ recognition rate for 2020. In line with previous months, three out of five positive decisions in February granted refugee status, while the remainder granted subsidiary protection.For more information and an interactive data visualisation, please visit the Latest Asylum Trends page. Any further information may be obtained from the European Asylum Support Office on the following email address: press@easo.europa.eu Notes[1]   EASO EPS data are preliminary and might differ from validated official statistics submitted to Eurostat at a later stage. Eurostat data are used in the annual EASO Asylum Report. The total numbers exclude missing data for two EU+ countries.[2]   This refers to the recognition rate for EU-regulated types of protection (refugee status and subsidiary protection) at first instance. 	https://easo.europa.eu/news-events/ukrainians-lodged-72-more-applications-asylum-february
EASO_NEWS_0008	2021-03-26	NEWS	EASO and Greece increase joint training activities for asylum officials	 Increased deployment of EASO personnel in Greece matched by new training plan aimed at supporting the Greek authorities in sustaining long-term quality and efficiency in the national asylum system. The European Asylum Support Office (EASO) has begun implementing a new joint Training Plan together with the Greek Asylum Service (GAS) under the Agency’s 2021 Greece Operating Plan. Since 2011, EASO has trained more than 450 Greek officials as trainers who are now qualified to instruct colleagues in line with EU asylum and fundamental rights standards, while tailoring said training to the national context. In the same period, the Agency’s national training sessions have seen 3,457 Greek participants, while EASO’s operational training, targeting Member State experts deployed in Greece, has recorded 3,735 participations. Through the new Training Plan, in 2021 EASO is not only increasing the number and specialised areas of training it is delivering to its Greek counterparts, but is importantly also ensuring that the Plan is implemented jointly. Notably, some activities are targeted at both Greek as well as EASO’s own personnel in the country, as both work together within the national system.Such a collaborative approach is essential in building on the unique experience which Greek asylum officials have gained due to the national experience in the past few years. At the same time, it ensures that this experience is combined with increasingly specialised EU-level training on the legal and procedural requirements of the Common European Asylum System (CEAS). The 2021 Training Plan includes the following notable elements:a series of National Train-the-Trainer sessions, aimed at supporting GAS in strengthening its national pool of trainers;support in the roll-out of a national training plan based on EASO modules; on-the-job coaching sessions which are being delivered throughout the year and are aimed at supporting more than 600 GAS and EASO caseworkers in the country; and thematic training sessions for GAS Quality Focal Points and EASO Team Leaders The same process is currently under development with the Greek Reception and Identification Service (RIS). The aim of the joint training plan with RIS is to strengthen the overall capacity of existing and new reception staff in both first-line and second-line reception facilities, as well as central services. EASO is grateful for the strong collaboration of the Greek authorities, which have demonstrated a continued commitment to strengthen the national asylum system. The results of this are increasingly evident as the backlog in the country continues to be reduced whilst investment in quality processes continue to be made in parallel.Any further information may be obtained from the European Asylum Support Office on the following email address: press@easo.europa.eu  	https://easo.europa.eu/news-events/easo-and-greece-increase-joint-training-activities-asylum-officials
EASO_NEWS_0009	2021-09-09	NEWS	Afghanistan: EASO updates report on security situation	 Photo: C –17 carrying passengers out of Afghanistan© US Air Force, Wikimedia Commons,6785986, 15 August 2021The European Asylum Support Office (EASO) has published an updated Country of Origin Information (COI)1 Report on the security situation Afghanistan. As with all EASO COI Reports, the publication offers an objective resource for use by EU Member State asylum officials when reviewing individual applications for international protection – in this case by Afghan nationals. It also offers the basis for the development of Country Guidance Notes aimed at harmonising asylum decision practices across the EU. The current report covers the overall security situation in Afghanistan from 1 March to 31 August 2021 and contains information on clashes and other security related events on provincial and district level during the reference period. The report also describes the Taliban’s take-over of Afghanistan as international forces withdrew, beginning with the increased number of districts falling under Taliban control between March and July, followed by the capture of provincial capitals between 6 and 14 August, including the ‘heavily defended’ northern city of Mazar-e Sharif, and the final take-over of the capital Kabul on 15 August 2021. While the report focuses primarily on conflict-related security incidents, which rapidly decreased as the Taliban take-over neared completion, it also covers general events following the fall of Kabul. This includes the Taliban’s declaration of the Islamic Emirate of Afghanistan, reports on the government formation process and first statements made by the Taliban on its intentions regarding the respect of some fundamental human rights. It also addresses initial indications of threats against certain profiles such as journalists, persons with links to the previous administration or foreign forces, and human rights activists. The report does not cover events after 31 August, and it must be noted that by the time of publication several sources have reported on the Taliban claiming to have captured Panjsher province, while the resistance front’s leader, Ahmad Massoud, claims that the resistance force is still present in Panjshir and continue to fight the Taliban. There were also announcements about the formation of a Taliban government on 7 September, and reports on the Taliban breaking up demonstrations, as well as on the impact of the new Taliban regime on fundamental rights of the civilian population, in particular of women.As the situation in Afghanistan evolves, EASO will continue to conduct COI research and publish on topics that are of particular relevance to international protection status determination for Afghan asylum seekers. Such information is crucial not only for the individual assessment of protection needs of asylum applicants, but also for the ongoing development of EASO Country Guidance on Afghanistan which is expected in the coming months. By developing such Country Guidance2, based on a common analysis of COI together with senior policy experts from Member States, EASO aims to foster higher levels of convergence in Member States’ asylum decision practices. Such national decision practices have long been widely diverging in the case of Afghanistan, as reflected in varying recognition rates, possibly resulting in secondary movements within the EU3.   Any further information may be obtained from the European Asylum Support Office on the following email address: press@easo.europa.eu Notes____ [1] COI: Further information on EASO Country of Origin Information activities, including on Afghanistan, can be found on the EASO website [2] Country Guidance: Further information on EASO Country Guidance activities, including on Afghanistan, can be found on the EASO website. [3] Statistical background: In recent years, Afghans have typically been the second largest group of asylum applicants in the EU after Syrians. In June 2021, Afghans lodged just over 6 000 asylum applications. In recent months, Afghans have lodged increasingly more applications, growing by 55 % since the beginning of the year. In June 2021, Afghan (self-claimed) unaccompanied minors made up half of all unaccompanied minors in the EU. In June there was a backlog of about 41 700 pending Afghan cases at first instance in the EU. Of the first instance decisions issued to Afghans in June, 56 % were granted an EU-regulated status (two thirds subsidiary protection, one third refugee status). Available data seems to indicate that Afghan nationals are strongly involved in secondary movements within the EU. For more information see EASO’s Latest Asylum Trends page. Acknowledgments: This COI report was co-drafted by Country of Origin Information (COI) external expert, Ms Elizabeth Williams, together with the EASO COI Sector in accordance with the EASO COI Report Methodology, and was reviewed by Belgium, Office of the Commissioner General for Refugees and Stateless Persons, Cedoca (Centre for Documentation and Research) and France, Office for the Protection of Refugees and Stateless persons (OFPRA), Information, Documentation and Research Division (DIDR).  	https://easo.europa.eu/news-events/afghanistan-easo-updates-report-security-situation
EASO_NEWS_0010	2021-03-30	NEWS	EASO begins strengthening support for EU reception authorities	 On 18 March 2021, the Management Board of the European Asylum Support Office (EASO) adopted the EASO Strategy on Reception. The document responds to the growing demand from EU+ countries for EASO’s operational and technical support on the reception of asylum seekers. Prepared through extensive consultation with EU+[1] countries, the European Commission and UNHCR, the Reception Strategy lays the ground for EASO to further increase its capacity and expertise to respond to EU+ countries’ needs in the field of reception, through permanent technical support, training and operational interventions in EU+ countries and third countries along the migratory route facing disproportionate pressures on their reception systems. Recognising the negative impact of inadequate reception conditions on the human dignity and fundamental rights of asylum seekers directly, and on the integrity of the Common European Asylum System in general, the strategy foresees meaningful EASO support to EU+ countries in enhancing their reception systems and increasing reception capacity where needed, in line with EU and EASO standards. EASO’s Reception Standards and Indicators have been jointly developed by EU+ countries and were formally approved by the EASO Management Board in 2016 and 2018. These Standards and Indicators build upon, and further elaborate, key elements of the recast Reception Conditions Directive and represent a commonly agreed EU-level reference for the design, development and operation of reception centres, in line with European values of human dignity.   The EASO reception standards, covering topics such as infrastructure, sanitation, food provision, information provision, counselling and the training of staff, are at the core of the Agency’s technical and operational support on reception in Cyprus, Italy, Greece, Malta and, since January 2021, in Spain. This support is provided through EASO personnel and national experts deployed to enhance the capacity of reception services and training of Reception officers in frontline countries, as well as through technical advice from the EASO Reception Team in EASO Headquarters. EASO is, for example, part of the taskforce working on the development of reception facilities on the Greek islands, providing technical expertise and support aiming at a full alignments of reception facility designs with EU standards. The Strategy on Reception provides a solid framework for this growing support and paves the way for the development of more practical tools and training by EASO over the coming years. Any further information may be obtained from the European Asylum Support Office on the following email address: press@easo.europa.eu  [1] EU Member States, Iceland, Liechtenstein, Norway and Switzerland  	https://easo.europa.eu/news-events/easo-begins-strengthening-support-eu-reception-authorities
