id	date	text_type	title	text	url
ECDC_PR_0001	2020-03-24	PR	Despite 4% decline in EU/EEA TB cases, challenges remain in achieving targets	"Despite 4% decline in EU/EEA TB cases, challenges remain in achieving targets Press release 24 Mar 2020 Twitter Facebook Linked In Mail A joint ECDC – WHO report released today shows an overall decline of 4% in the number of notified tuberculosis cases between 2014 and 2018 in the EU/EEA countries. Although this is evidence of improvement, the treatment success rates for new and relapse cases, as well as for patients with drug-resistant TB are still below regional and global targets. Improvements can be achieved through, for example, better management of latent TB as a preventative measure against active TB, says ECDC. The report 'Tuberculosis surveillance and monitoring in Europe 2020 (2018 data)’ states that in 2018 in the EU/EEA and the UK, there were 52 862 tuberculosis patients, of which 999 suffered from difficult-to-treat multidrug-resistant tuberculosis (MDR TB). An estimated 3 730 people died from tuberculosis in 2018 in the EU/EEA and the UK. The 2030 target at EU/EEA level is a notification rate of 2.4 per 100 000 as stipulated by the United Nations Sustainable Development Goal 3 target. This is an 80% reduction of the 2015 TB notification rate of 11.9 cases per 100 000 people. In 30 EU/EEA countries and the UK, 52 862 TB cases were reported in 2018, with a notification rate of 10.2 per 100 000 population. MDR TB was reported for 999 (3.7%) of 26 881 cases with the relevant drug-susceptibility test (DST) results and XDR TB was reported for 19.6% of 808 MDR TB cases with the relevant DST results. ""Overall, the decreasing tuberculosis notification rates observed in most countries are a sign that we are going in the right direction. However, it will still be challenging to achieve an 80% reduction in the 2015 incidence rate by 2030. This is not the time to be complacent, and without continuous efforts in the years to come we will not be able to reach the agreed targets,” said Andrea Ammon, ECDC Director. Latent tuberculosis It is estimated that about a quarter of the world’s population has latent tuberculosis. This constitutes a large human reservoir of people that could potentially develop active tuberculosis. In low incidence countries (the majority of countries in EU/EEA are classified as such), the greater part of tuberculosis cases are a result of latent tuberculosis progressing into active disease. The 2018 Political declaration of the high-level meeting of the General Assembly on the fight against tuberculosis, states that 30 million people with latent tuberculosis should be treated preventively by 2022. Effective treatment of latent tuberculosis reduces the risk of progression to active disease by 60-90% and thus decreases overall tuberculosis incidence rates. Particular attention should be given to at-risk groups such as children under five, contacts of infectious tuberculosis cases and people living with HIV/AIDS.     Screening for active tuberculosis and latent tuberculosis should also be promoted to contribute to the detection of those cases, especially in at-risk populations. According to the World Health Organization End TB strategy, all countries should have a national TB control strategy in place. In low incidence countries, this should include treatment of latent tuberculosis. However, several EU/EEA countries do not have plans in place and reporting of latent tuberculosis treatment coverage in at-risk groups is largely non-existent. As an illustration, only two countries reported on latent tuberculosis treatment coverage in childhood tuberculosis contacts aged under five years in 2018, and no country reported on the indicator latent tuberculosis treatment coverage among people living with HIV. Background information Latent tuberculosis This is a state of the disease where persons are infected, but have no evidence of clinically manifest active tuberculosis and are not infectious. World Tuberculosis Day is observed on 24 March each year around the world. Its overall goal is to raise awareness about the burden of TB worldwide and the status of TB prevention and control efforts. Sustainable Development Goal 3.3: By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases. The indicator is tuberculosis incidence per 100 000 population. The WHO End TB Strategy targets for measuring progress towards the SDGs: tuberculosis incidence 80% lower in 2030 compared to 2015; the number of tuberculosis deaths 90% lower; and no family should face catastrophic costs due to tuberculosis. The United Nations High-level Meeting on TB was held on 26 September 2018 at the UN General Assembly in New York, resulting in a political declaration endorsed by Heads of State and Government outlining the key commitments that must be met for the world to end the TB epidemic by 2030, as called for in the UN Sustainable Development Goals. The European Union and European Economic Area and the UK comprises of the 31 countries with a population of 517 million. Read more Political declaration of the high-level meeting of the General Assembly on the fight against tuberculosis The updated global plan to end TB 2018 - 2022 is launched Read the report Publication Tuberculosis surveillance and monitoring in Europe 2020 –2018 data Surveillance report - 24 Mar 2020 This report provides an overview of the latest TB epidemiological situation and is published jointly by the WHO Regional Office for Europe and the European Centre for Disease Prevention and Control (ECDC). Tuberculosis surveillance and monitoring in Europe, 2020 - 2018 data - EN - [PDF-17.75 MB] Europe Surveillance Tuberculosis Europe Surveillance Tuberculosis Twitter Facebook Linked In Mail"	https://www.ecdc.europa.eu/en/news-events/world-tb-day-2020-time-end-tb
ECDC_NEWS_0002	2020-03-13	NEWS	Information on COVID-19 for specific groups: the elderly, patients with chronic diseases, people with immunocompromising condition and pregnant women	Information on COVID-19 for specific groups: the elderly, patients with chronic diseases, people with immunocompromising condition and pregnant women News story 13 Mar 2020 Twitter Facebook Linked In Mail The COVID-19 pandemic is evolving fast. Community transmission is currently ongoing throughout several countries in Europe and is expected to expand quickly in other countries in the coming days. According to the current evidence, severe form of the illness is more common among specific risk groups: the elderly and those with chronic underlying conditions. There is a limited scientific evidence on the severity of illness among pregnant women and initial data show that they experience similar clinical symptoms as non-pregnant adult patients with COVID-19; at the same time, specific steps to protect them during pregnancy can be taken. ECDC is publishing four leaflets with key information on the disease, the means of preparations to be undertaken in their households and protection measures for their family and care givers. A separate leaflet contains specific advice and rules on self-isolation or quarantine when presenting mild symptoms of COVID-19 or after exposure to the SARS-CoV-2 virus. The leaflet template may be downloaded in a format allowing the national healthcare authorities to translate and adapt the content for the general public in EU/EEA and the UK. Leaflets with information for the risk groups: Data Leaflet: information on COVID-19 for pregnant women Brochure - 12 Mar 2020 This leaflet provides basic information on novel coronavirus disease (COVID-19), how it spreads, symptoms, how to avoid catching or spreading the virus, and some specific advice for pregnant women, their families and care-givers. Coronavirus COVID-19 Prevention and control Public health threat Data Leaflet: information on self-isolation and quarantine after exposure to COVID-19 Brochure - 12 Mar 2020 This leaflet provides information on what are the rules of self-isolation or quarantine when presenting mild symptoms of COVID-19 or after exposure to the SARS-CoV-2 virus. Coronavirus COVID-19 Preventive measure Public health threat Data Leaflet: information on COVID-19 for people with immunocompromising condition Brochure - 12 Mar 2020 Information on COVID-19 for people with immunocompromising condition, their family members and care givers. Coronavirus COVID-19 Prevention and control Public health threat Data Leaflet: information on COVID-19 for people with chronic diseases Brochure - 12 Mar 2020 Information on COVID-19 for people with chronic diseases, their family members and care givers. Coronavirus COVID-19 Prevention and control Public health threat Read more: Rapid risk assessment: Novel coronavirus disease 2019 (COVID-19) pandemic: increased transmission in the EU/EEA and the UK – sixth update 12 Mar 2020 - Since ECDC’s fifth update on novel coronavirus published on 2 March 2020 and as of 11 March, the number of cases and deaths reported in the EU/EEA and the UK has been rising, mirroring the trends seen in China in January-early February and in northern Italy in late February. If this trend continues, based on the quick pace of growth of the epidemic observed in China and northern Italy, it is likely that in days, or a small number of weeks, similar situations may be seen in other EU/EEA Member States and the UK. Read more Infographics and leaflets about COVID-19 Information about the virus, how it spreads and how to avoid infection Read more Novel coronavirus (SARS-CoV-2) - Discharge criteria for confirmed COVID-19 cases 10 Mar 2020 - This document suggests criteria to be considered when deciding whether a confirmed COVID-19 case can be safely (i.e. without being infectious) discharged from hospital or released from home isolation. Read more COVID-19 Public health threat Twitter Facebook Linked In Mail	https://www.ecdc.europa.eu/en/news-events/information-covid-19-specific-groups-elderly-patients-chronic-diseases-people
ECDC_NEWS_0003	2020-03-03	NEWS	Antimicrobial resistance in the EU: infections with foodborne bacteria becoming harder to treat	Antimicrobial resistance in the EU: infections with foodborne bacteria becoming harder to treat News News story 3 Mar 2020 Twitter Facebook Linked In Mail Salmonella and Campylobacter are becoming increasingly resistant to ciprofloxacin, one of the antibiotics of choice for treating infections caused by these bacteria. The conclusion is part of the latest report on antimicrobial resistance in zoonoses released today by the European Centre for Disease Prevention and Control (ECDC) and the European Food Safety Authority (EFSA), which also presents some positive trends in the animal sector. The latest data from humans, animals and food show that a large proportion of Salmonella bacteria are multidrug-resistant (resistant to three or more antimicrobials). In humans, resistance to ciprofloxacin is common, particularly in certain types of Salmonella, and resistance to high concentrations of ciprofloxacin increased overall from 1.7% (2016) to 4.6% (2018). For Campylobacter, 16 out of 19 countries report very high or extremely high percentages of ciprofloxacin resistance. High proportions of resistance to ciprofloxacin are also reported in Salmonella and E. coli bacteria from poultry. Ciprofloxacin is a fluoroquinolone, a class of antimicrobials categorised as critically important for use in humans. If fluoroquinolones lose their effectiveness, the impact on human health could be significant. However, combined resistance – simultaneous resistance to two critically important antimicrobials – to fluoroquinolones and third generation cephalosporines in Salmonella and to fluoroquinolones and macrolides in Campylobacter remains low. For 2018, the report lists sporadic cases of human Salmonella infection with resistance to carbapenems, a last-line antimicrobial. Mike Catchpole, ECDC’s chief scientist, said: Finding carbapenem resistance in foodborne bacteria in the EU is a concern. The most effective way to prevent the spread of carbapenem-resistant strains is to continue screening and responding promptly to positive detections. ECDC is working with EU Member States and with EFSA in a One Health approach to enhance the early detection and monitoring, in an effort to fight the persisting threat of antimicrobial-resistant zoonotic infections. The report also includes key outcome indicators that help EU Member States assess their progress in reducing the use of antimicrobials and combatting antimicrobial resistance. In food-producing animals, the summary indicator of susceptibility to all antimicrobials has increased in E. coli in just under 25% of Member States (6) over the period 2014-2018. This is a positive development as it means that in these countries, in case of need, treatments with antimicrobials would have a higher chance to be successful. Decreasing trends in the occurrence of extended-spectrum β-lactamase (ESBL) or AmpC-producing E. coli have been observed in about 40% of Member States (11) during 2015-2018. This is also important because ESBL-AmpC-producing E. coli are responsible for serious infections in humans. Regarding last-line antimicrobials, resistance to colistin was not common in Salmonella and E. coli, and carbapenemase-producing E. coli were not detected in broilers, turkeys and broiler meat. The positive findings in food-producing animals are encouraging because they are a sign of improvement. However, we need to further investigate the reasons behind this change. Antimicrobial resistance is a serious threat to global public and animal health – or One Health – that requires global action, said Marta Hugas, EFSA’s chief scientist. In humans, the decline in resistance to ampicillin and to tetracyclines in Salmonella Typhimurium in many countries is another encouraging trend observed in 2013-2018. The EU Summary Report is an annual ECDC and EFSA publication which looks at the status of antimicrobial resistance in bacteria affecting humans, animals and food. Read the report The European Union Summary Report on Antimicrobial Resistance in zoonotic and indicator bacteria from humans, animals and food in 2017/2018 Data on antimicrobial resistance (AMR) in zoonotic and indicator bacteria from humans, animals and food are collected annually by the EU Member States (MSs), jointly analysed by EFSA and ECDC and reported in a yearly EU Summary Report. Explore the data Data visualisation - Antimicrobial resistance in Europe: The visualised data show the resistance of Salmonella, E. Coli and Campylobacter in food, animals and humans, country by country from 2018. See previous reports Publication The European Union summary report on antimicrobial resistance in zoonotic and indicator bacteria from humans, animals and food in 2017 Surveillance report - 26 Feb 2019 Publication The European Union summary report on antimicrobial resistance in zoonotic and indicator bacteria from humans, animals and food in 2016 Surveillance report - 27 Feb 2018 Publication The European Union summary report on antimicrobial resistance in zoonotic and indicator bacteria from humans, animals and food in 2015 Surveillance report - 22 Feb 2017 Publication The European Union summary report on antimicrobial resistance in zoonotic and indicator bacteria from humans, animals and food in 2014 Surveillance report - 11 Feb 2016 Publication EFSA/ECDC European Union summary report on antimicrobial resistance in zoonotic indicator bacteria from humans, animals and food in 2013 Surveillance report - 26 Feb 2015 Publication The European Union Summary Report on antimicrobial resistance in zoonotic and indicator bacteria from humans, animals and food in 2012 Surveillance report - 25 Mar 2014 Publication The European Union Summary Report on antimicrobial resistance in zoonotic and indicator bacteria from humans, animals and food in 2011 Surveillance report - 16 May 2013 Publication The European Union summary report on antimicrobial resistance in zoonotic and indicator bacteria from humans, animals and food in 2010 Surveillance report - 14 Mar 2012 Twitter Facebook Linked In Mail	https://www.ecdc.europa.eu/en/news-events/antimicrobial-resistance-eu-infections-foodborne-bacteria-becoming-harder-treat
ECDC_NEWS_0004	2020-03-02	NEWS	ECDC assessment of the COVID-19 situation in Europe as of 2 March 2020	ECDC assessment of the COVID-19 situation in Europe as of 2 March 2020 News 2 Mar 2020 Twitter Facebook Linked In Mail The European Centre for Disease Control and Prevention ECDC today publishes a rapid risk assessment on the novel coronavirus situation in Europe. The European Centre for Disease Control and Prevention ECDC today publishes a rapid risk assessment on the novel coronavirus situation in Europe. The risk of widespread sustained transmission of COVID-19 in EU/EEA and UK in the coming weeks is moderate to high, with more countries expected to report more cases and clusters. This assessment is based on the following factors: There is an increasing number of countries with widespread community transmission around the world and in Europe, and these are exporting cases with subsequent transmission to previously unaffected areas. Up to now, the control measures have been able to only slow, but not stop further spread; Cases with mild symptoms are numerous and able to transmit the infection. Cases with mild symptoms are not always aware of their potential infectivity, and some people with mild symptoms have sought medical care, thereby infecting health care workers; Previously unaffected areas are reporting cases with no history of travel to countries or areas where there is known community transmission. What is new in this risk assessment? Updated epidemiological data; Description of cases and transmission reported in the EU/EEA and the UK; Findings on disease and transmissibility; Risk to the healthcare systems in the EU/EEA and the UK; Risk to citizens from the EU/EEA and UK travelling or living in areas with presumed community transmission; Risk of widespread and sustained transmission in the EU/EEA and UK in the coming weeks; Options for preparedness and response; including a proposed change in case definition. In the event of established and widespread community transmission, current containment measures may no longer be an efficient use of resources. If this occurs, action should be taken to prepare for a mitigation strategy that includes co-ordinated efforts to protect the health of EU/EEA and UK citizens by decreasing the burden on healthcare systems and protecting populations at risk of severe disease. A significant increase in COVID-19 cases in the coming weeks would have a high impact on public health and on healthcare systems. Increasing numbers of imported cases and local transmission chains would require additional resources for case management, surveillance, and contact tracing. Risk communication to the public and to healthcare professionals would tie up further resources. Further increased transmission could result in a significant increase of hospital admissions at a time when healthcare systems may already be under pressure from the current influenza season. This situation would be further exacerbated if substantial numbers of healthcare workers became infected. Bottlenecks may also emerge in terms of diagnostic capacity. Containment measures intended to slow down the spread of the virus in the population are therefore extremely important. Epidemiological data as of 2 March 2020 Total number of reported cases: 89,068 globally (2,199 in the EU/EEA, UK, Monaco, San Marino, Switzerland) Total number of deaths: 3,046 globally (38 in the EU/EEA, UK, Monaco, San Marino, Switzerland) For detailed epidemiological information Publication Rapid risk assessment: Outbreak of novel coronavirus disease 2019 (COVID-19): increased transmission globally – fifth update Risk assessment - 2 Mar 2020 As of 2 March, 66 countries have reported cases of of novel coronavirus disease 2019. The risk associated with COVID-19 infection for people in the EU/EEA and UK is currently considered to be moderate to high, based on the probability of transmission and the impact of the disease.  Rapid risk assessment: Outbreak of novel coronavirus disease 2019 (COVID-19): increased transmission globally – fifth update - EN - [PDF-593.03 KB] COVID-19 Public health threat Travellers' health COVID-19 Public health threat Travellers' health Twitter Facebook Linked In Mail	https://www.ecdc.europa.eu/en/news-events/ecdc-assessment-covid-19-situation-europe-2-march-2020
ECDC_NEWS_0005	2020-02-26	NEWS	COVID-19: ECDC updates case definition for EU surveillance	COVID-19: ECDC updates case definition for EU surveillance News News story 26 Feb 2020 Twitter Facebook Linked In Mail Following the rapid increase of coronavirus cases in Italy, ECDC continuously assesses the impact that those local clusters have on the overall risk of further spread in the EU/EEA. In addition, the Centre supports the Member States in their COVID-19 preparedness and response efforts. At this stage, it is likely that Europe will see similar developments like in Italy, varying from country to country. To address these scenarios, ECDC constantly updates its risk assessments for Europe and provides guidance for the European Union and European Economic Area (EU/EEA) countries and authorities to respond to the outbreak. Following the recent detection of COVID-19 clusters in Italy, ECDC’s support included issuing guidance for hospitals and healthcare workers on how to manage COVID-19 cases and how to protect themselves when taking care of patients as well as for environmental cleaning. On 25 February 2020, ECDC also updated the case definition for EU surveillance of COVID-19 outlining the criteria for suspected cases who should be tested. These include patients presenting with acute respiratory infection (whether mild or severe) who in the 14 days prior to onset of symptoms have met at least one of the following criteria: close contact with a confirmed or probable case of COVID-19 infectionor having stayed in areas with so-called presumed community transmission. ECDC reviewed the list of countries and areas of presumed community transmission which now also includes the four regions in northern Italy. Pasi Penttinen, ECDC expert in infectious diseases, stresses how travellers can help prevent further spread of COVID-19: “This outbreak is a global issue now and good coordination is vital. There is also something everyone can do: when you are travelling to or living in areas with presumed community transmission - which we outline in our assessment - follow strict hygiene measures such as regularly washing hands with water and soap or using alcohol-based hand sanitisers. When you come back from such an area, monitor your health status for a period of 14 days after your return. If you experience any respiratory, flu-like symptoms during that period, contact a healthcare specialist. Ideally do so via telephone first and indicate your travel history before you seek medical attention in person and sitting in waiting rooms with other people. If you have any symptoms, please avoid contact with other people until you have consulted a healthcare specialist.” Read more Case definition and European surveillance for COVID-19, as of 2 March 2020 Case definition for EU surveillance of COVID-19. A case definition is a set of standard criteria for classifying whether a person has a particular disease, syndrome, or other health condition. Risk assessment on COVID-19, 25 March 2020 ECDC risk assessments aim at supporting the EU/EEA countries and the European Commission in their preparedness and response to a public health threat. They provide a timely summary and risk assessment of a public health threat for EU/EEA countries related to a specific event. They also include potential options for response Areas with presumed community transmission of COVID-19 As of 2 March 2020, ECDC no longer defines areas of presumed community transmission. Please refer to WHO situation reports for country classification [hyperlink: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/situation-reports/ Public health management of persons, including health care workers, having had contact with COVID-19 cases in the European Union - first update This document aims to provide guidance for EU/EEA public health authorities on the management of persons, including healthcare workers, who had contact with COVID-19 cases. Checklist for hospitals preparing for the reception and care of coronavirus 2019 (COVID-19) patients This document supports the public health preparedness planning for hospitals with regard to novel coronavirus disease 2019 (COVID-19). This checklist is based on the current knowledge of the COVID-19 outbreak and the evidence available. ECDC will update this checklist should new relevant information become available. See all updates on COVID-19 on the ECDC outbreak page Coronavirus COVID-19 Public health response Public health threat Surveillance Travellers' health Twitter Facebook Linked In Mail	https://www.ecdc.europa.eu/en/news-events/covid-19-ecdc-updates-case-definition-eu-surveillance
ECDC_NEWS_0006	2020-02-23	NEWS	ECDC statement on the rapid increase of COVID-19 cases in Italy	ECDC statement on the rapid increase of COVID-19 cases in Italy News News story 23 Feb 2020 Twitter Facebook Linked In Mail 23 February 2020: ECDC statement on the rapid increase of COVID-19 cases in Italy by the ECDC Director Andrea Ammon. In the last 24 hours, the Italian Ministry of Health confirmed an increasing number of COVID-19 cases, including two deaths, clustered in two regions in Northern Italy as well as single cases in other regions in Northern Italy. ECDC is closely monitoring this situation. We have been in contact with the Italian authorities to provide all necessary assistance at this stage and support their efforts in limiting sustained local transmission. Given the evolving situation, ECDC is assessing the impact that the clusters in Italy have on the overall risk for the EU/EEA and will issue an updated risk assessment within the next 24 hours. ECDC is also in close contact with the European Commission and WHO/Europe. At the same time, ECDC continues to work with all the other EU Member States, to make sure they receive the best support. As the situation is rapidly evolving, more cases are expected in Italy, and possibly in the EU, in the coming days. According to the Istituto Superiore di Sanita (ISS), suspected cases of COVID-19 are first tested in the reference labs of the region and province. Those that test positive are retested in the ISS, and only those validated there are reported as confirmed cases. The Italian authorities are identifying all contacts of the confirmed cases and have announced public health measures for containment, including suspension of mass gatherings, suspension of childcare and schools, and access to essential public services conditioned to the use of personal protective equipment. These extraordinary measures in northern Italy are essential to limit the outbreak and may need to be replicated in other communities in the coming days. Data Video: ECDC statement on the situation in Italy - 23.02.2020 Data, Video - 23 Feb 2020 See latest ECDC assessment on COVID-19 Risk assessment on COVID-19, 25 March 2020 Publication Threat assessment brief: Outbreak of novel coronavirus disease 2019 (COVID-19): Situation in Italy Publication, Risk assessment - 23 Feb 2020 Read more 24/2: Remarks delivered by Commissioner Kyriakides at the joint press conference with Commissioner Lenarčič on the EU's response, preparedness and financial support to address the COVID-19 outbreak Italian Ministry of Health Istituto Superiore di Sanita (ISS) Read more on the ECDC website COVID-19 All the latest information on the cases of COVID-19. Situation update for the EU/EEA and the UK, as of 29 March 2020 Regularly updated information on COVID-19 reported in the EU/EEA and the UK. Q & A on COVID-19 What is COVID-19? Why should the virus be closely monitored? How easily does COVID-19 spread? Situation update worldwide, as of 29 March 2020 See the latest information on the geographical distribution of COVID-19 cases globally, updated daily. Coronavirus COVID-19 Italy Public health response Public health threat Travellers' health Twitter Facebook Linked In Mail	https://www.ecdc.europa.eu/en/news-events/ecdc-statement-rapid-increase-covid-19-cases-italy
ECDC_NEWS_0007	2020-02-15	NEWS	Are European laboratories ready to detect COVID-19?	Are European laboratories ready to detect COVID-19? News story 15 Feb 2020 Twitter Facebook Linked In Mail A first assessment looking at the preparedness of EU/EEA laboratories to detect severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) demonstrates a fast implementation of molecular diagnostics by the European specialised laboratory networks. It also shows a good geographical coverage for testing. In January 2020, a survey among laboratories to assess the capacity and quality for SARS-CoV-2 (previously 2019-nCoV) diagnostics as well as implementation barriers was conducted. The data provided by 47 laboratories in 30 EU/EEA countries were taken into account in a study released by Eurosurveillance.  The laboratories were asked to indicate their weekly capacity for molecular testing for SARS-CoV-2. Of the 47 participating laboratories, 38 indicated a capacity of minimum 8 275 tests per week.     At the time of the survey, an additional eight laboratories were in the process of implementing molecular diagnostics and these laboratories would, all combined, add a minimum capacity of 875 tests per week once this process would be complete. Furthermore, the survey indicated a great willingness of laboratories to provide international diagnostic support and to share sequences to contribute to the monitoring of virus evolution and trace transmission chains.    The main challenges for test implementation were an initial lack of positive control, lack of personnel/time and a lack of primers and/or probes.  Read the full assessment External Link Laboratory readiness and response for novel coronavirus (2019-nCoV) in expert laboratories in 30 EU/EEA countries, January 2020 A first assessment looking at the preparedness of EU/EEA laboratories to detect severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) demonstrates a fast implementation of molecular diagnostics by the European specialised laboratory networks. It also shows a good geographical coverage for testing. Coronavirus COVID-19 EU/EEA Laboratories Laboratory capacity Public health threat Coronavirus COVID-19 Europe Public health threat Twitter Facebook Linked In Mail	https://www.ecdc.europa.eu/en/news-events/are-european-laboratories-ready-detect-covid-19
ECDC_NEWS_0008	2020-02-07	NEWS	Increase in avian influenza virus outbreaks in Europe	Increase in avian influenza virus outbreaks in Europe News story 7 Feb 2020 Twitter Facebook Linked In Mail Outbreaks of A(H5N8) A(H5N1) avian influenza viruses have been reported in the central eastern part of Europe since the beginning of January. To minimise risk, people that are exposed to potentially infected birds should avoid direct unprotected contact to birds or their droppings and take appropriate personal protection measures. Since the beginning of January, outbreaks of high pathogenic A(H5N8) and low pathogenic A(H5N1) avian influenza viruses have been reported in the central eastern part of Europe. These outbreaks in poultry holdings and wild birds, reported to the World Organisation for Animal Health and listed in the Global Animal Disease Information System (EMPRES-i) of the Food and Agriculture Organization of the United Nations (FAO), have been detected in countries such as the Czech Republic, Denmark, Germany, Hungary, Poland, Romania, Slovakia, and Ukraine. Large and small poultry holdings as well as backyard farms raising different bird species including turkeys, chickens, ducks and geese were affected. Wild birds found positive were wild waterfowl but also a hawk. Control measures according to the Council Directive 2005/94/EC have been implemented with culling operations of the poultry at all affected premises. According to the Food and Agriculture Organization of the United Nations European, countries with significant poultry production which are located at lower latitudes and closer to the current outbreaks may be at higher risk in the coming months, depending on wild bird movements. The latest ECDC/EFSA/EURL situation report on avian influenza indicated only one low pathogenic avian influenza outbreak between August and November 2019, which suggests that the epidemiological situation is evolving fast and countries at risk should increase their surveillance activities. According to European Commission and the Department for Environment, Food and Rural Affairs Animal & Plant Agency Situation Assessment, the sequence analysis of highly pathogenic avian influenza A(H5N8) isolates showed that the strains identified in 2020 are different to strains previously observed circulating in Europe. Some similarity to viruses collected 2019 in Africa have been observed in the HA gene segment. Other genes (NP and PB1), however, were different to the African isolates but showed close relationship to viruses detected in wild birds in Russia in 2018. Handle with care and avoid direct unprotected contact Avian influenza virus transmission to humans is a rare event and the risk is considered to be very low for viruses adapted to avian species. However, although no transmission of highly pathogenic A(H5N8) viruses to humans have been observed, the ongoing reassortment between different A(H5N8) and other viruses might impact zoonotic transmission. According to the EURL, no markers for improved transmission or pathogenicity have been observed. To minimise any residual risk, people that are exposed to potentially infected birds should avoid direct unprotected contact to birds or their droppings and take appropriate personal protection measures following national guidelines. People with respiratory illness or conjunctivitis following contact with ill or dead birds or their droppings or involved in operations in confirmed outbreaks should mention their exposure to birds to their physician to initiate testing for avian influenza virus infection. Avian influenza virus Surveillance Twitter Facebook Linked In Mail	https://www.ecdc.europa.eu/en/news-events/increase-avian-influenza-virus-outbreaks-europe
ECDC_NEWS_0009	2020-02-05	NEWS	Ready to respond: ECDC fellowship programme fellows supporting Europe’s response to the novel Coronavirus	Ready to respond: ECDC fellowship programme fellows supporting Europe’s response to the novel Coronavirus News story 5 Feb 2020 Twitter Facebook Linked In Mail At this stage, 16 fellows from two current cohorts are involved in the work to prepare and respond to the ongoing health threat from the novel Coronavirus detected in China. As fully-fledged professionals in applied epidemiology (EPIET) and public health microbiology (EUPHEM), the fellows of the ECDC Fellowship Programme work all across the European Union and European Economic Area in public health institutes and laboratories. At this stage, 16 fellows from two current cohorts are involved in the work to prepare and respond to the ongoing health threat from the novel Coronavirus detected in China. The EPIET and EUPHEM fellows set up surveillance systems for this novel coronavirus 2019-nCoV, conduct epidemic intelligence and scientific literature searches, and produce situation reports. They contribute to risk assessments that inform their Emergency Operation Centres and public health policy makers. Others conduct training sessions on coronavirus preparedness for healthcare professionals, and provide guidance on testing for coronavirus, diagnosis, travel and other queries through helplines. And with that gain valuable insights into the work of outbreak investigations. As fellows work in collaboration across disciplines, they also support risk communication e.g. via social media and development of communication campaigns to inform the public about the virus. In public health laboratories they are involved in the development, validation and implementation of molecular diagnostic tests for 2019-nCoV, they write standard procedure and forms for collecting and sending suspected 2019-nCoV samples, contribute to collaborations among different labs to strengthening the diagnostic capacity, and to preparedness activities in national reference labs.   TEPHINET The ECDC Fellowship Programme belongs to the TEPHINET network of field epidemiology training programmes.Updates on their involvement in this public health emergency are available at  https://www.tephinet.org/fetp-activities-in-response-to-2019-ncov-the-novel-coronavirus EPIET/EUPHEM Twitter Facebook Linked In Mail	https://www.ecdc.europa.eu/en/news-events/ready-respond-ecdc-fellowship-programme-fellows-supporting-europes-response-novel
ECDC_NEWS_0010	2020-01-28	NEWS	ECDC statement following reported confirmed case of 2019-nCoV in Germany	ECDC statement following reported confirmed case of 2019-nCoV in Germany News story 28 Jan 2020 Twitter Facebook Linked In Mail German health authorities confirmed a case of 2019-nCoV in Bavaria on 27 January. This brings the cases reported in Europe to four. The cases in France had a direct link to Wuhan, China. Based on current information, the infection in Germany followed a close contact with a visitor from China during a stay in Germany (diagnosed with 2019-nCoV after return to China) who had previously been visited by relatives from the Wuhan area. The German authorities are investigating this case and taking the necessary steps to trace and inform any contacts.  At this stage of the on-going outbreak in the Hubei province in China, it is likely that there will be more imported cases in Europe. As a consequence, it could be expected to see (limited) local transmission in Europe. A single detected case in Europe does not change the overall picture for Europe, nor does it change the assessment that there is currently a moderate likelihood of importation of cases of 2019-nCoV to the EU/EEA. As more and more cases are reported globally, this also increases the probability of sporadically imported cases to EU/EEA countries. Based on this, EU/EEA countries should ensure that timely and rigorous infection prevention and control measures (IPC) are applied around any detected nCoV cases in the EU/EEA, in order to prevent further spread in the community and healthcare settings. Healthcare workers in the EU/EEA need to be aware and vigilant in order to detect possible nCoV cases early and apply appropriate infection control measures when handling patients. Right now, the focus still should be on the development of the outbreak in China and the related information on the characteristics of the virus. The source of infection is unknown and could still be active. Human-to-human transmission has been confirmed but more information is needed to evaluate the full extent of this mode of transmission and understanding how the virus spreads. As this is a rapidly evolving situation, ECDC is revising its risk assessment for Europe.   Coronavirus COVID-19 Germany Public health threat Travellers' health Twitter Facebook Linked In Mail	https://www.ecdc.europa.eu/en/news-events/ecdc-statement-following-reported-confirmed-case-2019-ncov-germany
