id	date	text_type	title	text	url
ECSEL_NEWS_0001	2020-12-17	NEWS	ECSEL JU project REFERENCE is awarded the French “Étoile de l’Europe” (“Star of Europe”) award for innovation.	 We are very proud to announce that REFERENCE, led by the French company Soitec, has been awarded this important recognition of its major innovations in the domain of Silicon-on-Insulator semiconductors for radio-frequency applications by Frédérique Vidal, France’s Minister of Higher Education, Research, and Innovation. The REFERENCE consortium comprises 15 multidisciplinary partners from four European countries. These include semiconductor manufacturers/vendors (Soitec, STMicroelectronics, Globalfoundries, Siltronic, Sentronics, TELIT, ATEP, AED, Airbus), three of Europe’s largest centres for applied research in microelectronics (CEA, FhG, IMEC) and three high-level universities (UCB-Lyon, TU-Dresden, UBW-Munich). To quote for their press-release on the subject: Paul Boudre, CEO of Soitec, said: “Our successful and ongoing participation in the European ECSEL program helps us to maintain our pole position in telecommunications. It showcases our capacity to translate semiconductor innovations into full-fledged ecosystems and gear them up to end consumer application levels. We pursue the new ECSEL initiatives, in particular BEYOND5, to further enhance the adoption of our technologies, and we remain committed to Europe’s objective to foster environmental sustainability and technological sovereignty.” and Bert De Colvenaer, Executive Director of the ECSEL JU, warmly congratulates the consortium. “This is exactly what we at ECSEL JU dream of: a sequence of projects, independently selected out of the calls for proposals based on the highest excellence, biggest impact and perfect implementation, building upon each other to deliver unique and important ‘Made in Europe’ technologies used on a worldwide scale. We highly appreciate that one of our projects has been awarded this trophy: it proves again that ‘thinking together, working together, and investing together’ at European scale really does deliver!” The full press-release from Soitec is available here.             	https://www.ecsel.eu/news/ecsel-ju-project-reference-awarded-french-etoile-de-leurope-star-europe-award-innovation
ECSEL_NEWS_0002	2021-05-31	NEWS	ECSEL JU Symposium 2021	 Back in June!   	https://www.ecsel.eu/news/ecsel-ju-symposium-2021
ECSEL_NEWS_0003	2020-11-03	NEWS	I-MECH's final results available via EC's page, CORDIS	 ECSEL JU-funded project I-MECH has recently finished. This very successful project has had a summary of its key achievements published via the “CORDIS” website operated by the European Commission. I-MECH's ambition was to bridge the gap between the latest research results and best industrial practice in intelligent motion control for smart mechatronic systems. Software and hardware building blocks, featuring standardized interfaces, developed within the project's lifetime, delivered a complete I-MECH reference motion control platform. Check out the results here.  	https://www.ecsel.eu/news/i-mechs-final-results-available-ecs-page-cordis
ECSEL_NEWS_0004	2021-10-13	NEWS	ECSEL JU member association ARTEMIS-IA becomes Inside Industry Association	 Inside Industry Association meets the Digital Age ARTEMIS evolved into Inside Industry Association Europe is going through several changes and challenges. With KDT coming up and the challenges ahead, ARTEMIS Industry Association decided the time was right to evolve and with that, changed their name into Inside Industry Association. The association is evolving: as Inside, the association aims to focus even more on innovative members and how to create Intelligent Digital Systems together. Inside serves as a European Technology Platform providing networking opportunities, a channel to inspire politicians and support to apply for funding in the Electronic Components and Systems value chain for R&I participants. Together with the AENEAS and EPoSS industry Association, Inside continues to advocate for European and National support of Research, Development and Innovation. Together, they stimulate and supports collaborative innovation to meet societal and economic challenges in a sustainable way and shape the digital future of Europe by co-defining the RD&I Electronic Components and Systems (ECS) strategy. 	https://www.ecsel.eu/news/ecsel-ju-member-association-artemis-ia-becomes-inside-industry-association
ECSEL_NEWS_0005	2020-08-07	NEWS	Vacancy notice for the post of Financial/Administrative Assistant in ECSEL JU	 ECSEL Joint Undertaking is looking for a Financial/Administrative assistant to join the team. The Financial/Administrative Assistant will primarily provide support to the Finance and Administration team, and could also be requested to support other parts of the JU. To check out the job description and criteria, and in order to apply, visit our Vacancies page.  Deadline for application submission is 15 September 2020, at 12.00.    	https://www.ecsel.eu/news/vacancy-notice-post-financialadministrative-assistant-ecsel-ju
ECSEL_NEWS_0006	2020-12-17	NEWS	ECSEL JU Lighthouse Initiative Presentations at EFECS-2020	 View the presentation by the ECSEL JU Lighthouse Initiatives at the EFECS-2020 online event. 	https://www.ecsel.eu/news/ecsel-ju-lighthouse-initiative-presentations-efecs-2020
ECSEL_NEWS_0007	2021-05-28	NEWS	CLOSED - Vacancy notice for a traineeship programme within ECSEL JU	 ECSEL Joint Undertaking is looking for a trainee to join the team. The traineeship programme, operated within the ECSEL JU, gives trainees an understanding of the Joint Undertaking and its role within the activities of the European Union, enables them to acquire practical knowledge of the ECSEL JU and its regulatory framework and to obtain professional experience in the course of their work. ECSEL JU offers on-the-job training opportunities in the different units, for candidates with background or career development goals in the mentioned topics: Administration Operations Communication Check our vacancies page for more information! 	https://www.ecsel.eu/news/closed-vacancy-notice-traineeship-programme-within-ecsel-ju
ECSEL_NEWS_0008	2021-10-01	NEWS	POSITION II releases a documentary movie as the project wraps up its final stage	 ECSEL JU project POSITION II has just finished its 3 year run with impressive results - the project's results significantly enhance the competitiveness of Europe in the rapidly emerging field of minimal invasive surgery. The achievements of this Netherlands-led consortium will enable the further development of the European R&D and manufacturing capability in an extremely innovative industrial segment with a high economic importance, not only encompassing the micro-fabricated device itself, but also the various value chains that they enable. Finally, by bringing smart catheters into the domain of high volume manufacturing, POSITION II improves the quality of health-care at manageable cost. Check out the movie teaser for the summary, or you can watch the entire documentary here.  	https://www.ecsel.eu/news/position-ii-releases-documentary-movie-project-wraps-its-final-stage
ECSEL_NEWS_0009	2020-07-31	NEWS	ECSEL JU project VALU3S holds a digital press briefing	 VALU3S is a new research project that will evaluate and improve the state-of-the-art verification and validation methods and tools for automated systems in automotive industry, agriculture, railway, healthcare, aerospace and industrial automation and robotics. VALU3S brings together a consortium with partners from 10 different countries, amounting to a mix of 25 industrial partners, 6 leading research institutes, and 10 universities. 13 use cases with specific safety, security and privacy requirements will be studied in detail. The project organizes a digital Press Briefing for the media on Wednesday, 12 August 2020 at 11:00,  via Zoom. Register here in order to receive a direct link to join the meeting.   	https://www.ecsel.eu/news/ecsel-ju-project-valu3s-holds-digital-press-briefing
ECSEL_NEWS_0010	2020-10-09	NEWS	BI/OND - Building a bridge between biology and engineering	 Founded in 2017, this young start-up company building on results from ECSEL JU medical project InForMed, has developed a computer chip and a platform where biologists can place an individual’s cells. This innovative microchip nourishes, stimulates and monitors the cells as if they were in the human body. This will allow to perform much more accurate drug testing and simulations of any tissue type, taking into account differences between individuals, such as ethnicity, age or gender, which were so far ignored by modern medical treatments. BI/OND’s patented organ-on-chip technology allows treatment to be optimised for different applications, including heart, lung, brain and cancer tissues. These dynamic functionalities allow researchers to find the right medicine for a specific individual, paving the way for personalised medicine. The product’s uniqueness derives from the power of microelectronics. BI/OND’s relatively cheap and highly customisable technology can be used to conduct ground-breaking research by growing 3D cell cultures in an environment that mimics the human body. Organ-on-chip is a very promising methodology that is expected to lead to improved success in drug development, lower costs and less animal testing.  The company has just secured €250,000 of growth capital from early-stage investment fund UNIIQ. BI/OND will use part of the investment to expand its already strong team with engineers to work on scaling up the highly promising technology. It will also invest in research and development and intellectual property activities.  Read the company's press release here.  To find out more about BI/OND, visit their page.    	https://www.ecsel.eu/news/biond-building-bridge-between-biology-and-engineering
