id	date	text_type	title	text	url
EFSA_NEWS_0001	2021-10-14	NEWS	Salmonellosis outbreak linked to imported sesame-based products	 Five European countries have reported salmonellosis infections linked to the consumption of sesame-based products such as tahini and halva imported from Syria. Up to 121 people have been affected since January 2019 in Denmark, Germany, the Netherlands, Norway, and Sweden. Several types of Salmonella are linked to the outbreak – S. Mbandaka, S. Havana, S. Orion, S. Amsterdam, S. Senftenberg, and S. Kintambo. The products are sealed and ready to be consumed, which suggests that contamination occurred before they reached the European market. Control measures on the involved batches have been implemented since August 2020. Nevertheless, cases were still being reported as recently as September 2021. This could be because the products have a long shelf life and are being stored in people’s homes. EFSA and ECDC scientists concluded that there is still a risk of new Salmonella infections related to these products in the EU/EEA. Multi-country outbreak of multiple Salmonella enterica serotypes linked to imported sesame-based products 	https://efsa.europa.eu/en/news/salmonellosis-outbreak-linked-imported-sesame-based-products
EFSA_NEWS_0002	2021-09-23	NEWS	Glyphosate: EFSA and ECHA launch consultations	 EFSA and the European Chemicals Agency (ECHA) have started parallel consultations on the initial scientific evaluations of glyphosate. The consultations will run for 60 days and all interested parties are encouraged to contribute.  In the parallel consultations, EFSA will gather feedback on the renewal assessment report on glyphosate. ECHA’s consultation is on the harmonised classification and labelling report. The initial scientific evaluations put out for consultation today were both prepared by the Assessment Group on Glyphosate (AGG), which comprises national competent authorities in France, Hungary, the Netherlands and Sweden. EFSA and ECHA strive for transparency and to bring citizens and stakeholders as close to the agencies’ work as possible. All interested parties are encouraged to contribute to the consultations by submitting relevant comments or scientific information and data. The consultations will remain open for 60 days and all comments will be published after their closure on the two agencies’ websites. After the consultations, each agency will collate the comments relevant for their respective process.  For the harmonised classification process, the AGG and ECHA’s Committee for Risk Assessment (RAC) will consider the comments and data submitted.  These considerations will be taken forward when RAC develops its opinion on the classification of glyphosate under the Classification, Labelling and Packaging (CLP) Regulation. The classification of chemicals is based solely on the hazardous properties of a substance and does not take into account the use or likelihood of exposure to the substance. Exposure is considered as part of the risk assessment of pesticide active substances, a process led by EFSA. Glyphosate currently has a harmonised classification as causing serious eye damage and as toxic to aquatic life with long-lasting effects, prior to and following the assessment by ECHA in 2017. Classification for germ cell mutagenicity, carcinogenicity or reproductive toxicity was not considered to be warranted. The initial scientific evaluation from the AGG does not recommend a change to the existing classification. EFSA will take the outcome of ECHA’s opinion on the classification of glyphosate into account in its peer review and is expected to finalise its work in the second half of 2022. The European Commission, together with risk managers from the 27 EU Member States, will then decide whether to renew the approval of glyphosate for use in the EU. Background Glyphosate is a chemical that is widely used in plant protection products (PPPs). Glyphosate-based PPPs – i.e. formulations containing glyphosate, co-formulants and other chemicals – are mainly used in agriculture and horticulture to control weeds that compete with cultivated crops. The European Commission granted a five-year approval for glyphosate in 2017. It is currently approved for use in the EU until 15 December 2022. This means it can be used as an active substance in PPPs until that date, subject to each product being authorised by national competent authorities in the individual EU Member States following a safety evaluation. You can take part in EFSA’s consultation at this link. 	https://efsa.europa.eu/en/news/glyphosate-efsa-and-echa-launch-consultations
EFSA_NEWS_0003	2021-08-18	NEWS	Register now: A New Deal for Pollinators	 Registration is open for this year’s EU Pollinator Week, which will take place from 27-30 September. The theme of the online event is “A New Deal for Pollinators” and will include a session on the work of EFSA and the European Chemicals Agency (ECHA) in this area as well as others looking at agriculture and pollinators and beekeeping issues. EFSA staff will present on a number of topics that are relevant to the area of bee and pollinator health, such as the MUST-B opinion, the ongoing revision of the guidance on bees and pesticides, and EFSA’s plans to broaden its work on environmental risk assessment of pollinators in support of the objectives laid down in the European Green Deal.  You can register for the EFSA/ECHA session here. For further details and to register for the other sessions, please visit the Pollinator Week website. 	https://efsa.europa.eu/en/news/register-now-new-deal-pollinators
EFSA_NEWS_0004	2021-07-22	NEWS	EFSA explains draft scientific opinion on a tolerable upper intake  level for dietary sugars	NULL	https://efsa.europa.eu/en/corporate-pubs/efsa-explains-draft-scientific-opinion-tolerable-upper-intake-level-dietary-sugars
EFSA_NEWS_0005	2021-07-15	NEWS	African swine fever: campaign extended to new countries	 EFSA is stepping up its efforts to halt the spread of African swine fever in Europe by expanding its campaign to a further nine countries. Last summer, EFSA launched a major campaign to raise awareness of the disease in south-east Europe. The campaign was carried out in partnership with local authorities in countries comprising a “region of concern” — Albania, Bosnia and Herzegovina, Croatia, Greece, Kosovo*, Montenegro, North Macedonia, Serbia and Slovenia — due to their proximity to countries where ASF is present. EFSA is now extending the campaign – aimed primarily at farmers – to Bulgaria, the Czech Republic, Lithuania, Latvia, Poland, Slovakia, Estonia, Hungary and Romania. Nikolaus Kriz, Head of EFSA’s Animal and Plant Health Unit, said: “As a scientific organisation we are working tirelessly to produce assessments and make recommendations that can help countries threatened by African swine fever to  protect their animals and their economies. “Last year we decided to take our science out into the field and show that EFSA is committed to helping farmers and others who are living in the shadow of this terrible disease. The campaign was well received in the first wave of countries and now we are going further afield with our message to detect, prevent and report.” The campaign complements the ongoing efforts of the European Commission and other international organisations aimed at eradicating the disease in Europe. What is African swine fever? African swine fever (ASF) is a viral disease that affects domestic pigs and wild boar. The virus is harmless to humans but has caused significant economic disruption in many countries. There are no vaccines, so an outbreak can necessitate the slaughter of large numbers of farm-kept pigs in affected areas. Objectives and audiences The campaign aims to raise awareness and understanding of ASF in all 18 countries and is aimed at groups of people and individuals who come into contact with domestic pigs and wild boar, particularly pig farmers. It is being implemented with the invaluable assistance of local veterinary organisations, farmers’ groups, hunting associations, border police, and other relevant bodies. Detect, Prevent, Report Because an ASF outbreak can have such devastating effects, detection, prevention and reporting are essential if this disease is to be contained. These are the key words of the campaign. We will be sharing factsheets, infographics, ready-to-use social media posts and other materials. Find out more on the campaign website: www.efsa.europa.eu/StopASF *This designation is without prejudice to positions on status, and is in line with UNSCR 1244 and the ICJ Opinion on the Kosovo Declaration of Independence.​ 	https://efsa.europa.eu/en/news/african-swine-fever-campaign-extended-new-countries
EFSA_NEWS_0006	2021-07-13	NEWS	EFSA’s direction of travel set for 2022-2027	 EFSA’s Management Board has adopted our 2022-2027 Strategy, setting out the priorities for the organisation, the results we aim to achieve and the high-level actions that will help us to meet our objectives. The adoption follows two years of consultation with our partners, stakeholders, Management Board and the wider public – identifying challenges and opportunities and what we can do to address them. The world continues to change rapidly. An amendment to the General Food Law came into effect in 2021, increasing our responsibilities towards EU citizens; EU-wide policy developments, such as the Farm to Fork Strategy, will shape the focus of our activities in the years ahead; and the pandemic requires us to adapt to new ways of working. What will EFSA do to remain relevant in this changing context? Delivering trustworthy assessment and communication of risks from farm to fork will remain our core business, as set out in Strategic Objective 1, in the years to come. Strategic Objective 2 tackles how we will ensure preparedness for future risk analysis needs. Finally, Strategic Objective 3 is about how we will manage and enable our operations. We will seek to empower staff and ensure organisational agility, which is a crucial driver of our work.  We won’t be able to do this alone. In the face of current and future challenges to the provision of safe, healthy and sustainable food, we will take cooperation to a new level: creating value through partnerships within an EU knowledge ecosystem. This ethos of collaboration – and EFSA’s more focused role as an enabler of collective action – is at the heart of our Strategy 2027. What’s next? EFSA is ensuring all the building blocks are in place to enable implementation of the strategy in January 2022. This includes developing performance indicators that will allow us to monitor progress as well as organisational changes that will turn our ambitions into reality. The EFSA Strategy 2027 is available here; a digital version will be available later this summer. 	https://efsa.europa.eu/en/news/efsas-direction-travel-set-2022-2027
EFSA_NEWS_0007	2021-07-15	NEWS	Bee health: new data hub goes live	 The EU Bee Partnership (EUBP) has unveiled a new online data platform that will play a crucial role in efforts to protect bee and pollinator health. The prototype platform is a ground-breaking tool that will bring together and visualise harmonised data related to bees and other pollinators. Stakeholders from different sectors – beekeeping and farming associations, European agencies, scientists and academia, the crop protection industry, veterinary associations, NGOs, and others –  have collaborated closely to develop the prototype platform. BeeLife European Beekeeping Coordination led the development of the platform, supported by a grant from EFSA. The collection of harmonised data on bees and pollinators from across Europe will be central to the success of the new framework developed by EFSA for environmental risk assessment of multiple stressors in bees known as MUST-B. EFSA will assist the transformation of the prototype platform into a fully operational tool by providing finance for the next phase of its development. A call for tenders will soon be launched to take the project forward. The ultimate goal is for the platform to become a hub that brings together all relevant information, knowledge and data collected by, and exchanged among, stakeholders on bee health and beekeeping. It would make relevant data accessible to end users such as beekeepers, beekeeping or farming associations, researchers, agencies and policymakers. EFSA has also just taken delivery of field data collected from sentinel honey bee hives in Denmark and Portugal. These pilot collections will help to calibrate the ApisRAM simulation model that is at the heart of the MUST-B framework. The EU Bee Partnership (EUBP) Prototype Platform: data model description Research project on field data collection for honey bee colony model evaluation Call for tenders: Towards an Operational EU Bee Partnership Platform for Harmonised Data Collection and Sharing Among Stakeholders on Bees and Pollinators 	https://efsa.europa.eu/en/news/bee-health-new-data-hub-goes-live
EFSA_NEWS_0008	2021-07-13	NEWS	OpenFoodTox: chemical hazards database	NULL	https://efsa.europa.eu/en/discover/infographics/openfoodtox-chemical-hazards-database
EFSA_NEWS_0009	2021-06-15	NEWS	Antimicrobial resistance and the food production environment: sources and control options	 Fertilisers of faecal origin, irrigation, and water are the most significant sources of antimicrobial resistance (AMR) in plant-based food and/or aquaculture. In terrestrial animal production, potential sources are feed, humans, water, air or dust, soil, wildlife, rodents, arthropods, and equipment, says EFSA. For the first time, EFSA experts have assessed the role of food producing environments in the emergence and spread of AMR. They identified the main sources of AMR bacteria and genes, although current data do not allow quantification of the specific contribution each of them makes to this global problem. EFSA identified the resistant bacteria and genes of highest priority for public health that can be transmitted through the food chain and reviewed the scientific literature to describe their occurrence in those environmental sources. Measures to limit the emergence and spread of resistance in food production environments include reducing the faecal microbial contamination of fertilizers, water and feed, and the implementation of good hygiene practices. Experts also made recommendations on priority areas for research that would help to close data gaps – thereby helping EU risk managers to implement the EU One Health Action plan against AMR. Experts worked closely with the European Centre for Disease Prevention and Control (ECDC), the European Medicines Agency (EMA) and the European Environment Agency (EEA) in developing this scientific opinion. Role played by the environment in the emergence and spread of antimicrobial resistance (AMR) through the food chain 	https://efsa.europa.eu/en/news/antimicrobial-resistance-and-food-production-environment-sources-and-control-options
EFSA_NEWS_0010	2021-06-16	NEWS	Titanium dioxide: no longer considered safe as feed additive	 Titanium dioxide can no longer be considered safe when used as an additive in animal feed, EFSA has concluded. The assessment by EFSA’s Panel on Additives and Products or Substances used in Animal Feed (FEEDAP) follows the conclusion reached by EFSA’s Panel on Food Additives and Flavourings (FAF) that the same compound can no longer be considered safe when used as a food additive.  The FEEDAP Panel could not rule out concerns related to  genotoxicity , which is the ability of a substance to damage DNA, the genetic material of cells.  After oral ingestion, the absorption of titanium dioxide particles is low, but they can accumulate in the body. This, together with a lack of data, meant the panel could not conclude on the safety of TiO2 for animals, consumers and the environment. Regarding user safety, titanium dioxide is considered potentially carcinogenic by inhalation.  Titanium dioxide is currently authorised for use as a colouring agent. Safety and efficacy of a feed additive consisting of titanium dioxide for all animal species (Kronos International, Inc.) 	https://efsa.europa.eu/en/news/titanium-dioxide-no-longer-considered-safe-feed-additive
