id	date	text_type	title	text	url
EMCDDA_UNK_0001	2021-10-18	UNK	EMCDDA releases new European miniguides on responding to drug problems	 What are the most effective treatment options for cannabis problems? How to respond to new trends in cocaine use? How to help prevent the non-medical use of medicines? These are among the questions explored in a new collection of miniguides being launched today by the EU drugs agency (EMCDDA). The miniguides — being released in four successive bundles between October 2021 and early 2022 — focus on patterns of use, harms, settings and vulnerable groups. Together, they make up the agency’s latest overview of actions and interventions now available to respond to the consequences of illicit drug use. Drawing on a fresh global review of the evidence, and insights from 29 countries (27 EU, Turkey and Norway), the miniguides are designed to support practitioners and policymakers in addressing the negative consequences of drug use. The resources are presented in a digital and modular format, designed to improve accessibility, to be easier to read across a range of devices and to facilitate regular updates and translations. Throughout the guides, ‘Spotlights’ focus on a number of hot topics requiring special attention today. These include COVID-19, drug use and sexual health, and the use of synthetic cannabinoids, fentanils and performance- and image-enhancing drugs. How to identify problems and choose the most appropriate responses is covered in an action framework accompanying the guides. First up this month are the miniguides on responding to specific patterns of drug use, covering cannabis, medicines, opioids, polydrug use, stimulants and new psychoactive substances (see below). Each miniguide provides an overview of the most important aspects to consider when planning or delivering health and social responses to particular drug-related problems. The miniguides review the availability and effectiveness of responses and consider implications for policy and practice. EMCDDA Director Alexis Goosdeel says: ‘The EMCDDA is committed to assisting policymakers and practitioners in planning and delivering policies and programmes that contribute to a healthier and more secure Europe. Our latest European responses miniguides, delivered in a digital and modular format, examine some of the key public health challenges in the drugs field today and offer timely and practical advice for designing, targeting and implementing effective responses. In the face of the COVID-19 pandemic, we saw how drug services were quick to adapt and innovate in a fast-moving crisis and in the face of an ever-more complex drugs phenomenon. We hope that these practical guides will equip them with the tools to respond to the drug problems of today, but also to prepare for those of tomorrow’. Timeline: 18 October Action framework for developing and implementing health and social responses to drug problems Bundle 1: Patterns of use 19 October Cannabis: health and social responses 20 October Non-medical use of medicines: health and social responses 21 October Opioids: health and social responses 22 October Polydrug use: health and social responses 25 October Stimulants: health and social responses 26 October New psychoactive substances: health and social responses   	https://www.emcdda.europa.eu/news/2021/9/emcdda-releases-new-european-miniguides-responding-drug-problems_en
EMCDDA_UNK_0002	2021-10-07	UNK	EUSPR Leading European Prevention Science Practitioner Honour 2021 goes to Artur Malczewski	 The EMCDDA would like to congratulate Head of the Polish national focal point, Artur Malczewski, on receiving the Leading European Prevention Science Practitioner Honour 2021 from the European Society for Prevention Research (EUSPR). This honour is awarded for outstanding leadership in the adoption and implementation of evidence-based prevention strategies, including support for further high-quality research evaluation. Artur Malczewski has been Head of the Polish NFP since 2007 and is an active member of the agency's Reitox network. The EUSPR promotes the development of prevention science, and its application to practice, so as to promote human health and well-being through high quality research, evidence-based interventions, policies and practices. 	https://www.emcdda.europa.eu/news/2021/euspr-leading-european-prevention-science-practitioner-honour-2021-goes-artur-malczewski_en
EMCDDA_UNK_0003	2021-10-07	UNK	In Memoriam — Father Vítor Feytor Pinto	 It was with great sadness that the EMCDDA learned this week of the death of Father Vítor Feytor Pinto. The first Chair of the EMCDDA Management Board — a position he held between 1994 and 1997 — Father Feytor Pinto made a fundamental contribution to the creation of the agency and its early operational activities. As High Commissioner for Projecto VIDA (Project LIFE) and Drug coordinator of Portugal, Father Feytor Pinto also promoted the establishment of Observatório VIDA, the first Portuguese national focal point of the Reitox network. Here he dedicated his efforts to the smooth functioning of the focal point and a national network of data and information sources. In the late 1980s, Father Feytor Pinto was among the pioneers of a new approach to the drugs problem, both in Portugal and Europe, promoting awareness among policymakers of the importance of knowledge over dogma and ideology. He also highlighted the relevance of the health aspects of the drugs problem in an area hitherto dominated by a security perspective and control of supply. The Director of the EMCDDA and his staff acknowledge, and express their gratitude for, the role played by Father Vítor Feytor Pinto in the life of the agency, and send their heartfelt condolences to his family. 	https://www.emcdda.europa.eu/news/2021/memoriam-father-vitor-feytor-pinto_en
EMCDDA_UNK_0004	2021-10-04	UNK	Registration opens for European Drugs Winter and Summer Schools 2022	 The EMCDDA and the University Institute of Lisbon (ISCTE-IUL) are pleased to open registration today for two upcoming joint events in 2022: the European Drugs Winter School (EDWS) and the European Drugs Summer School (EDSS) (1) (2). EDWS: 14–25 February 2022 (online): Following the success of the first EDWS in 2021, the organisers have decided to deliver the second virtual EDWS in 2022, this time on the theme of ‘Cannabis: practice, policies and debates in the EU and beyond’. Adopting a similar structure to the 2021 edition, the two-week course will feature live lunchtime lectures with experts and practitioners, followed by afternoon exercises. Virtual fieldwork tours will also be offered. Completion of exercises and an exam are compulsory for those wishing to obtain credits. The sessions will be recorded and available for subsequent viewing. Increasing the offer of online training is in line with the EMCDDA’s digital transformation objectives. EDSS: 27 June to 8 July 2022 (Lisbon): This time, the two-week course will focus on ‘Community-based interventions for drug-related issues’. Sessions will include lectures on community-based interventions, such as low-threshold facilities, drug consumption rooms and outreach units. Study visits will be organised to one of the Portuguese commissions for dissuasion as well as a local harm reduction centre. During the course, students will participate in interactive workshops to discuss their own projects and views. The course will conclude with an open debate with guest speakers, followed by an exam for those wishing to obtain credits. All recommended COVID-19 safety measures will be put in place, if applicable. Deposits and fees will be reimbursed if the summer school is cancelled in case of force majeure. The target audiences for the two events are: university students, researchers, professionals and administrators interested in working on drug issues. The previous rounds of these courses brought together students from the EU Member States as well as from Africa, Asia, Australia and the Americas. Profiles of former alumni and their testimonials can be found on the official summer school website and their statements viewed in a promotional video (3). The courses prepare professionals and students to meet the complex policy challenges that face Europe in the field of drugs. Involving scientific experts from the EMCDDA, university professors and policymakers, they provide a multi-disciplinary and inclusive approach to the study of the drugs problem in Europe and beyond. Details on scholarships in 2022 are available on the event web pages. Both events will be conducted in English. 	https://www.emcdda.europa.eu/news/2021/registration-opens-european-drugs-winter-and-summer-schools-2022_en
EMCDDA_UNK_0005	2021-09-30	UNK	News from EU4Monitoring Drugs, an EMCDDA technical cooperation project	 This content was published in the EU4MD update released on 30.09.2021. This update also presents a section on partnerships, announcements, studies, upcoming events, and a research corner. Focus on: Methamphetamine from Afghanistan Europe should be better prepared for the prospect of methamphetamine coming from Afghanistan, according to a new EMCDDA report published on 29 September. Methamphetamine from Afghanistan: ‘signals indicate that Europe should be better prepared’ ’examines the recent emergence of methamphetamine production in the country and identifies actions that may be taken in Europe to mitigate the risks. The publication is the result of research conducted under the agency’s EU4MD and IPA7 projects, both funded by the European Commission. Spotlight on project experts For our first expert, we have selected Dr Viktor Mravčík, the head of the Czech National Monitoring Centre for Drugs and Drug Addiction at the Office of the Government. The Czech National Monitoring Centre for Drugs and Drug Addiction is a member of the Reitox network  – a network of the national focal points in 27 EU Member States, Norway and Turkey, and the main source of drug-related information for the EMCDDA. What is your involvement in the EU4MD project?   I have been involved in training and coaching treatment monitoring experts from European Neighbourhood Policy (ENP) countries to carry out treatment facility surveys using the European Facility Survey Questionnaire (EFSQ). The partner countries are currently finalising their country reports and I will work with those to prepare a multi-country analysis of treatment systems and capacities. I hope that this final analysis will become available in 2022.Why did you find it important to get involved in technical cooperation projects like EU4MD? Technical cooperation is very important. The experts from ENP countries get the chance to become familiar with the European standards and methodologies for monitoring of drug phenomena. I find it inspiring to be able to work with partners in the Neighbourhood and to see how my experience may contribute to their ability to better identify strengths and gaps in existing monitoring and drug treatment systems. I particularly like that this collaboration enables networking. We can exchange our know-how and, in the end, it results in better quality data. I believe that everyone involved has been profiting from the experience so far. 	https://www.emcdda.europa.eu/news/2021/news-eu4monitoring-drugs-emcdda-technical-cooperation-project_en
EMCDDA_UNK_0006	2021-09-29	UNK	Methamphetamine from Afghanistan: ‘signals indicate that Europe should be better prepared’, says new EMCDDA report 	 This report was prepared before recent developments in Afghanistan and before the withdrawal of US military and other NATO allies from the country. The findings of this report are preliminary and will need to be reviewed and updated as more information becomes available from the region. Europe should be better prepared for the prospect of methamphetamine coming from Afghanistan, according to a new report published today by the EU drugs agency (EMCDDA) (1). The report examines the relatively recent emergence of methamphetamine production in the country and identifies actions that may be taken in Europe to mitigate the risks. The publication is the result of research conducted under the agency’s EU4MD and IPA7 projects, both funded by the European Commission. Afghanistan: a new player in the global methamphetamine market The expansion of the methamphetamine industry in Afghanistan in recent years follows the realisation by Afghan drug traders that ephedra plants (growing wild for centuries in the country’s central highlands) were a natural source of ephedrine, a precursor chemical used to make methamphetamine. Today’s report explains that methamphetamine production was already occurring in the country between 2013 and 2017, but was based on ephedrine extracted from imported medicines (e.g. cough syrups), in a costly process requiring specialised chemists. The country’s move into large-scale ephedra-based methamphetamine production from 2017 appears to have occurred relatively rapidly, resulting in a ‘thriving cottage industry’ for the extraction of ephedrine from dried ephedra crops by relatively low-skilled workers (2). Evidence suggests that large quantities of low-cost methamphetamine are manufactured in specialised facilities in the country by more skilled operators, known as ‘cooks’. The ‘full extent of ephedrine and methamphetamine production in Afghanistan remains unknown, but it could be considerable’, the report says. And while the availability of Afghan-origin methamphetamine on regional and international markets is difficult to estimate, chemical profiling by law enforcement suggests that it may have become available on consumer markets as far afield as east Africa and Australia. Iran: from producer to transit nation Iran has a longer history of methamphetamine production than neighbouring Afghanistan but there are signs that it is shifting from a producer to a transit nation. Since 2010, methamphetamine producers in Iran have faced growing economic, regulatory and law-enforcement pressures that have limited domestic production and led to a growing reliance on cheaper imports from Afghanistan. The Iranian authorities are reported to have played a key part in making domestic production riskier and less profitable. EMCDDA research points to the availability of ‘cheap Afghan meth’ across consumer markets in Iran, and very low retail prices have been noted. Seizure data suggest that Afghan ephedrine and methamphetamine (sometimes in liquid form) are potentially being reprocessed in Iran, raising concern that the phenomenon is growing and has the potential to spread. Possible consumer markets Seizures of methamphetamine in the EU have increased in the last 10 years, although not to levels observed elsewhere in the world. The current market for methamphetamine in Europe is much smaller than for other stimulants (e.g. cocaine and MDMA), with consumption restricted to specific countries, regions or user groups. ‘Nonetheless, there are concerns that interest in the drug may be growing and that it could have the potential to play a greater role in Europe’s future drugs problem’, states the report. Production inside Europe (located mostly in the Netherlands and Czechia) seems to be more than sufficient to satisfy current demand among European consumers. But the production of comparatively cheap and pure methamphetamine in Afghanistan remains a significant threat, as the drug could enter the European drug market via the well-established trafficking routes for smuggling Afghan heroin (notably the Balkan route via Iran and Turkey). As shown above, Afghan-origin methamphetamine is seen to be making its way to other consumer markets (e.g.  in east and southern Africa, South-East Asia and Oceania). Mitigating the risks in Europe To build on this strategic understanding of the situation, fill knowledge gaps and mitigate the risks, the report stresses the importance of increasing awareness on this issue among policy- and decision-makers in Europe and law-enforcement authorities (especially those located along traditional heroin trafficking routes). Also cited as a priority is training for customs officials, border guards and police authorities along the Balkan, southern and northern routes and at other key border crossing points, maritime ports and airports. Here, the risk of smuggling methamphetamine in liquid form should deserve particular consideration. Finally, the report underlines the need to monitor for any increased availability of crystal methamphetamine in Europe by drawing the attention, and boosting the preparedness, of drug service providers. In addition, the application of chemical profiling of methamphetamine seizures by forensic services, to investigate their route of manufacture, will also help to maintain vigilance on this issue. 	https://www.emcdda.europa.eu/news/2021/methamphetamine-afghanistan-signals-indicate-europe-should-be-better-prepared_en
EMCDDA_UNK_0007	2021-09-28	UNK	Green light for two-year work programme on bilateral cooperation with Georgia	 A two-year work programme on bilateral cooperation with Georgia was agreed upon today at the first advisory committee meeting of the EMCDDA4Georgia project, hosted virtually by the agency. Launched on 3 May this year, the project aims to enhance national responses to drug-related health and security threats and focuses primarily on knowledge transfer and capacity-building in the areas of drug monitoring, reporting, prevention and treatment. EMCDDA Director Alexis Goosdeel opened today’s meeting, underlining the importance of the project and thanking all partners for their commitment. He also welcomed and acknowledged the valuable participation of His Excellency Beka Dzamashvili, Deputy Minister of Justice of Georgia and Catalin Gherman, Deputy Head of Cooperation Section, Delegation of the European Union to Georgia. Deputy Minister Dzamashvili emphasised the longstanding collaboration between the Georgian government and the EMCDDA in the field of drugs and drug addiction, while Mr Gherman underlined that the challenges can only be tackled by joint efforts of all parties involved. The meeting was attended by representatives of the Delegation of the European Union to Georgia, as well as the European Commission’s Directorates-General for Neighbourhood and Enlargement Negotiations (DG NEAR) and Migration and Home Affairs (DG HOME), the Georgian National Drug Observatory, the Pompidou Group of the Council of Europe, the European Union Agency for Law Enforcement Training (CEPOL) and representatives and experts from a variety of Georgian Ministries.EMCDDA4GE is being implemented by the EMCDDA under the supervision of the Delegation of the EU to Georgia. The EMCDDA and Georgia have a long tradition of cooperation, illustrated, among others, by a Memorandum of Understanding (MoU) signed by the agency and the Georgian Ministry of Justice in 2015, which is currently being updated. The EMCDDA4GE project will build on the achievements and results of previous, and current, EMCDDA technical cooperation projects involving the country. 	https://www.emcdda.europa.eu/news/2021/green-light-two-year-work-programme-bilateral-cooperation-georgia_en
EMCDDA_UNK_0008	2021-09-28	UNK	Six steps to improve the quality of drug services and systems — EMCDDA launches new practical manual for decision-makers	 Six steps to help improve the quality of drug services and systems in Europe are presented today in a new manual from the EU drugs agency (EMCDDA). Entitled Implementing quality standards for drug services and systems: a six-step guide to support quality assurance, the publication offers practical advice for professionals implementing quality assurance in the area of drug demand reduction. The guide provides a broad introduction to quality standards, followed by six practical steps designed for those intending to use or implement quality processes and standards at local, regional or national level. While the guide is primarily targeted at professionals commissioning, planning, funding or providing drug services, it may also be of interest to other stakeholders, such as licensing and inspectorate bodies or recipients of interventions, service users or advocacy groups. The guide describes how quality standards in drug demand reduction have been a priority in the last two EU drugs strategies and action plans and how more countries now report having guidelines and standards for interventions and accreditation systems for service provision. The current EU Drugs Action Plan 2021–2025 (Action 38) calls for services to be guided by the minimum quality standards for drug demand reduction interventions in the EU. ‘One of the main functions of quality assurance is embedding a culture of reflection and continuous improvement in drug services and systems’, says EMCDDA Director Alexis Goosdeel. ‘Quality assurance mechanisms can help professionals work better and improve services for patients, clients, staff and communities, also encouraging user involvement, transparency and accountability. Good quality drug demand reduction interventions, based on evidence and firmly located in human rights, can help improve people’s lives and life chances. At a time when there is more need than ever to ensure continuity in the financing of drug services, well-documented evidence of the quality and evaluation of these services is a must.’ Various types and purposes of quality standards are described in the guide. Some standards are needed for drug services to be accredited (e.g. staff qualifications), while others may regulate the physical space and facilities where a service is provided (e.g. fire safety, infection control, medicines management). And while some cover the overall outcome that a service or system aims to achieve (e.g. respect for human rights, privacy), others include recommendations for concrete actions (e.g. auditing). Six steps The manual identifies the following six steps to consider when implementing quality assurance processes and standards: Diagnosis: What is the problem the quality assurance project will address? Scoping: What are the goals and who to involve? Mapping and selection: What standards apply and how can we verify them? Assessing systems and services: How to evaluate Drafting an improvement plan and disseminating results: When, where and to whom to communicate Preparing for the next cycle: How to ensure continuous evaluation 	https://www.emcdda.europa.eu/news/2021/six-steps-improve-quality-drug-services-and-systems_en
EMCDDA_UNK_0009	2021-09-10	UNK	In memoriam — His Excellency Dr Jorge Sampaio	 It was with great sadness that the EMCDDA learned today of the passing of His Excellency Dr Jorge Sampaio, former President of the Portuguese Republic. Dr Jorge Sampaio was a highly-esteemed friend of the EMCDDA. He supported the work of the agency for over two decades, particularly in the early days, providing a symbolic, but invaluable, contribution to its development and that of the European drug information system it manages. He will also be remembered for his commitment to tackling the drugs problem and his contribution to shaping drug policy in Portugal and internationally. In the period 1997–2005, Dr Sampaio visited the EMCDDA four times and participated in a number of EMCDDA-related activities: November 1997 — presiding over the launch of the 1997 Annual Report on the State of the Drugs Problem in the European Union; October 1998 — conceiving and promoting the Euro-Ibero American Seminar on ‘Cooperation between the European Union and Latin America in the field of drugs’, held in Oporto with the support of the Portuguese Government, the European Commission and the EMCDDA; February 1999 — visiting the EMCDDA with the President of France, His Excellency Jacques Chirac; November 1999 — visiting the EMCDDA with King Albert II of the Belgians and Queen Paola, accompanied by the First Lady of Portugal; and December 2005 — visiting the EMCDDA for an insight into the latest trends and developments in the drug situation in Europe, and in Portugal in particular. Dr Sampaio also regularly attended diplomatic receptions at the EMCDDA to mark International Day Against Drug Abuse and Illicit Trafficking on 26 June. President Sampaio often praised the work of the EMCDDA in offering sound scientific bases to formulate drug policies in the EU, moving away from responses based on ideology to those based on facts. His comment in 2005, ‘We need to know more to make better decisions’, still rings true today. The EMCDDA Director and staff will observe a minute of silence today in Dr Sampaio’s memory. Dr Jorge Sampaio will be greatly missed at the EMCDDA and the Director and staff send their condolences to his wife, former First Lady Maria José Ritta, his family and friends. 	https://www.emcdda.europa.eu/news/2021/memoriam-jorge-sampaio_en
EMCDDA_UNK_0010	2021-09-09	UNK	New report highlights public health and social risks posed by synthetic cannabinoids in Europe	 Synthetic cannabinoids come under the spotlight today in a new report released by the EU drugs agency (EMCDDA). Widely available across Europe and highly potent, these substances are placing some users at a ‘high risk of poisoning’, the agency warns. Synthetic cannabinoids are the largest group of new psychoactive substances (NPS) monitored by the EMCDDA through the EU Early Warning System, with 209 detected between 2008 and 2020. They began to appear in Europe in the mid-2000s, in smoking mixtures such as ‘Spice’, and sold as ‘legal’ replacements for cannabis. But it was soon discovered that these potent substances could poison users, who were often inadvertently exposed to high doses (1). In such cases, this led to outbreaks of mass poisonings in parts of Europe, Canada, Russia and the United States. Today’s report describes how synthetic cannabinoids are still used recreationally as ‘legal’ cannabis replacements, but that their low cost and powerful intoxicating effects have led to the availability of a wider range of products (e.g. vaping liquids) and to use by marginalised groups (e.g. high-risk drug users, people in prison or homeless). It also shows how the market in, and use of, synthetic cannabinoids have been linked to social problems, such as violence, bullying and debt. Recent EMCDDA risk assessments of two synthetic cannabinoids — 4F-MDMB-BICA and MDMB-4en-PINACA — reveal how these drugs are increasingly found in prisons, smuggled in via letters, photographs and clothing impregnated with the substances. The new report highlights concerns over these substances being mis-sold as, or used to adulterate, other drugs or products. In particular, it cites synthetic cannabinoids being mis-sold as THC and CBD vaping liquids or being used to adulterate low-THC cannabis products. Users unaware that a product contains synthetic cannabinoids are exposed to higher health risks.  Similar to other NPS, synthetic cannabinoids are shipped as bulk powders from companies in China to Europe, where they are processed into finished products. Reviewing the current body of knowledge on the chemistry, pharmacology and toxicology of synthetic cannabinoids in Europe, the report aims to support early-warning and risk-assessment activities and strengthen situational awareness of this group of substances. ‘In the future, it can be expected that synthetic cannabinoids with high potency, and that are easy to synthesise, will continue to be introduced into the market’, states the report. It concludes that, in order to reduce the public health and social threats posed by synthetic cannabinoids, strong early-warning systems are needed in order to detect, assess and respond to emerging threats in a timely manner. Seven synthetic cannabinoids have been the focus of EMCDDA risk assessments and brought under control in the EU since 2016. 	https://www.emcdda.europa.eu/news/2021/new-report-highlights-public-health-and-social-risks-posed-synthetic-cannabinoids-europe_en
