id	date	text_type	title	text	url
EMSA_UNK_0001	2021-10-07	UNK	Donation agreement between EMSA and Turkey	 The Executive Director of EMSA, Maja Markovčić Kostelac, and the Turkish Director-General of Maritime Affairs at the Ministry of Transport and Infrastructure, Ünal Baylan, have signed a donation agreement that will see EMSA, through the Maritime Safety, Security and Marine Environmental Protection in the Black and Caspian Sea Regions (BCSEA) project, provide sulphur monitoring equipment to be used by ship inspectors in Turkey. The portable, lightweight equipment will allow ship inspectors to carry out immediate on-board assessments of the sulphur content of fuel used by ships. This will assist inspectors in enhancing their control of ship emissions.   The donation agreement was signed during the 12th Transport and Communication Forum in Istanbul, at which Ms. Markovčić Kostelac also participated in a panel discussion on innovation, new trends and green logistics practices in sustainable logistics.	http://www.emsa.europa.eu/newsroom/latest-news/item/4566-donation-agreement-between-emsa-and-turkey.html
EMSA_UNK_0002	2021-10-11	UNK	Newsletter October 2021	 In this issue: Greek authorities activate CleanSeaNet after sea bird cargo tanker collides with small island; Council of the EU calls for widespread implementation of CISE interoperability solutions; Workshop held on new funding opportunities for CISE implementation; Preparedness for chemical spills at sea: EMSA holds workshop on hazardous and noxious substances; Equipment Assistance Service - hands-on training in Rotterdam; EU maritime profile goes live offering up-to-date statistics on individual aspects of the maritime transport sector in the EU; Maritime security guidance adopted drawing on years of inspection experience for practical use; RPAS user group meets virtually to discuss experience so far & opportunities for future services; EMSA participates in ANED POLMAR exercise led by French authorities off the coast of Le Havre.	http://www.emsa.europa.eu/newsroom/latest-news/item/4568-newsletter-october-2021.html
EMSA_UNK_0003	2021-10-08	UNK	October 2021 - COVID-19 Impact on Shipping Report	NULL	http://www.emsa.europa.eu/newsroom/latest-news/item/4567-october-2021-covid-19-impact-on-shipping-report.html
EMSA_UNK_0004	2021-10-27	UNK	Adding Cybutryne to the Guidelines supporting the IMO’s AFS Convention	This study is to support the amendment of the “Guidelines for brief sampling of anti-fouling systems on ships” to include controls on Cybutryne. It covers several aspects of the existing Guidelines (that only cover organotin compounds), that need to be assessed and revised in order for the Guidelines to also be used for anti-fouling systems containing cybutryne.	http://www.emsa.europa.eu/newsroom/latest-news/item/4581-adding-cybutryne-to-the-guidelines-supporting-the-imo’s-afs-convention.html
EMSA_UNK_0005	2021-10-12	UNK	SOUNDS: Status of the Underwater Noise from Shipping	Study on inventory of existing policy, research and impacts of continuous underwater noise in Europe.	http://www.emsa.europa.eu/newsroom/latest-news/item/4569-sounds.html
EMSA_UNK_0006	2021-09-29	UNK	BCSEA Newsletter (issue 5, September 2021)		http://www.emsa.europa.eu/newsroom/latest-news/item/4544-bcsea-newsletter-issue-5,-september-2021.html
EMSA_UNK_0007	2021-09-29	UNK	SAFEMED IV Newsletter (issue 6, September 2021)		http://www.emsa.europa.eu/newsroom/latest-news/item/4543-safemed-iv-newsletter-issue-6,-september-2021.html
EMSA_UNK_0008	2021-09-20	UNK	EMSA’s remotely piloted aircraft are assisting Spanish authorities in actively monitoring sulphur emissions from ships transiting the busy Strait of Gibraltar	Over the summer EMSA’s remotely piloted aircraft have been monitoring the level of sulphur oxides released by ships transiting the Strait of Gibraltar, one of the world’s busiest shipping lanes. The operation carried out by the Spanish General Directorate of Merchant Marine  – under the direction of the Spanish Ministry of Transport, Mobility and Urban Agenda – marks the first time these emissions have been monitored by drone outside the special designated emission control areas in Northern Europe. The flights have been in operation since mid-July from a base in Tarifa and will continue until the end of October.   Image credit: Nordic Unmanned The project designed to test the effectiveness of drones in measuring pollutant emissions from ships was set up by the Spanish Ministry of Transport, Mobility and Urban Agenda (MITMA), in collaboration with the Algeciras Maritime Captaincy and the General Directorate of Merchant Marine. Using EMSA’s remotely piloted aircraft systems (RPAS), the goal is to detect sulphur oxide emissions above a certain level indicating a possible breach of the International Convention on Maritime Pollution (MARPOL – Annex VI). The current limit for sulphur oxide in ship fuels is 0.50% by mass. The aircraft used is a CAMCOPTER® S100 and it is under contract to EMSA from the consortium of Nordic Unmanned, Norce and UMS Skeldar. It has several features making it a useful tool for the service, including the ability to take off and land vertically from an area less than 25 square meters, flight endurance of over six hours and a range of more than 100 km. To help detect the gases generated by fuel combustion and expelled through ship funnels, the aircraft is equipped with gas sensors and cameras that cover both optical and infrared spectral ranges. Since 12 July, the RPAS has been carrying out daily two flights with an average of ten inspections per day. Current figures show that of 294 vessels controlled some 27 were found in possible breach of the limits of sulphur content in their fuel. The measurements and records are automatically encoded in the information exchange system which triggers an alert in the EMSA THETIS-EU database. While this does not confirm non-compliance directly, it does help port authorities target ships for inspection and proceed with the lab testing necessary for any eventual sanctions. ABOUT RPAS Remotely Piloted Aircraft System (RPAS) services are offered free to all EU member states by EMSA. They have been developed to assist in maritime surveillance operations and ship emission monitoring, and can operate in all seas surrounding the European Union. RPAS services can provide support to traditional coast guard functions, including search and rescue and pollution prevention and response. The services are offered to member states individually and as part of EMSA’s regional RPAS strategy, which allows multiple coast guard functions in several EU member states to be supported by one or more RPAS services. Further expansion of RPAS regionally is planned in 2021 and 2022. See where EMSA is flying. ABOUT EMSA The European Maritime Safety Agency (EMSA) is a decentralised agency of the EU, based in Lisbon, Portugal. EMSA serves the EU’s maritime interests for a safe, secure, green and competitive maritime sector, delivering value for member states through support for pollution prevention and response, maritime surveillance, safety and security, digitalisation and the provision of integrated maritime services, and technical assistance. Any requests for further information can be sent to: 	http://www.emsa.europa.eu/newsroom/latest-news/item/4533-emsa’s-remotely-piloted-aircraft-are-assisting-spanish-authorities-in-actively-monitoring-sulphur-emissions-from-ships-transiting-the-busy-strait-of-gibraltar.html
EMSA_UNK_0009	2021-09-09	UNK	Newsletter September 2021	 In this month’s edition, we go behind the scenes of the launch of the European Maritime Transport Environmental Report – the first report of its kind! We’re at the biggest oil pollution response exercise in Northern Europe, and we catch up with the Connecting Europe Express. Plus, we bring you all the latest on how EMSA is going greener! All this and more in our September EMSA newsletter.	http://www.emsa.europa.eu/newsroom/latest-news/item/4523-newsletter-september-2021.html
EMSA_UNK_0010	2021-09-10	UNK	September 2021 - COVID-19 Impact on Shipping Report	NULL	http://www.emsa.europa.eu/newsroom/latest-news/item/4525-september-2021-covid-19-impact-on-shipping-report.html
