id	date	text_type	title	text	url
ERA_NEWS_0001	2025-12-14	NEWS	Call for expressions of interest (CEI) to establish a list of Independent experts to provide expertise to the European Union Agency for Railways in the field of safety.	 The objective of this call for expressions of interest (CEI) is to set up a list of independent external experts to provide expertise to the European Union Agency for Railways in the domain of safety. The list resulting from this notice is valid from dispatch of this notice and for maximum five years (valid until 14 December 2025). Interested parties may submit an application at any time prior to the last three months of validity of the list. Read more 	https://www.era.europa.eu/content/call-expressions-interest-cei-establish-list-independent-experts-provide-expertise-1_en
ERA_NEWS_0002	2021-10-25	NEWS	Meet ERA at SIFER 2021	 The European Union Agency for Railways (ERA) participates to the next SIFER exhibition in Lille* from 25 to 27 October 2021. Staged every two years since 1999, SIFER, France's only B2B international industry exhibition, brings together suppliers and manufacturers of the very latest in railway technology, products and services aimed at meeting the complex needs of main line and urban networks. As well as providing a gateway to one of Europe's major markets, SIFER also helps participating companies to pursue export opportunities. As the showcase event for France's dynamic railway supply industry, it sets the scene for wide-ranging and productive exchanges on the future of the industry, and for the establishment of strategic contacts and relationships. Come and visit ERA stand 2/640 ! *Lille Grand Palais Exhibition Centre, 1 boulevard des Cites Unies, 59031 Lille 	https://www.era.europa.eu/content/meet-era-sifer-2021_en
ERA_NEWS_0003	2021-07-28	NEWS	ERA is looking for vehicle authorisations consultancy support	 Please be informed that the Agency has published a call for tenders to provide consultancy support to the contracting authority on vehicle authorisations applications. The procurement documents are available here. The limit to submit proposals is Thursday 9 September. 	https://www.era.europa.eu/content/era-looking-vehicle-authorisations-consultancy-support_en
ERA_NEWS_0004	2021-09-08	NEWS	Benefits of EU harmonised rules and procedures to improve railway safety	 The event gathered more than 150 participants from authorities and railway operators of the southern Mediterranean region, namely from Algeria, Egypt, Israel, Jordan, Morocco, Palestine1 and Tunisia, including a high number of international guests from the Eastern Partnership, the Western Balkans and Turkey, South America – among other key stakeholders: the  Intergovernmental Organisation for International Carriage by Rail (OTIF) and the International Union of Railways (UIC).  The main objectives of the event were to present the links between safety management system (SMS) requirements and the technical specification for interoperability (TSI OPE), give an overview of functional and technical specifications of the TSI OPE (relating to staff, trains and train operations), underline the links between EU Regulations and international railway law, discuss company rules and standards and their compliance with TSI OPE, and reflect on the roles and responsibilities of railway undertakings (RUs) and infrastructure managers (IMs) to ensure safe operations during normal, degraded but also in emergency situations.   On the first day, discussions focused on harmonised rules and procedures of the SMS in accordance with fundamental operating principles of TSI OPE, the importance to develop a competence management system for staff performing safety-related tasks (such as train driving, train preparation, authorisation of train movement), and the supporting documentation (e.g. driver’s rule book, route book).  On the second day, participants exchanged a series of reflection on the parameters to be checked to ensure vehicle and train compatibility over the route intended for operation, and the contribution of railway standards developed by the sector (notably on safety of load and passengers among other topics). The seminar eventually addressed some of the upcoming legal changes to the Convention concerning International Carriage by Rail (COTIF), regarding safety regulation and safety management.      1. This designation shall not be construed as recognition of a State of Palestine and is without prejudice to the individual positions of the Member States on this issue. 	https://www.era.europa.eu/content/benefits-eu-harmonised-rules-and-procedures-improve-railway-safety_en
ERA_NEWS_0005	2021-10-07	NEWS	Positive Safety Culture to Bring European Rail Safety to Next Level	 Rail officials honour the importance of the European Rail Climate Survey (ERA-SCS), the first pan-European sectoral survey on safety perception, as hallmark for a positive culture and important step for harmonising and improving rail safety in Europe The central role of railways for future sustainable European transport was acknowledged upon the arrival of the Connecting Europe Express to its final destination at Paris Gare de l’Est by the many officials present, celebrating the European Year of Rail 2021. The European Union Agency for Railways (ERA), together with SNCF Chairman and CEO Jean-Pierre Farandou, Henrik Hololei, Director-General for Mobility and Transport at the European Commission, and the Secretary-General of the European Transport Workers Federation (ETF) Livia Spera, used the occasion to promote the European Rail Climate Survey (ERA-SCS), a pan-European initiative to collect safety perception from the employees in the rail sector. While the survey is open until 31 October 2021, the Agency and its partners managed to obtain more than 43.000 responses from European rail workers since its launch in early 2021. The survey is the first of its kind to be launched at European level to an entire industry sector. Its findings will be used to improve rail safety in Europe. “The more answers to the ERA-SCS, the better the quality of the data and the higher relevance of the following analyses - so I count on the railway professionals in Europe to give us their honest opinion”, asserted Henrik Hololei. “This is a good step towards making sure workers’ voices are heard as they are the only ones who know the reality of their workplace. Health and safety at work is a right, not a privilege. Therefore ETF is pleased to have been part of the ERA-SCS”, said ETF General Secretary Livia Spera. SNCF Chairman and CEO Jean-Pierre Farandou added: “Safety has always been the top priority for the SNCF group. We are proud to have contributed close to 10.000 responses to this important pan-European survey.” ERA Executive Director Josef Doppelbauer concluded: “Safety is the essential precondition for successful rail business. The survey is still open until 31 October – so I urge all rail professionals in Europe to fill in the survey today!”   About the European Rail Safety Culture Survey (ERA-SCS) era-scs In order to further improve safety in the European rail system, the Agency is launching a unique safety perception survey open to all rail professionals working in the European Union and in EFTA states: the European Rail Safety Climate Survey (ERA-SCS). It is an online survey hosted on the EUSurvey platform, accessible in 22 European languages on smartphones, tablets and computers. The core questionnaire, elaborated with the support of experts from all trades of the railway system, is made up with a set of 48 safety statements aligned with the European Railway Safety Culture Model. Access the ERA-SCS here For more info on the ERA-SCS, please click here Download a PDF of this press release press_release_7_october_v02.pdf Download here (217.7 KB) 	https://www.era.europa.eu/content/positive-safety-culture-bring-european-rail-safety-next-level_en
ERA_NEWS_0006	2021-07-27	NEWS	Consultation on the 2022 package revision of the TSI relating to telematics applications for passengers (TAP TSI)	" The draft recommendation or report and supporting documents for the proposal on the website. In compliance with Article 5 of the Agency Regulation, this proposal was drafted by the Agency with the support of representatives of national safety authorities and sector organisations. This consultation is specifically aimed at having your comments on the overall impact of the recommendation from your perspective as defined in the above mentioned articles. The proper conduct of the consultation procedure envisages the collection and further processing of your personal data. The European Union Agency for Railways complies with the European legislation on personal data protection. In this regard, it is kindly requested to read carefully the Privacy Statement before submitting your opinions. The submission of comments is open between the 01/08/2021 and the 31/10/2021. Please use this template and send it with your comments by email to the functional mailbox (""ERA-REC-122"" followed by ""@era.europa.eu""). "	https://www.era.europa.eu/content/consultation-2022-package-revision-tsi-relating-telematics-applications-passengers-tap-tsi-0_en
ERA_NEWS_0007	2021-07-27	NEWS	Consultation on the 2022 package revision of the TSI relating to telematics applications for freight (TAF TSI)	" The draft recommendation or report and supporting documents for the proposal on the website. In compliance with Article 5 of the Agency Regulation, this proposal was drafted by the Agency with the support of representatives of national safety authorities and sector organisations. This consultation is specifically aimed at having your comments on the overall impact of the recommendation from your perspective as defined in the above mentioned articles. The proper conduct of the consultation procedure envisages the collection and further processing of your personal data. The European Union Agency for Railways complies with the European legislation on personal data protection. In this regard, it is kindly requested to read carefully the Privacy Statement before submitting your opinions. The submission of comments is open between the 01/08/2021 and the 31/10/2021. Please use this template and send it with your comments by email to the functional mailbox (""006REC1128"" followed by ""@era.europa.eu""). "	https://www.era.europa.eu/content/consultation-2022-package-revision-tsi-relating-telematics-applications-freight-taf-tsi-0_en
ERA_NEWS_0008	2021-06-17	NEWS	ERA Executive Director: “We see some light at the end of the tunnel”	 “We see some light at the end of the tunnel”, assured Mr Doppelbauer, while explaining that “COVID will change the travel patterns” in the coming years. Our Executive Director also stressed that “we have a patchwork of national [railway] systems, we need to transform this patchwork into an efficient European railway system.” Watch Mr Doppelbauer speech in the European Parliament (speech between 17:36:38 and 17:48:03 / Q&As between 18:08:37 and 18:18:25): 	https://www.era.europa.eu/content/era-executive-director-%E2%80%9Cwe-see-some-light-end-tunnel%E2%80%9D_en
ERA_NEWS_0009	2021-06-16	NEWS	Promoting of best practice in accident and incident investigation in the EuroMed region	 On 15 and 16 June, representatives from national authorities and railway operators of Egypt, Israel, Morocco, and Tunisia took part in international workshops organised in the scope of the EUMedRail project. The aim was to discuss the setting-up of a permanent and independent investigation body as well as how to improve national procedures taking into account of EU experiences.  The workshops gave an opportunity to address topics such as accident investigation starting from the notification of such event, via occurrence reconstruction, analysis of safety management systems and identification of root causes and contributory factors, till the issuing of safety recommendations and elaboration of investigation reports.  ERA underlined the benefits of a harmonised framework and approach to accident and incident reporting, with a view to share lessons learnt and address similar safety risks in the future.  National investigation bodies from Belgium, Finland and the Netherlands illustrated, with a series of study cases, how state of the art investigations are carried out and informed how collection and processing of evidence during on-site examinations are carried out, informed about the analysis of safety management systems performance and the incidence of human and organisational factors, besides the issuing and follow-up of safety recommendations.    Participants also reflected on the cooperation between national safety authorities and investigation bodies at EU level, and examined the possibility to set up a regional network to continue the exchange of information, to share good practice in data collection, and closely monitor safety developments. 	https://www.era.europa.eu/content/promoting-best-practice-accident-and-incident-investigation-euromed-region_en
ERA_NEWS_0010	2021-07-13	NEWS	What does ERA do?	 The 2021-2023 programming period marks the full-fledged implementation of the new tasks arising from the technical pillar of the 4th Railway Package together with the regular tasks in the field of railway safety & interoperability. But what does it concretely mean? To have an overview of the structure of the Agency’s multi-annual activities, we designed dedicated infographics, explaining our values, goals, KPIs and activities. Click here to discover these infographics 	https://www.era.europa.eu/content/what-does-era-do_en
