id	date	text_type	title	text	url
ERA_PR_0001	2021-06-03	PR	Study: rail travel remains safer than car travel, even during the pandemic	" Available information suggests clearly that European citizens are concerned about travelling by train and other forms of collective transport during the COVID-19 pandemic. Many people seem to have switched from using trains to travelling by car in 2020 and 2021. As always in times of uncertainty, mathematical models based on available evidence can help to estimate the actual risks and add to more objectivity. That is why ERA develops in this study a first model to estimate the COVID-19 risk when travelling long-distance by train in order to provide the necessary knowledge that can be used by decision makers and the public. “Most human beings, including decision makers, seem to have difficulty to estimate and manage risks […]When used correctly, the model can help to make the situation more tangible, yet controllable. However it is important to carefully take into account all assumptions, evidences and boundary conditions”, says Torben Holvad, ERA’s editor of the study. The study confirms that the overall fatality risk travelling by public transport is a multiple higher during the COVID-19 pandemic than in other times. However, individual car travel currently remains more dangerous than rail, taking into account the overall safety risk, also under the COVID-19 pandemic. In the context with vaccines being rapidly distributed, the overall picture is even clearer in terms of the ranking of overall fatality risk ranking between rail and car. Sensitivity testing, e.g. including more infectious new virus variants, has confirmed the robustness of the results that can be obtained by using the model. When safety measures are in place, like masks and distancing, cleaning and discouraging infected people to travel, the risk of being infected when travelling by train can be significantly reduced. ""During this pandemic the Agency is supporting the railway sector by giving technical advice, e.g. with the COVID-19 Rail Protocol and the COVID Ventilation Bulletin published in 2020 and it continues to closely monitor the situation in permanent contact with national authorities, the European Commission and its stakeholders”, says Josef Doppelbauer, Executive Director of ERA. “In order to reach our climate goals and to avoid massive congestion problems when citizens continue to travel by car after the pandemic, it is essential to rebuild trust in railways and make rail the first choice."" This is the reason why ERA proposes a joint Post-Pandemic Rail Recovery Campaign, to be developed together with the European Commission and European sector organisations. In the European Year of Rail, this initiative would help to restore trust and promote both rail passenger and freight transport as currently the most sustainable mode of transport. About the EU Agency for Railways The European Union Agency for Railways was established in Valenciennes (offices) and Lille (meeting facilities) in 2004. Its 170 employees represent more than 22 European Member States and speak multiple languages. ERA has been providing EU Member States and the European Commission with technical assistance in the development and implementation of the Single European Railway Area. This comprises enhancing technical interoperability and harmonising rules, promoting simplified access for customers, developing a common approach to safety and safety culture, advising on telematics applications and ERTMS (European Rail Traffic Management System), monitoring National Safety Authorities and Notified Bodies and facilitating the exchange of information between the railway actors in Europe. Since 16th June 2019 the EU Agency for Railways is mandated to issue single safety certificates and vehicle (type) authorisations valid in multiple European countries and to ensure an interoperable European Rail Traffic Management System. The purpose of these activities is expressed by the slogan “Making the railway system work better for society.” "	https://www.era.europa.eu/content/study-rail-travel-remains-safer-car-travel-even-during-pandemic_en
ERA_PR_0002	2021-05-20	PR	ERA report on fostering the railway sector through the European Green Deal - part 2 freight	 This report will serve as a contribution to the future initiatives that the European Commission will push forward to increase and better manage railway capacities. 	https://www.era.europa.eu/content/era-report-fostering-railway-sector-through-european-green-deal-part-2-freight_en
ERA_PR_0003	2021-06-16	PR	Promoting of best practice in accident and incident investigation in the EuroMed region	 On 15 and 16 June, representatives from national authorities and railway operators of Egypt, Israel, Morocco, and Tunisia took part in international workshops organised in the scope of the EUMedRail project. The aim was to discuss the setting-up of a permanent and independent investigation body as well as how to improve national procedures taking into account of EU experiences.  The workshops gave an opportunity to address topics such as accident investigation starting from the notification of such event, via occurrence reconstruction, analysis of safety management systems and identification of root causes and contributory factors, till the issuing of safety recommendations and elaboration of investigation reports.  ERA underlined the benefits of a harmonised framework and approach to accident and incident reporting, with a view to share lessons learnt and address similar safety risks in the future.  National investigation bodies from Belgium, Finland and the Netherlands illustrated, with a series of study cases, how state of the art investigations are carried out and informed how collection and processing of evidence during on-site examinations are carried out, informed about the analysis of safety management systems performance and the incidence of human and organisational factors, besides the issuing and follow-up of safety recommendations.    Participants also reflected on the cooperation between national safety authorities and investigation bodies at EU level, and examined the possibility to set up a regional network to continue the exchange of information, to share good practice in data collection, and closely monitor safety developments. 	https://www.era.europa.eu/content/promoting-best-practice-accident-and-incident-investigation-euromed-region_en
ERA_PR_0004	2021-04-26	PR	Risk mitigation measures to resume transport of semi-trailers on pocket wagons in Denmark	 Following the 13.01.2021 incident on the Great Belt Bridge in Denmark, which happened at the same location as the severe accident of 02.01.2019, the Danish National Safety Authority imposed immediate measures which in practice have stopped the transport of semi-trailers on pocket wagons. Understanding the impact this ban has on rail freight transport companies and the need to urgently find solutions, the European Union Agency for Railways established a JNS Urgent Procedure Task Force. This Task Force aimed at identifying short-term risk mitigation measures in order to resume as soon as possible the transport of semi-trailers on pocket wagons on the Danish network and in particular on the Great Belt bridge. (more information: Joint Network Secretariat (JNS) Urgent Procedure and Normal Procedure) The Task Force, coordinated by ERA, was composed of representatives from the national safety authorities of Denmark, Sweden, Germany and The Netherlands as well as experts from the railway sector. The Task Force had its kick-off meeting on 04.02.2021 and concluded its work with the following outcome: read more. 	https://www.era.europa.eu/content/risk-mitigation-measures-resume-transport-semi-trailers-pocket-wagons-denmark_en
ERA_PR_0005	2021-06-17	PR	ERA Executive Director: “We see some light at the end of the tunnel”	 “We see some light at the end of the tunnel”, assured Mr Doppelbauer, while explaining that “COVID will change the travel patterns” in the coming years. Our Executive Director also stressed that “we have a patchwork of national [railway] systems, we need to transform this patchwork into an efficient European railway system.” Watch Mr Doppelbauer speech in the European Parliament (speech between 17:36:38 and 17:48:03 / Q&As between 18:08:37 and 18:18:25): 	https://www.era.europa.eu/content/era-executive-director-%E2%80%9Cwe-see-some-light-end-tunnel%E2%80%9D_en
ERA_PR_0006	2020-09-28	PR	ERA publishes COVID-19 Information Bulletin on Ventilation in Railway Vehicles	 The European Union Agency for Railways (ERA) supports the efforts of European railway companies to reduce the risk of spreading COVID-19 by providing expertise and by facilitating the international exchange of COVID-19 relevant information, experience and best practice. The Information Bulletin on Ventilation in Railway Vehicles gives detailed recommendations taking into account the main air distribution concepts applied in railway vehicles and drivers’ cabs today: natural ventilation, forced air ventilation systems - sometimes with air refresher devices, and air conditioning (Heating, Ventilation, and Air Conditioning - HVAC) systems. It provides detailed non-binding information related to ventilation of passenger trains to safeguard the health and safety of passengers, transport workers and staff, and to re-establish trust in rail services. 	https://www.era.europa.eu/content/era-publishes-covid-19-information-bulletin-ventilation-railway-vehicles_en
ERA_PR_0007	2021-03-20	PR	Publication of a white paper on Cybersecurity in Railways	 During the ENISA-ERA online conference on Cybersecurity in Railways, Laurent Cebulski, Managing Director of EPSF, the French National Safety Authority, announced a White Paper on how cybersecurity is considered by the railway sector in France. A Working Group composed of EPSF, ANSSI, the French Cybersecurity Agency, SNCF Réseaux, SNCF Voyageurs and the EU Agency for Railways has developed this White Paper to investigate how both the French/EU railway regulatory framework and the French/EU cybersecurity framework influence the measures to be taken to tackle cybersecurity in railways. 	https://www.era.europa.eu/content/publication-white-paper-cybersecurity-railways_en
ERA_PR_0008	2020-07-16	PR	ERA publishes biennial Report on Progress with Railway Safety and Interoperability in the EU	 Monitoring safety and interoperability of the Union railway system is one of the key tasks of the European Union Agency for Railways. The report published today is based on data for the reporting period 2018, and where available, for 2019. This report provides a thorough overview of the development of railway safety and interoperability in the European Union. It should facilitate evidence-based policy-making at EU level. European railways remain among the safest in the world with one passenger fatality occurring each 25 billion kilometers on average. Major accidents with more than five fatalities are becoming increasingly rare, 2018 being the first year since the late 1980s with no major railway accident reported. ERA’s Executive Director, Josef Doppelbauer however urges the sector: ”We can never afford to be complacent. Unlike the European aviation and maritime industries, railways still have not implemented a systematic and comprehensive EU-wide safety occurrence reporting scheme, which would enable not only to learn effectively from major accidents, but also from incidents without victims. Several areas in which safety has been stagnating recently, such as level crossing and railway workers safety, or rolling stock fires, would particularly benefit from wider information sharing. I invite all railway parties to be strongly committed to enhancing railway safety by rigorously applying a robust Safety Management System and by implementing a positive railway safety culture.” We notice a sound progress in railway interoperability concerning the alignment of operational frameworks in terms of rules, however only modest improvements are visible in making the railway assets interoperable. At border crossings the weaknesses in railway interoperability are most visible. In many areas, delays in the implementation of legal requirements in a few Member States consequently delay the interoperable deployment of railways in other countries, depriving them of the full benefits from the harmonised system. “We all need to enhance our efforts in particular in the area of railway data interoperability”, says Josef Doppelbauer: “high quality interoperable railway data are essential for European railways. I invite all parties involved to intensify their collaboration with the Agency.” The report geographically covers the 28 Member States as of end 2019. Since Cyprus and Malta do not have railway systems that are covered by the EU legislation, the Union railway system is constituted by 26 Member States. Download the report. For any questions, you can use the contact us form on our website. 	https://www.era.europa.eu/content/era-publishes-biennial-report-progress-railway-safety-and-interoperability-eu_en
ERA_PR_0009	2019-11-27	PR	Term of ERA Executive Director, Josef Doppelbauer extended for another five-year term	 Taking office in January 2015, Josef Doppelbauer led the Agency to a new era as a European authority, where EU-wide vehicle authorisation, safety certification, and ERTMS trackside approval are granted. Preparing the Agency for these new tasks entailed a thorough internal restructuring, with staff numbers going up from roughly 160 in 2015 to close to 200 in 2019. The Agency welcomed a number of new highly trained experts from all over Europe in order to ensure the new tasks can be performed at all times and in all official EU languages. Another important item under Josef Doppelbauer’s leadership was the reduction of national rules, which is seen as vital precondition for the functional integration of the European rail market. Whereas there were more than 16.000 technical rules in 2016, the number has been reduced to little more than a 1.000 in 2019, with further reductions in the pipeline. 	https://www.era.europa.eu/content/term-era-executive-director-josef-doppelbauer-extended-another-five-year-term_en
ERA_PR_0010	2019-11-22	PR	ERA issues a single safety certificate for THALYS	" Josef Doppelbauer, Executive Director of ERA, signed today the single safety certificate for THALYS (THI Factory). This certificate is valid for a period of five years and covers an area of operation currently limited to France. THALYS continues to operate in Belgium under their safety certificates Part A and Part B until their validity expires. Patrice Lambert, Safety Director at THALYS, summarises: ""This certificate demonstrates THALYS’ commitment to the safety of its operations. By following ERA's processes, we have demonstrated our commitment to transparency and we are delighted that these efforts have been recognised by the European authorities. Engaging with ERA before the submission of the application and during the course of the assessment gave us a better understanding of the procedural stages and of what was expected from THALYS. This considerably facilitated the processing of the application. The One-Stop Shop supports the applicant in preparing its application file in a structured way, which should make updating and follow up during the supervision phase more transparent for the railway undertaking”. ERA’s Executive Director, Josef Doppelbauer, welcomes the positive experiences during the certification process with THALYS: “I am satisfied about the good collaboration of ERA staff with the French national safety authority (EPSF)”, he said, “but we recognise that there is more work to do to streamline the process for the benefit of all those involved.” "	https://www.era.europa.eu/content/era-issues-single-safety-certificate-thalys_en
