id	date	text_type	title	text	url
ETF_0001	2020-11-16	NEWS	NULL	"PRACTICE AREAS PROJECTS & CAMPAIGNS REGIONS &COUNTRIES PUBLICATIONS & RESOURCES  Enter search t NEWSROOM & EVENTS ABOUT  Newsroom & events News How the pandemic has changed forever the way we teach RELATED CONTENT RELATED PROJECTS How the pandemic Promoting innovative teaching and learning RELATED PRACTICEhas changed forever the way we teach 16 NOV 2020 This year's global pandemic exposed as never before the urgent need to revolutionise teacher training as skills centres and vocational education and training schools were closed around the world, forcing a sudden switch to online learning. Countries that had already started investing heavily online and blended education were better positioned to cope with the sudden shift off-campus, says Julian Stanley, a European Training Foundation expert in teaching and teacher training. As this week's ETF focus on teacher training gets underway with a raft of online events, including a webinar on Wednesday November 18 on 'Exploring distance and online AREAS PleRaArCnTinICgE iAnRCEeAnStraPl RAOsiJaE'CaTnSd&aCsAeMssPiAoInGNonS FrRidEaGyIO, NNoSv&eCmObUeNrTRIES 20 'Should we change our approach to summative NaEsWseSsRsmOOeMnt&?',EhVeENdTeStailAsBthOeUTwork the ETF had been doing to support the continuous professional development of teachers in this most challenging of years. ""At a high level, we've been doing an international survey of teachers, their views and their working conditions, called 'Listening to Teachers'"", Mr Stanley said. Part of a two year pilot project with teachers in countries including Algeria, Tunisia, Albania, North Macedonia, Serbia, Montenegro, Belarus and Turkey, the survey is designed to provide policymakers, authorities and vocational schools with a better understanding of the training and professional support needs teachers and skills trainers require today. There has also been a scheme to support teachers and those involved in teacher training policy to better understanding how teachers can be supported through networks and peer-to-peer learning at a time of rapid change in the demands facing the profession. ""We've addressed such issues as how to do distance teacher training, teacher welfare, the opening and closure of schools during lockdowns - a raft of things to find out where teachers are now and to explore through international webinars different approaches and practices."" A pilot project in the Western Balkans involving Albania, Moldova, Montenegro, North Macedonia and Serbia has also begun to develop a methodology to more accurately map the training needs of teachers as digital competencies and familiarity with a range of software and online teaching platforms becomes increasingly important. ""The pandemic has clearly demonstrated that the old model of initial teacher training - something seen as giving a skill for life - is inadequate to today's needs,"" Mr Stanley adds. ""It is not even that there is now a need for incremental top ups, we need to address a need for teachers to learn entirely new skills - online skills."" It is not all-bleak news. The pandemic had demonstrated the resilience and fexibility of teachers, he said. PUBLICATIONS & RESOURCES P""WRAeC'vTeIClEeaArRnEeAdSthaPtRtOeJaEcChTeSr&s' CsuAMppPoArIGt NisSenoRrEmGIoOuNsSly& COUNTRIES important - not just for their training, but in their capacity NtoEWsuSpRpOoOrMt e&aEcVhEoNtThSer.""ABOUT The pilot had also demonstrated that the individual school system of teacher training and support was often key to determining just how successfully teachers were able to transfer to a new skills set and new way of delivering education. ""It varies from school to school and country to country - perhaps only 50% of teachers were able to take this on and a certain percentage of students - usually lower - were able to participate; in many countries keeping education going has been dependent on broadcasting both traditional - via TV -and online. That is wonderful as a stop gap measure to ensure that learning continues, but where there is no interaction between students and teachers then the quality of learning and motivation of learners is much lower and it is often difficult to gauge what progress is being made."" One key take away has been that even when the pandemic is over and all the emergency measures and lockdowns are history, teaching will never be the same again. ""Online will become a routine part of teaching, along with face-to-face when a return to that is possible,"" Mr Stanley adds. ""The positive thing is that we now have the models - many teachers have mastered key technologies and the accompanying pedagogy, they understand how to sustain the attention of learners and all the data protection issues."" In a nutshell, the future of teaching is likely to be far more blended and fexible than before the pandemic with practical skills taught face-to-face when possible and theory or video-based practical training used fexibly as necessary. Learning in different places and the way online and practical is combined over time may not just give us a short term solution - but a longer term framework for coping with the challenges of a world still struggling with a pandemic."" PUBLICATIONS & RESOURCES PRACTICDEidAyRouEAlikSe thPisRaOrJtiEclCeT?SIf &yoCuAwMoPuAldIGlikNeSto bReEnGoItOiiNedS w&hCeOnUNTRIES PUBLICATIONS & RESOURCES new content like this is published, NEWSROsuObMsc&ribEeVtEoNreTcSeiveAoBuOrUeTmail alerts. The European Training Foundation is a European Union agency that helps transition and developing countries harness the potential of their human capital through the reform of education, training and labour market systems, and in the context of the EU's external relations policy. Based in Turin, Italy, the ETF has been operational since 1994. © 2021 ETF ALL RIGHTS RESERVED. SITEMAP | CONTACT US | LEGAL NOTICE | COOKIES | STAFF LOGIN | E-MAIL ALERTS "	NULL
ETF_0002	2020-02-17	NEWS	NULL	PRACTICE AREAS PROJECTS & CAMPAIGNS REGIONS& COUNTRIES  PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT Enter search t  Newsroom & events News Montenegro: dual education coming to life! RELATED CONTENT RELATED PRACTICE AREAS Work-based learning RELATED COUNTRIES Montenegro: dual education coming to life! 17 FEB 2020 The Montenegrin vocational education system’s three- year dual education programme with compulsory learning at the workplace is steadily growing, since its introduction in 2017/18. A cost-sharing mechanism between government and employers ensures that learners are compensated for their work in all three years. “The project has really come to life,” explains Duško Rajković, Director of the VET Centre. “Enterprises want to participate to create a quality work force”, he adds. PTRhAeCVTEICTECAeRnEtAreS, a PgRoOvJeErnCTmSe&nCtaAlMrePsAeIGaNrcSh inRsEtGitIuOtNioSn&, COUNTRIES responsible for the development and improvement of the PvUoBcaLItCioAnTaIOl NanS d& aRdEuSOltUeRdCuEcSatioNnEWsySsRteOmOM, p&laEyVsEaNkTeSy roAlBeObUyT developing programmes in close cooperation with the private sector. Social partners are represented on its Governing Board. The Chamber of Economy works to involve companies in the education system. “The implementation of the dual education system is proof of their engagement”, says Mladen Perazić, Director of the Sector for Education and Quality from the Chamber of Economy. “Companies participating in the dual system see it as the best way to recruit employees, meeting their needs and national labour market needs. They avoid recruitment expenses and the risk of not selecting the right person for the job”, adds Perazić. The dual education programme is implemented in Montenegro in line with the Law on Vocational Education. The rights and obligations of both students and employers are deined by the individual education contract, signed by students’ parents, employers and school. The VET Centre is also responsible for accrediting companies planning to assume students for dual education. A portfolio for each employer has been created containing data on material and human resources at the enterprise as well as standard information. “We ensure our students are in good and safe hands,” conirms Rajković. The ETF has been supporting Montenegro in work-based learning since 2016. See the full article in the ETF’s Live and Learn Magazine No.45, In Depth feature on Work-based learning.  Did you like this article? If you would like to be notiied when new content like this is published, subscribe to receive our email alerts. PRACTICE AREAS PROJECTS & CAMPAIGNS REGIONS & COUNTRIES PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT The European Training Foundation is a European Union agency that helps transition and developing countries harness the potential of their human capital through the reform of education, training and labour market systems, and in the context of the EU's external relations policy. Based in Turin, Italy, the ETF has been operational since 1994. © 2021 ETF ALL RIGHTS RESERVED. SITEMAP | CONTACT US | LEGAL NOTICE | COOKIES | STAFF LOGIN | E-MAIL ALERTS 	NULL
ETF_0003	2020-02-14	NEWS	NULL	PRACTICE AREAS PROJECTS & CAMPAIGNS REGIONS& COUNTRIES  PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT Enter search t  Newsroom & events News In pursuit of kindred skills on Valentine’s Day! RELATED CONTENT RELATED PRACTICE AREAS Skills intelligence In pursuit of kindred skills on Valentine’s Day! 14 FEB 2020 Do you dream of meeting that perfect match? Where the requited fulfilment of your needs allows you to lourish in a nurturing environment? And, through meeting the PoRthACerT’IsCnEeAeRdEsAtSheyPRarOeJEpCroTSpe&llCeAdMfoPArwIGaNrdS onREaGpIOatNhSo&fCOUNTRIES growth and success? The right skills match can satisfy PbUoBthLICeAmTpIOloNySe&e RaEnSdOeUmRCpEloSyerN! EWSROOM & EVENTS ABOUT What is skills mismatch? Skills mismatch is recognised as a major challenge by policy makers, practitioners and social partners. It is not only due to low-quality education, but also demographic change, rapid technological development, new sources of job creation and new forms of work organisation. It can negatively affect labour market outcomes, workers’ productivity, competitiveness and economic growth contributing to high and persistent levels of unemployment, and unfulfilled job vacancies. What is the ETF doing about skills mismatch? In 2020, the ETF is launching a new ‘skills initiative’ including a review of matching and anticipation methodologies, compilation of case studies on evolving skills needs in traditional sectors, and big data analysis exploration for skills intelligence to better equip education and training systems in our partner countries response to labour markets’ fast changing needs. The ETF has also undertaken studies and developed a training course, the Skills Anticipation and Matching e-toolkit, to enable policy makers and practitioners to spot trends and drivers for current and future skills requirements, which lie at the heart of a successful strategy to make education and training responsive to labour market needs. More information on the trends and drivers for skills needs and matching and skills supply and demand in ETF partner countries– Egypt, Georgia, Moldova, Montenegro , Morocco, North Macedonia and Serbia – is available from the ETF project in 2017- 2018 which sought to better understand the nature and incidence of the complex phenomenon of skills matching at national level. What is the Skills Anticipation and Matching e-toolkit? The ETF’s digital toolkit offers a virtual course on skills matching and anticipation tools. Policy makers and practitioners in vocational education and training and PeRmApClToICymE AeRnEtA, aSs wPeRllOaJsECyToSun&gCApMeoPpAlIeGNaSnd jRoEbGsIOeeNkSe&rsCcOaUnNTRIES benefit from increasing their knowledge on education PaUnBdLtICraAiTnIiOnNgSa&ndREeSmOUpRloCyEmS enNtEpWolSicRiOeOs.MU&seErVsEsNeTlfS-traAinBOUT and learn at their own pace through a series of interactive modules to anticipate skills needs and match skills supply and demand. The course is available in the ETF Open Space. The toolkit is based on the joint ETF-CEDEFOP-ILO methodology laid out in the six methodological guides on developing tools for skills anticipation and matching and supporting their implementation.  Did you like this article? If you would like to be notiied when new content like this is published, subscribe to receive our email alerts. The European Training Foundation is a European Union agency that helps transition and developing countries harness the potential of their human capital through the reform of education, training and labour market systems, and in the context of the EU's external relations policy. Based in Turin, Italy, the ETF has been operational since 1994. © 2021 ETF ALL RIGHTS RESERVED. SITEMAP | CONTACT US | LEGAL NOTICE | COOKIES | STAFF LOGIN | E-MAIL ALERTS 	NULL
ETF_0004	2020-02-04	NEWS	NULL	PRACTICE AREAS PROJECTS & CAMPAIGNS REGIONS& COUNTRIES  PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT Enter search t  Newsroom & events News Apprenticeships and work-based learning: Gaining pace RELATED CONTENT RELATED PRACTICE AREAS Work-based learning Apprenticeships and work-based learning: Gaining pace 04 FEB 2020 The ETF interviewed Norbert Schöbel in Skopje during the European Alliance for Apprenticeships regional meeting last September. Norbert Schöbel has been working since 2014 as Team Leader in the Directorate-General for Employment, Social Affairs and Employment of the European Commission. His main task is to promote apprenticeships and other forms of work-based learning. PHRoAwCThICaEs AthReEAESuroPpReOaJnECATlSlia&nCcAeMoPfAAIGpNpSrenRtiEcGeIsOhNipS s& COUNTRIES changed since its launch in 2013? PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT A lot has changed since then. I think that today, our stakeholders are aware of our joint efforts and good work. Increasingly, we get invitations from our members to organize meetings in their region or their city to show their efforts in a company or training institution. The mind-set of companies has changed as well. Initially, we had to contact businesses to convince them to join the EAfA, but now often they contact us and ask how they could contribute to the work of the European Alliance. What is the future of apprenticeships and work-based learning? Although important reforms have taken place in almost all countries, apprenticeships remain a relevant topic in the years to come. Since March 2018, we have a European Framework on Quality and Effective Apprenticeships and at a global level, the International Labour Organisation has started to work on international standards for apprenticeships. A lot has been done, but there is still a lot to be done. There is huge potential for further improvements. For instance, we need to address issues like digital apprenticeships, the role of regions and cities in apprenticeships, and also how to contribute to a circular economy. Additionally, we need to empower apprentices to contribute with their ideas. How can SMEs offer more opportunities for apprentices? Unlike big companies, SMEs often face some difficulties to train apprentices, particularly in countries where this is not part of their culture. Therefore, intermediary bodies, such as chambers of commerce, industry and crafts can play a crucial role in supporting SMEs. They can also work together, e.g. by creating a joint training centre. However, this arrangement often needs financial support from the public sector. Generally, SMEs need financial, and even more importantly non-financial support, e.g. through technical assistance. How can we make apprenticeships more attractive? PI RthAiCnTkICitE iAsRimEApSortPaRnOt tJoECinTSve&stCAmMoPrAeIiGnNtoS staRtEeGoIOf NthSe&aCrOt UNTRIES equipment and attractive learning environments, PwUhBeLrICevAeTrIOtNheS &leRaErnSiOnUgRmCEaSy haNpEpWeSnR.OTOhMis c&oEuVlEdNfToSr ABOUT instance start in the premises of a company, as I have seen in a vocational school in the Netherlands. We should also think about finding attractive locations for the school-based learning part. Why not in the heart of our cities? We always talk about dual education, but it can be “triple” education, e.g. in the school, the company and the training centre, or even “quadruple” education, adding an ‘online’ dimension, taking place anywhere. We are currently meeting outside the EU, in North Macedonia. What are the plans of the Alliance for candidate countries? All candidate countries are already members of the EAfA. So far, we have been quite successful in organising exchanges between the candidate countries and the members of the European Alliance for Apprenticeships. We could not have done it without the valuable support of the European Training Foundation, which assists candidate countries in their reform processes. Next year, we will review the work done so far and draw some conclusions upon how the cooperation can be strengthened in view of better training for young people and adults. Interview by Agustin Millan Company in Skopje, North Macedonia.  Did you like this article? If you would like to be notiied when new content like this is published, subscribe to receive our email alerts. MORE INFORMATION  European Alliance for Apprenticeships: 4th Regional Seminar for Candidate Countries 26 Sep 2019 News PRACTICE AREAS PROJECTS & CAMPAIGNS REGIONS & COUNTRIES PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT The European Training Foundation is a European Union agency that helps transition and developing countries harness the potential of their human capital through the reform of education, training and labour market systems, and in the context of the EU's external relations policy. Based in Turin, Italy, the ETF has been operational since 1994. © 2021 ETF ALL RIGHTS RESERVED. SITEMAP | CONTACT US | LEGAL NOTICE | COOKIES | STAFF LOGIN | E-MAIL ALERTS 	NULL
ETF_0005	2020-03-23	NEWS	NULL	PRACTICE AREAS PROJECTS & CAMPAIGNS REGIONS& COUNTRIES  PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT Enter search t  Newsroom & events News Eastern Partnership: new policy priorities RELATED CONTENT RELATED PRACTICE AREAS Skills for the future RELATED COUNTRIES Eastern Partnership: new policy priorities 23 MAR 2020 The European Commission and the High Representative of the Union for Foreign Affairs and Security Policy have presented a new communication on the Eastern Partnership beyond 2020, which details the EU's long-term policy objectives in the eastern dimension of the European Neighbourhood Policy. It follows a wide PcRoAnCsTuIlCtaEtAioRnEAinSthePRsOpJeEcCifiTcS &coCuAnMtrPiAesIGoNfSArmREeGnIOiaN, S & COUNTRIES Azerbaijan, Belarus, Georgia, the Republic of Moldova PaUnBdLIUCAkTrIaOinNeS,&aRnEdSwOUitRhCinESEurNopEWeaSnROMOeMm&beErVSEtNaTtSes. ABOUT Education reform is a strategic priority including governance and capacity building and modernisation and innovation at all levels. Aligning of legislation and policies with European developments will be in focus, which will be supported by the ETF's Torino process for vocational education and training. Teacher training will be strengthened through the exchange of best practice and support for the introduction of modern curricula and teaching and learning practices. Building on the achievements of the Partnership in the first 10 years, the proposal outlines how the EU will work together with the partner countries to tackle common challenges and strengthen their resilience as an overriding policy objective beyond 2020. Attention will focus on the ecological transformation, the digital transformation and delivering on economies that work for all, in particular providing more job opportunities for youth and promoting gender equality. The ETF supports the EU Commission services within the European Neighbourhood Policy and the Eastern Partnership through the provision of indepth and timely inputs to the relevant bilateral sub-committees, policy dialogue and monitoring, and annual country progress reports on education, training and employment developments in each of the partner countries.  Did you like this article? If you would like to be notiied when new content like this is published, subscribe to receive our email alerts. The European Training Foundation is a European Union agency that helps transition and developing countries PRAhCarTnIeCsEs tAheRpEoAteSntiaPl oRfOthJeEirChTuSm&anCcAaMpiPtaAl tIhGrNouSgh tRhEe GreIfOorNmSo&f eCdOucUaNtioTnR, ItEraSining and labour market systems, and in the context of the EU's external relations policy. Based in Turin, Italy, the ETF has been operational since PUB19L9I4C. ATIONS & RESOURCES NEWSROOM & EVENTS ABOUT © 2021 ETF ALL RIGHTS RESERVED. SITEMAP | CONTACT US | LEGAL NOTICE | COOKIES | STAFF LOGIN | E-MAIL ALERTS 	NULL
ETF_0006	2020-09-02	NEWS	NULL	"PRACTICE AREAS PROJECTS & CAMPAIGNS REGIONS& COUNTRIES  PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT  Newsroom & events News The 2020 European Vocational Skills Week registration is open! RELATED CONTENT RELATED PROJECTS Skills demand analysis Enter search tThe 2020 European Vocational Skills Week registration is open! 02 SEP 2020 The European Commission has announced that the next European Vocational Skills Week will be held from 9 to 13 November 2020 in hybrid format – partly in person in Berlin and partly online. In a dedicated video, EU Commissioner Schmit explains how vocational education and training has got an increasingly important important role nowadays. As the European Commission clariies, in agreement with the hosting German Presidency the attendance in Berlin will be limited to some 200 people, to respect the RELATED PRACTICE AREAS PreRqAuCTirIeCmE AenREtsAoSf thPeROCJOEVCITDS-&19CpAeMrPioAdIG. NNSeveRrtEhGeIlOeNssS, &alCl OUNTRIES interested parties shouldn't be put off by the apparent PsUmBaLlIlCeAr TnIOumNSb&erRoEfSOacUtRivCiEtiSes tNhEisWySeRaOr.OM & EVENTS ABOUT ""With the formal launch of the communications campaign and the upgraded online format"", the EC explains ""we expect to reach more people than ever before"". In order to boost participation, all individuals and organisations interested in taking part in the Week, can register events they are organising under the European Vocational Skills Week 2020 . Background The European Vocational Skills Week is an annual event focusing on vocational education and training. The initiative was launched by the European Commission for the irst time in 2016, with the purpose of strengthening awareness of the potential and beneits of quality vocational education and training, as well as on learner mobility. Today, the event has become an exchange platform for vocational education and training stakeholders from all around Europe and beyond. Event hashtags: #DiscoverYourTalent #EUVocationalSkills More: https://ec.europa.eu/social/vocational-skills-week/  Did you like this article? If you would like to be notiied when new content like this is published, subscribe to receive our email alerts. The European Training Foundation is a European Union agency that helps transition and developing countries harness the potential of their human capital through the reform of education, training and labour market systems, and in the context of the EU's external relations policy. Based in Turin, Italy, the ETF has been operational since 1994. PR©A2C02T1ICETEFAARLLERAIGSHTSPRREOSJEERCVETDS. & CASMITPEAMIAGPN|SCONRTEAGCITOUNSS|&LCEGOAULNNTORTIICEES | COOKIES | STAFF LOGIN | E-MAIL ALERTS PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT"	NULL
ETF_0007	2020-12-09	NEWS	NULL	PRACTICE AREAS PROJECTS & CAMPAIGNS REGIONS& COUNTRIES  PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT  Newsroom & events News Human Rights Day RELATED CONTENT RELATED PRACTICE AREAS Enter search tHuman Rights Day 09 DEC 2020 The 10 December marks the signing of the Universal Declaration of Human Rights in 1948, and offers an opportunity to focus on the promotion and protection of human rights worldwide, and the European Union’s actions in doing so both inside and outside its borders. Respect for human rights and dignity, together with the principles of freedom, democracy, equality and the rule of law, are values common to all European Union countries and are at the heart of its relations with other countries and regions in its role as a global actor supporting the United Nations 2030 Agenda for Sustainable Development . This is the context in which the ETF operates supporting the EU's external dimension and the reform of education and training, employment, and social inclusion in our partner countries in South Eastern Europe and Turkey, Southern and Eastern Mediterranean, Eastern Europe and Central Asia. Support to EU external assistance PTRhAeCETTICFEuApRhEoAlSds iPnRitOsJaEcCtTiSvi&tieCsAtMhPeArIGigNhSt toReEGdIuOcNaSti&onCOUNTRIES and access to vocational and continuing training PsUeBekLIiCnAgTtIoONeSns&uRrEeSiOnUclRuCsEivSe eNdEuWcaSRtiOoOnM, e&quEValEiNtyT,SnonA-BOUT discrimination and promotion of civic competence. In addition, the ETF's work underscores the right to freedom of expression and the right to be heard particularly regarding the rights of young people and those experiencing disadvantage and marginalisation. Legal and policy framework In 2000, the European Parliament produced the Charter on Fundamental Rights which was enhanced to Treaty level by the Treaty of Lisbon . The Charter gathers rights from different sources including the United Nations Convention on the Rights of the Child and the United Nations Convention on the Rights of Persons with Disabilities and is consistent with the European Convention on Human Rights, an instrument of the Council of Europe. The EU adopted in 2020 the new EU Action Plan on Human Rights and Democracy, which sets out an ambitious roadmap for external action for the next five years. This Action Plan aims to reinvigorate the EU’s human rights and democracy work. There are five overarching priorities: Protecting and empowering individuals; Building resilient, inclusive and democratic societies; Promoting a global system for Human Rights and Democracy; Harnessing opportunities and addressing challenges posed by the use of new technologies; Delivering by working together The Action Plan also refects the changing global context by giving attention to new technologies and to the link between global environmental challenges and human rights. It provides the basis for the EU Global Human Rights Sanction Regime giving the EU PthRAeCpToICwEeAr RtoEAimS poPsReOsJaEnCcTtSio&nCsA, wMPitAhIGaNssSet fRrEeGeIzOeNs San&dCOUNTRIES travel bans, on those involved in serious human rights PvUioBlaLItCioAnTsIOaNnSd&aRbEuSsOeUs.RCES NEWSROOM & EVENTS ABOUT Changing geopolitics, transition to the digital age, environmental degradation and climate change pose important challenges, but they are also opportunities to foster positive transformation towards more democratic and inclusive societies.  Did you like this article? If you would like to be notiied when new content like this is published, subscribe to receive our email alerts. The European Training Foundation is a European Union agency that helps transition and developing countries harness the potential of their human capital through the reform of education, training and labour market systems, and in the context of the EU's external relations policy. Based in Turin, Italy, the ETF has been operational since 1994. © 2021 ETF ALL RIGHTS RESERVED. SITEMAP | CONTACT US | LEGAL NOTICE | COOKIES | STAFF LOGIN | E-MAIL ALERTS 	NULL
ETF_0008	2020-08-17	NEWS	NULL	PRACTICE AREAS PROJECTS & CAMPAIGNS REGIONS& COUNTRIES  PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT  Newsroom & events News Boosting attractiveness and relevance of VET in Azerbaijan Enter search t Boosting attractiveness and relevance of VET in Azerbaijan 17 AUG 2020 RELATED CONTENT RELATED PRACTICE AREAS Policy analysis and progress monitoring RELATED COUNTRIES PInRcArCeTaIsCiEngARtEhAeSattrPaRcOtiJvEeCnTeSs&s CaAnMd PreAlIeGvNaSnceRoEGf vIOoNcaSt&ioCnOaUl NTRIES education and training for Azerbaijan has been PidUeBnLtICifiAeTdIOaNsSa&pRrEioSrOitUyRinCEtShe NEWSROOM & EVENTS ABOUT European Training Foundation’s assessment of the country’s human capital development policies. Carried out as part of the Torino Process – a periodic appraisal of the state of development of each country’s skills development and labour market systems – the ETF assessment recommends, amongst other things, involving employers more in developing VET policy, standards and curricula, enhancing the conditions and status of vocational teachers, improving career guidance, and expanding adult education. In line with the recommendations for other countries, the report stresses the importance of having reliable data and using it to inform the policy cycle. Azerbaijan’s employers regularly report that a shortage of skilled staff hinders business growth. The government is seeking to leverage skills development as a means of diversifying the economy away from over-reliance on the oil and gas sector and enhancing economic resilience. Yet Azerbaijan has the lowest participation in VET of the Eastern Partnership , and 37% of young workers are in jobs not matching their qualifications. Boosting enrolment in VET is therefore a priority for Azerbaijan, as well as for EU support to the country. The EU is investing €13.5 million in vocational education and training through the Education for Employment programme, designed and implemented with support from the ETF. Published following an extensive process of data collection and consultation with a wide range of stakeholders in the country, the report provides an external, forward-looking analysis of Azerbaijan’s human capital issues and vocational education and training policies from a lifelong learning perspective. It identifies challenges related to education and training policy and practices that hinder the development and use of human capital. It takes stock of these challenges and offers recommendations for possible solutions. PTRhAeCETTICFE’sAaRsEsAeSssmPeRnOtJoEfCATSze&rbCaAiMjaPnAwIGiNllSbe RdEisGcIuOsNsSed&,COUNTRIES together with those of the other Eastern Partnership PcUoBuLnItCrAieTsIO, aNtSa&rReEgSioOnUaRlCeEvSentNtEoWhSeROhOelMd &onElVinEeNToSn 16AaBnOdUT 17 September 2020. As part of this process, Azerbaijan produced its own national report, which is available on the Open Space knowledge sharing platform.  Did you like this article? If you would like to be notiied when new content like this is published, subscribe to receive our email alerts. MORE INFORMATION  Azerbaijan Torino Process Infographic 2018 -2020 EN 17 Aug 2020 PDF The European Training Foundation is a European Union agency that helps transition and developing countries harness the potential of their human capital through the reform of education, training and labour market systems, and in the context of the EU's external relations policy. Based in Turin, Italy, the ETF has been operational since 1994. © 2021 ETF ALL RIGHTS RESERVED. SITEMAP | CONTACT US | LEGAL NOTICE | COOKIES | STAFF LOGIN | E-MAIL ALERTS 	NULL
ETF_0009	2020-06-12	NEWS	NULL	PRACTICE AREAS PROJECTS & CAMPAIGNS REGIONS& COUNTRIES  PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT  Newsroom & events News ETF partner country mapping informs Upskilling webinar Enter search t ETF partner country mapping informs Upskilling webinar 12 JUN 2020 The European Commissioner for Jobs and Social Rights, Nicolas Schmit, in his keynote address during the webinar of EIT Digital, 11 June, on the EU’s role to ensure upskilling in response to the digital transformation, highlighted the critical role of vocational education and training, and the attention needed on gender equality and green skills. The ETF Director, Cesare Onestini, took part in this high level event with other prominent figures from the worlds of government, industry and education. RELATED CONTENT RELATED PRACTICE AREAS Skills for the future PMRrAOCTnIeCsEtAinRiEdAeSscriPbReOdJEthCeTSm&aCjoArMuPpAsIkGiNllSingRthEGaItOhNaSs& COUNTRIES happened in response to the COVID-19 pandemic during PwUhBiLcIhCAcToIuOnNtSri&esRsEuScOcUeRsCsEwSas NinElWuSeRnOcOedM b&yEtVhEeNlTeSvel AoBf OUT their previous investment in digital approaches. He presented the findings of the ETF’s recently published mapping report on distance digital learning in the ETF partner countries during the crisis. “The ability to coordinate the response and engage with a variety of stakeholders was a critical determinant of success”, said Onestini. Many countries were able to react quickly and mobilise public private partnerships to create platforms and test new ideas. “Where the level of investment in digital approaches was lower before then it was more difficult to adapt to this enforced shift to virtual education” he added. Overall, teachers surpassed expectations in their swift move to the online classroom. Nevertheless, the pandemic has brought forward a greater need to address inclusion and overcome difficulties of access and outreach, which could be helped by bringing parents and families into the learning process. The momentum gained through the COVID-19 response needs to be harnessed to build upon the structured responses emerging.  Did you like this article? If you would like to be notiied when new content like this is published, subscribe to receive our email alerts. The European Training Foundation is a European Union agency that helps transition and developing countries harness the potential of their human capital through the reform of education, training and labour market systems, and in the context of the EU's external relations policy. Based in Turin, Italy, the ETF has been operational since 1994. © 2021 ETF ALL RIGHTS RESERVED. SITEMAP | CONTACT US | LEGAL NOTICE | COOKIES | STAFF LOGIN | PRACTICE AREAS PROJECTS & CAEM-MPAAILIGANLESRTSR NTRIES PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT	NULL
ETF_0010	2020-09-07	NEWS	NULL	PRACTICE AREAS PROJECTS & CAMPAIGNS REGIONS& COUNTRIES  PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT Enter search t  Newsroom & events News How is the EU combatting disinformation? RELATED CONTENT RELATED PRACTICE AREAS Digital skills & learning How is the EU combatting disinformation? 07 SEP 2020 As well as causing direct harm to individuals, as we have seen with the COVID-19 pandemic, disinformation poses a global threat to open and democratic societies. The European Union is working to overcome the challenges of disinformation through a multifaceted approach including projects and actions to increase media literacy, as in the digital education action plan for example, which will be updated within the coming month, and within Horizon Europe, the EU's next research and innovation framework programme. PTRhAeCETTICFEisARwEoArSkingPRtoOgJEeCthTSer&wCiAthMPoAuIrGpNaSrtnReErGcIoOuNnStr&ieCsOtUoNTRIES develop digital skills and competence, which also means PdUeBvLeIlCoApTinIOgNmS &edRiEaSlOitUerRaCcEyS, anNiEmWpSoRrOtaOnMt e&leEmVEeNnTtSin bAeBiOnUgT able to identify disinformation and to engage skillfully, securely and democratically in our increasingly digital world. Background Fighting misinformation, which is the unintentional spread of falsehoods, and disinformation, which is intentional and coordinated manipulation, creates many challenges in the era of social media and online platforms. Efforts need to be coordinated with all relevant actors, from institutions to social platforms, from news media to single users. Researchers, independent journalists, and fact-checkers have been at the forefront of monitoring, analysing, and reporting about disinformation. Disinformation erodes trust in institutions and in digital and traditional media and harms our democracies by hampering the ability of citizens to take informed decisions. It can polarise debates, create or deepen tensions in society and undermine electoral systems, and have a wider impact on European security. It impairs freedom of opinion and expression, a fundamental right enshrined in the Charter of Fundamental Rights of the European Union. Photo by Luis Villasmil on Unsplash  Did you like this article? If you would like to be notiied when new content like this is published, subscribe to receive our email alerts. MORE INFORMATION  Last days to contribute to EU consultation on Digital Education Action Plan 01 Sep 2020 News PRACTICE AREAS PROJECTS & CAMPAIGNS REGIONS & COUNTRIES  https://ec.europa.eu/info/live-work-travel-eu/health/coronavirus-response/ighting- PUBLICATIONS & RESOURCES NEWSROOM & EVENTS ABOUT disinformation/funded-projects-ight-against-disinformation_en The European Training Foundation is a European Union agency that helps transition and developing countries harness the potential of their human capital through the reform of education, training and labour market systems, and in the context of the EU's external relations policy. Based in Turin, Italy, the ETF has been operational since 1994. © 2021 ETF ALL RIGHTS RESERVED. SITEMAP | CONTACT US | LEGAL NOTICE | COOKIES | STAFF LOGIN | E-MAIL ALERTS 	NULL
