id	date	text_type	title	text	url
EULISA_NEWS_0001	2022-01-31	NEWS	eu-LISA Management Board held its first meeting of 2022	 Page ContentOn Tuesday, 25 January 2022, the Management Board of the European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA) held its 33rd regular meeting in an online format.Amongst others, the Management Board adopted the draft Single Programming Document (SPD) 2023-2025. The draft SPD provides an overview of activities to be undertaken by eu-LISA as well as the human and financial resources necessary to deliver the stated objectives. The document will be sent to the European Commission for their formal opinion and subsequently proposed for adoption in November 2022. The Single Programming Document for the 2022-2024 period is available on the Agency's website.In addition, the Management Board got a comprehensive overview of the revised planning related to the building blocks for the Interoperability architecture and status updates on the Schengen Information System (SIS) Recast, the Visa Information System (VIS), the Entry/Exit System (EES), the European Travel Information and Authorisation System (ETIAS) and the European Criminal Records Information System -Third Country Nationals (ECRIS-TCN).The next eu-LISA Management Board meeting is planned to be held on 23 and 24 March 2022 in Tallinn.Summaries of the regular eu-LISA Management Board Meetings are published on the Agency's website. Meta Tags:   	https://www.eulisa.europa.eu/Newsroom/News/Pages/eu-LISA-Management-Board-held-its-first-meeting-of-2022.aspx
EULISA_NEWS_0002	2022-02-16	NEWS	eu-LISA urges carriers to register with the Agency	 Page Content​All air, sea and overland coach carriers are invited to register with eu-LISA by the end of February 2022 in order to query EES and ETIAS for the status of travellers arriving to the Schengen Area. Registration enables carriers to receive all the information necessary for a timely preparation of their respective systems and business processes required to consult the EU IT systems. Detailed information on the registration requirements and different options as well as step-by-step instructions are published on the following eu-LISA webpage.From September 2022, all carriers will need to verify electronically whether a third country national travelling to the Schengen Area carrying a single or a double entry visa has already used the number of entries authorised by their visa. The carriers will no longer be able to manually verify visas after the entry into operation of EES next September. Furthermore, from May 2023 carriers will have to verify the status of travel documents required for entering the Schengen Area, including the necessity to hold a valid ETIAS travel authorisation prior to boarding.EES, the Entry/Exit System, replaces the manual stamping of passports with an electronic record of entries and exits, and carriers will verify if a third-country national travelling to the Schengen Area with a short-stay, single or double entry visa has already used the number of entries authorised by their visa. For ETIAS, the European Travel Information and Authorisation System, carriers will have to verify, prior to boarding, that their visa-exempt passengers have a valid travel authorisation.eu-LISA, the European Union Agency for the Operational Management of Large-Scale Information Systems in the area of Freedom, Security and Justice, is developing the EES and ETIAS Information Systems and ensuring its technical management. Among others, the Agency is responsible for the creation of a public website and a mobile app for ETIAS applications, where applicants will also be able to check the status of their application.  Meta Tags:   	https://www.eulisa.europa.eu/Newsroom/News/Pages/eu-LISA-urges-carriers-to-register-with-the-Agency.aspx
EULISA_NEWS_0003	2022-01-09	NEWS	2022 Marks eu-LISA's 10th Anniversary	 Page ContentFor the past decade, eu-LISA has been working around the clock on the digital transformation of border and migration management systems, to facilitate the implementation of one of EU citizens' fundamental rights – the right to free movement within the Schengen Area.Throughout this special year, we will be looking back at achievements, milestones and key events as well as the people that made this journey possible. However, it isn't only about dwelling on the past, as we will also try to envision what the next 10 years could look like. We are after all talking about the most complex and challenging digital transformation programme that the EU has launched in decades.On top of the existing Eurodac, SIS and VIS, we are developing three new systems: EES, ETIAS and ECRIS-TCN. Interoperability and its components will make sure all these systems are able to talk to each other and exchange information efficiently, safely and in respect of applicable data protection and privacy legislation. And, starting mid-next year, we will be taking over e-CODEX.We have prepared numerous online and offline products to mark the anniversary, so be sure to keep an eye out and follow the #euLISA10 hashtag.Over the past 10 years, we have worked closely with EU Member States, EU Institutions and stakeholders, evolving as an organisation and as a team keeping our commitment to ensuring the trustworthiness and safety of the technologies we deploy.We would like to take this opportunity to thank everyone that has been with us on our quest. We look forward to working for you and with you for many more years to come!eu-LISA – The Digital Heart of SchengenThe European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA), was established in 2011 as a long-term solution to the management large-scale information systems in the area of freedom, security and justice, becoming operational de facto in 2012. Today, we are at the forefront of Europe's information-driven border management and internal security, providing the expertise needed to manage and develop JHA large-scale IT systems and their respective communication infrastructure, on a 24/7 basis. The headquarters of eu-LISA are in Tallinn (Estonia), the operational management is carried out in Strasbourg (France) and a backup site is located in Sankt Johann im Pongau (Austria). The Agency also has a liaison office in Brussels (Belgium).Core Activities and Large-Scale IT Systems – Discover eu-LISA2021 in Review – eu-LISA Bits & Byteseu-LISA's Establishing Regulation Meta Tags:   	https://www.eulisa.europa.eu/Newsroom/News/Pages/2022-Marks-eu-LISA's-10th-Anniversary.aspx
EULISA_NEWS_0004	2021-12-15	NEWS	The eu-LISA Bits and Bytes Issue 3	 Page ContentToday, the European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA) publishes the third issue of Bits & Bytes, a digital newsletter showcasing its recent progress and achievements in the Justice and Home Affairs domain.An important chapter in this edition is about a new large-scale IT system on its way to becoming part of the eu-LISA portfolio, in addition to the existing Eurodac, SIS, VIS and currently under development EES, ETIAS and ECRIS-TCN.Don't miss a quick look at how we prepared for our Annual Conference and for the Europe Day celebrations with our interactive quiz.We also talk about eu-LISA's new visual identity, featuring an interactive before & after module, the 2021 editions of the eu-LISA Industry Roundtable, and Artificial Intelligence (AI).The eu-LISA Bits & Bytes can be accessed via an easy to remember link: bit.ly/eu-LISA-Bits-Bytes. Meta Tags:   	https://www.eulisa.europa.eu/Newsroom/News/Pages/The-eu-LISA-Bits-and-Bytes-Issue-3.aspx
EULISA_NEWS_0005	2022-01-31	NEWS	eu-LISA Management Board held its first meeting of 2022	 Page ContentOn Tuesday, 25 January 2022, the Management Board of the European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA) held its 33rd regular meeting in an online format.Amongst others, the Management Board adopted the draft Single Programming Document (SPD) 2023-2025. The draft SPD provides an overview of activities to be undertaken by eu-LISA as well as the human and financial resources necessary to deliver the stated objectives. The document will be sent to the European Commission for their formal opinion and subsequently proposed for adoption in November 2022. The Single Programming Document for the 2022-2024 period is available on the Agency's website.In addition, the Management Board got a comprehensive overview of the revised planning related to the building blocks for the Interoperability architecture and status updates on the Schengen Information System (SIS) Recast, the Visa Information System (VIS), the Entry/Exit System (EES), the European Travel Information and Authorisation System (ETIAS) and the European Criminal Records Information System -Third Country Nationals (ECRIS-TCN).The next eu-LISA Management Board meeting is planned to be held on 23 and 24 March 2022 in Tallinn.Summaries of the regular eu-LISA Management Board Meetings are published on the Agency's website. Meta Tags:   	https://www.eulisa.europa.eu/Newsroom/News/Pages/eu-LISA-Management-Board-held-its-first-meeting-of-2022.aspx
EULISA_NEWS_0006	2022-01-09	NEWS	2022 Marks eu-LISA's 10th Anniversary	 Page ContentFor the past decade, eu-LISA has been working around the clock on the digital transformation of border and migration management systems, to facilitate the implementation of one of EU citizens' fundamental rights – the right to free movement within the Schengen Area.Throughout this special year, we will be looking back at achievements, milestones and key events as well as the people that made this journey possible. However, it isn't only about dwelling on the past, as we will also try to envision what the next 10 years could look like. We are after all talking about the most complex and challenging digital transformation programme that the EU has launched in decades.On top of the existing Eurodac, SIS and VIS, we are developing three new systems: EES, ETIAS and ECRIS-TCN. Interoperability and its components will make sure all these systems are able to talk to each other and exchange information efficiently, safely and in respect of applicable data protection and privacy legislation. And, starting mid-next year, we will be taking over e-CODEX.We have prepared numerous online and offline products to mark the anniversary, so be sure to keep an eye out and follow the #euLISA10 hashtag.Over the past 10 years, we have worked closely with EU Member States, EU Institutions and stakeholders, evolving as an organisation and as a team keeping our commitment to ensuring the trustworthiness and safety of the technologies we deploy.We would like to take this opportunity to thank everyone that has been with us on our quest. We look forward to working for you and with you for many more years to come!eu-LISA – The Digital Heart of SchengenThe European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA), was established in 2011 as a long-term solution to the management large-scale information systems in the area of freedom, security and justice, becoming operational de facto in 2012. Today, we are at the forefront of Europe's information-driven border management and internal security, providing the expertise needed to manage and develop JHA large-scale IT systems and their respective communication infrastructure, on a 24/7 basis. The headquarters of eu-LISA are in Tallinn (Estonia), the operational management is carried out in Strasbourg (France) and a backup site is located in Sankt Johann im Pongau (Austria). The Agency also has a liaison office in Brussels (Belgium).Core Activities and Large-Scale IT Systems – Discover eu-LISA2021 in Review – eu-LISA Bits & Byteseu-LISA's Establishing Regulation Meta Tags:   	https://www.eulisa.europa.eu/Newsroom/News/Pages/2022-Marks-eu-LISA's-10th-Anniversary.aspx
EULISA_NEWS_0007	2022-02-16	NEWS	eu-LISA urges carriers to register with the Agency	 Page Content​All air, sea and overland coach carriers are invited to register with eu-LISA by the end of February 2022 in order to query EES and ETIAS for the status of travellers arriving to the Schengen Area. Registration enables carriers to receive all the information necessary for a timely preparation of their respective systems and business processes required to consult the EU IT systems. Detailed information on the registration requirements and different options as well as step-by-step instructions are published on the following eu-LISA webpage.From September 2022, all carriers will need to verify electronically whether a third country national travelling to the Schengen Area carrying a single or a double entry visa has already used the number of entries authorised by their visa. The carriers will no longer be able to manually verify visas after the entry into operation of EES next September. Furthermore, from May 2023 carriers will have to verify the status of travel documents required for entering the Schengen Area, including the necessity to hold a valid ETIAS travel authorisation prior to boarding.EES, the Entry/Exit System, replaces the manual stamping of passports with an electronic record of entries and exits, and carriers will verify if a third-country national travelling to the Schengen Area with a short-stay, single or double entry visa has already used the number of entries authorised by their visa. For ETIAS, the European Travel Information and Authorisation System, carriers will have to verify, prior to boarding, that their visa-exempt passengers have a valid travel authorisation.eu-LISA, the European Union Agency for the Operational Management of Large-Scale Information Systems in the area of Freedom, Security and Justice, is developing the EES and ETIAS Information Systems and ensuring its technical management. Among others, the Agency is responsible for the creation of a public website and a mobile app for ETIAS applications, where applicants will also be able to check the status of their application.  Meta Tags:   	https://www.eulisa.europa.eu/Newsroom/News/Pages/eu-LISA-urges-carriers-to-register-with-the-Agency.aspx
EULISA_NEWS_0008	2021-12-15	NEWS	The eu-LISA Bits and Bytes Issue 3	 Page ContentToday, the European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA) publishes the third issue of Bits & Bytes, a digital newsletter showcasing its recent progress and achievements in the Justice and Home Affairs domain.An important chapter in this edition is about a new large-scale IT system on its way to becoming part of the eu-LISA portfolio, in addition to the existing Eurodac, SIS, VIS and currently under development EES, ETIAS and ECRIS-TCN.Don't miss a quick look at how we prepared for our Annual Conference and for the Europe Day celebrations with our interactive quiz.We also talk about eu-LISA's new visual identity, featuring an interactive before & after module, the 2021 editions of the eu-LISA Industry Roundtable, and Artificial Intelligence (AI).The eu-LISA Bits & Bytes can be accessed via an easy to remember link: bit.ly/eu-LISA-Bits-Bytes. Meta Tags:   	https://www.eulisa.europa.eu/Newsroom/News/Pages/The-eu-LISA-Bits-and-Bytes-Issue-3.aspx
EULISA_NEWS_0009	2021-12-10	NEWS	Revised timeline for the implementation of Interoperability	 Page Content​In the margins of the Justice and Home Affairs (JHA) Council held on 08 October 2021, eu-LISA provided a detailed report concerning the situation with the implementation of the Entry-Exit System (EES). The conclusion of the Agency was that, due to delays beyond eu-LISA's control, it will not be possible to meet the original deadline for the Entry-into-Operation of the system in May 2022 as planned. Subsequently, the Council gave a mandate to eu-LISA together with the Member States and the Commission to develop an alternative scenario for the implementation of EES and to report its conclusions to the JHA Council at the beginning of December 2021.Following two months of intense collaboration and cooperation with all parties involved, on 9 December 2021, eu-LISA presented the alternative scenario to the EU Home Affairs ministers gathered at the JHA Council in Brussels. Pre-conditions and key factors taken into account in the alternative scenario include:The overall unchanged deadline for the implementation of the new interoperability architecture by the end of 2023;The allocation of reasonable time for the implementation of planned activities at European and national level;The inclusion of all the Interoperability architecture building blocks (EES, ETIAS, Interoperability components, ECRIS-TCN and SIS);The summer, Christmas and New Year periods should be avoided as times for Entry-into-Operations of new systems that affect borders;The newly devised scenario has met with the approval of eu-LISA's governance bodies as well as that of the European Commission, and was also endorsed by the Council yesterday.The new timeline foresees that the Entry-into-Operation of the Entry/Exit System (EES) will be postponed from May 2022 to the end September 2022, the European Travel Information Authorisation System (ETIAS) from December 2022 to mid-May 2023 and the revised Schengen Information System (SIS) from February 2022 to June 2022. The final deadline for the full implementation of interoperability, end of 2023, remains unchanged.The new scenario however is demanding towards all stakeholders involved in its implementation. There are a high number of tasks that have to be executed in parallel and a limited margin for setbacks. Though it involves a range of risks, it is important to emphasize that, considering the complexity of the work at stake, a risk-free scenario does not exist.The substantial progress made so far, despite the various challenges and difficulties that eu-LISA and the Member States have had to face highlights that, collectively, all parties have the ability to successfully deliver the most complex global transformation programme for border management and internal security. Meta Tags:   	https://www.eulisa.europa.eu/Newsroom/News/Pages/Revised-timeline-for-the-implementation-of-Interoperability.aspx
EULISA_NEWS_0010	2021-12-14	NEWS	Schengen: New rules to make the area without internal border controls more resilient	 Page Content​Today, the Commission proposed updated rules to reinforce the governance of the Schengen area. The targeted changes will bring greater EU coordination and better equip Member States to deal with emerging challenges when managing both the EU's common external border and internal borders within the Schengen area. The update seeks to ensure that reintroducing internal border controls remains a measure of last resort. The new rules also introduce common tools to manage the external borders more efficiently in case of a public health crisis, building on the lessons learnt from the COVID-19 pandemic. The instrumentalisation of migrants is also addressed in the update to the Schengen rules, as well as through a parallel proposal for measures Member States can take in the fields of asylum and return in such a situation.Commissioner for Home Affairs, Ylva Johansson, said: “The pandemic has shown very clearly that the Schengen area is key for our economies and societies. With our proposals today, we will ensure that border controls are introduced as a last resort, based on a common assessment and for only as long as needed. We are giving Member States the tools to address the challenges they face. And we are also ensuring we manage the EU's external borders together, including in situations where migrants are instrumentalised for political purposes.”New rules to promote effective alternatives to internal border checksThe proposal seeks to promote the use of alternative measures to internal border controls and ensure that – where they are necessary - internal border controls remain a measure of last resort. The measures include:More structured procedure for any reintroduction of internal border controls, with more safeguards Promoting the use of alternative measures Limiting the impact of internal border checks on border regions Addressing unauthorised movements within the Schengen area eu-LISA plays a key role in border management and internal security in Europe. With the IT systems it develops and manages as well as the foreseen Interoperability between them, eu-LISA ensures that both law enforcement and border management authorities have up-to-date unified European data at their disposal, making their jobs easier and Europe's citizens safer.Next stepsIt is now for the European Parliament and Council to examine and adopt the two proposals.Further Readings Full Press Release (European Commission) Proposal for a Regulation amending the rules governing the movement of persons across borders Proposal for a Regulation addressing situations of instrumentalisation in the field of migration and asylum Meta Tags:   	https://www.eulisa.europa.eu/Newsroom/News/Pages/Schengen-New-rules-to-make-the-area-without-internal-border-controls-more-resilient.aspx
