id	date	text_type	title	text	url
EULISA_PR_0001	2021-11-21	PR	EU Justice and Home Affairs Agencies Present their 2021 Key Achievements	" Page ContentToday, 22 November 2021, the nine European Justice and Home Affairs (JHA) Agencies came together to wrap up the activities of the network in 2021 and present its key achievements. The event also gathered high-level representatives from the European Commission, European Parliament, European External Action Service, the General Secretariat of the Council, as well as the current Slovenian Presidency of the Council and the upcoming French one.This year, under the Frontex presidency of the network, the agencies focused on two strategic EU priorities – contributing to the European Green Deal and digitalisation.In a series of events throughout the year, the agencies discussed the impact of climate change on migration and organised crime, looked at EU and international efforts in fighting environmental crimes, presented and exchanged ideas about how to make their administrations carbon-neutral and digital solutions that will make the agencies more effective.The meeting also offered an opportunity to discuss the latest developments, tasks and challenges ahead of the agencies. EU Commissioner for Home Affairs Ylva Johansson and Executive Vice-President of the European Commission Frans Timmermans addressed the participants of the event.“Today at the annual meeting of the heads of the Justice and Home Affairs Agencies I shared my assessment of the current political situation and common priorities for next year. Warm thanks to all the heads of JHA Agencies for their essential work to maintain and strengthen the European area of freedom, security and justice”, said EU Commissioner for Home Affairs Ylva Johansson.During the meeting, the heads of the nine JHA agencies signed a joint statement on the EU Green Deal, reaffirming their commitment to contribute to a safer and cleaner environment by undertaking activities ranging from operational to administrative actions, within limits of their respective mandates.Below key achievements of the network this year: Seminar on environmental crime; Seminar ""Understanding the Influence of climate change on Justice and Home Affairs"" Research study for European Border and Coast Guard (EBCG) and Frontex with a focus on green solutions – ""How our community can become greener?"" Seminar on ""How to make the JHA Agencies administrations carbon neutral by 2030?""Joint paper of fighting environmental crimeeu-LISA plays a key role with regard to digitalisation. The ongoing process of making border management and internal security processes more digital and interoperable is our core business. The development of new IT systems, and the revision of existing ones, leads to a safer and more secure Europe for all its citizens.Established in 2010, the JHA Agencies' Network connects the EU Agencies protecting the Area of Freedom, Security and Justice. It includes nine agencies: CEPOL, EASO, EIGE, EMCDDA, eu-LISA, Eurojust, Europol, FRA and Frontex. Together, they contribute to the implementation of EU objectives in the fields of migration, asylum and external border management, the fight against serious organised crime, drug trafficking and terrorism, gender equality and respect for fundamental rights.In 2022, CEPOL, EU's agency for law enforcement training, takes over the Presidency of the Network. Further Reading Joint statement by the Heads of JHA Agencies on the EU Green Deal JHAAN Coordination and joint actions Meta Tags:   "	https://www.eulisa.europa.eu/Newsroom/PressRelease/Pages/EU-Justice-and-Home-Affairs-Agencies-Present-their-2021-Key-Achievements.aspx
EULISA_PR_0002	2022-02-15	PR	Commissioner Reynders visits eu-LISA	" Page ContentThe EU Commissioner for Justice, Didier Reynders, visited eu-LISA's Operational Site in Strasbourg on 14 February 2022.The main focus of the visit was the digitalisation of cross-border judicial cooperation in the EU. The Commissioner and the management of eu-LISA discussed a strategic approach and different aspects of the deployment of new digital solutions in modernising the judicial systems in the European Justice domain.Commissioner Reynders emphasised that the digitalisation of Justice will be a long but much needed process. It will comprise not only the necessity to speed-up digitalisation at national levels but also the need to invest in development of new tools and projects at the EU level. eu-LISA will play a crucial role, not only through the implementation of ongoing projects, but also in other current initiatives such as the Join Investigation Teams Collaboration Platform and future ones that should be part of an ambitious roadmap for the digitalisation of Justice. ""Europe is aiming for easy access to cross-border justice for citizens, businesses and legal practitioners. eu-LISA has a central role to play in this process and is already actively engaged with ongoing efforts towards the further digitalisation of the European Justice area. We are responsible for the technical maintenance of the ECRIS RI, are currently developing ECRIS-TCN and will also be taking over the maintenance of e-CODEX from mid-2023. These applications and systems are important building blocks that provide for a solid foundation in the context of the digitalisation of criminal justice"", said eu-LISA Executive Director Krum Garkov.The Executive Director reconfirmed the Agency's readiness to continue close cooperation with the Commission to ensure a timely implementation of ongoing initiatives. Mr Garkov emphasised the need to have a comprehensive multi-annual roadmap for the digitalisation of Justice that connects all its building blocks and allows all stakeholders, including the European Commission, eu-LISA and Member States, to plan ahead.In 2020, the Agency took over the operational management of the ECRIS Reference Implementation (RI), marking the first milestone in the development of ECRIS-TCN, a new, centralised, hit/ no-hit large-scale IT system to supplement the existing EU criminal records database (ECRIS) on non-EU nationals (TCNs, third-country nationals) convicted in the European Union. Further to that, in June 2021, the Council of the EU approved a general approach on the EU regulation that foresees the long-term operational management of e-CODEX being given to eu-LISA. e-CODEX (e-Justice Communication via Online Data Exchange) offers a digital, decentralised infrastructure for secure communication between national systems, facilitating how users (judicial authorities, legal practitioners and citizens) send and receive documents, legal forms and evidence. More recently, on 1 December 2021, the European Commission presented a legislative proposal for a Regulation establishing a collaboration platform to support the functioning of Joint Investigation Teams (JITs) (COM (2021) 756 final). The general objective of the proposal is to provide technological support to those involved in JITs to increase the efficiency and effectiveness of their cross-border investigations and prosecutions. According to the Commission proposal, the JITs platform design, development, technical management, and maintenance should be entrusted to eu-LISA. Background informationThe European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA), was established in 2011 as a long-term solution to the management of large-scale information systems in the area of freedom, security and justice, that became operational de facto in 2012. Today, it is at the forefront of Europe's information-driven border management and internal security, providing the expertise needed to manage and develop JHA large-scale IT systems and their respective communication infrastructure, on a 24/7 basis. The headquarters of eu-LISA are in Tallinn (Estonia), operational management is carried out in Strasbourg (France) and a backup site is located in Sankt Johann im Pongau (Austria). The Agency also has a liaison office in Brussels (Belgium). Contactpress@eulisa.europa.eu +372 605 2267 https://www.eulisa.europa.eu/ Meta Tags:   "	https://www.eulisa.europa.eu/Newsroom/PressRelease/Pages/Commissioner-Reynders-visits-eu-LISA.aspx
EULISA_PR_0003	2021-11-28	PR	eu-LISA nominated for EU Public Sector Award 2021	" Page ContentThe headquarters building of eu-LISA in Tallinn, Estonia has been awarded the second place in the ""Green"" category at the European Public Sector Award (EPSA) 2021 competition, which took place today in Maastricht.The Agency's headquarters is an innovative building which combines modern and ergonomic collaboration spaces in a green and sustainable infrastructure.  ""With its unique approach, the eu-LISA headquarters help foster cultural change for greener public administration services and are an inspiring example for other EU and national public bodies. We are very grateful to EPSA for the acknowledgement that recognises the work done by the Agency and its staff and encourages us to do even better in the future"", said the Deputy Executive Director of eu-LISA, Luca Tagliaretti.The headquarters were built throughout 2017 and 2018 by the Estonian State Real Estate Ltd (RKAS) and by the construction company Fund Ehitus and designed specifically to host eu-LISA. ""This project is an example of a truly efficient and effective collaboration at European level. It was possible thanks to the open, transparent, engaged and creative collaboration between the Estonian government, eu-LISA, the city of Tallinn and the construction companies"", added Tagliaretti.eu-LISA looks even further and sets new ambitious goals to continue exploring, testing and introducing new technologies and materials for greener public administration in Europe at its premises in Tallinn and Strasbourg. With the help of EIPA, the Agency plans to create a common EU knowledge management platform for public administrations across the EU. This platform will be instrumental in sharing experience and best practice in the area of digital resource management, the use of new technological solutions and materials as well as capacity building and change management.BackgroundThe EPSA 2021 project is designed to support the EU's public administration sector with the adoption of innovative and smart approaches to the design, planning and implementation of reform policies across a range of areas. In the final stage of the competition the three best projects in three categories (Innovation, Green and Digital) were announced. The Europe-wide award scheme has been organised every two years since 2009 by the European Institute of Public Administration (EIPA).The European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA) was established in 2011 in order to provide a long-term solution for IT-driven internal security and to support the implementation of asylum, migration and border management policies in Europe. Since then, eu-LISA has run Eurodac, SIS and VIS and has been providing Member State authorities with the expert training needed to help them with the constant exchange of information across Europe. Thanks to the trust eu-LISA has fostered over the years, we are now developing EES, ETIAS and ECRIS-TCN and ensuring interoperability between all six IT-systems, in order to take EU internal security and border management to the next level.eu-LISA new HQ - Cornerstone Ceremony 29.09.2017eu-LISA HQ inauguration 19.08.2018""Our bonds are our strengths""Press release: English • EstonianContactpress@eulisa.europa.eueu-LISA's headquarters in Tallinn Meta Tags:   "	https://www.eulisa.europa.eu/Newsroom/PressRelease/Pages/eu-LISA-nominated-for-EU-Public-Sector-Award-2021.aspx
EULISA_PR_0004	2021-10-25	PR	eu-LISA to Host a High-Level Conference - Towards the Digital Schengen Area	" Page ContentOn 27 October 2021, eu-LISA will host its 8th Annual Conference, ""Towards the Digital Schengen Area"". The event is organised in cooperation with the Slovenian Presidency of the Council of the European Union. High-level politicians and experts in the Justice and Home Affairs (JHA) domain will closely look at the progress of creating through innovation a new, modern gateway at European external borders. The discussions will focus on the novel digital solutions that improve travel experiences and assist in border management.The ongoing COVID-19 pandemic has sparked new initiatives, including vaccination certificates and medical tests, all of which are affecting traditional border checks. The conference will address the lessons learnt, as well as the shortcomings encountered deploying modern technologies at external borders. Panellists will also tackle questions related to risk assessments and possible improvements in the model of intelligence gathering that will influence the next generation of the Schengen Area's invisible borders.The speaker line-up will include high-level decision makers from EU Institutions and Agencies as well as from International Organisations and EU Member States. European Commissioner for Home Affairs Ylva Johansson, Slovenian Minister of the Interior Aleš Hojs, on behalf of the Slovenian Presidency of the Council of the EU, as well as Juan Fernando López Aguilar, Chair of the European Parliament's Committee on Civil Liberties, Justice and Home Affairs (LIBE), are among the distinguished keynote speakers at the event.As the digital engine of the Schengen Area, eu-LISA is committed to delivering the new IT systems that are key to ensuring better risk assessments, improved identity management and an overall better set of tools aimed at the fight against organised crime. Interoperability between the systems will be a game-changer and will significantly strengthen the EU's internal security. At the same time, all these elements will have a positive impact in the daily lives of Europe's citizens, enabling smoother border crossings and a better way to cope with present and future challenges.The 2021 eu-LISA Annual Conference will be streamed live on eulisaconference.eu. Visitors can also follow our dedicated Twitter account for running coverage. Backgroundeu-LISAThe European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA) was established in 2012 in order to provide a long-term solution for IT-driven internal security and to support the implementation of asylum, migration and border management policies in Europe. Since then, the Agency has run Eurodac, SIS and VIS and has been providing Member State authorities with the expert training needed to help them with the constant exchange of information across Europe. Thanks to the trust eu-LISA has fostered over the years, the Agency is now developing new Europe-wide IT systems - EES, ETIAS and ECRIS-TCN - and ensuring interoperability between all six IT-systems.eu-LISA Annual ConferencesThe Agency has established a solid tradition of organising annual conferences targeted at EU and national level stakeholders and experts. These conferences have grown in scope and partnerships over the years and have become the Agency's flagship event. eu-LISA is proud to have organised several such events in partnership with countries holding the Presidency of the Council of the European Union. The very first conference, with less than 100 participants, has steadily grown over the years, and, in 2020, surpassed 500 participants. This year we expect close to 450 attendants. LinksConference website: https://eulisaconference.euSpeakers: https://www.eulisaconference.eu/speakers-2021/Agenda: https://www.eulisaconference.eu/programme/Dedicated Twitter: https://twitter.com/euLISAconfHashtags: #DigitalSchengen • #eulisaconference • #ASaferEurope Contact: press@eulisa.europa.eu Meta Tags:   "	https://www.eulisa.europa.eu/Newsroom/PressRelease/Pages/eu-LISA-to-Host-a-High-Level-Conference---Towards-the-Digital-Schengen-Area.aspx
EULISA_PR_0005	2021-11-28	PR	eu-LISA nominated for EU Public Sector Award 2021	" Page ContentThe headquarters building of eu-LISA in Tallinn, Estonia has been awarded the second place in the ""Green"" category at the European Public Sector Award (EPSA) 2021 competition, which took place today in Maastricht.The Agency's headquarters is an innovative building which combines modern and ergonomic collaboration spaces in a green and sustainable infrastructure.  ""With its unique approach, the eu-LISA headquarters help foster cultural change for greener public administration services and are an inspiring example for other EU and national public bodies. We are very grateful to EPSA for the acknowledgement that recognises the work done by the Agency and its staff and encourages us to do even better in the future"", said the Deputy Executive Director of eu-LISA, Luca Tagliaretti.The headquarters were built throughout 2017 and 2018 by the Estonian State Real Estate Ltd (RKAS) and by the construction company Fund Ehitus and designed specifically to host eu-LISA. ""This project is an example of a truly efficient and effective collaboration at European level. It was possible thanks to the open, transparent, engaged and creative collaboration between the Estonian government, eu-LISA, the city of Tallinn and the construction companies"", added Tagliaretti.eu-LISA looks even further and sets new ambitious goals to continue exploring, testing and introducing new technologies and materials for greener public administration in Europe at its premises in Tallinn and Strasbourg. With the help of EIPA, the Agency plans to create a common EU knowledge management platform for public administrations across the EU. This platform will be instrumental in sharing experience and best practice in the area of digital resource management, the use of new technological solutions and materials as well as capacity building and change management.BackgroundThe EPSA 2021 project is designed to support the EU's public administration sector with the adoption of innovative and smart approaches to the design, planning and implementation of reform policies across a range of areas. In the final stage of the competition the three best projects in three categories (Innovation, Green and Digital) were announced. The Europe-wide award scheme has been organised every two years since 2009 by the European Institute of Public Administration (EIPA).The European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA) was established in 2011 in order to provide a long-term solution for IT-driven internal security and to support the implementation of asylum, migration and border management policies in Europe. Since then, eu-LISA has run Eurodac, SIS and VIS and has been providing Member State authorities with the expert training needed to help them with the constant exchange of information across Europe. Thanks to the trust eu-LISA has fostered over the years, we are now developing EES, ETIAS and ECRIS-TCN and ensuring interoperability between all six IT-systems, in order to take EU internal security and border management to the next level.eu-LISA new HQ - Cornerstone Ceremony 29.09.2017eu-LISA HQ inauguration 19.08.2018""Our bonds are our strengths""Press release: English • EstonianContactpress@eulisa.europa.eueu-LISA's headquarters in Tallinn Meta Tags:   "	https://www.eulisa.europa.eu/Newsroom/PressRelease/Pages/eu-LISA-nominated-for-EU-Public-Sector-Award-2021.aspx
EULISA_PR_0006	2021-10-25	PR	eu-LISA to Host a High-Level Conference - Towards the Digital Schengen Area	" Page ContentOn 27 October 2021, eu-LISA will host its 8th Annual Conference, ""Towards the Digital Schengen Area"". The event is organised in cooperation with the Slovenian Presidency of the Council of the European Union. High-level politicians and experts in the Justice and Home Affairs (JHA) domain will closely look at the progress of creating through innovation a new, modern gateway at European external borders. The discussions will focus on the novel digital solutions that improve travel experiences and assist in border management.The ongoing COVID-19 pandemic has sparked new initiatives, including vaccination certificates and medical tests, all of which are affecting traditional border checks. The conference will address the lessons learnt, as well as the shortcomings encountered deploying modern technologies at external borders. Panellists will also tackle questions related to risk assessments and possible improvements in the model of intelligence gathering that will influence the next generation of the Schengen Area's invisible borders.The speaker line-up will include high-level decision makers from EU Institutions and Agencies as well as from International Organisations and EU Member States. European Commissioner for Home Affairs Ylva Johansson, Slovenian Minister of the Interior Aleš Hojs, on behalf of the Slovenian Presidency of the Council of the EU, as well as Juan Fernando López Aguilar, Chair of the European Parliament's Committee on Civil Liberties, Justice and Home Affairs (LIBE), are among the distinguished keynote speakers at the event.As the digital engine of the Schengen Area, eu-LISA is committed to delivering the new IT systems that are key to ensuring better risk assessments, improved identity management and an overall better set of tools aimed at the fight against organised crime. Interoperability between the systems will be a game-changer and will significantly strengthen the EU's internal security. At the same time, all these elements will have a positive impact in the daily lives of Europe's citizens, enabling smoother border crossings and a better way to cope with present and future challenges.The 2021 eu-LISA Annual Conference will be streamed live on eulisaconference.eu. Visitors can also follow our dedicated Twitter account for running coverage. Backgroundeu-LISAThe European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA) was established in 2012 in order to provide a long-term solution for IT-driven internal security and to support the implementation of asylum, migration and border management policies in Europe. Since then, the Agency has run Eurodac, SIS and VIS and has been providing Member State authorities with the expert training needed to help them with the constant exchange of information across Europe. Thanks to the trust eu-LISA has fostered over the years, the Agency is now developing new Europe-wide IT systems - EES, ETIAS and ECRIS-TCN - and ensuring interoperability between all six IT-systems.eu-LISA Annual ConferencesThe Agency has established a solid tradition of organising annual conferences targeted at EU and national level stakeholders and experts. These conferences have grown in scope and partnerships over the years and have become the Agency's flagship event. eu-LISA is proud to have organised several such events in partnership with countries holding the Presidency of the Council of the European Union. The very first conference, with less than 100 participants, has steadily grown over the years, and, in 2020, surpassed 500 participants. This year we expect close to 450 attendants. LinksConference website: https://eulisaconference.euSpeakers: https://www.eulisaconference.eu/speakers-2021/Agenda: https://www.eulisaconference.eu/programme/Dedicated Twitter: https://twitter.com/euLISAconfHashtags: #DigitalSchengen • #eulisaconference • #ASaferEurope Contact: press@eulisa.europa.eu Meta Tags:   "	https://www.eulisa.europa.eu/Newsroom/PressRelease/Pages/eu-LISA-to-Host-a-High-Level-Conference---Towards-the-Digital-Schengen-Area.aspx
EULISA_PR_0007	2022-02-15	PR	Commissioner Reynders visits eu-LISA	" Page ContentThe EU Commissioner for Justice, Didier Reynders, visited eu-LISA's Operational Site in Strasbourg on 14 February 2022.The main focus of the visit was the digitalisation of cross-border judicial cooperation in the EU. The Commissioner and the management of eu-LISA discussed a strategic approach and different aspects of the deployment of new digital solutions in modernising the judicial systems in the European Justice domain.Commissioner Reynders emphasised that the digitalisation of Justice will be a long but much needed process. It will comprise not only the necessity to speed-up digitalisation at national levels but also the need to invest in development of new tools and projects at the EU level. eu-LISA will play a crucial role, not only through the implementation of ongoing projects, but also in other current initiatives such as the Join Investigation Teams Collaboration Platform and future ones that should be part of an ambitious roadmap for the digitalisation of Justice. ""Europe is aiming for easy access to cross-border justice for citizens, businesses and legal practitioners. eu-LISA has a central role to play in this process and is already actively engaged with ongoing efforts towards the further digitalisation of the European Justice area. We are responsible for the technical maintenance of the ECRIS RI, are currently developing ECRIS-TCN and will also be taking over the maintenance of e-CODEX from mid-2023. These applications and systems are important building blocks that provide for a solid foundation in the context of the digitalisation of criminal justice"", said eu-LISA Executive Director Krum Garkov.The Executive Director reconfirmed the Agency's readiness to continue close cooperation with the Commission to ensure a timely implementation of ongoing initiatives. Mr Garkov emphasised the need to have a comprehensive multi-annual roadmap for the digitalisation of Justice that connects all its building blocks and allows all stakeholders, including the European Commission, eu-LISA and Member States, to plan ahead.In 2020, the Agency took over the operational management of the ECRIS Reference Implementation (RI), marking the first milestone in the development of ECRIS-TCN, a new, centralised, hit/ no-hit large-scale IT system to supplement the existing EU criminal records database (ECRIS) on non-EU nationals (TCNs, third-country nationals) convicted in the European Union. Further to that, in June 2021, the Council of the EU approved a general approach on the EU regulation that foresees the long-term operational management of e-CODEX being given to eu-LISA. e-CODEX (e-Justice Communication via Online Data Exchange) offers a digital, decentralised infrastructure for secure communication between national systems, facilitating how users (judicial authorities, legal practitioners and citizens) send and receive documents, legal forms and evidence. More recently, on 1 December 2021, the European Commission presented a legislative proposal for a Regulation establishing a collaboration platform to support the functioning of Joint Investigation Teams (JITs) (COM (2021) 756 final). The general objective of the proposal is to provide technological support to those involved in JITs to increase the efficiency and effectiveness of their cross-border investigations and prosecutions. According to the Commission proposal, the JITs platform design, development, technical management, and maintenance should be entrusted to eu-LISA. Background informationThe European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA), was established in 2011 as a long-term solution to the management of large-scale information systems in the area of freedom, security and justice, that became operational de facto in 2012. Today, it is at the forefront of Europe's information-driven border management and internal security, providing the expertise needed to manage and develop JHA large-scale IT systems and their respective communication infrastructure, on a 24/7 basis. The headquarters of eu-LISA are in Tallinn (Estonia), operational management is carried out in Strasbourg (France) and a backup site is located in Sankt Johann im Pongau (Austria). The Agency also has a liaison office in Brussels (Belgium). Contactpress@eulisa.europa.eu +372 605 2267 https://www.eulisa.europa.eu/ Meta Tags:   "	https://www.eulisa.europa.eu/Newsroom/PressRelease/Pages/Commissioner-Reynders-visits-eu-LISA.aspx
EULISA_PR_0008	2021-11-21	PR	EU Justice and Home Affairs Agencies Present their 2021 Key Achievements	" Page ContentToday, 22 November 2021, the nine European Justice and Home Affairs (JHA) Agencies came together to wrap up the activities of the network in 2021 and present its key achievements. The event also gathered high-level representatives from the European Commission, European Parliament, European External Action Service, the General Secretariat of the Council, as well as the current Slovenian Presidency of the Council and the upcoming French one.This year, under the Frontex presidency of the network, the agencies focused on two strategic EU priorities – contributing to the European Green Deal and digitalisation.In a series of events throughout the year, the agencies discussed the impact of climate change on migration and organised crime, looked at EU and international efforts in fighting environmental crimes, presented and exchanged ideas about how to make their administrations carbon-neutral and digital solutions that will make the agencies more effective.The meeting also offered an opportunity to discuss the latest developments, tasks and challenges ahead of the agencies. EU Commissioner for Home Affairs Ylva Johansson and Executive Vice-President of the European Commission Frans Timmermans addressed the participants of the event.“Today at the annual meeting of the heads of the Justice and Home Affairs Agencies I shared my assessment of the current political situation and common priorities for next year. Warm thanks to all the heads of JHA Agencies for their essential work to maintain and strengthen the European area of freedom, security and justice”, said EU Commissioner for Home Affairs Ylva Johansson.During the meeting, the heads of the nine JHA agencies signed a joint statement on the EU Green Deal, reaffirming their commitment to contribute to a safer and cleaner environment by undertaking activities ranging from operational to administrative actions, within limits of their respective mandates.Below key achievements of the network this year: Seminar on environmental crime; Seminar ""Understanding the Influence of climate change on Justice and Home Affairs"" Research study for European Border and Coast Guard (EBCG) and Frontex with a focus on green solutions – ""How our community can become greener?"" Seminar on ""How to make the JHA Agencies administrations carbon neutral by 2030?""Joint paper of fighting environmental crimeeu-LISA plays a key role with regard to digitalisation. The ongoing process of making border management and internal security processes more digital and interoperable is our core business. The development of new IT systems, and the revision of existing ones, leads to a safer and more secure Europe for all its citizens.Established in 2010, the JHA Agencies' Network connects the EU Agencies protecting the Area of Freedom, Security and Justice. It includes nine agencies: CEPOL, EASO, EIGE, EMCDDA, eu-LISA, Eurojust, Europol, FRA and Frontex. Together, they contribute to the implementation of EU objectives in the fields of migration, asylum and external border management, the fight against serious organised crime, drug trafficking and terrorism, gender equality and respect for fundamental rights.In 2022, CEPOL, EU's agency for law enforcement training, takes over the Presidency of the Network. Further Reading Joint statement by the Heads of JHA Agencies on the EU Green Deal JHAAN Coordination and joint actions Meta Tags:   "	https://www.eulisa.europa.eu/Newsroom/PressRelease/Pages/EU-Justice-and-Home-Affairs-Agencies-Present-their-2021-Key-Achievements.aspx
EULISA_PR_0009	2020-11-24	PR	eu-LISA 25th Management Board meeting wraps up 2020 and looks to 2021	 Page ContentOn Tuesday 24 November 2020, the Management Board of eu-LISA holds its 25th meeting. It is now the 3rd time that the Board's meeting is held fully online due to the special working arrangements adopted due to COVID-19 related restrictions.The Board will adopt the Agency's Single Programming Document for 2021 to 2023, outlining all the programme - and project-based activities that eu-LISA is to perform to meet its strategic goals. Two days prior the eu-LISA Annual Conference on interoperability and digital resilience, the Board will focus on several aspects of the Interoperability Programme, one of the Agency's key priorities, and discuss progress  in the Member States as well as the updated schedule, impacted by the COVID-19 pandemics,  for the development of the new systems .The Board will also get an overview of the effects of the pandemics on the Agency's activities and a status update on eu-LISA's re-entry plan, regarding its staff working at the Agency's different geographic locations across Europe.eu-LISA  is well on track with all the tasks and responsibilities related to building the new IT architecture for the justice and  home affairs domain and this is one of the main messages given at the meeting of the principle stakeholders of eu-LISA. BackgroundAbout eu-LISA's Management BoardThe MB is the highest governance body of the Agency and is composed of one representative from each participating Member State and two European Commission representatives. The board has regularly convened since March 2012 to monitor the progress of the establishment of the Agency and ensure high-level performance.About eu-LISAThe European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA) was established in 2011 in order to provide a long-term solution for EU internal security and to support the implementation of asylum, migration and border management policies. Since then, eu-LISA has run Eurodac, SIS and VIS and has been providing Member State authorities with the expert training needed to help them with the constant exchange of information across Europe. Thanks to the trust eu-LISA has fostered over the years, we are now developing EES, ETIAS and ECRIS-TCN and ensuring interoperability between all six IT-systems, in order to take EU internal security and border management to the next level.The headquarters of eu-LISA are in Tallinn, Estonia, whilst its operational centre is in Strasbourg, France. The Agency also has a technical business continuity site based in Sankt Johann im Pongau, Austria and a Liaison Office in Brussels, Belgium.Website:               https://eulisa.europa.eu/Social media:        Twitter; Facebook; LinkedIn; YouTubeContact:                press@eulisa.europa.eu Meta Tags:   	https://www.eulisa.europa.eu/Newsroom/PressRelease/Pages/eu-LISA-25th-Management-Board-meeting-wraps-up-2020-and-looks-to-2021.aspx
EULISA_PR_0010	2020-11-26	PR	eu-LISA - Interoperability as the Essential Building Block for Digital Resilience	" Page ContentToday, eu-LISA hosts its 7th Annual Conference ""Interoperability - Building Digital Resilience for the EU Justice and Home Affairs Community"". The conference is organised in cooperation with the German Presidency of the Council of the European Union and aims to tackle the top priority issues regarding digitalisation in EU justice and home affairs.  The focus of the fully digital conference is set on the paradigm shift introduced by interoperability while also reflecting on aspects of its technical implementation. The conference aims, on one hand, to explore how the JHA community can benefit from an enhanced focus on innovation & technology and, on the other hand, to touch upon the potential influence of innovation and the latest technological solutions to policy-making at EU and national levels. Possible implications from the COVID-19 pandemic on the acceleration of digital transformation, as well as benefits and possibilities for the law enforcement sector stemming from the new information architecture form another set of questions for discussions and reflections. The conferences is honoured by Commissioner JOHANSSON's keynote statement, emphasising that eu-LISA together with the national counterparts in all EU Member States are the backbone of the Schengen Area, making the most cherished right of Europeans, freedom of movement, possible. ""Digital transformation is one of the building blocks of NextGenerationEU and eu-LISA is the Agency delivering the necessary digital platforms, to justice and home affairs communities, that provide tangible benefits for EU citizens, enabling the practical implementation of one of their fundamental rights –freedom of movement. We can be successful if we, all those engaged in these communities, see this as our common goal and work jointly to achieve it. It is therefore a great privilege for eu-LISA to organise this year's annual conference, with the German Presidency, and through common efforts reach a remarkable blend of stakeholder communities from all across Europe. At this conference we will discuss with EU policy makers, national experts and partners the 'new normality' we are all living in and how interoperability strengthens the digital resilience and the challenges we need to consider on our way to NextGenerationEU. With this exchange we build our common success"", emphasised Krum GARKOV, Executive Director of eu-LISA.  Backgroundeu-LISA Annual Conferences The Agency has established a solid tradition of organising annual conferences targeted at EU and national level stakeholders and experts. These conferences have grown in scope and partnerships over the years. eu-LISA is proud to have organised several annual conferences in partnership with countries holding the Presidency of the Council of the European Union. The very first conference, with less than 100 participants, has grown and in 2020 counts over 500 registered participants. The 2020 conference, affected by COVID-19 pandemic restrictions, takes place entirely online.  Links:Conference website:           https://eulisaconference.euSpeakers:                              https://www.eulisaconference.eu/speakersTwitter:                                  https://twitter.com/euLISAconfHashtags : #IO4EU • #eulisaconference Contact:press@eulisa.europa.eu Meta Tags:   "	https://www.eulisa.europa.eu/Newsroom/PressRelease/Pages/eu-LISA---Interoperability-as-the-Essential-Building-Block-for-Digital-Resilience.aspx
