id	date	text_type	title	text	url
EUROFOUND_UNK_0001	2020-11-16	UNK	Have your say! Eurofound’s annual User Feedback Survey	Have your say! Let us know what you think of Eurofound’s website, data and reporting by taking part in Eurofound’s annual User Feedback Survey. The survey will only take 10 minutes to complete. Your contribution will allow us to ensure that our outputs meet your needs and are relevant for our users. Click here: Eurofound Annual User Feedback Survey 2020  	https://www.eurofound.europa.eu/news/news-articles/have-your-say-eurofounds-annual-user-feedback-survey
EUROFOUND_UNK_0002	2021-09-14	UNK	Future of Europe in the spotlight in discussions between Eurofound and Irish Government	Eurofound’s Directorate met with Thomas Byrne T.D., Minister of State with responsibility for EU Affairs, in Dublin today to discuss the evolving role of the Agency in producing timely and relevant research on the implications of the COVID-19 pandemic on employment, the labour market and quality of life, as well as its strategic position as the only EU agency based in Ireland. Eurofound’s Director, Ivailo Kalfin, Deputy Director, Maria Jepsen, and Minister Byrne reflected on the continuous close dialogue and cooperation between the Agency and the Irish government, and how the COVID-19 pandemic has further highlighted the importance of Eurofound’s work on both a national and European level. They also discussed how, as a tripartite Agency, Eurofound promotes cooperation dialogue between social partners, national governments, and the European institutions, with the next Foundation Forum in March 2022 providing a further opportunity to deepen this dialogue. The meeting, held on the eve of President von der Leyen’s State of the European Union 2021 address, also discussed the ongoing Future of Europe conference as well as the forthcoming visit of EU Heads of Missions in Ireland to the Agency’s premises on 28 September as an important occasion for both cooperation and further analysis of Eurofound’s research findings. Speaking shortly after the meeting, Ivailo Kalfin emphasised his ambition to continue the Agency’s close cooperation with the Irish government, ‘Eurofound has enjoyed a close and productive relationship with the Irish government and political institutions over decades, I am conscious of the importance of not only continuing this under my mandate, but also deepening it and ensuring that Eurofound acts as a hub of research and national cooperation on social policy in Europe.’ Further information: Visit of EU Heads of Missions in Ireland to Eurofound, 28 September 2021 Left to right: Thomas Byrne T.D., Maria Jepsen, and Ivailo Kalfin. Photo © Eurofound 2021, Mary McCaughey 	https://www.eurofound.europa.eu/news/news-articles/future-of-europe-in-the-spotlight-in-discussions-between-eurofound-and-irish-government
EUROFOUND_UNK_0003	2021-10-06	UNK	COVID-19 one year on: A changed Europe	It has been over a year since the Coronavirus disease (COVID-19) hit Europe and many of the response measures necessary to deal with the pandemic, from working from home to social distancing, are now part of our everyday lives. In spring 2020, most citizens, although fearful of the devastating early impacts of the virus, did not envisage that their lives would be so dramatically impacted, and that the economic, social and work-related effects of the pandemic would drag on for so long. COVID-19 has exposed how fragile the progress made on issues such as gender equality and socioeconomic convergence in Europe truly was, with women, young people, and the economically and socially marginalised most adversely impacted. Almost every aspect of our working and family lives has changed and, likewise, all of Eurofound’s research areas have been marked by COVID-19. Not only did we roll out three rounds of the now landmark Living, working and COVID-19 online survey in 12 months to analyse the rapid change that is ongoing, but the analyses in our existing surveys and flagship reports have specifically looked at the impacts of the pandemic across the board. Unfortunately, findings to date paint a bleak picture. In spring 2021, mental well-being reached its lowest level across all age groups since the onset of the pandemic, with young people and those out of work most adversely affected. Our research also showed that over half (55%) of young people were at-risk of depression during the early stages of lockdowns across the EU, with Europe’s youth suffering disproportionately from social isolation and stymied educational and employment opportunities. Meanwhile, trust in institutions has plummeted, with trust in national governments across all EU Member States lower than at the start of the pandemic. Across Europe, citizens felt the divisive social and economic fallouts with a dwindling number viewing crisis support measures as fair and efficient. As the pandemic endured it became clear that, although women appeared to be more resilient than men to COVID-19 in terms of health outcomes, that was not the case when it comes to the economic and social fallout. Measures taken by governments to control the spread of the virus exacerbated gender divides in unemployment, domestic labour and financial security, all to the disadvantage of women. Work–life conflict escalated for many people working from home, with mothers of small children often bearing the brunt of the impact. While what has taken place has been tumultuous and devastating for many, the future also holds possibilities. Eurofound’s research has highlighted that COVID-19 could be a catalyst for fundamental change that will define the future of Europe , and that rather than ‘recovering’ from a crisis like we did a decade ago, we can instead reset our expectations for our lives and reshape our understanding of what we can achieve in cooperation; from building up our health and social systems, to adopting meaningful and ambitious policies to address climate change. COVID-19 may have left many sectors and businesses dormant, but it has revolutionised other aspects of working life, with large swathes of the workforce working from home during the pandemic and increasingly questioning old paradigms. Despite ongoing issues with vaccine hesitancy, which Eurofound’s research helped bring to light – particularly in relation to the spread of misinformation – many EU countries have enjoyed success with their vaccine rollout. The public health threat of the virus gradually is receding and, in addition to the prioritisation of ensuring robust, resilient and coordinated health systems across the Union, the way that work is done may turn out to be one of the most important long-term consequences of the pandemic. Early indications show a workforce tentative to return to the office and, while mindful of the extra pressures and isolation that can result from working from home, many are reluctant to sign-up once more for long commutes and more time away from loved ones. For those in client-facing and manual roles and not able to work from home, the greater advantages of those that have more freedom to decide when and where to work acts as a further reminder of an unequal labour market. These are all themes that Eurofound will be exploring in its research, with an immediate focus on how the lockdowns have changed the labour market, how digitisation has changed the workplace, how COVID-19 has impacted business continuity, and how crises impact equality and cohesion in Europe. The outbreak of COVID-19 in Europe may be moving gradually into history, but the long-term impacts of the pandemic on our work and lives is just beginning. More information Read the latest Living, working and COVID-19 report: Publication: Living, working and COVID-19 (Update April 2021): Mental health and trust decline across EU as pandemic enters another year See the most recent blogs from our researchers Blogs: All blogs related to COVID-19 research Explore the data from our Living, working and COVID-19 e-surveys: Living, working and COVID-19 data Sign-up to receive forthcoming research: What just happened? COVID-19 lockdowns and change in the labour market Working time in 2019–2020 Digitisation in the workplace Impact of COVID-19 on young people in the EU Occupational dimension of the gender pay gap European Jobs Monitor 2021: Gender gaps and employment structure Looking backward to move forward: Converging through crises COVID-19 and the impact on business continuity: Changes in workplace practices 	https://www.eurofound.europa.eu/news/news-articles/covid-19-one-year-on-a-changed-europe
EUROFOUND_UNK_0004	2020-11-30	UNK	Reflecting on developments of living and working conditions across the EU over the past decade	At the end of his term as Executive Director on 30 November 2020, we engaged in a socially distant interview with Juan Menéndez-Valdés to review the last decade, his thoughts on Europe and his hopes for Eurofound. We wish him all the best into the future.       You have now completed 10 years at the helm of Eurofound, at the core of living and working developments across the EU. This period has seen many important changes and significant developments in this sphere. It has also spanned some major and unique milestones, including the impact of the Great Recession and the ongoing pandemic. What have been the major changes you have seen in the area of living and working in Europe during this time? It has been a turbulent decade indeed. I arrived in the middle of the crisis and at a time when the recovery had not yet fully taken hold in in all countries or across all societal groups. I now leave as Europe faces the myriad of challenges resulting from the pandemic and the economy is experiencing the sharpest drop in GDP since World War II. Over the past decade, there have not been dramatic changes in the working conditions of those who retained their jobs. Structural change, however, has continued to leave a trail of winners and losers as a result of the changes driven by digitalisation, the transition to a low-carbon economy, globalisation and demography, accelerated during the crisis periods. Unemployment is still probably the single biggest issue and the main driver of inequality, poverty and exclusion. Similarly, the overall reduction and availability in working hours is an issue, as the expansion of part-time work impacted on in-work poverty. The crisis also arrested, and in some cases reversed, the process of convergence regarding wages and social protection. The growing variety of forms of employment, pushed by technology, globalisation and business models, has blurred the borders of traditional employment relations, opening up gaps in social protection and challenging traditional industrial relations. In terms of societal groups, we have witnessed progress in closing some gender gaps – although this progress also has suffered a setback during the pandemic and there is still a long way to go – while young people have been most acutely affected by two major crises in a decade. Beyond employment, the needs of an ageing population and reconciliation of work and life, particularly in relation to care needs, remain highly pertinent challenges. How do you feel these issues will impact on living and working in Europe in the longer term? Will they dilute our social Europe? Is the convergence machine set to shudder to a permanent standstill? During the past 10 years, the European Union has seen a rise in divisions and societal tensions, with significant divergences between Member States during the Great Recession, including tensions around wages, contrasting approaches to mobility and migration and a worrying decline of trust in institutions and the EU project, with Brexit perhaps the most visible and dramatic indicator. Rifts between North and South, West and East, creditors and debtors are also still painfully evident. As the EU’s reaction to the COVID-19 crisis has been much bolder and more determined than its response to the financial crisis, citizens will probably appreciate the benefits of working together. However, the ratification of measures is not yet complete, and clearly the political polarisation does not help. What mechanisms do you believe have worked in the face of these challenges? Do you think the social model has proved itself to be still fit for purpose during this time? Europe is still the social benchmark at global level. The social model itself needs to adjust and respond to the challenges, including those related to an ageing population, more diverse employment relations, insecure working lives and faster restructuring processes. It will be important to remain ambitious in terms of the social protection objectives, while at the same time ensuring that problems are not ignored, and the necessary reforms not thwarted. How do you think the role of the EU Agencies has evolved during this period? Has their contribution proved to be of benefit during these critical times? In what way? I believe that the EU Agencies continue to be agile institutions capable of delivering a lot with limited resources (indeed considerably reduced over the last decade). The number and scope of Agencies has grown during the decade and, from the perspective of taxpayers, the demand for increased efficiency of the institutional architecture and higher accountability of Agencies is a legitimate one. Agencies should keep their focus on fulfilling their purpose and demonstrate every day that they are worth the investment the society is making in them. Specifically, what do you think have been Eurofound’s greatest achievements during this time? Overall, I believe we have succeeded in enhancing our usefulness. We have managed to bring our research closer to the knowledge needs in the policy action arena. Eurofound today is more visible and its expertise is acknowledged and used in most social policy debates at EU level. There is much evidence to support this, from the input of our findings in key policy documents to the requests to contribute to key political events of the EU Institutions. And we have achieved this while also increasing our scientific rigour and efficiency. What do you think your own contribution has been? Are there regrets? I think I have been part of that, but I would emphasise that this has been a team achievement. My contribution focused on being very persistent and consistent in all this, asking stakeholders constantly about their needs, passing on the message in house, providing key guidance when selecting our activities, requesting the flexibility to react to demands, maintaining high standards across the board, and striving to convey to the stakeholders and the broader audience a reliable, credible, balanced and robust image of Eurofound’s work. On the regrets chapter, when dealing with so many stakeholders, managers and staff…. it is impossible to ensure everyone is satisfied all of the time. I regret the negative impact of some of the decisions taken, even if I remain convinced that those were the right decisions at the time. The next phase is critical for European social, work and labour related developments – how we will live, how we will work, the Pillar, gender strategy, minimum wage, platform work and so on. Where do you think Eurofound can contribute best? It is clear we are undergoing the deepest crisis since World War II. But we will also be responding to this with the most intense investment assistance package ever coordinated at EU level. It will be key for Eurofound to fully understand and translate the knowledge needed to inform this massive policy initiative at national level and the support and monitoring required at EU level. As you start to take a little distance from the Institutions, the Agency and its work, what do you think Eurofound can try to improve over the coming period? How should we seek to shape change? It will be important to keep the focus on the external demands and requirements and to avoid the unnecessary multiplication of projects and outputs and to integrate our findings better. My advice would be to adopt a ‘digital first’ strategy to explore new and innovative initiatives both to conduct research and to present findings in a way that is searchable and filtered by the user. What would be your biggest hopes and fears for Europe as you look to the future? My biggest hope is that we manage to beat the virus and achieve a successful, cohesive recovery across Europe, and indeed the world. There is potentially, in fact a huge opportunity for Europe in this, despite the pain and destruction, to see the results of what we can achieve by working together. My greatest fear is that increased polarisation, tensions and divisions will undermine trust. That Europeans will fall into the trap of populist narratives focused on identifying ‘us’ and ‘them’ (whether that be countries, groups in society, institutions, etc), exacerbating confrontation where cooperation is needed. If you had one message for staff and stakeholders as you leave Eurofound what would it be? Be nice to the new Executive Director.	https://www.eurofound.europa.eu/news/news-articles/reflecting-on-developments-of-living-and-working-conditions-across-the-eu-over-the-past-decade
EUROFOUND_UNK_0005	2020-12-10	UNK	New Chair of Eurofound’s Management Board	Stefan Gran has been elected Chair of Eurofound’s Management Board during the third meeting of the Board on 6 November 2020. He takes over from outgoing chair Aviana Bulgarelli, Ministry of Labour and Social Policies (Ministero del Lavoro, della Salute), Italy. Stefan, from the German Trade Union Confederation (DGB – Deutscher Gewerkschaftsbund), represents the Workers group in Eurofound’s tripartite management structure. He is currently based in Brussels where he is Head of DGB’s EU Liaison Office. In response to his election, he announced: ‘I am pleased that the tripartite representation from the 27 EU Member States elected me as Chair of Eurofound’s Management Board. I take up this position as Eurofound embarks on a new four-year programme of work, Programming Document 2021– 2024: Towards recovery and resilience, set against the backdrop of the COVID-19 pandemic and all the social, employment and work-related challenges it brings. It is a privilege to be able to contribute to informing effective policies that can lead to improving the quality of life and work for all Europeans.’ Three Deputy Chairpersons were also elected: Roel Gans, Ministry of Social Affairs and Employment, Netherlands (SZW - Ministerie van Sociale Zaken en Werkgelegenheid), Stefania Rossi, General Confederation of Italian Industry (Confindustria), and Barbara Kauffmann, DG Employment, Social Affairs and Inclusion, European Commission. As set out in Eurofound’s Founding Regulation, the Chair and Deputy Chairpersons are elected by a majority of two-thirds of members of the Management Board. The term of office is for one year, renewable.	https://www.eurofound.europa.eu/news/news-articles/new-chair-of-eurofounds-management-board
EUROFOUND_UNK_0006	2020-11-11	UNK	COVID-19 crisis led to doubling of EU restructuring job loss in first six months of 2020	The COVID-19 crisis has led to a doubling of restructuring job loss in the first half of 2020 compared to the rolling average. The labour market impacts have been highly selective, with two broad sectors – transport (including air transport) and hotels and restaurants – accounting for nearly half the overall announced job loss compared to less than 10% in ‘normal’ times. The new European Restructuring Monitor ERM report 2020: Restructuring across borders reviews recent restructuring activity in the EU, from January 2019 up to and including the first impacts of the COVID-19 crisis. It also presents an analysis of transnational restructuring cases – those that affect workers in more than one country. Around 1 in 20 cases of large-scale restructuring are transnational, affecting activities in at least two countries, according to the report. The employment effects of such cases tend to be much larger and the restructuring processes longer and more complex. Large-scale transnational restructurings in the EU involve on average around 3,000 job losses. While representing only 1 in 20 of the European Restructuring Monitor (ERM) database’s 25,000 plus records, restructuring cases affecting workplaces in different jurisdictions and involving multinational enterprises (MNEs) may be of specific interest to policymakers, notably at European level. These enterprises account for nearly a quarter of jobs globally and an even higher share of output. All restructuring activity is cyclical, with peaks coinciding with recessions, but transnational restructuring activity is particularly sensitive to the business cycle. Both the frequency of cases and the size of cases (in job losses) increases relatively faster during economic downturns, including that provoked by the COVID-19 crisis. ‘Given their scale and their impact across Member State borders, including their potential to give rise to cross-border disputes in cases of production transfer, there is a strong rationale for EU involvement in monitoring transnational restructurings,’ says John Hurley, senior research manager at Eurofound and co-author of the report. ‘Funding instruments such as the EGF make provision for cross border applications, but in practice the majority of case applications for post-restructuring active labour market interventions tend to be national.’ More information Publication: ERM report 2020: Restructuring across borders 	https://www.eurofound.europa.eu/news/news-articles/covid-19-crisis-led-to-doubling-of-eu-restructuring-job-loss-in-first-six-months-of-2020
EUROFOUND_UNK_0007	2020-10-29	UNK	Fewer than 10% of EU businesses offer comprehensive learning opportunities critical to employee performance and well-being, new survey says	The best outcomes in terms of company performance and workplace well-being are obtained in companies where training is valued highly according to the recently published European Company Survey 2019 by EU agencies Eurofound and Cedefop. The survey also reveals how businesses fare better when the responsibility for skills use and skills development is explicitly shared between the employer and their employees. According to the findings, almost all managers (96%) agree training is important for employees to do their current job and most workplaces in the EU offer at least some training, yet only a small number – 9% – offer comprehensive training and learning opportunities to most of their employees. Overall, the ECS 2019 demonstrates that companies can design their workplace practices to help generate outcomes that benefit both workers and employers. Businesses can boost performance while improving aspects of workers’ job quality by bundling practices that promote specific practices such as training and learning, increasing employee autonomy and facilitating employee voice. Around one fifth of EU workplaces have these beneficial bundles of practices in place. Successful examples can be found across all types of business regardless of country, size, sector, or competitiveness strategy. Focusing on skills, the findings confirm how training is an important way to achieve positive workplace outcomes. Results also show that 71% of workers in EU-27 companies have skills matching their job requirements; 16% on average are overskilled, while 13% are underskilled. At the same time, over three quarters of companies report they have difficulties in finding candidates with the required skills (26% find it very difficult and 51% fairly difficult). In terms of sectors, construction has the most difficulty, with 86% of these businesses reporting difficulties in finding candidates with the desired skills. Companies that are highly digitalised perform better and achieve better workplace well-being outcomes than others and the survey findings show a positive association between digitalisation and innovation and a company’s approach to skills development. Companies that have a comprehensive training and learning opportunities in place are by far companies that are more likely to be highly digitalised as well as innovative. Conversely, those that do not innovate are likely only to offer limited training and learning at work. Policymakers and social partners have a key role in supporting companies to improve their workplace practices. Employer associations and trade unions can, in particular, play a major role in the design and implementation of policy measures geared towards improving skills use, employee autonomy and development and facilitating employee involvement in the workplace. To support managers in adapting workplace practices, the report also suggests that policymakers can involve business schools and HR management associations to target general and line managers’ skills and knowledge base which is critical to the success of any workplace change initiative. On Thursday 29 October 2020 at 10:00 CET, Eurofound together with European Centre for the Development of Vocational Training (Cedefop) , are organising a live #AskTheExpert webinar session to delve into the European Company Survey 2019 findings specifically relating to skills. Moderated by Maria Jepsen, Deputy Director of Eurofound, webinar participants will be able to join a lively and interactive debate with the ECS 2019 report authors Giovanni Russo and Gijs van Houten and guest panellists Isabel Coenen, policy advisor at the Dutch trade union FNV and Pär Lündstrom, expert in skills provision with Swedish employers - both members of Cedefop’s Management Board. Participants will be able to comment via a LIVE online chat. More information Publication: European Company Survey 2019 - Workplace practices unlocking employee potential Data: European Company Survey - Data visualisation Webinar: Watch the webinar 'Workplace practices unlocking employee potential' Webinar: Watch the webinar #AskTheExpert - the European Company Survey 2019 findings on employee involvement Webinar: Watch the webinar #AskTheExpert - the European Company Survey 2019 findings on skills 	https://www.eurofound.europa.eu/news/news-articles/fewer-than-10-of-eu-businesses-offer-comprehensive-learning-opportunities-critical-to-employee
EUROFOUND_UNK_0008	2020-10-15	UNK	Trust in EU recovers following COVID-19 responses	Trust in the European Union was significantly higher among respondents in the July wave of Eurofound’s Living, working and COVID-19 survey than in April, with average trust in the EU exceeding trust in national governments. This reflects positively on the work of the European institutions during the summer in addressing the COVID-19 pandemic, as very low levels of trust in the EU during the early stages of the pandemic raised fundamental questions about perceived EU action and broader European solidarity during the crisis. Eurofound’s unique Living, working and COVID-19 research looks in detail at the experiences of citizens in both April, when much of Europe was under heavy restriction, and July, when restrictions had been somewhat eased. The full report details the social, economic, labour market, and quality of life findings of a total of 87,477 respondents across the EU. It shows that while trust in the media, police and healthcare system remained largely stable over the summer, there was a marked decline in government trust in some Member States, and relatively large growth in trust in the EU. This growth in trust is particularly noteworthy considering the consistent decline in EU trust in the aftermath of the financial crisis and onset of the Great Recession. Trust in the EU, measured out of 10, was highest in Ireland (6.3), Poland (6.2), and Lithuania (5.9) in July, it was lowest in Greece (4.2), Croatia (4.2) and Czechia (4.3). Overall, trust increased from 4.6 in April to 5.1 in July, with significant increases recorded in 13 Member States – most notably Italy (from 4.1 to 5.2) and Spain (from 4 to 5.1). While increases in trust were recorded in southern Europe, a decline in EU trust was noted in Finland (from 6.5 to 5.5), Denmark (from 5.7 to 4.9), the Netherlands (from 4.9 to 4.4) and Sweden (from 5.2 to 4.8). This suggests different national perceptions of changes to European economic and monetary policies to deal with the pandemic during the period. Trust in national governments was highest in Luxembourg (6.8), Finland (6.5) and Denmark (6.4), and lowest in Poland (2.4), Croatia, Bulgaria and Hungary (2.9 respectively). There were notable increases in trust in the national government in Spain (+0.5), France (+0.4) and Luxembourg (+0.3), but significant decreases in Malta (-1.5), Croatia (-1.2), Finland (-1.1) and Austria (-1.1). The report notes that trust in both the national government and EU was higher among respondents that received support from public services to help with living expenses or household needs. Speaking about the findings, Massimiliano Mascherini, Eurofound Head of Unit for Social Policies, said 'Maintaining and improving levels of trust is of vital importance during this pandemic, as trust is a keystone of the compliance needed to control COVID-19. The importance of the improving EU trust that this research demonstrates should not be understated, it sends a clear message that most people in Europe were in favour of coordinated, comprehensive action based on solidarity and common European values.' More information Publication: Living, working and COVID-19 Data: Quality of life and quality of society during COVID-19 Data: Changes in trust over the past decade Webinar: Being young in the COVID-19 pandemic  	https://www.eurofound.europa.eu/news/news-articles/trust-in-eu-recovers-following-covid-19-responses
EUROFOUND_UNK_0009	2020-10-21	UNK	Just 31% of companies capitalise fully on direct employee involvement to enhance performance and well-being	Fewer than one-third (31%) of companies in the EU27 facilitated the regular direct participation of employees in organisational decision-making and accorded them a high degree of influence last year. This is despite research showing that businesses that combine direct employee involvement, with high levels of job complexity and autonomy, and comprehensive training and learning opportunities, do best in terms of both performance and well-being. Over half of establishments in Sweden (56%) and Denmark (55%) were characterised by regular, high influence direct engagement with employees, but only around a fifth in Poland (20%) and the Netherlands (21%). These findings, discussed at a special #AskTheExpert webinar on 20 October, are detailed in the fourth European Company Survey, conducted in partnership between EU Agencies Eurofound and Cedefop. It provides information on workplace practices, human resource management, skills and development, employee participation and social dialogue from 21,869 human resources managers and 3,073 employee representatives in the 27 EU Member States and the United Kingdom during 2019. Webinar #AskTheExpert: Exploring the survey’s findings on employee involvement The research analyses the different tools companies used to engage directly with employees. The vast majority of establishments (94%) in the EU27 use meetings between employees and their line manager as a way to engage with employees. These are held regularly in 59% of establishments and irregularly in 36%. Regular meetings between employees and their immediate manager are most prevalent in Sweden (82%) and Austria (76%) and least prevalent in Poland (42%) and Croatia (43%). Large establishments are more likely to hold regular meetings between employees and their immediate manager (66%) than medium-sized (62%) and small (58%) establishments. Direct and indirect employee participation, facilitated by open and meaningful social dialogue, is crucial for both employees and companies. — Maria Jepsen, Eurofound Deputy Director Feedback from management in the survey revealed that most managers believe that there is more to gain than lose from close, regular and influential employee engagement. Although around one-third (32%) of managers reported that, in their opinion, involving employees in the implementation of changes causes delays, more than two-thirds (70%) of managers reported that involving employees in work organisation changes gives the establishment a competitive advantage. The research also looks in detail at indirect employee involvement through social dialogue. An official structure for employee representation, such as a works council or trade union delegation, is present in 29% of EU27 establishments. Larger establishments are much more likely to have an employee representation structure (76%) than medium-sized (51%) or small (23%) establishments. Overall, structures for employee representation are most common in Romania (56%) and Finland (55%) and least common in Greece (2%) and Latvia (4%). Managers in 80% of the establishments where an employee representation structure is present reported a general constructive attitude towards employee representation. Speaking about the findings, Maria Jepsen, Eurofound Deputy Director, emphasised the importance of employee voice in companies across Europe: ‘Direct and indirect employee participation, facilitated by open and meaningful social dialogue, is crucial for both employees and companies. Not only can it boost performance and well-being, it can also provide pivotal decision-making structures when job losses or significant shifts in task allocation take place. This is especially the case now that COVID-19 is dramatically impacting companies across Europe.’	https://www.eurofound.europa.eu/news/news-articles/companies-capitalise-on-direct-employee-involvement-to-enhance-performance-and-well-being
EUROFOUND_UNK_0010	2020-10-13	UNK	Only one-fifth of European companies find secret to combining optimal workplace wellbeing and business performance	‘High investment, high involvement’ workplaces have the best outcomes for workers and employers according to a recent large-scale survey of company practices across Europe. Just 20% of EU organisations fall into this category – bundling practices that increase employee autonomy, facilitate employee voice and promote training and learning. These companies, which are managing to boost performance while also improving workers’ job quality, can be found across all types of business regardless of country, size, sector, or competitiveness strategy, but are most prevalent in Nordic countries, such as Finland and Sweden, and in sectors known to have better working conditions, such as financial services. The three other categories, ‘selective investment, moderate involvement’ (33%); ‘moderate investment, irregular involvement’ (27%); and ‘low investment, low involvement’ (21%) all score lower in terms of worker wellbeing and company performance. The fourth European Company Survey (ECS 2019), conducted in partnership between EU Agencies, Eurofound and Cedefop, collected information on workplace practices, human resource management, skills and development, employee participation and social dialogue from 21,869 human resources managers and 3,073 employee representatives in the 27 EU Member States and the United Kingdom during 2019, providing a timely insight into the potential resilience of companies across the EU in advance of the COVID-19 pandemic. Overall, the survey confirms that most EU27 companies have a positive work climate: 84% of managers reported a good or very good relationship between management and employees with the most successful firms not only having facilitating practices in place, but also a supportive management attitude. Workplaces in the ‘high investment, high involvement’ group often combine job design fostering autonomy and learning with a management approach geared towards facilitating autonomous work rather than controlling compliance. But many jobs still offer little autonomy: in 36% of EU-27 companies, a small proportion of workers (fewer than one in five) can organise their work autonomously. Results also show that 71% of workers in EU-27 companies have skills matching their job requirements; 16% on average are overskilled, while 13% are underskilled, with training an important way to achieve positive workplace outcomes. Most workplaces in the EU offer at least some training to at least some workers, but only 9% offer comprehensive training and learning opportunities. Companies that are highly digitalised and those with a high level of computer use achieve better workplace well-being outcomes than others, however only the highly digitalised businesses do better in terms of performance. The research also noted that businesses with strong workplace social dialogue score better on performance and wellbeing with more than two-thirds (70%) of managers thinking that involving employees in changes to the work organisation gives the company a competitive advantage. Workplaces with involving, trusting and influential social dialogue are more likely to have regular, direct employee participation that makes a difference on the ground. The report notes that a people-centred management approach – which supports employees in the application of their skill and knowledge in the workplace and facilitates the development of employee skills and knowledge – can bring benefits that go beyond the workplace, such as lower healthcare costs and increased civic engagement. It highlights the importance of the involvement of social partners to support workplace change in the design and implementation of policy measures geared towards employee autonomy, improving skills use and development and facilitating employee involvement in the workplace. The ECS 2019 is the first Europe-wide company survey to use a push-to-web methodology, where establishments were contacted by telephone to identify respondents, who were then asked to complete the questionnaire online.	https://www.eurofound.europa.eu/news/news-articles/one-fifth-of-european-companies-combine-optimal-workplace-wellbeing-and-business-performance
