id	date	text_type	title	text	url
EUROJUST_PRESS RELEASE_0001	2021-10-14	PRESS RELEASE	Consultative Forum: first meeting of European Prosecutors General in two years	 Prosecutors General and directors of public prosecutions from the European Union will gather today and tomorrow at Eurojust for the first time in two years for their 15th Consultative Forum. Due to the COVID-19 pandemic, the organisation of the Forum was not possible in 2020. The digitalisation of justice and cooperation with the European Public Prosecutor’s Office (EPPO) are the main themes of the Forum. European Chief Prosecutor Ms Laura Kövesi will address the attendees. The Forum will be co-chaired by the Prosecutors General of all four Presidencies of the Council of the EU of this year and last year. For current Council President Slovenia, this is Prosecutor General Mr Drago Šketa, together with Mr João Monteiro, Vice-Prosecutor General of Portugal, Ms Zlata Hrvoj Šipek, Attorney General of Croatia, and Dr Peter Frank, Federal Prosecutor General of Germany. Eurojust President Mr Ladislav Hamran will act as co-chairperson. The four Prosecutor/Attorney Generals jointly stated: ‘The COVID-19 pandemic has proven that crises are best met jointly. Therefore, we host the 15th Forum jointly as a clear sign of solidarity of the prosecution services in the EU. Meeting again in person is a great privilege and pleasure and will enable us to discuss new developments, such as the cooperation with the EPPO and the digitalisation of justice. The COVID-19 pandemic has clearly shown that the judiciary across the European Union has a need for fully fledged digitalisation, in order to fight cross-border crime efficiently in the future. This process needs to be accelerated.’ Eurojust President Mr Ladislav Hamran said: ‘We are proud to host the EU Member States’ Chief Prosecutors at Eurojust again. It is important to discuss what binds us together, in terms of cross-border crime and our judicial cooperation in response. We pay special attention to the digitalisation of justice, and how it can help us to further strengthen our joint work in the interest of citizens’ safety and security.’ The Forum members will have an extensive discussion on the digitalisation of justice. The European Commission will provide information about the latest developments in this field, and the Forum members will exchange experiences and best practices at national level. Eurojust has been tasked by the European Commission with enhancing the digitalisation of justice and modernising its Case Management System. In addition to Ms Kövesi, the EPPO will be represented during the Forum by Deputy European Chief Prosecutors Mr Danilo Ceccarelli and Mr Andrés Ritter. For the European Prosecutors General, it will be the first opportunity to meet and have discussions with the EPPO delegation in person.	https://eurojust.europa.eu/consultative-forum-first-meeting-european-prosecutors-general-two-years
EUROJUST_NEWS_0002	2021-10-12	NEWS	Visit of French Minister for Justice to discuss international cooperation and upcoming EU Presidency	 France’s Minister for Justice, Mr Éric Dupond-Moretti, visited Eurojust yesterday to discuss the role of Eurojust in the fight against cross-border crime. He also discussed the upcoming French Presidency of the Council of the European Union with Eurojust President Mr Ladislav Hamran. France will hold the Presidency of the Council during the first half of 2022, taking over from Slovenia. Mr Dupond-Moretti also spoke about the 20-year jubilee of Eurojust, which will be celebrated next year. Eurojust President Mr Ladislav Hamran said: ‘Eurojust and France are longstanding partners. With the visit of Minister Dupond-Moretti, we pay tribute to the excellent collaboration that exists, as demonstrated, for instance, by the EncroChat and SkyECC cases. We look forward very much to the cooperation with the French Presidency in the first half of 2022, especially since we will celebrate the 20th anniversary of Eurojust next year.’ France’s Minister for Justice Mr Dupond-Moretti stated: ‘France has been supporting Eurojust since the beginning, when my predecessor 20 years ago was among the first to believe in the idea and to support the creation of Eurojust. I can assure you that we will continue upholding this agency in its important work.’ Mr Dupond-Moretti was accompanied by the President of the National Conference of Prosecutors General, Mr Frédéric Fèvre, and by the Director of the Directorate of Criminal Affairs and Pardons (DACG) of the French Ministry of Justice, Mr Olivier Christen. During the visit, Mr Baudoin Thouvenot, National Member for France, gave an explanation of the crucial role Eurojust plays in judicial cooperation. After a general overview, he gave the floor to the other members of the desk who briefly presented three important topics. Ms Julie André gave a presentation on the emblematic EncroChat case, followed by Ms Raphaëlle Bail, who turned the focus to cybercrime. Finally, Deputy National Member for France Mr Eric Figliolia presented on the growing Eurojust involvement against environmental crime.	https://eurojust.europa.eu/visit-french-minister-justice-discuss-international-cooperation-and-upcoming-eu-presidency
EUROJUST_PRESS RELEASE_0003	2021-10-18	PRESS RELEASE	EU agencies present first full overview of actions to detect and protect victims of human trafficking	 The European Union agencies active in the field of justice and home affairs have presented the first full overview of actions to help victims of trafficking in human beings. The main operational activities are listed in a joint report of the Justice and Home Affairs agencies' network (JHAAN) published today on the occasion of EU Anti-Trafficking Day under the leadership of Eurojust. The report is a key building block of the EU Strategy on combatting Trafficking in Human Beings and serves as a key reference document for national authorities engaged in tackling human trafficking. Joint report of the JHA agencies’ network on the identification and protection of victims of human trafficking October 2021 View report Mr Filippo Spiezia, chair of the Anti-Trafficking Team at Eurojust and National Member for Italy at the Agency, said: ‘Human trafficking is one of the most heinous crimes, which is based on the pure exploitation of human beings, taking away the dignity of victims. As EU agencies, we are fully committed to tackling the criminal organisations behind this form of exploitation together and to helping identify and protect victims. The report will be a most useful tool for all national authorities who want to take action against the trafficking and exploitation of often very vulnerable persons who become victims of this crime.’ During the Eurojust Presidency of the JHAAN, for the first time, a compendium was made of all different actions taken by CEPOL, EASO, EIGE, eu-LISA, Eurojust, Europol, FRA and Frontex, to reach out to victims of human trafficking at all stages of prevention, investigations, operations and legal proceedings. The initiative is a concrete result following the Joint Statement of commitment to work together against trafficking in human beings, signed in 2018. The JHAAN report of today aims to make Member States more aware of the Agencies’ potential in helping the early identification and protection of victims. Furthermore, it encourages them to cooperate closely with the Agencies involved in this area and to build on their expertise. The report responds to one of the key actions of the EU Strategy on Combatting Trafficking in Human Beings 2021-2025. Supporting judicial authorities in the fight against trafficking in human beings Eurojust, October 2021 View factsheet The report is the result of a questionnaire sent to all agencies and the outcome of a meeting of JHAAN experts, hosted by Eurojust in June this year. It builds on two important strands in the process of investigating criminal networks involved in human trafficking, namely the early identification of victims and measures and actions for their protection. Eurojust today published a factsheet on its activities to fight human trafficking and specific actions in cross-border judicial investigations to protect victims. Tackling human trafficking is one of the priorities of the Agency and, for instance, at the end of September, a coordinated action was supported to protect vulnerable and sometimes underage victims.	https://eurojust.europa.eu/eu-agencies-present-first-full-overview-actions-detect-and-protect-victims-human-trafficking
EUROJUST_NEWS_0004	2021-10-11	NEWS	eu-LISA and Eurojust consolidate their cooperation  in the justice domain	 Establishing access for Eurojust to eu-LISA’s new large-scale IT system ECRIS-TCN, as well as the Interoperability architecture that will strengthen the Justice and Home Affairs domain, is the foundation of the three-year Cooperation Plan signed today by eu-LISA Executive Director Krum Garkov and Eurojust President Ladislav Hamran. It also covers future cooperation in the context of the Digital Criminal Justice initiative and e-CODEX, a cross-border judicial tool that will be managed by eu-LISA starting 2023. The plan outlines detailed practical modalities of mutual support between the two Agencies. Eurojust President Mr Ladislav Hamran said: ‘Digitalisation requires cooperation, and Eurojust warmly welcomes the opportunity to join forces with eu-LISA on the important topics addressed in this Cooperation Plan. I am certain that it will prove to be a decisive next step in our shared efforts to bring cross-border judicial cooperation up to the standards of the 21st century.’ Mr Krum Garkov, Executive Director of eu-LISA, stated: ‘Quick and efficient exchange of judicial information is paramount for the future development of the Schengen Area and of the European Union. The Cooperation Plan we sign today – which builds upon the foundation of our long-standing collaboration agreement set up in 2017 – will facilitate both Agencies’ efforts in accelerating the digital transformation we are all a part of, and in increasing our contribution to the Member States, with the ultimate goal of providing tangible benefits for EU citizens. We look forward to consolidating our partnership with Eurojust.' ECRIS-TCN (European Criminal Records Information System – Third Country Nationals) will be a new, centralised, hit/ no-hit large-scale IT system to supplement the existing EU criminal records database (ECRIS) on non-EU nationals convicted in the European Union. As outlined in the Cooperation Plan, Eurojust will be able to query ECRIS-TCN for identifying the Member States holding criminal records information on a third-country national. Efficient exchange of criminal records information is instrumental in combating cross-border crime. ECRIS-TCN will contribute to implementing the principle of mutual recognition of sentences and judicial decisions in a common area of justice and security where people move freely, such as the Schengen Area. The Digital Criminal Justice initiative consists of a number of concrete measures aimed at further modernising cross-border judicial cooperation in criminal matters. It is one of Eurojust’s key priorities and will help to minimise errors caused by the manual handling of data and overcome limitations in the sharing of evidence. As a result, links between existing cases will be identified faster and more efficiently, thereby strengthening the EU’s efforts in the fight against organised crime and terrorism. Considering eu-LISA’s expertise in the field of large-scale IT systems, cooperation between both agencies on Digital Criminal Justice could be hugely beneficial. e-CODEX aims to improve the efficiency of cross-border communication between European judicial authorities and facilitate access to justice for citizens and businesses. As part of eu-LISA's growing role in the justice domain, the Agency is set to take over operational management of the system as of 1 July 2023. The Cooperation Plan implements in practice the modalities of cooperation set forth in the Eurojust and eu-LISA Memorandum of Understanding signed in 2017. While the Memorandum of Understanding remains the overarching framework for the two Agencies’ collaboration, the Cooperation Plan aims to outline specific actions in more detail, with a view to effectively and efficiently implementation specific actions, enabling eu-LISA and Eurojust to further enhance synergies in the Justice and Home Affairs area. Eurojust and eu-LISA have also agreed to share expertise and knowledge on ICT-related matters, as well on research priorities and findings. Furthermore, the Agencies may consult each other and exchange know-how on the use of artificial intelligence. The Cooperation Plan also defines principles when it comes to the consultation on strategic and planning documents, the planning and implementing of technical trainings related to SIS, ECRIS-TCN and e-CODEX, and the exchange of lessons learnt in the area of personal data protection, including security by design, data protection by design and by default. Background European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA) eu-LISA was established in 2011 in order to provide a long-term solution for IT-driven internal security and to support the implementation of asylum, migration and border management policies in Europe. Since then, eu-LISA has run Eurodac, SIS and VIS and has been providing Member State authorities with the expert training needed to help them with the constant exchange of information across Europe. Thanks to the trust eu-LISA has fostered over the years, we are now developing EES, ETIAS and ECRIS-TCN and ensuring interoperability between all six IT-systems, in order to take EU internal security and border management to the next level. European Union Agency for Criminal Justice Cooperation (Eurojust) As the EU’s hub for judicial cooperation, Eurojust delivers hands-on support to national authorities by promoting the exchange of information, developing prosecutorial strategies, facilitating the use of judicial cooperation tools, and implementing joint actions. Together with the Member States and an extensive network of international partners, Eurojust is making Europe a safer place for all of its citizens. Further Reading eu-LISA - Eurojust Cooperation Plan 2021-2023 eu-LISA – Eurojust Memorandum of Understanding Discover eu-LISA Eurojust Virtual Tour 	https://eurojust.europa.eu/eu-lisa-and-eurojust-consolidate-their-cooperation-justice-domain
EUROJUST_NEWS_0005	2021-10-13	NEWS	Securing  EU beyond its borders: Rapid growth of joint investigation teams with third countries	 With organised crime increasingly operating on a global scale, the number of joint investigation teams (JITs) with third countries is growing rapidly. Up to September of this year, 78 JITs with countries outside the European Union were set up or continued their work from previous years. During the entire year 2020 this figure was 73, and when the new tool was first used in 2012 there were only two JITs with third countries. Cooperation with third countries is also the central theme of the 17th Annual Meeting of the Network of National Experts on JITs. The meeting ‘Securing the EU beyond its borders: JITs with non-EU countries. New trends, challenges and opportunities’, hosted by Eurojust today and tomorrow, will discuss recurring issues, best practices and the way forward concerning JITs with the involvement of third countries. Particular attention will be given to the tools available for practitioners to join forces with countries outside the European Union to effectively counter transnational organised crime groups (OCGs). In the meeting, the role the JITs Network, as well as Eurojust and Europol, can play in this process will be a major topic, including the role of Liaison Prosecutors* posted at Eurojust. The event will be opened by Eurojust President Mr Ladislav Hamran and Europol Operations Deputy Executive Director Mr Jean-Philippe Lecouffe Lecouffe and chaired by Tatiana Jancewicz, Head of the JITs Network Secretariat. During the meeting, prosecutors from Italy, Albania and Austria, among others, will present case examples of successful cooperation in JITs with third countries, with the European Commission providing an update of the state of play on the JIT Collaboration Platform. Furthermore, the need to ensure appropriate data protection in the light of JIT cooperation with countries outside the European Union will be addressed. The COVID-19 pandemic has reinforced the trend of expanding global crime as our lives shifted to online platforms, enlarging the scope of OCGs for cross-border criminal activities. In response, JITs prove to be good operational instruments, as they provide for more options than other mutual legal assistance (MLA) tools that can lead to cumbersome and lengthy procedures. The JITs Network is composed of at least one expert per Member State, who acts as contact point for national authorities, such as prosecutors, investigative judges and investigators from law enforcement authorities. They all have long-standing expertise in the functioning of JITs and can provide information on the practicalities of setting up teams with other countries. JITs are one of the most advanced cooperation models used in international judicial cooperation in criminal matters. A JIT agreement between competent authorities of two or more Member States and/or third countries is the basis for such a team carrying out criminal cross-border investigations. JITs are set up for a limited period and are composed of prosecutors, law enforcement representatives and judges who decide to work together on a common case. Eurojust can provide funding for JITs and hosts the Network’s Secretariat. *Currently, ten third countries have Liaison Prosecutors at Eurojust: Albania, Georgia, Montenegro, North Macedonia, Norway, Serbia, Switzerland, Ukraine, the United Kingdom and the United States.	https://eurojust.europa.eu/securing-eu-beyond-its-borders-rapid-growth-joint-investigation-teams-third-countries
EUROJUST_PRESS RELEASE_0006	2021-10-11	PRESS RELEASE	Fraudulent German online investment platform taken down	 With support from Eurojust and Europol, authorities in Germany, Bulgaria, Cyprus, the Netherlands and Ukraine have taken down a major fraudulent online German investment platform which defrauded victims for at least EUR 15 million. The main suspect ran a professional-looking trading site in so-called binary options, which projected high profits. After initial investments, victims were encouraged to pay more into the alleged investment fund, losing all of their money. During an action day, one suspect has been arrested and eight places were searched. The scammers operated between May 2019 and September 2021 and managed to attract mainly German investors with online adverts and via social media. After the initial contact, clients were approached by alleged financial advisors, who showed faked online graphic curves of rising profits. For this purpose, call centres were set up in Bulgaria, Cyprus and Ukraine, with German-speaking operators. As well, a system of special algorithms and over 250 domain names and servers were used to cover up the scam. As soon as investors asked for payouts, they were put off with various excuses or were transferred to other staff members at the call centre. In reality, no money was returned, and the profits were transferred to the perpetrators, using a string of companies set up for the purpose. Investors were defrauded for at least EUR 15 million. Investigators estimate the total amount of the fraud could even amount to approximately EUR 500 Million. Binary options are high-risk financial instruments, with fixed amounts of money usually provided as pay-offs or other underlying securities used as a guarantee. They are often used in theoretical asset pricing, but are prone to fraud and often used in online scams to lure investors with alleged high rates of profit. To assist during the action day, Eurojust set up a coordination centre and assisted with the exchange of cross-border judicial information between all countries involved. Furthermore, the Agency provided support for the execution of European Arrest Warrants. Europol enabled an Operational Task Force to assist national authorities involved with the actions and deployed officers on the spot. The operation was led on the ground by the following authorities: Public Prosecutor’s Office (PPO) Göttingen; PPO Rostock; Central Criminal Investigation Department Braunschweig; Criminal Investigation Department Rostock Bulgaria: Specialised Prosecutor’s Office (SPO), coordinating and directing activities of Specialised Investigating Department attached to SPO; General Directorate National Police Cyprus: Attorney General’s Office, Anti Money Laundering Unit; Ministry of Justice; Police, Cyprus Criminal Investigation Department HQ The Netherlands: National Public Prosecutor’s Office for Financial, Economic and Environmental Crime; Dutch Fiscal Police (FIOD) Ukraine: Prosecutor General’s Office; Kyiv City Prosecutor’s Office; Cyberpolice Department of the National Police of Ukraine; Shevchenkivskyi District Police Division of Kyiv city 	https://eurojust.europa.eu/fraudulent-german-online-investment-platform-taken-down
EUROJUST_PRESS RELEASE_0007	2021-10-08	PRESS RELEASE	Illegal trade in converted firearms halted in Slovakia, Czech Republic and Netherlands	 Eurojust has supported the Slovak, Czech and Dutch authorities in halting a criminal network, which traded in illegally converted firearms. During several actions last month, six suspects were arrested in the three countries concerned and approximately 350 arms were seized. Eurojust assisted the authorities in setting up a joint investigation team (JIT) between Slovakia and the Netherlands and provided judicial support during the operations. Europol supported the actions with an Operational Task Force. Investigations into the case started in February last year when 22 converted Flobert guns were seized in the Dutch port of Hoek van Holland, in a vehicle bound for the United Kingdom. The guns may be used legally for recreational or sports activities, but had been illegally converted into lethal live-firing arms for criminal purposes. Subsequent investigations by police authorities in various EU Member States have led to the seizure of 350 illegal weapons, some of different brands and origins. To facilitate the investigations, a JIT was set up with financial support from Eurojust. The Agency also coordinated the organisation of two action days in the three countries mentioned. Furthermore, support was provided to the Czech authorities with the execution of European Arrest Warrants and European Investigation Orders for the transmission of evidence. A total of 15 searches took place and approximately EUR 160 000 in cash was seized. The action days were carried out on the ground by: Slovakia: Regional Prosecutor’s Office of Prešov and National Criminal Agency Czech Republic: Regional Public Prosecutor’s Office of Ostrava and National Organised Crime Agency The Netherlands: National Public Prosecutor’s Office and National Police This operation was carried out in the framework of the European Multidisciplinary Platform Against Criminal Threats (EMPACT).	https://eurojust.europa.eu/illegal-trade-converted-firearms-halted-slovakia-czech-republic-and-netherlands
EUROJUST_PRESS RELEASE_0008	2021-10-06	PRESS RELEASE	Eurojust assists Romania and Germany in dismantling migrant smuggling network	 Eurojust has assisted the Romanian and German authorities in dismantling an organised crime group (OCG), which was involved in migrant smuggling from Serbia through Romania. During an action day in Romania, 27 suspects were identified and 19 places were searched. Investigations into the case are ongoing in Germany. Eurojust provided financial support and assisted the authorities in setting up a joint investigation team (JIT). Between July and September of this year, the network is thought to have transferred at least 150 irregular migrants from the Serbian border through Romania. The profits from the crimes are estimated to be at least EUR 500 000. The migrants, who usually travelled in groups of four to 16 persons, originated mainly from Afghanistan and Pakistan and had Germany and France as final destinations. The activities of the OCG allegedly extended to Afghanistan, Pakistan, Syria, Iraq, Turkey, Bulgaria, Serbia, Romania, Hungary and possibly other countries within the Schengen area. The suspects identified are of Afghan, Iranian and Romanian nationality and operated in a well-defined organised criminal structure. One cluster within the OCG arranged the financing of the actions, while another was responsible for the transport into Romania and taking the migrants to temporary accommodation in apartments. Another cluster within the OCG arranged the further transit of migrants from parking lots around Timisoara, by checking the QR codes on trucks for their destinations and unsealing them to get migrants on board, without the lorry drivers being aware. The operation was conducted on the ground by the Romanian Directorate for the Investigation of Organised Crime and Terrorism (DIICOT), specialised Police Units – Directorate for Combating Organised Crime, and the Timisoara Brigade for Countering Organised Crime, in cooperation with German police officers who were deployed in Romania. The German investigation being coordinated by the Public Prosecutor’s Office (PPO) of Traunstein, with the support of the Federal Police Inspectorate of Rosenheim and the Federal Police District Office for Crime Control Munich. Apart from financing and setting up the JIT, Eurojust supported the investigations by organising a coordination meeting, providing support to the national authorities and enabling further judicial cross-border cooperation. Europol provided analytical support throughout the criminal investigations.	https://eurojust.europa.eu/eurojust-assists-romania-and-germany-dismantling-migrant-smuggling-network
EUROJUST_PRESS RELEASE_0009	2021-09-30	PRESS RELEASE	Nine taken into custody over ATM attack tutorials and string of explosive attacks	 A joint investigation team (JIT) between the Dutch and German authorities has taken down an organised crime group specialised in explosive attacks on Automatic Teller Machines (ATMs). A total of nine suspects have been taken into custody as a result of this 18-month investigation coordinated by Europol and Eurojust. The criminals were producing step-by-step tutorials on how to blow up cash machines, and have been linked to at least 15 ATM attacks in Germany. The cash machines were blown open using homemade explosive devices, posing a serious risk for residents and bystanders. During one of the test runs of an explosion, one of the suspects died, with the other suspect getting seriously injured. The investigation was initiated in February 2020 after authorities in Osnabrück, Germany, identified suspicious orders of ATMs from a German company. Special surveillance measures were put in place, which led the investigators to Utrecht, the Netherlands, where a 29 year-old individual and his 24 year-old accomplice were running an illegal training centre for ATM attacks. There, the pair was ordering different models of ATMs and recording tutorials on how to most effectively blow them up. In the framework of this investigation, links were also established between this criminal organisation and at least 15 ATM attacks in Germany. The total damage, including both the loot and the property damage, is estimated at approximately EUR 2.150.000. The investigation culminated in a series of police raids on 28 September for which two Europol experts were deployed in the field. Seven house searches were carried out in the Netherlands in the triangle of Utrecht, Amsterdam and The Hague, resulting in the arrest of three suspects. These three individuals are currently in custody in the Netherlands and are to be extradited to Germany. Given the cross-border nature of this case, a joint investigation team (JIT) was set up in April 2021 between the Dutch and German authorities with the assistance and financing of Eurojust. Furthermore, the Agency organised the judicial cooperation and supported the execution of European Investigation Orders (EIOs). In addition, an Operational Taskforce (OTF) was set up between Europol, Germany and the Netherlands to pool investigative resources and expertise. In the framework of this OTF, 18 operational meetings were held at Europol to prepare for the final phase of the action. Explosive attacks against ATMs are a growing concern, as they often put local residents’ and bystanders’ lives in danger. In order to prevent and tackle this type of crime, a close cooperation between law enforcement and the ATM industry is paramount. In this regard, Europol and the European Crime Prevention Network (EUCPN) have worked on a number of recommendations to prevent physical attacks against ATMs. The report can be found here: Europol: Preventing Physical ATM Attacks	https://eurojust.europa.eu/nine-taken-custody-over-atm-attack-tutorials-and-string-explosive-attacks
EUROJUST_NEWS_0010	2021-09-29	NEWS	Eurojust’s solutions for conflicts of jurisdiction practically always accepted	 Written recommendations on conflicts of jurisdiction, proposed by Eurojust, were practically always accepted by the competent national authorities involved in the period between 2016 and 2019. This is one of the main conclusions from the report ‘Eurojust Written Recommendations on Jurisdiction, Follow Up at National Level’, which was published today. [Full report] Eurojust Written Recommendations on Jurisdiction: Follow-up at the National Level [Leaflet] Eurojust Written Requests on Jurisdiction in a Nutshell In view of the ne bis in idem principle, any particular criminal offence can only be prosecuted once across the European Union. With the strong increase of cross-border crimes, this principle often leads national authorities to ask in which jurisdiction prosecution can best take place to avoid potential conflicts, legal challenges and duplication of judicial activities. The Eurojust Regulation offers the legal framework to tackle such scenarios by giving National Members the power to issue reasoned written requests on which national authorities are best placed to undertake an investigation or prosecute specific criminal acts. Eurojust Written Recommendations on Jurisdiction: Follow-up at the National Level View report The report by Eurojust presents an in-depth assessment of the legal and practical circumstances of particular cases in which the Agency issued written requests on jurisdiction. Usually, they concern joint requests by two or more National Members at Eurojust (and/or Liaison Prosecutors*), who have been involved in the case. The proposed solution is based on an in-depth legal and factual assessment of the specific circumstances of the cases, as detailed in the Eurojust Guidelines for deciding which jurisdiction should prosecute. Such joint requests concern the following situations: parallel proceedings ongoing in different Member States concerning the same facts and the same suspects, so their continuation could lead to an infringement of the ne bis in idem principle (conflict of jurisdiction in the strict sense) the offences and suspects investigated in two or more countries are not identical but closely connected and mutually dependent, and a possible concentration of the proceedings in one country would be more effective in the interest of justice Following the issuance of a written request, Eurojust continues to assist national authorities with the execution of requests for transfer of proceedings in line with the recommendations. This could concern translation matters, for instance, or dealing with delays in the actual transmission of documents. *Ten third countries currently have Liaison Prosecutors at Eurojust: Albania, Georgia, Montenegro, North Macedonia, Norway, Serbia, Switzerland, Ukraine, the United Kingdom and the United States.	https://eurojust.europa.eu/eurojusts-solutions-conflicts-jurisdiction-practically-always-accepted
