id	date	text_type	title	text	url
OSHA_UNK_0001	2021-10-11	UNK	EU Health Award 2021 - Call for applications	The European Commission launched the EU Health Award 2021 based on two different topics this year: cancer prevention among children and young people and the mental health impact of the COVID-19 pandemic. This award, funded through the EU4Health Programme 2021-2027, recognises community-based initiatives by local authorities, affiliated organisations, NGOs, or other not-for-profit organisations established in any EU Member State. Applications can be submitted by 30 November 2021.  For further details on the prizes, criteria, and award rules, visit the EU Health Award website.	https://www.osha.europa.eu/en/oshnews/eu-health-award-2021-call-applications
OSHA_UNK_0002	2021-10-19	UNK	Career opportunity at the Institute for Work and Health	The Institute for Work and Health (IWH) is looking for a President to provide overall leadership and support to staff, ensuring that their research focus on issues of concern within the field of occupational health and is applied in ways that positively impact worker health and well-being. Toronto-based IWH is an independent, bi-partite, not-for-profit organization whose mission is to research and promote new ways to prevent workplace disability. Learn more about this job opportunity and apply online.	https://www.osha.europa.eu/en/oshnews/career-opportunity-institute-work-and-health
OSHA_UNK_0003	2021-10-18	UNK	European Commission Vice-President Šefčovič exchanges views on strategic OSH topics with EU-OSHA	© Ander Guillenea	https://www.osha.europa.eu/en/oshnews/european-commission-vice-president-sefcovic-exchanges-views-strategic-osh-topics-eu-osha
OSHA_UNK_0004	2021-10-08	UNK	Vision Zero of work-related deaths webinar	Every year, there are more than 3 million accidents at work, of which 4.000 are fatal, and 120.000 workers die every year of work-related illnesses. It´s time for an EU ‘vision zero’ on fatal occupational accidents.On 12th October, the members of the European Parliament Agnes Jongerius, Marianne Vind, and Johan Danielsson are hosting a webinar on Vision Zero of work-related deaths. Built around the new EU’s Strategic Framework for Health and Safety 2021-2027, the event aims to discuss concrete initiatives needed to achieve the zero work-related deaths goal by 2030.Commissioner for Jobs and Social Rights, Nicolas Schmit, will give a keynote speech and share his opinion on reaching this goal. All participants are invited to take the floor.Registrations are open	https://www.osha.europa.eu/en/oshnews/vision-zero-work-related-deaths-webinar
OSHA_UNK_0005	2021-10-13	UNK	15th Greening Network Meeting hosted by EU-OSHA	The Greening Network Meeting is an annual event organised by the EU agencies on greening related issues. This year, as part of our continuous commitment to raising awareness about the environment, EU-OSHA had the pleasure of hosting the 15th Greening Network Meeting 2021.  With the participation of representatives from EU institutions and agencies, this is network-based online meeting is aimed to exchange information and good practices on environmentally related topics like how to lower the carbon footprint or new sustainable ways of management.    	https://www.osha.europa.eu/en/oshnews/15th-greening-network-meeting-hosted-eu-osha
OSHA_UNK_0006	2021-10-07	UNK	Safety is always in style with OiRA tools for hairdressers & beauty salons	"<p>Workers in hairdressing and beauty salons are not always as comfortable and cared for as their customers, with many suffering from wrist, neck and shoulder complaints, and dermatitis through the use of hazardous substances.</p> <p>To address this, our partner in Cyprus developed the first ever Online interactive Risk Assessment (OiRA) tool — for hairdressers. Now, 17 simple to use OiRA tools, with infographics and in multiple languages, are available for this sector, covering not only hairdressers (EU, Belgium, Czechia, Iceland, Greece, Spain and Catalonia, France, Croatia, Cyprus, Lithuania, Portugal and Slovenia) but also nail studios (France) and beauty salons (France, Latvia and Lithuania).</p> <p>These tools have been very successful, with the Belgian tool reaching more than one third of its target group.</p> <p><a href=""https://oiraproject.eu/en/oira-tools?f%5B0%5D=sector%3AHairdressers%20%… out all the OiRA tools for hairdressers and beauty salons</a></p> <p>Spread the news and share our tools using the hashtag <a href=""https://twitter.com/search?q=%23OiRAtools&amp;src=typed_query&quot; rel="" noopener"" target=""_blank"">#OiRAtools</a></p>"	https://www.osha.europa.eu/en/oshnews/safety-always-style-oira-tools-hairdressers-beauty-salons
OSHA_UNK_0007	2021-10-04	UNK	Practical Ergonomic Risk Assessment - Series of webinars by the Irish Health and Safety Authority	Ergonomics aims to design tasks so workers can perform their duties and protect their musculoskeletal health while enabling them to work more efficiently. Ireland´s Health and Safety Authority, together with the Irish Human Factors and Ergonomics Society, organise a series of three webinars on practical ergonomics risk assessment tools tailored for those working in construction, manufacturing, and health sectors.  These three workshops will be of particular interest to health and safety professionals, production and operations managers, safety representatives, and others who can have an interest in the science and management of work. Webinar on Practical Ergonomic Risk Assessment in Manufacturing - October 14th, 11:00 - 12:45  Webinar on Practical Ergonomic Risk Assessment in Construction - October 20th, 11:00 - 12:45 Webinar on Practical Ergonomic Risk Assessment in the Health Sector - November 3rd, 11:00 -12:45           	https://www.osha.europa.eu/en/oshnews/practical-ergonomic-risk-assessment-series-webinars-irish-health-and-safety-authority
OSHA_UNK_0008	2021-10-06	UNK	OSHwiki article in the spotlight: Musculoskeletal disorders and telework	Photo by Magnus Andersson on Unsplash	https://www.osha.europa.eu/en/oshnews/oshwiki-article-spotlight-musculoskeletal-disorders-and-telework
OSHA_UNK_0009	2021-10-05	UNK	Eurofound new report - The right to disconnect	"Eurofound´s new study shows that teleworkers are twice as likely to exceed the 48-hour working time limit, take insufficient rest, and work in their free time, with negative consequences on their physical and mental health.  With the exponential growth in teleworking brought by the COVID-19 pandemic, there have been calls for a ‘right to disconnect’ and many countries have enshrined this right in their legislation. Eurofound´s recent report Right to disconnect: Exploring company practices analyses the right to ""disengage from work and work-related electronic communications, such as emails or other messages, during non-work hours"" and the evidence around its impact on workers' health. The report is based on case studies that chart the implementation and consequences of the right to disconnect at the workplace level. See the full report in English and its executive summary, available for download in 22 EU languages"	https://www.osha.europa.eu/en/oshnews/eurofound-right-disconnect-exploring-company-practices
OSHA_UNK_0010	2021-09-29	UNK	EU-OSHA's virtual poster awarded at the XXII OSH World Congress 	"We are pleased to announce that EU-OSHA's virtual poster ""A Workers' Survey on Exposure to Cancer Risk Factors in Europe"" won the OSH World Congress President Award under the topic Innovations in Addressing Longstanding Health and Safety Challenges. This year's Congress featured a virtual Poster Exhibition with more than 400 posters relating to the topics addressed by the Congress Symposia, 5 of them prepared by EU-OSHA's experts. If you attended the Congress, you can access the digital platform, view on-demand videos of all sessions or check out any posters you missed. And if you couldn't attend, you can still see and download EU-OSHA's virtual posters, including the awarded one, by visiting our Slideshare account: A Workers’ Survey on Exposure to Cancer Risk Factors in Europe: An Innovative Approach to get Comparable and Reliable Data for Prevention and Policy-making Purposes by Xabier Irastorza, Marine Cavet and William Cockburn New Developments and Trends in Psychosocial Risk Management in Europe – Evidence from the ESENER-3 Survey by Xabier Irastorza and Malgorzata Milczarek How are Workplaces Managing OSH on a Daily Basis? by Xabier Irastorza Value of OSH by Dietmar Elsler OSH Barometer by Lothar Lieck        "	https://www.osha.europa.eu/en/oshnews/eu-oshas-virtual-poster-wins-osh-world-congress-president-award
